 	a66	a87	a23	a54	a47	a15	a7	a47	a36	a98	a5	a37	a61	a0	a24	a9	a10	a87	a23	a99	a97	</S>
la	0.182418	0.127419	0.0433115	0.0396841	0.0286567	0.0537679	0.0402046	0.0520281	0.0225276	0.0138654	0.0140217	0.0218914	0.0200817	0.0147363	0.0105243	0.00904799	0.0221776	0.0262932	0.0475378	0.0572091	0.0533559	0.0992403
pirogue	0.0011979	0.00267799	0.00474134	0.00887615	0.0849124	0.248976	0.286047	0.207537	0.0822876	0.0463631	0.0196709	0.00152781	0.000504189	0.000436213	0.000407267	0.000132409	0.000120653	0.000161071	0.000368222	0.000720806	0.00161911	0.000714663
est	0.0319248	0.0406827	0.0730011	0.0609661	0.165135	0.276633	0.144555	0.0410711	0.0168122	0.0163095	0.0161364	0.00629747	0.0096714	0.00830687	0.00265581	0.00242505	0.00387611	0.00471494	0.011125	0.0181156	0.0393107	0.0102748
fabriquée	0.00503992	0.00930742	0.00874076	0.0110548	0.0110626	0.0166025	0.0251101	0.0373629	0.109627	0.0772386	0.0735919	0.0866584	0.111171	0.13081	0.0701796	0.0294454	0.0438815	0.0492908	0.0339718	0.0248617	0.0208984	0.0140923
à	0.0110661	0.0185223	0.0123182	0.00962066	0.0068331	0.00671167	0.00989025	0.0182624	0.0594982	0.0577693	0.0681858	0.0738046	0.0777222	0.0571042	0.0541494	0.0370942	0.0572413	0.0849468	0.057777	0.0773097	0.0633427	0.0808299
base	0.0129688	0.0240255	0.00930867	0.00806274	0.00943585	0.0216283	0.0244988	0.0340534	0.064235	0.0657837	0.0620536	0.0549924	0.0832828	0.100848	0.0906056	0.0618721	0.0639821	0.0495973	0.0517122	0.0421874	0.0272041	0.0376614
du	0.0507385	0.0155452	0.0068771	0.00498579	0.00419058	0.00790467	0.0149978	0.0271429	0.0203874	0.00656583	0.012836	0.0254595	0.0470866	0.0375634	0.0187778	0.0230123	0.0560179	0.065007	0.104903	0.111597	0.114449	0.223955
bois	0.0475202	0.0206331	0.0160839	0.0145228	0.01407	0.0243131	0.0358847	0.0716157	0.0631755	0.0413398	0.0460841	0.0402332	0.0566029	0.0265012	0.0116732	0.013427	0.0373374	0.0762302	0.118045	0.0851799	0.0687443	0.0707827
rouge	0.205384	0.120115	0.0256256	0.0192934	0.00979022	0.0132741	0.0112075	0.0227568	0.0215113	0.0215617	0.0268997	0.0347156	0.0166487	0.0129229	0.00605864	0.00728019	0.0201637	0.0510878	0.0691121	0.0908177	0.105418	0.0883559
esii	0.0478079	0.0280444	0.00587499	0.00440925	0.00231534	0.00332346	0.00394395	0.00804609	0.00742533	0.00727028	0.016599	0.0387476	0.0386443	0.0379839	0.0155046	0.0244555	0.066463	0.0884264	0.120498	0.122135	0.11203	0.200052
</S>	0.044938	0.0203297	0.00575407	0.00614408	0.00436678	0.00679435	0.00810217	0.0136662	0.0180983	0.0139841	0.0159208	0.0317917	0.0830523	0.0840307	0.0571776	0.0612282	0.0682343	0.0720882	0.0712052	0.0778425	0.0612782	0.173972
