 	a66	a87	a23	a97	a83	a50	a88	a93	a44	a93	a4	a53	a4	a70	a88	a90	a5	a12	a31	a0	a11	a75	a6	a36	a2	a40	a47	a36	a2	a57	a87	a23	a83	a36	a54	a47	a6	a36	a37	a53	a69	a53	a93	a94	a43	a11	a44	a54	a7	a2	a40	a36	a2	a57	a87	a23	a87	a23	a97	</S>
je	0.0174546	0.0334227	0.0242722	0.0178113	0.0284623	0.0498185	0.0222898	0.0359987	0.0285067	0.0101385	0.0209816	0.0272134	0.028644	0.0361974	0.0285026	0.0270825	0.024114	0.0174725	0.0233669	0.00923153	0.00956255	0.00871908	0.00904479	0.00807856	0.00735074	0.00468639	0.00853989	0.00669076	0.00424464	0.0128322	0.0129237	0.0114522	0.0146947	0.00969742	0.0142521	0.0183514	0.0257602	0.0131224	0.0108009	0.00889297	0.0069616	0.0141391	0.0258323	0.0598067	0.0187406	0.012732	0.00731709	0.00826626	0.00776963	0.00417811	0.00880944	0.00546775	0.0104964	0.00612077	0.0083683	0.012364	0.00644358	0.0104064	0.0159186	0.0191819
n'	0.0125414	0.0079043	0.00777105	0.00732157	0.00801687	0.00483602	0.00825062	0.00835815	0.00912769	0.00698882	0.0113181	0.0086536	0.00901279	0.00760975	0.012975	0.015322	0.018135	0.0247202	0.0172334	0.0257873	0.0239829	0.0289547	0.0329872	0.0207799	0.0230433	0.018518	0.0244656	0.0205882	0.023138	0.0190458	0.0262086	0.026028	0.0275373	0.0252521	0.0322952	0.0384841	0.0322242	0.021472	0.0128657	0.0158985	0.00667745	0.00664949	0.0080204	0.00296337	0.00573687	0.00266386	0.00491446	0.00969226	0.0154027	0.0219611	0.0212921	0.0256365	0.0240281	0.0217702	0.021983	0.0158942	0.0195981	0.0127261	0.0115898	0.0151469
ai	0.00631041	0.00230752	0.001954	0.00167496	0.00206238	0.00126481	0.00229119	0.00187126	0.00391117	0.00420252	0.00832	0.00490114	0.00608701	0.00794633	0.010466	0.0114513	0.0200248	0.0341072	0.0244651	0.0333405	0.037746	0.0317193	0.0368341	0.0191683	0.031851	0.0149823	0.0254995	0.0241632	0.0370284	0.0425534	0.0440958	0.0479471	0.0428536	0.0391744	0.0559391	0.0726965	0.0517532	0.0272867	0.0232227	0.0196609	0.0070974	0.00312833	0.00298876	0.000794777	0.00152244	0.000515616	0.000658623	0.00224795	0.00237575	0.00296269	0.00432948	0.00285744	0.00285506	0.00289307	0.00588619	0.00549023	0.00614018	0.00817752	0.0120888	0.00985449
plus	0.0440467	0.0341853	0.038604	0.0344357	0.0252206	0.0222261	0.0280018	0.0154349	0.0148588	0.0160924	0.0141939	0.0163594	0.0134491	0.00822397	0.0139851	0.0161746	0.00911626	0.0105209	0.00853666	0.0124198	0.00831985	0.00949479	0.00941867	0.00773425	0.00874405	0.010169	0.0104319	0.00625663	0.00666821	0.0115216	0.0140585	0.0123116	0.0181872	0.0124066	0.0120705	0.0149931	0.0160052	0.012213	0.00947862	0.0290806	0.0135125	0.0170773	0.012362	0.0153176	0.0163175	0.027092	0.0193189	0.0204873	0.0177619	0.0177817	0.0166296	0.0147432	0.0180318	0.0190421	0.0186862	0.0167399	0.0179544	0.0199469	0.0129327	0.0326142
envie	0.0484965	0.0298342	0.0297829	0.0193069	0.0140799	0.00987967	0.00860209	0.0102445	0.0092943	0.00966611	0.00630883	0.00763619	0.00887116	0.005404	0.00724659	0.0139812	0.00972219	0.0141548	0.0131616	0.0250422	0.0269164	0.0129597	0.011701	0.0123551	0.00651263	0.00941666	0.0140605	0.00799814	0.00916027	0.0146705	0.022157	0.022891	0.0274487	0.0422686	0.0292494	0.0161479	0.012007	0.0138857	0.01342	0.0285921	0.0363548	0.0435762	0.0230499	0.0425935	0.040875	0.0333704	0.0124814	0.0212335	0.0055823	0.00395023	0.00496455	0.00536596	0.0048467	0.0056382	0.0100734	0.00928313	0.00640637	0.0113279	0.009925	0.0145677
d'	0.0205981	0.00987354	0.00737529	0.00377753	0.00345497	0.00201269	0.00282832	0.00228497	0.00256324	0.00260844	0.00524042	0.00598177	0.00750672	0.0106301	0.00919884	0.0182692	0.020214	0.0366936	0.0385083	0.0459674	0.0470198	0.0382528	0.0499342	0.0283972	0.0263216	0.0212218	0.0354459	0.0461172	0.0289234	0.0453881	0.0318424	0.0311688	0.0290802	0.031491	0.0445475	0.0327901	0.0267788	0.0151166	0.0160655	0.0120507	0.00634344	0.00365728	0.00583876	0.0029649	0.00498095	0.00318011	0.00298715	0.00562584	0.00566118	0.00528518	0.00748184	0.0046486	0.00357352	0.00361285	0.00453223	0.00379406	0.00696825	0.0062482	0.00628132	0.0127934
aller	0.0374648	0.0209654	0.0228122	0.00948521	0.00465489	0.00393131	0.00444014	0.00319063	0.00326268	0.00326941	0.00503361	0.00522493	0.0069509	0.00789284	0.00655178	0.0107697	0.0105202	0.0181404	0.023269	0.0267986	0.0242842	0.0238445	0.0229182	0.0196197	0.00881003	0.0137864	0.0207054	0.0178879	0.0108901	0.0202561	0.0215364	0.0174517	0.0180097	0.0313802	0.0248008	0.0182075	0.0218461	0.0315438	0.0343257	0.0295292	0.0223344	0.0166516	0.0240872	0.0306408	0.0357415	0.0330717	0.018211	0.0264467	0.0105214	0.0118637	0.0125883	0.00690615	0.00747958	0.00932109	0.00688219	0.00967028	0.0116574	0.0102213	0.011419	0.018022
au	0.0300318	0.0132763	0.00644526	0.00230611	0.00206292	0.00214932	0.00309659	0.00263794	0.00541565	0.00676298	0.00822678	0.00874923	0.0066625	0.00757741	0.0101346	0.0178438	0.0170198	0.0203226	0.0257961	0.0316484	0.029345	0.037615	0.025055	0.0311321	0.014611	0.0202399	0.0395712	0.0249876	0.0167071	0.0248294	0.0154761	0.0201602	0.0152466	0.0219265	0.0240245	0.0128464	0.00831573	0.00651374	0.00741375	0.00890956	0.00709642	0.0050319	0.0105997	0.0107728	0.021447	0.0153692	0.014597	0.0173672	0.0177276	0.0176556	0.0288261	0.0157866	0.0186038	0.0221004	0.016522	0.0238703	0.0298665	0.0258404	0.0280746	0.0197524
travail	0.0278819	0.0186003	0.0100322	0.00493592	0.00425728	0.00489138	0.00515053	0.00489618	0.00708412	0.00745183	0.00968186	0.0102938	0.00752571	0.0144378	0.0164275	0.0106844	0.0135787	0.0201314	0.0294934	0.0240642	0.0141285	0.0263504	0.0171274	0.0250233	0.0221868	0.0211224	0.0311036	0.0192254	0.0141904	0.0195408	0.0111306	0.0135608	0.0112306	0.010467	0.0131195	0.0107905	0.0106015	0.00671804	0.00684469	0.00811848	0.00855278	0.00799902	0.0108341	0.0131414	0.0253127	0.0279337	0.0106869	0.0155234	0.00942679	0.00915235	0.0273994	0.0144136	0.0256459	0.0234377	0.0268673	0.0305725	0.036561	0.034081	0.0366811	0.0416964
car	0.0253936	0.0224646	0.0203182	0.0131968	0.0112453	0.0121694	0.0065791	0.00845184	0.00770425	0.00616532	0.00772354	0.00997357	0.00861662	0.0141435	0.0122034	0.0110157	0.0107825	0.0225367	0.0301002	0.0282012	0.0198939	0.0250679	0.0223262	0.0237874	0.0212762	0.0241542	0.0324962	0.025012	0.0215455	0.0237552	0.0153907	0.0175027	0.0135047	0.01798	0.0191473	0.0126863	0.0095491	0.0154799	0.0155016	0.0135872	0.0112975	0.0100528	0.00847259	0.00883106	0.00835499	0.0074075	0.00636118	0.00853706	0.00745229	0.00798987	0.0146026	0.00880834	0.0134672	0.0134579	0.0155395	0.0191875	0.028671	0.0228475	0.0302379	0.0697943
