 	a66	a87	a23	a97	a87	a23	a99	a50	a88	a71	a25	a13	a44	a62	a88	a61	a21	a85	a5	a0	a75	a12	a43	a75	a47	a37	a56	a96	a34	a61	a0	a54	a36	a2	a26	a57	a87	a23	a99	a97	</S>
j'	0.0374276	0.027707	0.0265043	0.0215406	0.0155236	0.0219563	0.0249493	0.0190615	0.0366133	0.0464709	0.0318304	0.0332731	0.0388155	0.0176773	0.0168539	0.0124897	0.0118585	0.00764291	0.00975302	0.00863465	0.00795721	0.0113736	0.0108246	0.011033	0.00892241	0.00781686	0.00578975	0.00737311	0.0115987	0.0515435	0.0314723	0.0553694	0.019179	0.0422369	0.027754	0.042563	0.0259378	0.029137	0.051228	0.0293813	0.0449251
ai	0.0439755	0.0220388	0.0454103	0.0297653	0.0205005	0.0168858	0.0181488	0.0228625	0.0165221	0.0196261	0.0172793	0.0126237	0.0250037	0.0270066	0.0194979	0.0195469	0.0216666	0.0145815	0.0189108	0.0210357	0.0302778	0.0382371	0.0514106	0.0330318	0.077951	0.0406203	0.0339093	0.0213429	0.0182819	0.0149301	0.0227526	0.0130923	0.0286635	0.0125739	0.0143675	0.0125739	0.0167789	0.0151715	0.0189821	0.0152895	0.0168731
laissé	0.00789037	0.00937985	0.0145855	0.0102349	0.0089488	0.011989	0.0083957	0.00763747	0.00765371	0.00872922	0.00544862	0.00648561	0.00925122	0.0186593	0.01768	0.0268818	0.0391209	0.0344237	0.0586319	0.0503083	0.0796335	0.0868718	0.0643329	0.0390951	0.0878849	0.0365434	0.0195638	0.0200713	0.00721087	0.0124336	0.00732729	0.0102419	0.0145333	0.0127528	0.0136416	0.0148586	0.0112304	0.0248731	0.0262462	0.031489	0.0168286
le	0.176488	0.0425272	0.0328515	0.0260061	0.01719	0.0164681	0.00927826	0.0146345	0.0168764	0.00913627	0.00667132	0.00823049	0.00500309	0.0107126	0.0103442	0.00639667	0.00988352	0.00238593	0.00306103	0.00761934	0.0145989	0.0131789	0.0145382	0.0145048	0.0166999	0.0168719	0.0236013	0.0346303	0.0280839	0.0250517	0.0385724	0.0275007	0.0390775	0.0180519	0.0405616	0.0237291	0.0515187	0.0305316	0.0349864	0.0316813	0.0302646
paquet	0.0108446	0.0103396	0.00920148	0.0135478	0.0205892	0.0385778	0.021657	0.0380667	0.0423052	0.0334957	0.0292969	0.0226353	0.0153882	0.0196766	0.0199736	0.0202722	0.0143011	0.0221967	0.0145519	0.0222745	0.0196676	0.0319994	0.0351725	0.0436238	0.0329921	0.0294843	0.0202165	0.0397297	0.0526226	0.0242094	0.0123352	0.0280102	0.0146806	0.0249721	0.0260272	0.0588409	0.0231944	0.0146237	0.0140311	0.0083439	0.00603097
de	0.0723283	0.0418395	0.0297048	0.0134404	0.00595388	0.0174466	0.00835719	0.00647212	0.00438656	0.0030435	0.00243268	0.00442085	0.00630021	0.00561422	0.00717893	0.00885583	0.0155514	0.00838602	0.0119133	0.014929	0.0165876	0.0156289	0.0159704	0.0135982	0.0127914	0.00771162	0.00828685	0.0454408	0.0707145	0.0729721	0.0415962	0.0619873	0.0443999	0.0362771	0.0580228	0.0589395	0.0502722	0.0302574	0.0268666	0.0166223	0.00650091
poissons	0.090094	0.0476274	0.0242339	0.0166963	0.0103996	0.0175884	0.0119697	0.0121308	0.0105971	0.0068074	0.00786665	0.0067676	0.00909944	0.0101729	0.00906351	0.00761746	0.00711821	0.00475328	0.00617321	0.00901217	0.0123045	0.0127254	0.0143151	0.010119	0.00779516	0.00499358	0.0052845	0.0201956	0.0268874	0.0579278	0.0312174	0.0491521	0.0385246	0.0360992	0.0608121	0.0424807	0.0604244	0.0732993	0.0463244	0.0507347	0.0125941
sur	0.0520828	0.0286976	0.0200145	0.013464	0.00560522	0.00755968	0.00583732	0.00476688	0.00969545	0.00784932	0.0108603	0.0224671	0.0112293	0.00750633	0.00869893	0.00328653	0.00537239	0.00294962	0.00499073	0.0131238	0.0139579	0.0130952	0.0128484	0.00925633	0.00730939	0.00436939	0.00613111	0.0216468	0.0263539	0.0442015	0.0234071	0.048365	0.0172351	0.0139159	0.0496406	0.0792938	0.0637414	0.0669203	0.0384206	0.103712	0.0901202
la	0.078874	0.0405073	0.0203876	0.00988665	0.00369896	0.00408646	0.00347379	0.00400997	0.00598698	0.00553274	0.00583942	0.0157974	0.00975627	0.00781615	0.00966198	0.00591958	0.00655916	0.0041441	0.0044745	0.0124315	0.0148263	0.0144268	0.0128043	0.0087279	0.0100261	0.0064654	0.00906034	0.0152744	0.0147913	0.0249561	0.0202384	0.0314589	0.0200244	0.0238744	0.0537755	0.0534494	0.0800482	0.0858218	0.0618549	0.102255	0.0769958
table	0.0428107	0.0207747	0.0128006	0.00697515	0.00267068	0.00221764	0.00281544	0.00314448	0.00272342	0.00235819	0.0019974	0.00687397	0.00770323	0.0060801	0.006696	0.00292178	0.0033769	0.00158392	0.00281039	0.00992376	0.012864	0.019264	0.0162642	0.00930119	0.0107818	0.00748902	0.00977081	0.0377512	0.0317876	0.0226987	0.0212814	0.0344205	0.0293805	0.0320901	0.0559521	0.0643136	0.110509	0.103777	0.0611592	0.124212	0.0356742
