 	a87	a97	a87	a40	a2	a57	a10	a75	a5	a66	a98	a47	a85	a26	a38	a70	a0	a24	a31	a88	a71	a50	a70	a96	a56	a90	a98	a5	a21	a12	a88	a25	a82	a87	a23	a13	a62	a21	a5	a12	a88	a24	a31	a62	a21	a85	a6	a61	a88	a62	a83	a98	a47	a36	a2	a57	a87	a23	a87	a85	a66	a87	a23	a87	</S>
les	0.025792	0.0263828	0.0247283	0.0186836	0.015858	0.0179112	0.0136498	0.0223102	0.0357063	0.0279424	0.0338606	0.0303275	0.018222	0.0244453	0.0348401	0.0376454	0.0296552	0.0578217	0.0493667	0.039586	0.0337656	0.0165805	0.0214649	0.0228531	0.0243632	0.0365745	0.0285216	0.0154817	0.00733764	0.0103574	0.0168088	0.0123522	0.0136041	0.0114396	0.00881671	0.0107339	0.0133722	0.0132351	0.00945502	0.00609357	0.00682871	0.00636826	0.00653733	0.0057431	0.00315378	0.00330679	0.00258783	0.00151853	0.00262328	0.00148484	0.00125138	0.00115797	0.00122548	0.00146871	0.00149037	0.00141001	0.00173937	0.00164328	0.00216724	0.00263681	0.00356528	0.00494992	0.00319211	0.0029207	0.0110824
jeunes	0.00542592	0.00809279	0.011372	0.0211864	0.0360571	0.044943	0.0698619	0.0482295	0.0393978	0.0431426	0.0509713	0.0511718	0.04986	0.0278592	0.0204278	0.0204805	0.00926964	0.00928562	0.00769515	0.00817136	0.00834041	0.00731686	0.0173676	0.0207548	0.0282378	0.0251066	0.037303	0.0390116	0.0311275	0.0217497	0.0340647	0.0150766	0.0103597	0.0138848	0.0119152	0.0240729	0.0129325	0.00656847	0.00642598	0.00425504	0.00319131	0.00159176	0.00191822	0.0018666	0.000614116	0.000932946	0.000784633	0.000619509	0.00106292	0.000690227	0.00291025	0.00252881	0.00253745	0.00155253	0.00337875	0.00236695	0.00140157	0.00211202	0.00131898	0.00126274	0.0011924	0.00180625	0.00146594	0.00146799	0.000651893
gens	0.0176226	0.0341754	0.022249	0.0354406	0.0519043	0.0337182	0.0367306	0.0249874	0.0218019	0.0145296	0.011772	0.00864592	0.0106759	0.0114886	0.0126002	0.0125786	0.00983913	0.0137873	0.0164634	0.0190333	0.0186784	0.038723	0.0402246	0.0447465	0.0221452	0.0252034	0.0241762	0.0500955	0.0341434	0.0395949	0.0319319	0.0246219	0.0217526	0.0229945	0.0219793	0.0179406	0.0173818	0.010545	0.00624729	0.00488671	0.00411981	0.00244259	0.00209795	0.0018888	0.00120524	0.00193894	0.00329397	0.0014327	0.00210079	0.000655638	0.00125202	0.000888104	0.00121123	0.0014643	0.00232155	0.00207192	0.00191672	0.00244613	0.00250711	0.00213018	0.00355934	0.00599724	0.00588708	0.00515908	0.00195495
assassinent	0.0157984	0.0113501	0.00512682	0.00720381	0.00922436	0.00882052	0.00631801	0.0111673	0.0173351	0.0167742	0.014095	0.0151792	0.0216171	0.0253892	0.0275091	0.024961	0.0174004	0.0245417	0.0124323	0.0165006	0.0179951	0.00956105	0.0120367	0.0134517	0.00775906	0.00891426	0.0127448	0.00899297	0.010494	0.00892785	0.00887077	0.00700263	0.00858235	0.00930204	0.0087403	0.0166676	0.0237962	0.024387	0.0165618	0.0134187	0.016753	0.0153152	0.0173051	0.0238105	0.0133723	0.00988407	0.00932817	0.0107182	0.0106138	0.0140612	0.00953975	0.011452	0.0164422	0.0160421	0.0152523	0.0194992	0.0165726	0.0247449	0.0273532	0.0275861	0.0282313	0.0184138	0.0204344	0.0221481	0.0281753
les	0.00661344	0.00341164	0.00215971	0.00344758	0.00653435	0.00605084	0.00510323	0.00522446	0.00776901	0.0116375	0.00978102	0.0135591	0.0131453	0.0187154	0.0145832	0.0172011	0.0214578	0.0292466	0.0126194	0.0196766	0.0162686	0.0173046	0.0176893	0.0163565	0.0176362	0.01985	0.0252077	0.0235568	0.0288956	0.0291617	0.0214283	0.0184053	0.0311555	0.0304216	0.0321685	0.0371498	0.0487393	0.0394427	0.0215503	0.0270275	0.0328839	0.0214708	0.0241532	0.0187039	0.0171914	0.0175737	0.0109808	0.00772372	0.00929311	0.00742078	0.0056347	0.00233307	0.00382965	0.00343657	0.00337051	0.00398887	0.00370336	0.00455349	0.00624133	0.00757679	0.00701464	0.00725695	0.00704423	0.0116634	0.00760411
vieillards	0.0144512	0.00640055	0.0040072	0.00339993	0.0024663	0.00191951	0.00166798	0.00197629	0.00323808	0.00569715	0.00545109	0.00587167	0.0104069	0.0187499	0.010404	0.0151402	0.0103867	0.0183798	0.00862378	0.00991389	0.00667158	0.0145456	0.013133	0.0121421	0.0203872	0.0315797	0.0296154	0.0196371	0.0419394	0.0551884	0.0344721	0.031741	0.0476517	0.0430315	0.0291629	0.0343824	0.0418148	0.0371349	0.0187222	0.0241384	0.0299127	0.0210853	0.0161335	0.0120186	0.00758212	0.0184846	0.0104859	0.0067892	0.0122363	0.00641523	0.00698345	0.00295708	0.00505021	0.0058731	0.00635776	0.00731455	0.0058778	0.00641724	0.00749078	0.00905766	0.0107347	0.0122359	0.00891758	0.00894523	0.00900007
sous	0.0205758	0.00810243	0.00526025	0.00324274	0.00205503	0.00200655	0.00182102	0.00179332	0.00271922	0.00337457	0.00399909	0.00405172	0.00581704	0.00909251	0.00800446	0.0088871	0.01107	0.0187348	0.0141779	0.0160493	0.0106561	0.0162318	0.0194658	0.0205391	0.0257728	0.040471	0.0391358	0.0225465	0.031449	0.0472615	0.0409748	0.0419024	0.0391068	0.0464167	0.0318117	0.0416311	0.0470183	0.036307	0.0194006	0.0139602	0.0173595	0.00990692	0.00961539	0.00819148	0.00504551	0.00967867	0.00725616	0.00665476	0.0094572	0.00630293	0.00521884	0.00312247	0.00516239	0.00521411	0.00552025	0.00590514	0.00731834	0.00792825	0.0111712	0.0136747	0.0115874	0.0157361	0.0113356	0.0102582	0.00848453
prétexte	0.0156199	0.00529311	0.00224077	0.00174176	0.00138529	0.00187488	0.00170604	0.00165491	0.00159056	0.00146308	0.00212634	0.00161505	0.00151749	0.00424222	0.00227478	0.00409344	0.00482411	0.0063514	0.00605523	0.00919296	0.0115652	0.0162647	0.0227366	0.0206272	0.0285319	0.030069	0.0401708	0.0393893	0.0640888	0.10005	0.0925768	0.0663847	0.0597101	0.041359	0.0173204	0.0218274	0.0332663	0.0164137	0.00439797	0.0065017	0.00936213	0.0108937	0.00853907	0.00826504	0.00339971	0.00936997	0.00358834	0.00295781	0.00614222	0.00429688	0.0030872	0.00326697	0.00633279	0.00930171	0.00782529	0.00864083	0.00900181	0.00960272	0.0105825	0.0111873	0.0129239	0.0142892	0.00685243	0.00825492	0.00192045
que	0.0369484	0.0199215	0.0119661	0.00459222	0.00291161	0.0030261	0.00193959	0.00269325	0.00230082	0.00265772	0.00505245	0.00629264	0.00478713	0.00910374	0.00551194	0.0068205	0.0140068	0.00917329	0.0100593	0.0142806	0.0135622	0.0340403	0.0307039	0.0334585	0.0381376	0.0438847	0.0452461	0.0530655	0.0553542	0.0620703	0.0478968	0.046335	0.0323097	0.0212603	0.0150814	0.0124212	0.0153011	0.0126811	0.0075278	0.0115841	0.0125893	0.0159819	0.0142177	0.0179199	0.0104774	0.0177583	0.0150056	0.0085587	0.0108228	0.00327038	0.0033524	0.00289956	0.00209103	0.00329671	0.00214488	0.00345946	0.00291613	0.00303685	0.00409981	0.00453778	0.00612611	0.00663931	0.00662657	0.00755182	0.00865228
ceux-ci	0.0163641	0.0122514	0.00867443	0.00520584	0.00528051	0.00338141	0.00188303	0.00221088	0.0027602	0.00255089	0.00431399	0.00763869	0.00613661	0.00665305	0.00698253	0.00660058	0.0122121	0.0116825	0.0147854	0.0159196	0.0125044	0.0230538	0.0224697	0.0218073	0.0240708	0.0247586	0.0288079	0.0430214	0.0385962	0.0502978	0.0460983	0.0351548	0.0266752	0.0143309	0.0111335	0.00846725	0.0105738	0.00998434	0.00551733	0.00744477	0.0100564	0.0110753	0.0145837	0.0190236	0.0190211	0.0234492	0.0190698	0.0110976	0.01052	0.00454392	0.00835986	0.00738812	0.00544728	0.0129628	0.0147307	0.0166676	0.015507	0.020159	0.0178568	0.0281481	0.0176252	0.0242933	0.0190987	0.0193097	0.0117494
