 	a66	a87	a23	a99	a30	a93	a56	a47	a21	a5	a23	a98	a85	a92	a5	a12	a43	a18	a84	a87	a79	a69	a58	a40	a54	a37	a54	a44	a53	a79	a7	a11	a21	a5	a18	a82	a87	a40	a36	a12	a96	a88	a36	a27	a57	a87	a23	a10	a87	</S>
qui	0.0305218	0.0300492	0.0383389	0.0265067	0.0395506	0.0569047	0.0331418	0.0712933	0.104444	0.0789254	0.0544465	0.0274808	0.0325011	0.0229044	0.0188293	0.0182662	0.0107235	0.00879205	0.00844583	0.0037821	0.00492707	0.00499639	0.00532168	0.00367448	0.00301598	0.00420671	0.00319013	0.00411154	0.00277915	0.00302883	0.00424562	0.00448556	0.00405311	0.00711004	0.00570653	0.0134555	0.0136611	0.00931111	0.0137933	0.0158004	0.0129395	0.0126112	0.01085	0.0107304	0.0101683	0.0118388	0.0132568	0.0121665	0.0123171	0.0463988
est-ce	0.00606084	0.0046691	0.00479392	0.00524135	0.00999747	0.0175379	0.0216504	0.0208619	0.0204034	0.016415	0.0140898	0.0169148	0.0132884	0.0184195	0.0306306	0.045962	0.0335459	0.0403223	0.0410984	0.033122	0.0214891	0.0242725	0.0486449	0.0242651	0.0215371	0.00863631	0.0119493	0.00496975	0.00753558	0.00860199	0.00782763	0.00671878	0.00976103	0.00731403	0.00835964	0.00488502	0.0096321	0.018742	0.0185399	0.0224891	0.0315983	0.0376128	0.0379357	0.0246546	0.0179037	0.0255864	0.0244196	0.0264353	0.0234043	0.0392536
qui	0.0138244	0.00732386	0.00598953	0.00707342	0.00731171	0.0113593	0.0190753	0.0102144	0.0353793	0.028458	0.0229421	0.0457019	0.0214678	0.0441363	0.0479739	0.0802373	0.112383	0.0651261	0.0725987	0.0407267	0.0204279	0.0243368	0.0372867	0.00863913	0.0150503	0.00622319	0.00596374	0.00601732	0.00573125	0.00760442	0.00202703	0.00502307	0.00350754	0.00223147	0.00348431	0.00437527	0.0018241	0.00227381	0.00210163	0.00110803	0.00166727	0.00352685	0.0028227	0.00301732	0.00558053	0.0174463	0.0261935	0.0235232	0.0130015	0.0386807
a	0.0209296	0.0172059	0.0114997	0.0158709	0.0110645	0.0172454	0.0235164	0.0118117	0.0207094	0.0115249	0.0105944	0.00693457	0.00928235	0.0114669	0.0117074	0.0154879	0.0136254	0.0113136	0.02448	0.0143518	0.0149631	0.0277051	0.0316077	0.0165532	0.0195473	0.0263662	0.0176562	0.0103032	0.0109698	0.0110288	0.00551491	0.00922519	0.00734533	0.00487297	0.00666118	0.0129913	0.01007	0.0106394	0.00755981	0.0075902	0.0189902	0.0185344	0.0289995	0.0499203	0.0595173	0.040355	0.0527791	0.047385	0.0571523	0.0665735
accroché	0.0290876	0.0248927	0.0212611	0.0171394	0.00740838	0.00843482	0.0101659	0.0053107	0.00513091	0.00522798	0.00360448	0.00418665	0.00613041	0.00783617	0.00951296	0.0130084	0.0142103	0.0106493	0.0199065	0.0438541	0.0333339	0.0499429	0.0450194	0.0583755	0.0471876	0.0301732	0.0247756	0.0166262	0.017451	0.0164612	0.0111841	0.00901295	0.00712574	0.0087506	0.00749388	0.0109577	0.00794596	0.0103472	0.0063629	0.00624774	0.0101221	0.0184023	0.0177409	0.0241613	0.03215	0.0472874	0.0394202	0.0398838	0.028249	0.050849
son	0.0495735	0.0328164	0.0286471	0.0235895	0.0137152	0.0109537	0.010421	0.00752579	0.00642464	0.0071792	0.0062111	0.0107317	0.011704	0.0199021	0.0234405	0.0246188	0.022208	0.0235451	0.0373064	0.0574257	0.0661037	0.082636	0.0579591	0.0428395	0.0458174	0.0173654	0.0205766	0.0174086	0.0144546	0.00694607	0.00799737	0.00666502	0.00363581	0.0049516	0.00496132	0.00924102	0.0114976	0.00802589	0.00815376	0.0105306	0.00857733	0.0179785	0.0128901	0.00856647	0.00952414	0.0119831	0.0133335	0.0143393	0.0129386	0.0141625
vêtement	0.0183704	0.0154973	0.0142046	0.0122174	0.0111665	0.0103214	0.0104311	0.00747816	0.00936993	0.00822479	0.00604798	0.0135014	0.0155153	0.0255357	0.0271916	0.0247974	0.0217332	0.0216716	0.0352467	0.0849481	0.0872007	0.0839915	0.0719612	0.0564575	0.0799049	0.0156262	0.0222406	0.0265396	0.0318266	0.0116509	0.00592405	0.00721987	0.0040883	0.00596511	0.00417137	0.00816486	0.00577947	0.00363539	0.00191331	0.00452923	0.00432056	0.0102586	0.00548238	0.00658583	0.00540892	0.00497727	0.00791983	0.0081775	0.00703075	0.00757702
sur	0.0457591	0.0315207	0.0237188	0.0299707	0.0298811	0.0210299	0.0197904	0.0107417	0.0155569	0.0174128	0.0136277	0.036962	0.0215428	0.0469515	0.0276587	0.0372752	0.0404017	0.0203651	0.0166164	0.0146686	0.00983654	0.013551	0.013337	0.00885815	0.00835073	0.00468001	0.00522619	0.00445663	0.0069569	0.00447501	0.00287109	0.00674528	0.00352792	0.00450861	0.00421351	0.0127533	0.00490583	0.00319579	0.00308947	0.00502842	0.00771696	0.0126522	0.0103262	0.024841	0.0388498	0.0527349	0.0490571	0.064096	0.0570532	0.0306537
la	0.0301924	0.0282467	0.0246523	0.0282707	0.023232	0.0182035	0.0135315	0.00332977	0.00357296	0.00313452	0.00239447	0.00675157	0.00359628	0.00895152	0.00525681	0.0102015	0.00919659	0.00488707	0.00684697	0.0087595	0.00841152	0.0105215	0.0143552	0.00719331	0.0102112	0.00484675	0.00612856	0.00562699	0.00572164	0.00574639	0.00415025	0.00932244	0.00509981	0.00830553	0.00588719	0.0207394	0.0187702	0.0218766	0.0239032	0.0216663	0.0257519	0.0710685	0.0475797	0.0674379	0.0521818	0.0504432	0.0675564	0.0586711	0.044074	0.053543
pointe	0.0221533	0.00800234	0.00611895	0.00622078	0.0079821	0.00683764	0.00622953	0.00275876	0.00213007	0.00245196	0.00154647	0.0072685	0.00502448	0.0100589	0.00509831	0.00719921	0.00665601	0.00401782	0.00640094	0.0118661	0.0098736	0.0142491	0.0119335	0.00657536	0.00864188	0.0078343	0.0100491	0.00726243	0.00986603	0.00957453	0.00771004	0.0203239	0.00882673	0.0161775	0.00990612	0.0343238	0.0219446	0.0272107	0.021107	0.0169265	0.0210442	0.0478616	0.0410053	0.0720441	0.0816486	0.0584713	0.0788959	0.0765804	0.0695383	0.0365713
