 	a66	a87	a23	a5	a18	a75	a85	a79	a92	a98	a15	a98	a85	a5	a21	a12	a62	a83	a62	a88	a71	a9	a97	a87	a23	a99	a87	a3	</S>
elle	0.0522937	0.0662365	0.0620613	0.0587744	0.0557798	0.0535582	0.0752081	0.0577642	0.0529439	0.0537224	0.0546834	0.0634218	0.0312016	0.029842	0.0242469	0.0193734	0.0164864	0.0118025	0.0141406	0.012653	0.0135247	0.0159027	0.0186638	0.0151175	0.0118672	0.00864901	0.00923641	0.00847919	0.0323655
a	0.0159889	0.0146633	0.0184221	0.0248876	0.019966	0.0282081	0.0225882	0.0334858	0.03365	0.060015	0.0756287	0.134996	0.0906506	0.035974	0.0235059	0.0143733	0.019999	0.0188715	0.0165342	0.0213506	0.0269852	0.0216732	0.0172274	0.0211047	0.0247778	0.0435089	0.0295287	0.0509608	0.0404743
une	0.0304092	0.0210728	0.0188736	0.0173821	0.0224478	0.0167213	0.0161626	0.0218957	0.0188636	0.0187176	0.0188786	0.0184288	0.00535743	0.00518799	0.004146	0.00433492	0.0058022	0.00756663	0.00786411	0.0100632	0.0241882	0.0256317	0.0233963	0.0444369	0.0660394	0.11801	0.11796	0.175664	0.114498
mauvaise	0.0657993	0.0476851	0.037125	0.0224055	0.0148562	0.00550138	0.00353504	0.00494891	0.005975	0.00650089	0.00988779	0.0219976	0.0337412	0.061095	0.0783855	0.109578	0.0627559	0.0937543	0.0734775	0.0283529	0.0369129	0.0422649	0.0284612	0.0369929	0.0182308	0.0141412	0.00915354	0.012192	0.0142925
manière	0.0758524	0.0896645	0.0994545	0.0810693	0.0642343	0.0325331	0.029574	0.0297498	0.0273419	0.0237827	0.0326348	0.0626501	0.0500246	0.0653203	0.0332787	0.0252504	0.0096124	0.0170991	0.0204895	0.00891308	0.0119528	0.00763877	0.00758261	0.00757191	0.0103602	0.0141327	0.0141443	0.0177467	0.0303405
de	0.167719	0.080787	0.0520583	0.0505882	0.0627624	0.0408425	0.0485312	0.0235575	0.0214504	0.018325	0.0155415	0.0122688	0.00397649	0.01085	0.0106309	0.0113073	0.00882756	0.0149211	0.0249179	0.0173844	0.0156047	0.00922887	0.0131322	0.0266212	0.0430369	0.0531375	0.0370815	0.0493588	0.0555509
partager	0.123572	0.057037	0.0461975	0.0387701	0.0330032	0.0417187	0.0612026	0.0500742	0.0483757	0.0276766	0.0374406	0.0221244	0.010178	0.0230551	0.0250027	0.0199837	0.0192097	0.0163046	0.0122428	0.0224125	0.0272139	0.0107062	0.00781236	0.0137286	0.0170142	0.0354583	0.0413975	0.0725875	0.0384997
la	0.0648522	0.0322802	0.02227	0.0148424	0.0141431	0.0174492	0.0112454	0.0108754	0.00885778	0.00613118	0.00442859	0.00311711	0.00311606	0.00669593	0.00969176	0.00986426	0.0190975	0.0149196	0.0315658	0.0495569	0.0688628	0.0769345	0.0628428	0.096295	0.0676513	0.0933311	0.0670412	0.0799118	0.0321293
nourriture	0.0630711	0.0307916	0.0183865	0.0137419	0.00925326	0.0194625	0.0141455	0.0198367	0.0222913	0.0179889	0.0156712	0.00871889	0.00720075	0.00451446	0.00596571	0.00699996	0.00691335	0.00690768	0.0168786	0.020467	0.0347107	0.0404464	0.0561279	0.104082	0.0935825	0.100248	0.0885758	0.10117	0.051849
</S>	0.0650004	0.0495443	0.0249436	0.0233928	0.0212903	0.0292965	0.0206753	0.0145009	0.0110165	0.00690159	0.00551481	0.00377767	0.00324282	0.00388278	0.00668067	0.00683117	0.0112589	0.00736231	0.0200827	0.0257932	0.0533908	0.0562384	0.0620312	0.0639659	0.0590734	0.0903449	0.0852061	0.102214	0.0665465
