 	a15	a66	a87	a23	a83	a34	a47	a21	a5	a98	a85	a5	a41	a43	a96	a24	a21	a47	a12	a56	a94	a57	a82	a87	a23	a87	</S>
c'	0.0528541	0.060351	0.0435025	0.0420793	0.0243863	0.0209505	0.0253463	0.0425665	0.0230764	0.0236601	0.0193973	0.022477	0.0178358	0.0133953	0.0196703	0.0293377	0.0350646	0.0370674	0.0489932	0.0521166	0.0454704	0.0394855	0.0447963	0.045814	0.0503598	0.0427374	0.0772084
est	0.0431377	0.0343012	0.0284958	0.0270543	0.0244483	0.0277738	0.0239282	0.0166593	0.0150214	0.0184486	0.02887	0.041382	0.0610562	0.0354057	0.0295574	0.0242037	0.0258599	0.021516	0.0211198	0.0315944	0.0365183	0.0696708	0.0868676	0.0675481	0.064589	0.0598261	0.0351465
donc	0.0803711	0.078058	0.0845693	0.0623405	0.0394749	0.0617301	0.0399233	0.0279667	0.0200137	0.0171867	0.0191399	0.0120196	0.00704469	0.00961253	0.00557516	0.00873278	0.0081659	0.00844829	0.0142063	0.015416	0.0216218	0.0354073	0.0535444	0.0711581	0.0578735	0.0878983	0.0525011
toi	0.0359781	0.0171599	0.0223544	0.0138672	0.015092	0.0166918	0.0183838	0.0245748	0.0234405	0.0214688	0.0344459	0.033886	0.0128899	0.017841	0.0205599	0.0335474	0.0584657	0.0637938	0.0687627	0.0570157	0.0561238	0.0583641	0.0684427	0.0486271	0.0620323	0.0470075	0.0491831
qui	0.100606	0.0634704	0.0551051	0.0309519	0.0145428	0.0311712	0.0159181	0.0116676	0.00674655	0.00643151	0.0121081	0.0121504	0.0106266	0.0149669	0.0217161	0.0356842	0.036917	0.0406121	0.0395431	0.0389214	0.0327804	0.0577196	0.0717562	0.0743343	0.0687437	0.0671452	0.0276632
a	0.121634	0.0587855	0.0427528	0.0328573	0.0228867	0.0433016	0.044445	0.040862	0.0273021	0.0231992	0.01659	0.0182943	0.0138543	0.020113	0.0147108	0.0161509	0.0297635	0.0595407	0.04612	0.0362418	0.0305877	0.0442456	0.0467621	0.0484193	0.0439068	0.0385005	0.0181729
occupé	0.0469973	0.0174596	0.0146733	0.0112493	0.008677	0.0117778	0.012862	0.00879519	0.0151672	0.0196952	0.0244352	0.0400083	0.044879	0.0633631	0.0675705	0.0493922	0.088805	0.121004	0.0590621	0.0557569	0.0381432	0.036061	0.0342591	0.0322832	0.0306912	0.0293381	0.0175936
cette	0.121661	0.0671085	0.0391708	0.0231614	0.0209476	0.026832	0.0201351	0.0206793	0.0201489	0.0156964	0.0189928	0.0152115	0.0253213	0.0284617	0.0158847	0.0157326	0.0216374	0.0465587	0.0351377	0.059064	0.0394229	0.0583041	0.0522106	0.067106	0.0455353	0.0589757	0.0209023
parcelle	0.0670079	0.0470727	0.0357288	0.0224897	0.018681	0.0203556	0.0207089	0.0217644	0.020536	0.0187641	0.0143398	0.0120789	0.013456	0.0250771	0.0186084	0.0215602	0.0300509	0.0573953	0.0474781	0.0685533	0.0468519	0.0809665	0.0693026	0.0487545	0.0636991	0.0563825	0.0323357
</S>	0.0768579	0.058376	0.0410372	0.0180124	0.0108156	0.00844709	0.00678455	0.00616949	0.00442368	0.00409353	0.00402653	0.00409087	0.00490458	0.00930816	0.0103417	0.0133426	0.0164749	0.0201874	0.0253776	0.0348342	0.0370612	0.0719502	0.0954294	0.0807753	0.120299	0.105094	0.111485
