 	a87	a23	a99	a62	a88	a9	a38	a21	a47	a18	a25	a10	a62	a21	a5	a75	a25	a69	a84	a87	a23	a83	a62	a83	a9	a38	a56	a92	a98	a44	a13	a90	a92	a11	a75	a5	a96	a83	a21	a66	a75	a25	a90	a82	a84	a53	a93	a83	a9	a87	a23	a87	</S>
j'	0.0280578	0.0379513	0.0438458	0.0263098	0.0186127	0.0316895	0.0353275	0.026611	0.0327481	0.0191022	0.0134947	0.0122702	0.0126209	0.0147612	0.0186775	0.0133282	0.0146755	0.0116844	0.0133229	0.0183579	0.0199355	0.0154158	0.0145222	0.0163062	0.0106734	0.0119243	0.006409	0.00632321	0.00732302	0.0116287	0.00957436	0.0101645	0.0229863	0.0188182	0.0286098	0.022103	0.0301857	0.0279361	0.04092	0.0299805	0.0156015	0.0172109	0.0157408	0.0193118	0.0209655	0.0109321	0.00996033	0.0124177	0.0130643	0.0149496	0.0131397	0.0117584	0.0197586
ai	0.0203064	0.018551	0.0110998	0.0104691	0.0121961	0.0126983	0.0211608	0.030305	0.0198909	0.0197027	0.0251949	0.0253912	0.0165432	0.028747	0.029185	0.0334458	0.0382463	0.0399871	0.0242633	0.0292074	0.033925	0.0292938	0.0309035	0.0250736	0.01667	0.0283526	0.0166489	0.0143784	0.0212505	0.00943297	0.0144368	0.0147575	0.0087205	0.0105753	0.00940686	0.00762811	0.0089422	0.00797527	0.00731633	0.00863287	0.00567028	0.00862916	0.0082492	0.00983384	0.0090492	0.0165298	0.0145237	0.0204759	0.0194027	0.0216323	0.0189223	0.0263827	0.0297868
souffert	0.0335819	0.0159765	0.0102158	0.0132423	0.0151515	0.00814856	0.0102167	0.00984605	0.0132519	0.0146436	0.0101685	0.00796355	0.0061687	0.00406841	0.0118719	0.00684785	0.0137032	0.0188874	0.014551	0.0196269	0.0327134	0.0229217	0.0480358	0.0494368	0.0173563	0.0486624	0.0301903	0.0316631	0.0410954	0.0299551	0.0493873	0.0404494	0.00836683	0.0267823	0.00879959	0.00333298	0.0107757	0.00923199	0.0127608	0.0144226	0.00668286	0.00847443	0.00992924	0.0133661	0.0110751	0.0185672	0.0168453	0.0217466	0.015352	0.0217798	0.0184474	0.0272439	0.0160179
pour	0.0331924	0.01863	0.00685759	0.00493007	0.00397259	0.00260689	0.00291022	0.00336565	0.00508695	0.00403366	0.00244365	0.00304009	0.00372809	0.0027512	0.00311192	0.00195843	0.00317111	0.00373355	0.00444371	0.00670109	0.0103009	0.00956609	0.0336975	0.0367268	0.0372084	0.0572792	0.052735	0.0408631	0.0471296	0.0757883	0.0580292	0.0603668	0.0388759	0.0476723	0.0410481	0.042561	0.035527	0.0238908	0.0194263	0.0190049	0.0114606	0.0226788	0.00600451	0.00656147	0.00487759	0.00674587	0.00508786	0.00329362	0.00343366	0.00496566	0.00667999	0.00621746	0.003627
décrasser	0.0283796	0.0185885	0.00798199	0.00661009	0.00871928	0.00538957	0.00632155	0.00588795	0.0146345	0.0124794	0.00849988	0.00914658	0.0105553	0.00703545	0.00838772	0.00573499	0.0101348	0.0114648	0.0155102	0.0211586	0.0193714	0.0275091	0.0294548	0.0374014	0.0306742	0.0353662	0.0587959	0.0401976	0.0340914	0.0825154	0.0494424	0.0417889	0.0281233	0.0302708	0.0223274	0.0154356	0.0177608	0.0159447	0.0174489	0.0171452	0.00773619	0.0127982	0.00957443	0.00931416	0.0119712	0.0106732	0.0100338	0.0064954	0.00551085	0.00882686	0.0129968	0.0109758	0.00940684
la	0.0194465	0.0128589	0.0102014	0.00748474	0.0135246	0.0112568	0.010072	0.00761947	0.0103677	0.00897719	0.0055733	0.0060088	0.0087444	0.00599389	0.00673207	0.00655331	0.0112886	0.010965	0.0124553	0.0241544	0.021807	0.0378692	0.0432314	0.0557024	0.0615126	0.0531312	0.0813809	0.053372	0.0402473	0.0850018	0.058519	0.0436348	0.020706	0.020623	0.0136388	0.0129197	0.0115927	0.0087796	0.00981753	0.00718337	0.00510703	0.00812407	0.0031023	0.00355002	0.00253252	0.00268522	0.00297858	0.00211162	0.00214469	0.00334681	0.00526	0.00363589	0.00447238
chambre	0.0200227	0.00510757	0.0021452	0.00223781	0.00151085	0.00258734	0.00300171	0.00289707	0.00433753	0.00441956	0.0080873	0.0072339	0.00472687	0.00518073	0.014156	0.00812163	0.00988873	0.0253588	0.0195711	0.0234644	0.0327127	0.0751206	0.044266	0.0598505	0.0666869	0.0856665	0.0637932	0.0587164	0.0638211	0.0524627	0.0501426	0.0409781	0.0108422	0.0112142	0.00420737	0.00567397	0.00526391	0.00290652	0.00499901	0.00255828	0.00255165	0.00420057	0.00441396	0.00392218	0.00710206	0.0106845	0.0132944	0.00638017	0.00611663	0.00693364	0.011215	0.00592512	0.00132058
où	0.0422302	0.0387315	0.0179221	0.0155165	0.00897393	0.007292	0.0104183	0.00547677	0.00484127	0.00495524	0.00719085	0.0113459	0.0139274	0.0254198	0.021959	0.0284647	0.0321273	0.0336506	0.0372165	0.0550495	0.0426276	0.0931346	0.0281974	0.020705	0.0246397	0.0319171	0.0278151	0.0150072	0.0163104	0.0289129	0.0153225	0.0135821	0.0161764	0.0136057	0.00938856	0.00999016	0.00990145	0.00765614	0.00978639	0.00671001	0.00402002	0.00513449	0.0042949	0.00309072	0.00424074	0.00690543	0.0145201	0.00978955	0.0160546	0.0210441	0.0195763	0.0195394	0.00769396
logeait	0.0517163	0.0261798	0.0162802	0.0119011	0.00792833	0.00542924	0.00703295	0.00521275	0.00558925	0.0051468	0.00429928	0.00557803	0.00831538	0.00809833	0.018863	0.0109678	0.0138764	0.0162944	0.0197104	0.022933	0.0333651	0.0353057	0.0160687	0.0195854	0.0126805	0.0193816	0.00839052	0.00713387	0.00870538	0.0079518	0.00733319	0.00862876	0.0164557	0.0194292	0.024593	0.0185867	0.0245885	0.0241675	0.0303986	0.0286736	0.0106854	0.0217193	0.0142429	0.0198986	0.0152583	0.0348569	0.041419	0.027572	0.036402	0.0426621	0.0320472	0.0452314	0.0152294
le	0.0326038	0.0280623	0.0212054	0.0162019	0.00969896	0.00839648	0.00968815	0.00789213	0.0084497	0.00713265	0.00587767	0.00837907	0.013165	0.0146363	0.0247681	0.0178227	0.0268175	0.0240559	0.0333883	0.038463	0.0730616	0.0420962	0.0385058	0.0409398	0.0224196	0.0300385	0.0145201	0.0109974	0.0148495	0.0129657	0.0146441	0.0134019	0.0212978	0.0165441	0.0202374	0.00838157	0.0135657	0.0113812	0.0110157	0.0112915	0.00471018	0.00830488	0.00781612	0.0129771	0.00927384	0.0169814	0.0210368	0.0151465	0.0182154	0.0229669	0.0157987	0.0292939	0.0186182
malade	0.0198189	0.0167757	0.00774535	0.00586509	0.00785692	0.00466084	0.00486439	0.0038987	0.00518918	0.00511641	0.00441611	0.00510315	0.00815212	0.00758969	0.017308	0.010983	0.0171351	0.0180849	0.0285624	0.0342389	0.0525695	0.0607182	0.0455248	0.0454431	0.0367733	0.043367	0.0260069	0.020615	0.0223009	0.020508	0.0264297	0.0248788	0.0299976	0.0256801	0.0256952	0.0117707	0.0196575	0.0177377	0.0189972	0.0160725	0.00753624	0.00982431	0.0070783	0.00858878	0.0113609	0.013933	0.0213528	0.0149271	0.0157147	0.0190086	0.0135348	0.0216422	0.0113896
</S>	0.0267242	0.0171903	0.0115339	0.0102372	0.00455851	0.00341706	0.00587775	0.00560829	0.00444523	0.00451457	0.00430495	0.00450751	0.00527244	0.00800129	0.0167015	0.00944655	0.0137545	0.0180963	0.0241812	0.0240896	0.0430363	0.0365984	0.0321016	0.0375408	0.0175881	0.0249863	0.0113457	0.00899653	0.0122545	0.00821297	0.0108055	0.0092559	0.0135336	0.0102605	0.0110134	0.00530559	0.0124872	0.0105039	0.0190449	0.0167365	0.00714379	0.0131314	0.0102101	0.0189965	0.0215339	0.0354054	0.0487674	0.0346098	0.0460005	0.0573926	0.0428634	0.0521114	0.0377629
