 	a66	a87	a23	a18	a83	a50	a88	a71	a62	a21	a12	a96	a18	a70	a90	a79	a44	a79	a92	a79	a37	a75	a92	a37	a26	a82	a87	a23	a87	</S>
j'	0.0396498	0.0324393	0.0229036	0.029701	0.022074	0.0281612	0.0253067	0.0160495	0.0171133	0.0190174	0.015255	0.0156888	0.0146654	0.0133255	0.0174712	0.0217123	0.0328888	0.032473	0.0270393	0.0257224	0.0389439	0.0422383	0.0661545	0.0769984	0.0416098	0.0364544	0.0493129	0.053924	0.0553582	0.0703482
ai	0.0918482	0.0540702	0.0791739	0.0606276	0.0363355	0.0242724	0.0353765	0.0150241	0.0194138	0.0205624	0.0226753	0.0305235	0.056356	0.049814	0.0654765	0.0423975	0.0291958	0.0130124	0.0301821	0.0183721	0.017597	0.0140694	0.0229327	0.0187771	0.0166875	0.0184597	0.0218116	0.0252027	0.0266339	0.0231188
vu	0.0121748	0.0192868	0.0206098	0.0271848	0.0345131	0.0375275	0.0384704	0.0461397	0.04447	0.0492753	0.0714268	0.0372085	0.0551082	0.0247719	0.021249	0.0167654	0.0315169	0.0195689	0.0295567	0.0165219	0.0219021	0.0208249	0.0277736	0.05444	0.0250599	0.0381371	0.0380972	0.0318432	0.0579884	0.0305872
une	0.0447662	0.022795	0.0172141	0.0279872	0.0404455	0.0444086	0.0277732	0.0330118	0.0420707	0.0207078	0.0271566	0.024217	0.0306195	0.0350353	0.0386516	0.0496083	0.0264434	0.0479835	0.0404655	0.0309868	0.0357054	0.024684	0.0262463	0.0617234	0.0369397	0.0240881	0.0268087	0.0233961	0.0303672	0.0376935
foule	0.0167431	0.014479	0.0113173	0.02018	0.0215182	0.0380364	0.0320708	0.0608962	0.0642816	0.0434513	0.0396655	0.0391653	0.0474832	0.0565826	0.0666927	0.0389422	0.0340416	0.0340279	0.0408047	0.0272617	0.0426563	0.0205878	0.0234363	0.0441007	0.02066	0.0253193	0.024134	0.0208748	0.0138913	0.0166984
de	0.0662353	0.0469576	0.0595428	0.0583799	0.0548254	0.0472374	0.0173939	0.023799	0.023109	0.0219837	0.0191325	0.0147949	0.012044	0.0188707	0.0248392	0.0167799	0.0131474	0.0155179	0.0161543	0.0155048	0.0261849	0.0285087	0.0236934	0.0600635	0.0514519	0.0667126	0.0486796	0.036206	0.029882	0.0423678
gens	0.0879044	0.0473005	0.0874053	0.0519082	0.0404206	0.0269861	0.015517	0.0129375	0.0128437	0.0116542	0.0150543	0.0100008	0.00558998	0.00716029	0.0181644	0.0109427	0.0145196	0.0180399	0.0188953	0.0197455	0.035023	0.0492279	0.0396548	0.0765455	0.0643866	0.0815559	0.0403044	0.0369644	0.0265614	0.0167859
au	0.138927	0.0628653	0.0732653	0.0530523	0.0507882	0.0337326	0.0129388	0.0159879	0.0127356	0.0130634	0.0210717	0.0126151	0.0125349	0.0109563	0.0178754	0.00945581	0.0179496	0.00937086	0.00807154	0.00646387	0.00903268	0.0191946	0.0236943	0.0377519	0.039359	0.0703608	0.0258964	0.0420926	0.0438237	0.0950725
marché	0.0399305	0.0189705	0.0218839	0.0195202	0.0153561	0.0225338	0.0158504	0.0275194	0.03982	0.033963	0.045638	0.0371755	0.0244844	0.0191729	0.0240335	0.0210592	0.0189614	0.0169561	0.0191011	0.0156079	0.02568	0.019538	0.0399208	0.0528533	0.0443982	0.0660358	0.0488718	0.0544914	0.0608394	0.0898334
</S>	0.0260834	0.0100005	0.0084251	0.0062366	0.00675968	0.00589872	0.00365826	0.00391588	0.00267568	0.00280457	0.0073476	0.00677904	0.00328298	0.00296928	0.00887339	0.00390468	0.00548935	0.00774335	0.00843803	0.0110659	0.0118985	0.0167915	0.0276748	0.0672027	0.113358	0.141822	0.117425	0.106317	0.119991	0.135167
