 	a23	a99	a98	a14	a41	a18	a38	a62	a98	a9	a38	a90	a32	a90	a98	a90	a76	a98	a11	a75	a41	a94	a96	a62	a24	a41	a32	a75	a41	a27	a40	a76	a69	a58	a40	a98	a73	a84	a87	</S>
ils	0.0786305	0.0899048	0.0962968	0.0673047	0.0530951	0.0220644	0.0189132	0.0152345	0.0179922	0.021251	0.0301129	0.0215343	0.019167	0.0171311	0.0154697	0.0133518	0.0114076	0.0107134	0.00923593	0.00835649	0.00867	0.00762431	0.00541157	0.0072519	0.00732162	0.0107238	0.00995427	0.00985784	0.0118302	0.00713996	0.00750261	0.0118294	0.0431622	0.0229387	0.0221159	0.0217804	0.0287481	0.0497648	0.0315783	0.0376268
n'	0.00251706	0.00364289	0.0072347	0.0169629	0.0351701	0.0376233	0.0340106	0.0433627	0.035606	0.0538609	0.0381697	0.0391952	0.0376517	0.0331203	0.0674396	0.0447257	0.0323137	0.0273468	0.0196655	0.022713	0.0296769	0.0609482	0.018279	0.0132782	0.0115147	0.0119885	0.0110207	0.00996691	0.0126349	0.0121002	0.0194982	0.0195063	0.0181859	0.0167181	0.0141102	0.0142968	0.0132151	0.0181016	0.0250444	0.0175829
ont	0.0287287	0.0236397	0.0246199	0.0205199	0.0241558	0.0232607	0.0327216	0.0428555	0.0259704	0.0292938	0.0267272	0.0187949	0.0179948	0.0115313	0.0109451	0.0100234	0.00472347	0.0059137	0.00508523	0.00719747	0.0117138	0.0338265	0.00932685	0.00565878	0.00993022	0.006344	0.0116098	0.0131658	0.0177687	0.0251322	0.0299578	0.0284837	0.0446801	0.0520935	0.0719714	0.0512661	0.0487207	0.0403924	0.0358809	0.0573743
pas	0.0150292	0.016513	0.0114046	0.0137447	0.0231494	0.0272043	0.0459466	0.0491615	0.0508547	0.0664493	0.0616636	0.0497369	0.0536819	0.0501485	0.0390203	0.0316851	0.0205383	0.0144863	0.0200519	0.0150711	0.0193005	0.0203817	0.034794	0.0415658	0.0351301	0.0185662	0.00854241	0.00948233	0.0145371	0.0128519	0.00785853	0.0148651	0.0117836	0.0157038	0.0123736	0.0144629	0.011169	0.0090779	0.00508831	0.00692424
voulu	0.081154	0.0461485	0.0454216	0.0459074	0.0337938	0.0239751	0.0265003	0.0187469	0.0219826	0.0293625	0.0221751	0.0274314	0.0294842	0.0372758	0.0285557	0.0236201	0.0280712	0.0314254	0.029196	0.0251412	0.0174769	0.011645	0.014489	0.0204521	0.0140586	0.0179113	0.0218231	0.0214247	0.0171725	0.0121628	0.0170074	0.0181013	0.0199817	0.017916	0.0144735	0.0149921	0.0153749	0.0146734	0.0186605	0.0248345
s'	0.0669582	0.0350347	0.0324912	0.0362153	0.0360168	0.0392375	0.0299152	0.0296034	0.0333039	0.0236912	0.0264618	0.0242362	0.0225361	0.0180192	0.0143745	0.0132021	0.0124604	0.0142468	0.0124285	0.0123414	0.0113225	0.00921562	0.0147641	0.0132536	0.0108178	0.0127307	0.0123096	0.0101649	0.0138461	0.0127009	0.0218292	0.0291567	0.0378067	0.0317352	0.0307262	0.0381473	0.0336595	0.0414728	0.0367349	0.0448315
aventurer	0.0192742	0.0200293	0.0187369	0.0179589	0.0113364	0.0116069	0.0107555	0.0125211	0.0107503	0.0132576	0.0159528	0.0203719	0.0233826	0.0457746	0.058012	0.051483	0.0533421	0.0359702	0.0216705	0.0251361	0.0253207	0.0144593	0.030957	0.045806	0.0335448	0.0382154	0.0242919	0.0273309	0.0378855	0.023035	0.0225656	0.0248323	0.0200075	0.0256503	0.0186917	0.0231642	0.0169111	0.017177	0.0168469	0.0159838
en	0.0731766	0.0453226	0.0448804	0.0414027	0.0164085	0.010252	0.00768801	0.00847506	0.0069739	0.00925288	0.0136531	0.0185155	0.0149858	0.0210244	0.0285732	0.0275488	0.0264016	0.0257799	0.0204278	0.0261707	0.0136613	0.00627602	0.00789209	0.0227973	0.0200724	0.0261386	0.0182123	0.0168657	0.0305527	0.0132617	0.0261913	0.0274523	0.0362613	0.0338566	0.026114	0.0402786	0.0345416	0.0421442	0.0339243	0.0365924
brousse	0.0409364	0.0293277	0.0302787	0.0310399	0.00861148	0.00688847	0.00574221	0.0071952	0.00569965	0.00621452	0.00777896	0.0102516	0.0118186	0.0155562	0.0207296	0.0207396	0.02204	0.0233009	0.0253062	0.0351223	0.027188	0.0275829	0.0225082	0.039755	0.0352937	0.0490419	0.0379083	0.0416417	0.0644182	0.0344363	0.0404422	0.0410667	0.0266839	0.0200476	0.0264868	0.0202665	0.0202663	0.0235518	0.014221	0.0226148
</S>	0.0559727	0.0501304	0.0370248	0.0287857	0.0113686	0.00911919	0.00844932	0.00726134	0.00733978	0.00643805	0.00373862	0.00676289	0.00816129	0.00792813	0.0104806	0.00995353	0.012173	0.0186184	0.0177804	0.0214426	0.0119811	0.00482941	0.00722128	0.00772034	0.00804688	0.0127953	0.0207109	0.0222842	0.0268579	0.014611	0.0264916	0.0336877	0.0461238	0.0388197	0.0711056	0.0516338	0.0694561	0.0676718	0.0544613	0.0645607
