 	a66	a87	a23	a93	a34	a75	a5	a37	a26	a62	a83	a75	a92	a5	a18	a47	a31	a0	a90	a96	a11	a75	a5	a37	a18	a71	a9	a87	a23	a87	</S>
le	0.0812861	0.0982069	0.122234	0.0542527	0.0650144	0.069323	0.0298928	0.034158	0.0117592	0.010864	0.00987864	0.0108616	0.00948369	0.0061565	0.00437645	0.00549185	0.00700984	0.00930123	0.0157415	0.0185991	0.0161537	0.0292162	0.0236798	0.031339	0.0273633	0.0292324	0.0338681	0.0201897	0.022941	0.0268631	0.0652623
caiman	0.00848982	0.04157	0.0424316	0.0293211	0.0258232	0.0307337	0.0679877	0.10395	0.0952192	0.0712996	0.0887638	0.124724	0.0905176	0.0686357	0.0342511	0.0222937	0.00974236	0.00743238	0.00766108	0.00227232	0.00177597	0.00143578	0.00149239	0.00135821	0.000607366	0.00287801	0.00422339	0.00213616	0.00313265	0.00663721	0.00120276
a	0.0105803	0.0144011	0.0138953	0.0391342	0.0754162	0.0508488	0.0958597	0.0914619	0.0883588	0.0749108	0.0568047	0.0805686	0.0695698	0.0573705	0.0318395	0.0375516	0.0253762	0.0147463	0.0240973	0.00692518	0.00555721	0.00232743	0.00329735	0.00124045	0.00112177	0.00411704	0.00433968	0.00503377	0.00380187	0.00724819	0.00219848
dévoré	0.0544609	0.0362102	0.0265586	0.0149008	0.0169991	0.0154675	0.0281221	0.042828	0.0918118	0.121817	0.115862	0.14756	0.0661635	0.0490075	0.0214646	0.0210438	0.00726591	0.00868747	0.00799782	0.00421399	0.00521231	0.00532639	0.00533332	0.00800279	0.00604263	0.0104098	0.0169844	0.0100489	0.0129833	0.0127572	0.00845712
un	0.093425	0.032737	0.0291886	0.0873242	0.0330157	0.0303137	0.0367803	0.0314842	0.0475068	0.0400088	0.0339051	0.0306482	0.0416684	0.0237418	0.0210172	0.0136855	0.0157019	0.0130859	0.0119596	0.0151607	0.0205406	0.0147335	0.0270345	0.0238841	0.0466158	0.0354409	0.0321115	0.0307655	0.0274881	0.0251848	0.033842
petit	0.0552405	0.0245769	0.0136795	0.0267681	0.0200786	0.00689711	0.017991	0.0117958	0.0424829	0.048779	0.0469371	0.0584477	0.0496665	0.0462994	0.0446534	0.0417833	0.0522432	0.0282538	0.0477533	0.0343329	0.027001	0.0182358	0.022297	0.0219214	0.0251167	0.0296079	0.0270841	0.0294809	0.0301313	0.0228157	0.0276479
enfant	0.0693916	0.0223192	0.00877378	0.0167842	0.0192977	0.00586095	0.0114399	0.00482315	0.0148908	0.016861	0.0164512	0.0294085	0.0205055	0.0254749	0.0237949	0.0304432	0.0312086	0.0175057	0.0248719	0.0218568	0.0221476	0.0325986	0.042551	0.0418392	0.0683188	0.0748608	0.0612948	0.078394	0.0611896	0.0475388	0.0373036
à	0.0508753	0.0417022	0.0215161	0.0390682	0.0416585	0.0240419	0.030898	0.0158437	0.0248519	0.0128098	0.012446	0.0153127	0.0190686	0.0130738	0.00956524	0.0131379	0.0141973	0.0107023	0.0155138	0.0177957	0.0229325	0.0270695	0.0334992	0.0309851	0.0442415	0.0649872	0.0522921	0.064098	0.0697246	0.056164	0.0899273
la	0.0559335	0.0346483	0.0305308	0.0329122	0.0281597	0.0154789	0.0155621	0.0101493	0.0110011	0.00777043	0.00699514	0.0100156	0.0113269	0.0102271	0.0082715	0.0113121	0.0123623	0.014681	0.016919	0.0225394	0.0258628	0.0369592	0.0315441	0.0376063	0.0522537	0.0544839	0.0666084	0.077201	0.0632097	0.089769	0.0977054
rivière	0.042788	0.0634915	0.0613381	0.0480194	0.0233128	0.0138356	0.0113219	0.0108948	0.00999436	0.0105664	0.0101131	0.0153131	0.0162515	0.0136208	0.0122381	0.0131718	0.0139446	0.0110899	0.0133313	0.0141741	0.0186254	0.020005	0.0318991	0.0308488	0.0407417	0.0562305	0.0756743	0.0535794	0.0668596	0.0696586	0.107066
</S>	0.0641698	0.0761335	0.0492301	0.0325834	0.0317948	0.0168232	0.0210001	0.0196347	0.0242138	0.0246013	0.0180236	0.0219991	0.013889	0.00836079	0.00798069	0.0116418	0.0135572	0.0110416	0.0118971	0.0118037	0.0121359	0.0248857	0.0248862	0.0285935	0.0568395	0.0674313	0.0589262	0.0470804	0.0458367	0.0495311	0.0934742
