 	a23	a85	a87	a23	a87	a23	a57	a20	a73	a35	a41	a32	a38	a41	a35	a76	a94	a76	a94	a76	a20	a84	a11	a32	a76	a69	a58	a76	a94	a24	a9	a87	</S>
je	0.028589	0.0562519	0.0721817	0.0490025	0.0411518	0.0462221	0.0199171	0.08575	0.0575061	0.0273941	0.053246	0.0390782	0.0124499	0.0128486	0.0251061	0.0135993	0.021879	0.0101323	0.00767127	0.00731716	0.00960468	0.0149962	0.0203049	0.025767	0.0315635	0.0270456	0.0272404	0.0213843	0.0195447	0.0261414	0.0359599	0.0171117	0.0360417
vais	0.00454775	0.00371056	0.00374693	0.00319098	0.00524046	0.00387773	0.00730728	0.0141991	0.0148749	0.00973364	0.0108111	0.011357	0.00577785	0.0113419	0.0234541	0.0484159	0.0476613	0.0660152	0.0399255	0.0275186	0.0178243	0.0184265	0.0192938	0.0188123	0.0408464	0.0360813	0.0427742	0.0707989	0.0753025	0.0886982	0.0630764	0.0920373	0.0533203
m'	0.0126157	0.00849281	0.00900323	0.010533	0.0148439	0.0128943	0.0213564	0.0173871	0.0115912	0.031663	0.0327855	0.0326799	0.0195785	0.0163707	0.0277196	0.0126447	0.0121875	0.00671701	0.00242152	0.00156949	0.00191858	0.00164662	0.00312218	0.00513123	0.00840089	0.0339334	0.0525589	0.0716503	0.0827729	0.0790861	0.105606	0.0943882	0.14473
asseoir	0.115944	0.0449517	0.0404141	0.032277	0.0477078	0.0268766	0.0664237	0.0218896	0.0175297	0.0275389	0.0455949	0.0399647	0.0456152	0.0481072	0.0434665	0.0234435	0.0227049	0.0140965	0.0202857	0.045828	0.0265496	0.0119402	0.0166811	0.0191047	0.019539	0.0148903	0.0147004	0.0146545	0.0109822	0.0121895	0.0143322	0.0125337	0.0212424
à	0.0591933	0.00765028	0.00800859	0.00508286	0.00498043	0.00283412	0.00341908	0.00171413	0.00187905	0.00167969	0.00318298	0.00396984	0.00526862	0.00403565	0.0040846	0.00273818	0.00142638	0.0017057	0.00253954	0.00461243	0.00773109	0.00572098	0.0228581	0.016396	0.0301937	0.0553193	0.0474593	0.112924	0.0766183	0.0953938	0.12548	0.133164	0.140735
l'	0.0789127	0.0431202	0.0289943	0.0164804	0.0140133	0.00887799	0.00918133	0.00627406	0.0128059	0.0190043	0.017703	0.0172878	0.0249045	0.0204518	0.0146464	0.00726946	0.00261785	0.003517	0.00827696	0.0129133	0.0204381	0.0107223	0.0249352	0.0210055	0.0245908	0.0451861	0.0522142	0.059094	0.0652365	0.0783337	0.077149	0.0737381	0.0801038
arrière	0.0939202	0.0657282	0.0411157	0.0243935	0.0349353	0.0143265	0.0186969	0.00870829	0.0204094	0.0195975	0.027827	0.0385405	0.0200967	0.017061	0.013797	0.0270244	0.00651167	0.0107214	0.0139325	0.0131926	0.0192025	0.0126988	0.0150156	0.0197495	0.0194074	0.0132487	0.018329	0.0220328	0.0242044	0.0470201	0.0820646	0.0729271	0.103563
de	0.0968678	0.0549552	0.0432294	0.0364613	0.0242033	0.0159526	0.0125006	0.00873354	0.0151836	0.0143738	0.0135807	0.0134661	0.0116385	0.011621	0.00927512	0.00635844	0.00488691	0.00633005	0.0102584	0.0119518	0.0242471	0.019081	0.0191143	0.00803171	0.00995593	0.0202339	0.027608	0.0264148	0.0241601	0.0371785	0.0969392	0.0946865	0.170521
la	0.0657379	0.0360384	0.0350829	0.0379729	0.0358325	0.0250914	0.0089636	0.00333437	0.0054318	0.00419023	0.00367865	0.00404445	0.00483207	0.00613538	0.0041549	0.00280708	0.00364879	0.00557177	0.00996386	0.0109267	0.0187104	0.0221063	0.0206421	0.0229942	0.0372849	0.0194927	0.0382396	0.0614118	0.0750818	0.0563395	0.0876565	0.081812	0.144789
voiture	0.0443195	0.0252171	0.0271545	0.0260907	0.0200618	0.0204064	0.0104883	0.00922767	0.0137411	0.0169684	0.0204359	0.0136933	0.0147641	0.0147778	0.00987336	0.00454204	0.00304049	0.00524036	0.00727973	0.00946072	0.0171231	0.0214114	0.0815926	0.0347847	0.0432664	0.0437544	0.0468414	0.0434392	0.0544485	0.0708789	0.058712	0.0735571	0.093407
</S>	0.0413661	0.0249912	0.0180114	0.0143646	0.0120753	0.0146267	0.0120302	0.0146971	0.0180994	0.0213847	0.0231483	0.021626	0.0108122	0.00975729	0.0130123	0.00779684	0.00735062	0.00622399	0.0059002	0.00694986	0.0074026	0.00643969	0.026519	0.0152529	0.0171605	0.0239617	0.0228735	0.0263555	0.02637	0.0580208	0.147141	0.122618	0.195661
