 	a66	a87	a23	a99	a38	a90	a98	a6	a37	a98	a15	a25	a92	a79	a75	a98	a47	a15	a7	a79	a54	a79	a7	a12	a5	a36	a26	a57	a87	a23	a99	a30	</S>
mon	0.0428027	0.0629532	0.0460571	0.0378154	0.0477902	0.0936179	0.0879184	0.0666655	0.0387742	0.0440445	0.0419623	0.0241835	0.0196666	0.0175917	0.0287527	0.0252233	0.0235578	0.0117371	0.0124845	0.00678548	0.0058526	0.00901239	0.00829275	0.0124051	0.0186049	0.0102135	0.0295892	0.0140376	0.0128399	0.0171662	0.0227681	0.0220996	0.0367343
beau-frère	0.0034063	0.00545504	0.00416039	0.00634888	0.00418327	0.0213268	0.0309438	0.0630605	0.0402033	0.0717581	0.139002	0.122051	0.0990615	0.0717299	0.089072	0.0616451	0.044953	0.0319239	0.0400082	0.0267229	0.0061159	0.00592176	0.00175923	0.000880462	0.000926349	0.00109059	0.00145049	0.000497101	0.000458124	0.00108136	0.00119304	0.00100193	0.000607881
consomme	0.0473499	0.0462481	0.0508454	0.0465931	0.0542601	0.0698975	0.0557631	0.0724583	0.0629586	0.0716556	0.111293	0.0541903	0.047863	0.0249767	0.0212492	0.0124389	0.0084165	0.0141746	0.0139866	0.0103327	0.00250381	0.00441377	0.00574031	0.00892589	0.00786597	0.012175	0.00651091	0.00460504	0.00724373	0.0123972	0.00908291	0.0160922	0.00549186
la	0.0184139	0.0155666	0.0182305	0.00931584	0.0206829	0.020162	0.0226532	0.0239952	0.0525345	0.0517461	0.0309114	0.0146938	0.0116564	0.00825025	0.0145231	0.0142046	0.0148103	0.0622827	0.0657815	0.114805	0.0453872	0.055515	0.041776	0.0258846	0.035454	0.0300733	0.027475	0.0217617	0.0277297	0.0255021	0.0226993	0.0150088	0.0205136
banane	0.048535	0.0452891	0.0522337	0.0369599	0.082056	0.0748842	0.0710816	0.0856186	0.0813039	0.0673516	0.0291375	0.0282226	0.0229307	0.0264017	0.0208054	0.0152913	0.00663258	0.0132833	0.00335574	0.00386746	0.00258286	0.00611634	0.00494194	0.00937778	0.0118706	0.00737797	0.0185179	0.0122058	0.0209715	0.0202969	0.0203907	0.0263953	0.0237128
plan	0.03797	0.0398793	0.0325041	0.0264293	0.0429479	0.0382414	0.0384403	0.0550433	0.047227	0.0711875	0.0325283	0.0341186	0.0227936	0.0205402	0.0161763	0.0173677	0.0145426	0.0180202	0.00764133	0.0112644	0.0106234	0.0228254	0.0160613	0.0240605	0.0383088	0.00823965	0.0345529	0.0371301	0.032857	0.0407681	0.0354639	0.0291031	0.0451426
tain	0.0405721	0.0387069	0.0298626	0.0343991	0.036154	0.0294432	0.0238679	0.0318516	0.027416	0.0304607	0.021761	0.0255652	0.0215668	0.02053	0.0154395	0.0170171	0.0120035	0.0158685	0.00787203	0.00806154	0.00655625	0.0157181	0.02956	0.0557388	0.0822908	0.0447324	0.0556433	0.0474249	0.0496772	0.0400048	0.0294648	0.027313	0.0274563
comme	0.0197467	0.018158	0.0134167	0.0144678	0.0208862	0.0192071	0.0181123	0.0261102	0.0286509	0.0308222	0.022019	0.0314575	0.0325916	0.0339888	0.0375489	0.0374699	0.0469512	0.0354658	0.0210352	0.027664	0.0245405	0.0365403	0.0427089	0.0577755	0.0935695	0.0384085	0.0414126	0.0337327	0.0292106	0.0220442	0.0163494	0.0141496	0.0137879
aliment	0.0281649	0.031441	0.0220714	0.0224126	0.0240486	0.0273777	0.0263191	0.0337237	0.026505	0.0308289	0.0275332	0.0196269	0.0211254	0.0253588	0.0279459	0.0338265	0.0332578	0.0352603	0.0193875	0.0184937	0.0229359	0.0300877	0.030103	0.0302	0.0572178	0.0494603	0.049637	0.0391079	0.0486411	0.0345639	0.0292482	0.0249205	0.0191677
de	0.0355126	0.0410832	0.0298195	0.0289302	0.0377796	0.0416624	0.0256068	0.0295551	0.028324	0.0322233	0.0297969	0.0228973	0.0215831	0.0262535	0.025015	0.0275054	0.0352335	0.044429	0.030446	0.0181778	0.0155975	0.0188455	0.0173085	0.0237081	0.0343138	0.0224354	0.0332874	0.0306939	0.0397481	0.0393993	0.0329375	0.0358983	0.0439927
base	0.0247995	0.0297743	0.0208721	0.0204554	0.0269932	0.0303306	0.0188076	0.0245367	0.0233899	0.0298002	0.0341582	0.0261266	0.0242109	0.0266135	0.0361237	0.0351607	0.0639456	0.0596574	0.0399899	0.0276931	0.0208616	0.0270298	0.0230363	0.0227184	0.025615	0.0219531	0.0305501	0.0179632	0.0302021	0.0340056	0.0326238	0.0336928	0.0563092
</S>	0.0327829	0.0522492	0.0338399	0.0245796	0.0243284	0.0385318	0.029563	0.0400366	0.0272715	0.0260056	0.0295478	0.0234585	0.0206824	0.0170048	0.0229971	0.0221909	0.0384756	0.0303617	0.0262229	0.0105785	0.0165768	0.0190078	0.0173992	0.0193872	0.0227435	0.0178119	0.0318306	0.0237516	0.0395244	0.0446042	0.0470289	0.0548843	0.074741
