 	a66	a87	a23	a5	a37	a6	a0	a43	a31	a47	a21	a5	a92	a85	a6	a0	a75	a98	a6	a7	a75	a85	a47	a36	a2	a57	a87	a23	a40	a37	a61	a66	a38	a54	a6	a37	a6	a7	a84	a87	a23	a87	a23	</S>
de	0.0482645	0.0794518	0.0549763	0.052448	0.0737641	0.065111	0.0764463	0.0778248	0.0396079	0.015896	0.0105948	0.0153736	0.0104345	0.00808335	0.00710747	0.00734156	0.00745438	0.00919286	0.0123762	0.00798202	0.0112111	0.0194484	0.0237391	0.0185047	0.0207984	0.0201502	0.0127945	0.0130361	0.0116149	0.0289171	0.0144913	0.0191835	0.00944898	0.00936234	0.00831881	0.00900071	0.0075463	0.00965193	0.0089223	0.00663089	0.0080731	0.00723287	0.00870508	0.0134859
la	0.00530607	0.00665596	0.0152346	0.0120016	0.0131051	0.0128135	0.013877	0.012182	0.0179361	0.0237341	0.0184666	0.0344676	0.0595689	0.0550208	0.0615897	0.0780015	0.0835069	0.101309	0.0775019	0.0509932	0.0336471	0.0394776	0.0231072	0.0164394	0.016012	0.0231294	0.00847017	0.00317277	0.00453502	0.00310258	0.00393355	0.00288605	0.00236855	0.00193245	0.00225731	0.00423647	0.0051808	0.00676401	0.0090346	0.00525826	0.00683864	0.00515758	0.010035	0.00975144
manière	0.0182919	0.0133459	0.0112604	0.00963765	0.012382	0.0122388	0.0142866	0.0136644	0.0168307	0.0122752	0.0126265	0.0246157	0.0666284	0.0571674	0.0470549	0.040024	0.0549003	0.0763527	0.0422797	0.0321481	0.0235325	0.0391446	0.0306082	0.0573351	0.029045	0.0260758	0.0341782	0.00799521	0.005884	0.00664579	0.00229404	0.00383832	0.00406812	0.00477285	0.00550536	0.0103809	0.0147061	0.0155548	0.0202895	0.015389	0.0136712	0.0135257	0.0190816	0.00846685
qu'	0.0298865	0.0129202	0.00829033	0.00384429	0.00408614	0.00444477	0.00328983	0.00723737	0.0051259	0.00920398	0.0110745	0.00942766	0.0139583	0.0212848	0.0414823	0.0283487	0.0229549	0.0296032	0.0474178	0.037618	0.0197177	0.0356097	0.0248362	0.0197355	0.0145867	0.0202173	0.0278932	0.0300588	0.0244341	0.0206563	0.0165525	0.0455943	0.0229247	0.0221019	0.0161227	0.0175986	0.0193087	0.0152629	0.0242797	0.0324944	0.0255105	0.03445	0.0531751	0.0653787
il	0.0264093	0.0128963	0.00850416	0.0025453	0.00276113	0.00247211	0.00120631	0.00175792	0.00127742	0.00176417	0.00246974	0.0022991	0.00423013	0.00923878	0.0442592	0.0362373	0.0417998	0.0634822	0.0532318	0.0609499	0.071131	0.0618583	0.0434685	0.0370619	0.012715	0.0129961	0.0328756	0.0224991	0.0473351	0.0269459	0.0269016	0.0480512	0.0327798	0.021563	0.0129959	0.0124037	0.00750375	0.00771949	0.00926074	0.0104766	0.0065387	0.00990896	0.0249487	0.0202694
a	0.019796	0.0120244	0.0034434	0.00182536	0.00244413	0.00239902	0.00133316	0.00167087	0.00346852	0.00886024	0.00967158	0.0104449	0.0140453	0.031942	0.0454493	0.0457588	0.0795742	0.0638512	0.0686921	0.0930578	0.100728	0.0339759	0.0201835	0.0248651	0.00945575	0.00696146	0.010973	0.0105605	0.0113524	0.0141104	0.0216873	0.0356743	0.0250498	0.0166307	0.00994563	0.00781646	0.00920283	0.0115918	0.00936925	0.0131544	0.0112163	0.0165357	0.0234245	0.0257823
de	0.0377886	0.0237381	0.0146171	0.00767072	0.00645224	0.0062847	0.00223722	0.0037545	0.00366669	0.0109087	0.0116682	0.00787561	0.00960029	0.0183429	0.0377138	0.0340812	0.040616	0.0309837	0.0416119	0.0704441	0.0439157	0.0235532	0.014292	0.0315426	0.0181876	0.0102672	0.0171933	0.0154625	0.0159514	0.0111942	0.0228723	0.0302175	0.0292399	0.0231523	0.0226577	0.0218807	0.0207138	0.0301476	0.0244966	0.0290523	0.0273395	0.0254156	0.0338087	0.0373896
mandé	0.0367621	0.0308198	0.0245983	0.0148243	0.0160025	0.013487	0.00516743	0.0078472	0.00725918	0.022403	0.0238667	0.0182175	0.0208474	0.0308053	0.0439959	0.0490623	0.0520776	0.038298	0.0379855	0.0450184	0.0163464	0.0145347	0.00827533	0.00749004	0.00883973	0.00517865	0.00777885	0.00850068	0.0077573	0.00436434	0.0120652	0.011453	0.00925585	0.0075154	0.010554	0.0202656	0.0190255	0.0276161	0.0299795	0.0245045	0.031722	0.0337906	0.0495916	0.0842497
son	0.0656263	0.0561542	0.0247557	0.0123347	0.0139323	0.0094564	0.00295095	0.00640404	0.00433228	0.0114935	0.0145392	0.0111608	0.0117636	0.0158958	0.0424247	0.0364863	0.0293019	0.0370816	0.0316474	0.0335287	0.00926026	0.0167075	0.0124919	0.00996058	0.0123264	0.00703556	0.013901	0.0101472	0.0115345	0.00449897	0.0131331	0.0119535	0.00673222	0.0105685	0.0119107	0.0160909	0.01525	0.0188146	0.0335667	0.0381185	0.0296801	0.0492159	0.0703992	0.095432
père	0.0396967	0.0295242	0.0181177	0.0113067	0.00900107	0.0064223	0.00196597	0.00236	0.00344365	0.00935711	0.0117202	0.00702268	0.00894779	0.0104098	0.0388572	0.038545	0.0379056	0.0392163	0.0330026	0.041447	0.0172169	0.021003	0.0161094	0.0199189	0.0191711	0.0170757	0.0240536	0.0285001	0.0179421	0.00608073	0.00905866	0.00853806	0.00774293	0.00763508	0.0104037	0.0107863	0.0106065	0.0143038	0.0245958	0.0344606	0.031853	0.0613711	0.0690127	0.114291
