 	a87	a40	a47	a44	a70	a98	a41	a37	a75	a85	a73	a26	a38	a11	a66	a70	a0	a47	a83	a9	a38	a50	a70	a93	a70	a96	a61	a0	a96	a93	a34	a56	a70	a83	a9	a87	a23	a87	a23	a87	</S>
les	0.0735002	0.0788172	0.0599869	0.0601575	0.0659318	0.0612253	0.0616528	0.0286982	0.0610684	0.0467139	0.0292707	0.0167811	0.0249204	0.021247	0.0111149	0.0162406	0.00762116	0.0116545	0.0114541	0.0210892	0.0190399	0.0139813	0.0169224	0.0146784	0.014403	0.0169866	0.0107622	0.00762949	0.00775626	0.00743606	0.00766583	0.012491	0.0102825	0.00567158	0.00609361	0.00659929	0.00740485	0.00714551	0.00811657	0.00946023	0.0203274
co-épouses	0.00123543	0.00306714	0.0102064	0.0291199	0.0290225	0.0607311	0.0701617	0.0674736	0.0706408	0.090082	0.113371	0.131842	0.0988101	0.0577091	0.0430053	0.0266055	0.0203366	0.0155508	0.0129404	0.009569	0.0064933	0.0102706	0.0080283	0.0020197	0.0015825	0.00114417	0.00148296	0.00118317	0.00044845	0.000651878	0.000603877	0.000427799	0.000339916	0.000356165	0.000332111	0.00044493	0.000431917	0.0004862	0.000354949	0.000714675	0.000722102
ont	0.0219302	0.0388766	0.0658667	0.0666722	0.0370198	0.0288447	0.0345513	0.0373919	0.04145	0.0450147	0.0553986	0.0471008	0.045481	0.0407146	0.0403298	0.0363544	0.0324422	0.0306288	0.0281766	0.0257155	0.0387728	0.02539	0.015279	0.0149409	0.01273	0.0135849	0.00861037	0.00675696	0.00399605	0.00406837	0.00334379	0.00390198	0.00563664	0.00433854	0.00318909	0.00721098	0.00430956	0.00784027	0.00644129	0.0061017	0.00359659
déclenché	0.00817416	0.00902544	0.00627214	0.00504053	0.0048791	0.00738749	0.0125664	0.023306	0.0248876	0.0321883	0.0428539	0.0670892	0.0453263	0.0734135	0.0819382	0.0600788	0.0947093	0.0541634	0.0468827	0.061092	0.0545896	0.0374063	0.018914	0.0176686	0.016359	0.0174967	0.008104	0.00546891	0.00393967	0.00354597	0.0041008	0.00573391	0.00561276	0.00567987	0.00415997	0.00738479	0.00490235	0.00707173	0.00309727	0.00448386	0.00300534
une	0.0239089	0.0222939	0.0205866	0.0230861	0.0205875	0.0188759	0.0221715	0.025413	0.0235871	0.0273186	0.032949	0.0351078	0.0306019	0.0221516	0.0186632	0.0177233	0.0146388	0.0150638	0.014493	0.02297	0.0226643	0.0203669	0.0204576	0.0188976	0.027679	0.0331281	0.0217258	0.0257305	0.0422829	0.0293175	0.0371342	0.0404897	0.0340851	0.0352834	0.0179032	0.0300754	0.0222652	0.0149924	0.0185157	0.0138457	0.0209679
bagarre	0.0442973	0.047583	0.0257139	0.0286214	0.0270554	0.0208234	0.0234309	0.0319459	0.0316676	0.0421329	0.0366567	0.0338711	0.034861	0.0239645	0.0159007	0.0235335	0.0135047	0.0182131	0.01722	0.0241563	0.024461	0.0365986	0.0359456	0.0268923	0.0351836	0.0302477	0.0233789	0.0193405	0.0245063	0.0183166	0.0167322	0.0145793	0.0177872	0.0172377	0.0116222	0.0127149	0.0157353	0.0132122	0.0133923	0.0130381	0.0139241
devant	0.0926836	0.0524737	0.0363267	0.0234864	0.018626	0.0194363	0.0220618	0.0211905	0.0292716	0.0375621	0.0168319	0.00915775	0.0101073	0.0139199	0.010751	0.0142682	0.0163924	0.0103009	0.0107964	0.0120894	0.0166371	0.0134432	0.0120559	0.0120179	0.0115734	0.0112651	0.00856735	0.00699333	0.00780743	0.00443962	0.00714107	0.00954284	0.0126004	0.0136459	0.0261743	0.0292521	0.0284806	0.054956	0.0495955	0.0764908	0.109587
leur	0.0406346	0.0349447	0.0323392	0.0256652	0.0238135	0.0193799	0.0201926	0.018732	0.0224896	0.0228427	0.0208185	0.0123715	0.0120591	0.0107116	0.0108991	0.0142632	0.0257754	0.0254831	0.021193	0.0430122	0.0503809	0.0514193	0.0367876	0.0281378	0.021135	0.0171901	0.027797	0.0132962	0.00725996	0.00718742	0.00940445	0.0110041	0.0159131	0.0171513	0.0185008	0.0240698	0.0349269	0.0356282	0.0293967	0.0410156	0.0447773
mari	0.0682319	0.0509987	0.0416146	0.0299828	0.0265736	0.0249398	0.0250377	0.0266935	0.029914	0.0308305	0.0247285	0.0128003	0.0132839	0.00977693	0.00762574	0.0107882	0.0165237	0.0160566	0.0109932	0.0217815	0.025777	0.0297638	0.0188669	0.0232172	0.0224996	0.0219615	0.0243079	0.0126918	0.00864309	0.0104813	0.0133861	0.01458	0.0154096	0.0176453	0.0191683	0.0289128	0.0255796	0.0405213	0.0335308	0.0452305	0.0486502
</S>	0.0456035	0.0259576	0.0211399	0.0121764	0.0124845	0.0130027	0.0168867	0.0145916	0.0248701	0.0222304	0.0116472	0.0045396	0.00436169	0.00619953	0.00601003	0.00793802	0.00865726	0.0143108	0.010614	0.0145983	0.0250008	0.0114347	0.0139997	0.0168359	0.013413	0.010996	0.0183975	0.0110728	0.00549531	0.00815133	0.0137816	0.0218338	0.0247816	0.0290137	0.0433507	0.0589458	0.0566567	0.0752363	0.0641591	0.0978689	0.0817548
