 	a66	a87	a23	a87	a23	a30	a99	a83	a34	a98	a6	a92	a85	a5	a0	a70	a83	a62	a96	a62	a47	a96	a93	a70	a96	a93	a70	a34	a21	a85	a6	a37	a36	a2	a57	a87	a23	a87	a23	</S>
mon	0.0446815	0.0672634	0.0515241	0.0625444	0.0620852	0.0559538	0.053284	0.0434844	0.0409894	0.0299911	0.0297391	0.0144844	0.0134466	0.00924163	0.0115784	0.0109358	0.0152978	0.0125704	0.00964708	0.00735213	0.00740406	0.00746951	0.010774	0.00535181	0.00926969	0.00688025	0.0114338	0.0168491	0.0134328	0.0158504	0.0186185	0.0237486	0.0125122	0.00829947	0.0182614	0.0267284	0.0253135	0.0347403	0.0378218	0.0431461
petit	0.00423384	0.00596657	0.00888809	0.0153267	0.0156753	0.028122	0.0311455	0.0371772	0.0574119	0.0350772	0.0447569	0.0477909	0.104124	0.05533	0.0461922	0.0353553	0.0378769	0.0442229	0.0227222	0.0381802	0.0371049	0.0417994	0.0441311	0.0111693	0.0237526	0.0219929	0.0230667	0.0202637	0.0124348	0.0161985	0.0099089	0.00632491	0.00116816	0.000609709	0.00187214	0.00125337	0.00184141	0.00325481	0.00475458	0.00152209
frère	0.0234748	0.0360458	0.0420396	0.0610507	0.0860492	0.0952375	0.0515773	0.0450496	0.0198234	0.0098681	0.0161725	0.0253506	0.0559406	0.0473335	0.0400288	0.0433661	0.062051	0.0606842	0.0291127	0.0219702	0.0222885	0.00870098	0.00988427	0.00266923	0.00363566	0.00324869	0.00432082	0.00669129	0.00514903	0.00727213	0.00619585	0.0114071	0.0018166	0.00180267	0.00599267	0.00369991	0.00321454	0.00610936	0.0110427	0.00263191
m'	0.107995	0.0461372	0.0388117	0.0311704	0.0256214	0.0177953	0.0130565	0.0162758	0.0104319	0.0126341	0.0115792	0.0366313	0.0119917	0.0338661	0.0300789	0.0355817	0.0443379	0.0382109	0.0397067	0.0324995	0.0375238	0.0166367	0.0206503	0.00642959	0.0049733	0.00811647	0.0085289	0.0157015	0.017717	0.0161869	0.0167562	0.0127682	0.0139724	0.0112989	0.01943	0.0222043	0.0268034	0.0219902	0.0383078	0.0295907
a	0.0311425	0.0313381	0.0330451	0.0320425	0.0276739	0.0396814	0.0441679	0.0364146	0.0301741	0.022203	0.0193866	0.0426664	0.0268189	0.0423828	0.0323161	0.0417183	0.0368009	0.0383299	0.026488	0.0270568	0.0236329	0.0242312	0.0269212	0.034431	0.0202521	0.0137436	0.0158875	0.0101198	0.00809458	0.0187678	0.0149226	0.0198694	0.0131064	0.00663528	0.00813653	0.0123939	0.0151086	0.0131814	0.0179894	0.020727
montré	0.0195084	0.0115593	0.0117336	0.0100094	0.00834642	0.0105658	0.0190255	0.0240154	0.026174	0.0269648	0.0295045	0.0324645	0.0228837	0.0322622	0.044281	0.0603324	0.0619607	0.0480501	0.0449664	0.0373022	0.0317429	0.0298773	0.0173891	0.0220921	0.0127959	0.00677364	0.0122783	0.0140139	0.0197634	0.020584	0.0233364	0.0207825	0.0278632	0.0195346	0.014439	0.0193036	0.0233577	0.0248831	0.0208949	0.0363843
l'	0.0239092	0.0119001	0.00986127	0.0096059	0.00763676	0.0078675	0.0109323	0.00946895	0.010278	0.0156155	0.0123173	0.0134149	0.00968092	0.0119329	0.0152687	0.0182081	0.0210684	0.0144105	0.0237419	0.0158953	0.0168628	0.015275	0.0128027	0.014763	0.0126728	0.0113273	0.0170937	0.0196043	0.0341141	0.0460505	0.0520345	0.0474483	0.0520297	0.0598128	0.0585867	0.0497064	0.0572405	0.0500489	0.043406	0.0561056
endroit	0.0264657	0.0177112	0.016053	0.0145169	0.014471	0.0129718	0.0146007	0.0136057	0.00925698	0.0113289	0.0110557	0.0165365	0.0144125	0.0227608	0.0265923	0.0294571	0.0343155	0.0295262	0.0322542	0.0253841	0.0283436	0.0182426	0.0163649	0.0102863	0.00872673	0.0114078	0.0135161	0.0158845	0.0266382	0.0314087	0.0390905	0.0343169	0.031725	0.0463577	0.0737295	0.0331712	0.0425437	0.0531809	0.0363999	0.0353887
où	0.071468	0.0372706	0.017836	0.0141173	0.0095843	0.00845919	0.00985967	0.00991925	0.00975766	0.0110072	0.01034	0.0110544	0.00761378	0.0134048	0.016284	0.0250518	0.0467768	0.0428932	0.0226592	0.0154791	0.0150178	0.0160513	0.0149157	0.0258298	0.019233	0.0158553	0.0262532	0.0261669	0.0176583	0.0257711	0.0551286	0.0338242	0.041011	0.0358154	0.0292714	0.0444827	0.0417816	0.0358532	0.0480302	0.0212131
maman	0.0891989	0.0602117	0.0450423	0.0320687	0.0220167	0.0201161	0.0190972	0.013555	0.0117917	0.00989774	0.00596815	0.00822193	0.00534849	0.0144249	0.0148769	0.0219716	0.0482068	0.0478758	0.0330252	0.0321819	0.0413803	0.0338185	0.0321045	0.0543422	0.0320642	0.0365465	0.0298854	0.0186236	0.0110651	0.0181836	0.0181915	0.0167119	0.0114794	0.00799568	0.0108349	0.011609	0.0124848	0.0136375	0.0224016	0.0115425
