 	a66	a87	a23	a87	a23	a40	a6	a37	a85	a47	a36	a2	a57	a40	a85	a37	a34	a96	a66	a21	a5	a21	a85	a5	a21	a12	a62	a61	a21	a47	a62	a88	a47	a18	a71	a9	a10	a87	a23	a87	</S>
mon	0.0185576	0.0372838	0.0365265	0.0561554	0.0309694	0.027183	0.0514516	0.0725133	0.0668973	0.0780017	0.0279073	0.0327683	0.0315602	0.0219571	0.0184807	0.0108251	0.0100129	0.0100232	0.0128141	0.0263148	0.0274876	0.026242	0.0203811	0.014279	0.0181666	0.0136533	0.0102714	0.00994353	0.010081	0.00632034	0.0138699	0.0181256	0.0116438	0.0120968	0.0198494	0.00745597	0.0105727	0.0136121	0.00917884	0.00807618	0.0404896
père	0.00235532	0.00377697	0.00693915	0.0148926	0.0208501	0.0375465	0.0885045	0.133223	0.0423635	0.100422	0.0711997	0.125818	0.0412855	0.081263	0.0613532	0.0378225	0.0207695	0.0297316	0.0350809	0.0114478	0.00857635	0.00467485	0.00452218	0.00265417	0.0023501	0.00166096	0.000557581	0.000724234	0.000745138	0.000429171	0.000938566	0.000851449	0.000365744	0.000402338	0.00053137	0.000300737	0.000418275	0.000901518	0.000474356	0.0010425	0.000232574
m	0.0415762	0.0222678	0.025236	0.0226868	0.0254731	0.0309953	0.0457923	0.130043	0.0921359	0.11917	0.0927445	0.0827323	0.0246066	0.0220594	0.0197614	0.0233964	0.011313	0.00394791	0.00718139	0.0126053	0.00729386	0.0123004	0.0161829	0.0117961	0.00401135	0.00317499	0.00227152	0.00299767	0.0031441	0.00241308	0.00310677	0.00370768	0.00586805	0.00730003	0.00928442	0.0057462	0.00599773	0.016039	0.00595767	0.0132847	0.00239774
a	0.0249702	0.0123575	0.00918222	0.00536025	0.00454227	0.0036542	0.00422426	0.00560028	0.0132256	0.0112263	0.016469	0.0275768	0.0147958	0.0197853	0.036824	0.0262256	0.0509097	0.021739	0.0226567	0.0239491	0.0151441	0.0395743	0.0297352	0.0383845	0.019373	0.0227969	0.0407562	0.0513483	0.0249683	0.0206446	0.022912	0.0242353	0.0359813	0.0335263	0.0310893	0.0324684	0.0330264	0.0321866	0.0331119	0.0225016	0.0409614
donné	0.0306111	0.0257407	0.0217543	0.0132703	0.0107995	0.00689919	0.00359638	0.00364514	0.00564048	0.00762035	0.0131375	0.01474	0.0104201	0.0117963	0.014958	0.00992588	0.0243065	0.0297516	0.0217614	0.0161448	0.0126281	0.0333674	0.0209957	0.0298247	0.0425445	0.0588387	0.0652495	0.0551013	0.047968	0.0414872	0.0461717	0.0575821	0.0380366	0.0241665	0.0193063	0.011705	0.0182321	0.018429	0.0142803	0.0112281	0.0363378
un	0.0197442	0.0104438	0.00873197	0.00641084	0.00817764	0.00625097	0.00539609	0.00738384	0.0128123	0.00951683	0.0103134	0.0148917	0.0136697	0.015059	0.0212244	0.0181794	0.037675	0.0240908	0.0226949	0.017882	0.018019	0.0212769	0.0163831	0.0156192	0.0187361	0.0202302	0.0242287	0.0250036	0.0321237	0.0492866	0.051286	0.0459803	0.0493081	0.0468528	0.0448085	0.0398938	0.0408175	0.029749	0.0408257	0.0357334	0.0432891
bel	0.0286934	0.022058	0.0192771	0.0142773	0.0121516	0.01012	0.00614806	0.007915	0.0216737	0.00824235	0.0140913	0.0157601	0.0296962	0.0382477	0.0322741	0.0286399	0.05852	0.0388325	0.0384732	0.0301716	0.0280188	0.0274842	0.0212324	0.0187443	0.0150372	0.0179431	0.0265572	0.0251154	0.0309733	0.0290349	0.0299353	0.0200752	0.032651	0.0271678	0.0257991	0.0200699	0.0229688	0.0288139	0.0315585	0.0235649	0.0219916
instrument	0.0231708	0.0143089	0.0128737	0.00834676	0.00605401	0.00541445	0.00244804	0.00317892	0.00530643	0.00563813	0.00947092	0.00924013	0.00946032	0.00591581	0.0103886	0.00990689	0.0309774	0.0127317	0.0162702	0.0150195	0.0195983	0.0206085	0.0167303	0.0246789	0.0124632	0.0209367	0.0420654	0.0325041	0.0383585	0.0331881	0.0424153	0.0443444	0.0679199	0.0563887	0.0371187	0.0468284	0.0598523	0.0458131	0.0476977	0.0279217	0.0464463
musical	0.0517675	0.0353645	0.0249781	0.0176953	0.00761601	0.00753891	0.00326585	0.00366512	0.00776588	0.00635576	0.0081568	0.010099	0.0132189	0.0107791	0.0133152	0.0102687	0.0226415	0.0254149	0.0305452	0.0264904	0.0410621	0.021289	0.0163207	0.0163706	0.0119269	0.0129816	0.0153458	0.0133384	0.0128445	0.0148236	0.0195005	0.0275694	0.0451819	0.0291173	0.0354776	0.0495001	0.0356253	0.0649324	0.0510529	0.0616316	0.0671651
à	0.0319373	0.0171772	0.0108323	0.00764483	0.00913043	0.00492328	0.00251702	0.00199162	0.00297883	0.0020655	0.00302352	0.00411482	0.0058212	0.00597575	0.0111206	0.00735818	0.0164485	0.018204	0.0173727	0.0117525	0.0136692	0.0101025	0.00930277	0.010346	0.00978522	0.0114009	0.0267108	0.0245551	0.0311627	0.0279545	0.0434511	0.0534702	0.0658726	0.0641843	0.0480307	0.0617174	0.0704128	0.0558029	0.0624876	0.0482212	0.0589693
