 	a23	a99	a54	a6	a37	a5	a61	a85	a47	a44	a90	a61	a75	a92	a85	a43	a75	a79	a26	a40	a90	a25	a90	a58	a75	a66	a0	a11	a75	a37	a61	a83	a25	a75	a47	a6	a61	a75	a37	a44	a7	a57	a87	a23	a87	</S>
le	0.0365558	0.0486289	0.0525976	0.0426912	0.0551071	0.0717522	0.0598668	0.0564674	0.0535375	0.0347519	0.0252543	0.0189467	0.0148278	0.0184572	0.0124636	0.0172315	0.0151292	0.0160626	0.0142379	0.01688	0.0165738	0.0118646	0.0164863	0.0176734	0.0108301	0.0181659	0.0152415	0.0168758	0.0178954	0.0113514	0.0124099	0.0198228	0.0208935	0.0110919	0.00707192	0.00788733	0.00868659	0.00625594	0.00551297	0.00662683	0.00669541	0.00666811	0.00558301	0.00920671	0.00936539	0.021816
chien	0.00140924	0.00564694	0.0142039	0.0271535	0.0484842	0.0642421	0.0521472	0.123623	0.0738785	0.0505002	0.0847658	0.0593891	0.0441252	0.0413658	0.033482	0.0284145	0.0251774	0.0246631	0.0315017	0.0164858	0.0197081	0.0123037	0.0188019	0.0162733	0.0138267	0.0100046	0.00822389	0.0111328	0.00667591	0.0091377	0.00410337	0.00282333	0.00147348	0.00245111	0.00143406	0.00126373	0.00160415	0.00117382	0.00119874	0.00106155	0.000674831	0.00117006	0.000447403	0.000472284	0.000616656	0.00128403
aboie	0.0175243	0.0165847	0.0193365	0.0206691	0.058359	0.0365218	0.0414856	0.0606303	0.0598856	0.0660366	0.104446	0.0733203	0.0362822	0.0434506	0.0439438	0.0168387	0.0230716	0.0133628	0.02015	0.0159862	0.0157683	0.0170474	0.0159552	0.0155957	0.0130803	0.0098151	0.00948574	0.00933532	0.00889396	0.00580682	0.00566116	0.00554303	0.00460879	0.00665436	0.00548634	0.00626069	0.00459742	0.00293146	0.00295419	0.0055653	0.00469918	0.00630489	0.00620336	0.00604732	0.0107898	0.00702351
là-bas	0.0322603	0.0188206	0.0130205	0.0095984	0.00441032	0.00575943	0.00388688	0.00690391	0.00999796	0.00926886	0.00931572	0.0138638	0.0174713	0.00978937	0.0134165	0.0156148	0.0151942	0.0300902	0.0265394	0.0267226	0.0236501	0.0263964	0.0225495	0.0250431	0.0279853	0.0322345	0.0224216	0.0495061	0.0497367	0.0502603	0.0330114	0.0285574	0.0222418	0.020982	0.0218939	0.0261843	0.0207671	0.0158078	0.0194528	0.0257906	0.0267013	0.0235437	0.0290862	0.0241816	0.0209498	0.0191195
dans	0.0437139	0.0197364	0.0064723	0.00464409	0.00501185	0.00177502	0.00319528	0.00259	0.00418916	0.00875215	0.00631994	0.00801614	0.0150953	0.0095136	0.027247	0.0302097	0.0449244	0.0507881	0.0463935	0.0505552	0.0588914	0.0535134	0.0285505	0.0317613	0.0214597	0.0163945	0.0289304	0.0224131	0.0264906	0.0206884	0.0231918	0.0260746	0.0184286	0.0143273	0.013665	0.0194764	0.0138486	0.0109958	0.0121283	0.0313886	0.0248454	0.0129315	0.0282582	0.0257143	0.0179188	0.00857034
la	0.0455158	0.0238016	0.00737347	0.0037132	0.00398131	0.00277277	0.00405335	0.00852747	0.0196681	0.0366102	0.0260189	0.0262429	0.041161	0.0315407	0.0523988	0.049956	0.0585173	0.065132	0.0589948	0.0567694	0.0555168	0.0329822	0.0281518	0.0395326	0.0278213	0.0299955	0.0257398	0.0149762	0.0137776	0.00819304	0.00909659	0.00836082	0.00751985	0.00562738	0.00411667	0.00488292	0.00384987	0.00313102	0.00410013	0.00676945	0.00627337	0.00584807	0.00812623	0.00817631	0.00788933	0.00679572
forêt	0.019251	0.0143991	0.0107284	0.011605	0.013509	0.00929167	0.00761278	0.0133895	0.012685	0.0219671	0.0204712	0.0181556	0.0314128	0.0254363	0.0468732	0.047793	0.0535022	0.0544887	0.0587525	0.0432062	0.0495155	0.0317074	0.033293	0.036119	0.0235645	0.0204175	0.0155289	0.0212624	0.0375106	0.0200627	0.0272947	0.0263708	0.0265844	0.0124651	0.0102177	0.00923137	0.00619649	0.0059073	0.00406762	0.00960559	0.00985353	0.00469876	0.00895943	0.00829496	0.00407311	0.00266744
parce	0.0159154	0.0106638	0.00580849	0.00354084	0.00696926	0.00331728	0.00533664	0.00705741	0.00961036	0.0135572	0.012265	0.0119127	0.024095	0.0383797	0.0429202	0.0524878	0.062479	0.0628977	0.0596888	0.052162	0.0492519	0.0271695	0.0306452	0.0386328	0.0244338	0.0203761	0.0193132	0.0180452	0.0184906	0.0146957	0.0155096	0.0202251	0.0258352	0.00943067	0.0108034	0.0118924	0.0100079	0.00924715	0.00961688	0.0106683	0.0155452	0.0122833	0.0134593	0.0181065	0.0167923	0.0284581
qu'	0.0336671	0.0254088	0.0137794	0.00704954	0.00937404	0.00639	0.00844517	0.00595714	0.0112289	0.0143756	0.0128069	0.0149093	0.020057	0.0246342	0.0357789	0.0479591	0.0469872	0.0469311	0.0405706	0.0252598	0.0270779	0.0148612	0.0132731	0.0140972	0.0111367	0.0112411	0.0071421	0.00684285	0.0102295	0.00548764	0.00828185	0.00923948	0.00935213	0.00982087	0.0125296	0.0177802	0.0220903	0.0187819	0.0259117	0.0269593	0.0368323	0.036049	0.0452471	0.0431576	0.050606	0.0544013
il	0.0284458	0.0193882	0.0138549	0.00597739	0.00680354	0.00358996	0.00442816	0.00338293	0.003886	0.00476323	0.00472356	0.00864682	0.0120826	0.0202905	0.0260864	0.0279434	0.0345286	0.0327182	0.0684969	0.0595027	0.0460113	0.031572	0.0266406	0.0337312	0.0258404	0.0167618	0.0133264	0.00991164	0.0136905	0.0115217	0.0185398	0.0255183	0.0338284	0.0280306	0.0318604	0.0307115	0.0298283	0.0115404	0.0163106	0.0110391	0.0170377	0.0191946	0.0190357	0.027724	0.0323108	0.0289428
a	0.0289078	0.0184715	0.00913815	0.00396687	0.0020172	0.0017336	0.00112722	0.00150242	0.0022951	0.00251809	0.00323077	0.0055087	0.00831301	0.00933698	0.0190624	0.0181009	0.0223374	0.0160133	0.0323252	0.0374039	0.0316355	0.0379035	0.0282725	0.0267145	0.0211325	0.0143643	0.0176427	0.012444	0.0184807	0.0143397	0.0241501	0.0313081	0.042953	0.049272	0.0655518	0.0465375	0.0377933	0.0246605	0.0180011	0.0203563	0.025085	0.0207794	0.0271652	0.0374212	0.0352996	0.0274251
