 	a82	a84	a82	a10	a87	a23	a79	a20	a36	a6	a56	a36	a27	a11	a90	a4	a58	a57	a82	a87	a23	a18	a50	a62	a12	a62	a83	a62	a47	a75	a5	a0	a54	a7	a4	a62	a12	a96	a88	a71	a54	a36	a2	a7	a5	a37	a5	a43	a90	a69	a7	a26	a57	a87	a23	a87	a23	a87	</S>
mon	0.0150965	0.0226515	0.027569	0.0285599	0.025145	0.017104	0.034945	0.03102	0.0419798	0.0182139	0.0207646	0.0132737	0.0237996	0.022567	0.0301173	0.0226985	0.0267786	0.018974	0.0273088	0.0191332	0.0214588	0.016588	0.0135179	0.0211374	0.0224991	0.0162093	0.0144016	0.0202008	0.0130608	0.0118556	0.00860225	0.00699276	0.00621701	0.00838811	0.0110853	0.0100207	0.0100936	0.00319477	0.00568384	0.0054469	0.00455333	0.00542129	0.00516632	0.00366861	0.00515936	0.0037537	0.00718399	0.00829923	0.0144378	0.0161	0.0132051	0.0220002	0.0178073	0.01421	0.0176777	0.0215535	0.020959	0.029728	0.0347613
enfant	0.00112399	0.00279942	0.00343275	0.00663963	0.0110302	0.0234289	0.0389631	0.119903	0.126073	0.138994	0.0597134	0.06877	0.0623321	0.0442695	0.0289409	0.0224572	0.0146778	0.0306138	0.0217235	0.0416462	0.0172997	0.00659097	0.00793819	0.00709473	0.00907127	0.0119379	0.0151901	0.0077103	0.0029496	0.00300868	0.0017355	0.00104502	0.00130256	0.00147807	0.00177518	0.00203217	0.00154605	0.00169643	0.00169288	0.00108197	0.00219977	0.00124007	0.00286248	0.00206511	0.00291246	0.00216865	0.00275761	0.00413441	0.00224316	0.00224124	0.00073675	0.000437248	0.000197531	0.000379068	0.000279709	0.00028572	0.000220814	0.000654712	0.000274023
est	0.0106594	0.0105131	0.0112597	0.0123318	0.0141133	0.0139932	0.0136438	0.0319585	0.0595698	0.088896	0.0549673	0.0680938	0.041468	0.0372884	0.0428893	0.0378514	0.0300189	0.0248263	0.0214516	0.017412	0.0223494	0.0150058	0.0142452	0.015231	0.0169805	0.0103924	0.00967036	0.0164493	0.0139596	0.0177171	0.0163724	0.0159985	0.0242314	0.0222651	0.0186759	0.014692	0.0100726	0.00718764	0.00542455	0.00570873	0.00300531	0.00241592	0.00325228	0.00266966	0.00315785	0.00265549	0.00274191	0.00180527	0.00376358	0.00325048	0.00314103	0.00428113	0.002296	0.00336244	0.00250288	0.00506826	0.00317901	0.00771296	0.00390351
tenu	0.0128738	0.00795904	0.00928141	0.0107224	0.0154303	0.0133853	0.0129817	0.0186625	0.0133296	0.0134414	0.0225265	0.0249367	0.0217043	0.0223814	0.0266489	0.0255712	0.0223112	0.0381994	0.0403132	0.0345315	0.025441	0.0122935	0.0124798	0.00930837	0.00702177	0.00891029	0.00901031	0.0121533	0.00858448	0.00819061	0.00862012	0.00768663	0.0117634	0.0117407	0.0136788	0.0213605	0.0382939	0.0296377	0.0139956	0.0133768	0.0117752	0.0100407	0.0216601	0.0153413	0.0148276	0.0156093	0.0120597	0.0113255	0.0116783	0.00983514	0.0103018	0.0184725	0.0258635	0.0172703	0.0220534	0.027395	0.0177573	0.013524	0.0224701
responsable	0.0170407	0.0164173	0.0137802	0.00975003	0.00819186	0.00470287	0.00341487	0.00801863	0.0212773	0.0238681	0.0226958	0.0180032	0.0254791	0.0311542	0.0384504	0.0535656	0.0494556	0.0559939	0.0393296	0.0396293	0.0313349	0.0286638	0.0305448	0.0169422	0.0257676	0.019654	0.0212073	0.0216701	0.0354026	0.0192755	0.0252912	0.024204	0.0210894	0.0166301	0.0186061	0.0136831	0.0088086	0.00745892	0.00676775	0.00541402	0.00281228	0.00384407	0.00327437	0.00255799	0.00285491	0.00275011	0.00361206	0.00418549	0.00437039	0.0048482	0.00645945	0.00601261	0.00795226	0.00814958	0.00913034	0.00882034	0.00400885	0.00680646	0.0089159
pour	0.0271937	0.00798011	0.00381764	0.00306945	0.00256609	0.00226913	0.0027601	0.00394322	0.00708907	0.00568776	0.00880378	0.00863151	0.0120584	0.018472	0.0247401	0.0261281	0.0284743	0.0150261	0.0101013	0.0147511	0.0149324	0.0200687	0.0182515	0.0151531	0.0265506	0.0155666	0.0176823	0.0179665	0.0376702	0.0251358	0.0268164	0.0295904	0.027893	0.0282646	0.0318725	0.0360718	0.0380922	0.0287428	0.0228888	0.0211341	0.00930825	0.00713715	0.0120738	0.0110396	0.012334	0.0105993	0.0101867	0.00567782	0.00745411	0.0105134	0.00862265	0.0127858	0.0206729	0.0142357	0.0132015	0.0243546	0.0110158	0.0126087	0.0522712
tout	0.0267426	0.0132159	0.0106971	0.00747241	0.00670553	0.00827804	0.00933552	0.0118041	0.00757371	0.00673604	0.00848212	0.00562952	0.0206847	0.0165508	0.0172237	0.0266121	0.0281209	0.0158728	0.016664	0.0198622	0.0221472	0.0248669	0.022237	0.0207491	0.0281838	0.0224886	0.0231371	0.0213934	0.0348407	0.0307647	0.0359041	0.0415888	0.0391192	0.0338107	0.0277309	0.0275237	0.0149991	0.0133871	0.0127028	0.0100329	0.00469511	0.00354444	0.00390133	0.00410826	0.00519071	0.00708852	0.00869534	0.00598845	0.0101539	0.0104472	0.0126178	0.0161389	0.0171362	0.0170949	0.0138223	0.0203074	0.0133857	0.0144615	0.0193506
ce	0.0404847	0.0247704	0.0206068	0.0152438	0.0114768	0.0130336	0.0121959	0.00655504	0.00318886	0.0028313	0.00375965	0.00215018	0.00677454	0.00927048	0.00900828	0.0118123	0.0120508	0.00645067	0.00497998	0.00746738	0.00910846	0.0128667	0.0126008	0.0180852	0.0229844	0.0213899	0.0198115	0.0263003	0.0301702	0.0201175	0.0322773	0.045488	0.0364321	0.0412653	0.025312	0.033685	0.0207692	0.0296075	0.0246533	0.0134494	0.013825	0.0100727	0.0275939	0.0128791	0.012854	0.0124122	0.0159234	0.01274	0.0154524	0.0135528	0.0157136	0.014913	0.0166555	0.0146544	0.0134883	0.0154045	0.0118105	0.0137087	0.0158604
qui	0.0138971	0.00727015	0.00620998	0.00528907	0.00437158	0.00387673	0.00409375	0.00320295	0.00197552	0.00139853	0.00199257	0.00289417	0.0124093	0.0119772	0.0145246	0.0141678	0.00734394	0.00503584	0.00700657	0.00882136	0.0108642	0.0120693	0.00934459	0.0138783	0.0166674	0.0161502	0.0183891	0.0137465	0.0173948	0.0118248	0.0203868	0.0221655	0.0225186	0.021926	0.018233	0.0230563	0.0197234	0.0255148	0.0232631	0.0181148	0.0160749	0.0146504	0.0231376	0.0214067	0.0202934	0.0180398	0.0206582	0.0251209	0.0304838	0.0348031	0.0279332	0.0358346	0.031398	0.025507	0.037126	0.0338639	0.0336614	0.0307721	0.0262447
se	0.0342956	0.0294281	0.0332968	0.0284988	0.01703	0.0101921	0.0065715	0.00441017	0.00250772	0.00244411	0.00330241	0.00210688	0.00575226	0.00739147	0.00667099	0.00938839	0.0094551	0.0059724	0.00424343	0.00995622	0.00885601	0.0105856	0.0099802	0.0115491	0.0117114	0.0130897	0.0144284	0.0133429	0.0184466	0.0111429	0.0305274	0.0372196	0.0274459	0.0247028	0.0112464	0.0124422	0.0102581	0.0211742	0.0110204	0.00819974	0.00745769	0.0081756	0.0172865	0.0109639	0.0121259	0.0128749	0.0203399	0.00911406	0.0157353	0.014434	0.013897	0.0237823	0.0242006	0.0326193	0.0304559	0.0522637	0.0388778	0.0460625	0.0590494
