 	a87	a10	a38	a83	a70	a54	a47	a41	a85	a94	a90	a98	a44	a11	a75	a5	a27	a11	a47	a62	a75	a85	a5	a18	a31	a47	a62	a83	a71	a62	a83	a9	a99	a97	a87	a23	a99	a97	</S>
la	0.0559096	0.0624166	0.0569964	0.0464695	0.0393284	0.0573682	0.0489535	0.0386417	0.0364895	0.0231689	0.0256762	0.0211413	0.012869	0.00896953	0.013868	0.0126399	0.0099105	0.012833	0.0114789	0.0207656	0.0213881	0.027642	0.0172712	0.0148051	0.027506	0.0166625	0.014798	0.017057	0.0110745	0.0177089	0.0133102	0.00968713	0.0114533	0.0165319	0.0200963	0.0179899	0.0316018	0.0309592	0.0465626
co-épouse	0.0021982	0.00622797	0.0145554	0.017219	0.0286941	0.0830798	0.0925776	0.101549	0.163547	0.146392	0.110692	0.0538504	0.0525262	0.0327382	0.0274398	0.0157002	0.0119556	0.00734462	0.00626145	0.00403639	0.00407391	0.00281796	0.001474	0.00129501	0.000757682	0.000782207	0.000470605	0.000833221	0.000604295	0.000449713	0.000355602	0.000673239	0.000750599	0.000670017	0.000795507	0.00102354	0.000827923	0.00176625	0.000992691
de	0.0301259	0.0234779	0.0294028	0.0259164	0.0264289	0.0453494	0.0579953	0.0802455	0.101991	0.086057	0.103686	0.110292	0.0693456	0.0449641	0.0341326	0.0301755	0.024019	0.0153622	0.0108417	0.00606998	0.00405993	0.00351317	0.000975082	0.000718814	0.000660812	0.000553919	0.000502532	0.00111661	0.00111474	0.00174517	0.00184931	0.00197483	0.00133663	0.00162182	0.0024681	0.00451052	0.0030473	0.00804428	0.00430837
ma	0.0432324	0.040937	0.0355158	0.0293639	0.0341208	0.0414912	0.0390363	0.0400929	0.0379619	0.0360513	0.0303413	0.0344296	0.0219877	0.0223278	0.0160659	0.0147095	0.0164693	0.0172178	0.0217362	0.0195098	0.0278038	0.0253609	0.0163908	0.0148692	0.0061564	0.00431746	0.00571272	0.00558949	0.0140078	0.0173966	0.0231115	0.0269647	0.0233369	0.0179173	0.0302192	0.0322377	0.0254314	0.0419599	0.0486177
mère	0.062929	0.0443569	0.0198734	0.0171971	0.0183362	0.0131887	0.0143134	0.0138335	0.0119287	0.0147878	0.0199579	0.0347278	0.0250503	0.0385016	0.0577173	0.0452062	0.0423253	0.0392574	0.042301	0.0303759	0.04335	0.0501567	0.0451556	0.0291416	0.0186943	0.0120946	0.010572	0.0108971	0.0110899	0.0112775	0.00702531	0.00546746	0.00874027	0.0100626	0.0180761	0.0240477	0.0208016	0.0364505	0.0207337
m'	0.0259044	0.0165759	0.0105714	0.0162157	0.0155862	0.01121	0.0120718	0.00985026	0.013922	0.0114018	0.017351	0.0293491	0.0262681	0.0294824	0.0438526	0.0512601	0.0505938	0.0486476	0.0327314	0.0244018	0.0241836	0.0205382	0.0189522	0.0157142	0.0184652	0.0169365	0.016051	0.0167489	0.0339004	0.0383522	0.0288029	0.0221864	0.0289344	0.0289463	0.0235038	0.0452704	0.0266497	0.0573928	0.0212237
a	0.0187505	0.01566	0.014386	0.0176003	0.0195292	0.0126342	0.0144212	0.00973122	0.010685	0.00841609	0.011378	0.0218293	0.0201552	0.0293764	0.058724	0.0510104	0.0547876	0.0671261	0.060485	0.0424984	0.0308279	0.0363301	0.0251324	0.0178377	0.0222895	0.0242406	0.0308541	0.0243409	0.0209598	0.0260061	0.0137593	0.0141146	0.0168698	0.0178835	0.0196625	0.0301498	0.0208202	0.0307743	0.0179629
adressé	0.0285811	0.0167377	0.0158324	0.0160063	0.0159736	0.015548	0.0187759	0.0199774	0.0300269	0.0218368	0.025403	0.0287486	0.0148695	0.0107355	0.0185824	0.0186334	0.0212731	0.0321633	0.030579	0.0354	0.0298	0.0371119	0.0283839	0.0258464	0.0293031	0.0220441	0.0410733	0.0186703	0.016938	0.0256263	0.022933	0.0179948	0.0167336	0.0221254	0.0246113	0.0411572	0.0246087	0.0694293	0.0499255
une	0.018937	0.014472	0.0175714	0.0126447	0.0114071	0.00721482	0.00753786	0.00668167	0.00541794	0.00444499	0.00523009	0.00591956	0.0051041	0.00604513	0.0131458	0.0179088	0.0205563	0.0291789	0.0277199	0.0390781	0.0294279	0.0357817	0.0235081	0.0278445	0.0303863	0.037207	0.0478085	0.0457258	0.0466738	0.0426085	0.0475407	0.0399088	0.0390961	0.0354671	0.037134	0.0405146	0.0333168	0.0438654	0.0399683
mauvaise	0.0248421	0.0227948	0.0218684	0.0172262	0.0181111	0.0136798	0.0166612	0.0172757	0.0136816	0.0131543	0.0141667	0.0138204	0.0113291	0.0135856	0.0201615	0.0245726	0.0288566	0.028013	0.0274706	0.0351456	0.0313822	0.0258821	0.0172403	0.0168219	0.0239481	0.0208812	0.0281337	0.0288227	0.02736	0.0328196	0.0260555	0.028722	0.0342518	0.0392196	0.0442484	0.0503099	0.0409935	0.0518075	0.0346831
