 	a87	a10	a9	a10	a87	a83	a75	a47	a37	a56	a75	a85	a37	a26	a38	a75	a85	a21	a61	a88	a38	a75	a98	a92	a61	a12	a47	a88	a9	a38	a76	a25	a92	a25	a90	a57	a53	a90	a56	a70	a83	a88	a9	a99	a97	a87	a23	a99	a87	</S>
le	0.0182916	0.0164822	0.0199638	0.014751	0.0124108	0.0121594	0.0196255	0.0174587	0.0186984	0.0294279	0.0413422	0.036837	0.0254293	0.0490926	0.0380066	0.056731	0.0224692	0.0160336	0.0140977	0.0153314	0.012117	0.0116511	0.00744097	0.0094434	0.0123509	0.0155564	0.0181294	0.0265289	0.0328333	0.0285788	0.038782	0.0429226	0.0675783	0.0461659	0.0135138	0.0323377	0.0113757	0.00689906	0.0074119	0.00691609	0.00938579	0.00534864	0.00450837	0.00374358	0.00416314	0.00403108	0.00391648	0.00505422	0.00452178	0.0121537
guérisseur	0.00185634	0.00449341	0.00590113	0.0108141	0.021789	0.0201454	0.0523643	0.123526	0.100626	0.120833	0.0888259	0.062773	0.0398876	0.0434825	0.0216159	0.03236	0.020727	0.00925738	0.0123609	0.0104438	0.0102737	0.0128721	0.0104411	0.0199924	0.0173552	0.0174747	0.0122359	0.0115184	0.0158596	0.0107122	0.00721667	0.00563903	0.00413326	0.00578791	0.00490844	0.00587586	0.00395985	0.00296618	0.00294756	0.00131707	0.000580031	0.00115031	0.000939637	0.000746878	0.000603497	0.00177194	0.0009957	0.000936155	0.00251245	0.00219438
a	0.0323747	0.0230712	0.0339532	0.0362173	0.0319828	0.0227373	0.031426	0.0324493	0.0460555	0.0375835	0.0450515	0.0365306	0.0255332	0.0238346	0.0121129	0.0174031	0.0204568	0.0214523	0.0263463	0.0257505	0.0255902	0.0355321	0.0338756	0.0229435	0.0344926	0.0260823	0.0347702	0.0232117	0.0235848	0.0261216	0.0211801	0.016597	0.0151195	0.00676915	0.00538752	0.00476687	0.00276559	0.00230785	0.00141792	0.000772056	0.00117542	0.00161834	0.00230254	0.0024656	0.00333678	0.00389773	0.0039654	0.0149003	0.00944284	0.0112842
cueilli	0.0194534	0.0116533	0.0101971	0.00838852	0.00795356	0.00662217	0.00769786	0.0067907	0.00749307	0.00464696	0.00454481	0.00503042	0.0116323	0.0185003	0.0166971	0.0194112	0.0243339	0.0321413	0.0261488	0.0386063	0.0455568	0.0412336	0.0314033	0.0402335	0.0545402	0.0548341	0.051494	0.0406012	0.0346831	0.0339376	0.0216881	0.0193208	0.00986949	0.00641731	0.0228038	0.0208235	0.0179573	0.012747	0.00820182	0.0049698	0.00496276	0.00637567	0.00892874	0.00872975	0.00708062	0.012827	0.0119785	0.0203404	0.0198455	0.0376718
du	0.0625894	0.0438479	0.0297284	0.0244392	0.0182062	0.0134978	0.0197332	0.0151957	0.026584	0.0250785	0.0161719	0.0129134	0.023746	0.0196613	0.0215962	0.0436371	0.0425168	0.0237535	0.0191989	0.0275909	0.0277183	0.0272347	0.0161108	0.021367	0.0143537	0.0248909	0.0204146	0.0392091	0.0280604	0.0206695	0.0227407	0.0307817	0.0266287	0.0151494	0.0172894	0.0171578	0.0112936	0.00685651	0.00345775	0.004317	0.00403901	0.00321941	0.00423655	0.00401275	0.00547088	0.00620968	0.0088869	0.00862797	0.00862856	0.0212803
dzoa	0.0237685	0.0116253	0.0151496	0.0185399	0.0189608	0.00973464	0.0196439	0.0178472	0.0279167	0.012826	0.0102977	0.0101672	0.0124207	0.0105486	0.0093815	0.0172149	0.0349927	0.0354608	0.0566174	0.0364127	0.0347966	0.02964	0.0458128	0.0441353	0.0325813	0.0394796	0.0245033	0.0454153	0.0241538	0.0281738	0.027225	0.0264861	0.0253589	0.0153128	0.0174069	0.0132049	0.0156709	0.00697862	0.00357412	0.00380321	0.00325349	0.00349982	0.00526706	0.00708925	0.00620841	0.00921364	0.00675346	0.0147059	0.0106053	0.0201637
pour	0.0319229	0.0185783	0.0148836	0.0185092	0.0148795	0.012098	0.0205845	0.0169033	0.0376862	0.0180827	0.0170815	0.023955	0.0271134	0.0095154	0.019063	0.0380498	0.0606153	0.0816283	0.0643831	0.076007	0.0478573	0.0430193	0.0223723	0.0223822	0.0140044	0.0239748	0.00981219	0.0148032	0.0139073	0.00895987	0.0120195	0.00997796	0.0144996	0.0138893	0.0107937	0.006456	0.0041789	0.00240572	0.00307503	0.00257684	0.0052669	0.00468975	0.00568264	0.00720831	0.00685868	0.0104213	0.00386059	0.0136447	0.00979016	0.0100716
soigner	0.0248218	0.0159453	0.0159817	0.0141661	0.00621934	0.00390545	0.00875612	0.00665274	0.0100405	0.00608298	0.00595461	0.01404	0.0123624	0.0080127	0.0166509	0.0236652	0.0335021	0.0425666	0.0478416	0.0540286	0.0399642	0.0433648	0.0270273	0.0210854	0.0142035	0.0180724	0.0124672	0.0122154	0.0154571	0.00955614	0.00774359	0.0078045	0.0112974	0.00906706	0.0076529	0.00843221	0.00512449	0.00544681	0.0109372	0.00606765	0.0206062	0.0243118	0.0286962	0.0281869	0.0357629	0.0425155	0.0240055	0.0495813	0.0392066	0.0429429
le	0.0250185	0.0214473	0.0229481	0.0215119	0.0156216	0.0107868	0.0157262	0.0130119	0.0147979	0.0134674	0.0164828	0.0312786	0.027511	0.0200624	0.0276491	0.036247	0.0436842	0.0437306	0.0439292	0.0441307	0.0372019	0.0377533	0.0285662	0.0212533	0.0217293	0.0161878	0.0193824	0.0170304	0.0235588	0.0173773	0.0157306	0.0112005	0.0123725	0.00828997	0.00528043	0.0044954	0.00648884	0.00365337	0.00508785	0.00385329	0.00665149	0.00836361	0.0107673	0.00909237	0.0144839	0.0198272	0.0155911	0.0233411	0.0250538	0.0412917
malade	0.0244715	0.0228882	0.0163034	0.0192351	0.0207136	0.0171508	0.0216271	0.026365	0.0250398	0.0138364	0.0105302	0.0182164	0.0196806	0.0151591	0.0242057	0.0310026	0.0311656	0.0323051	0.0316569	0.0326326	0.0204927	0.0179453	0.0160258	0.0145527	0.0130374	0.0188198	0.0123898	0.0149373	0.0216405	0.01979	0.0186848	0.0216815	0.0151963	0.0154287	0.0105962	0.00659276	0.00943478	0.00413666	0.00692769	0.00512892	0.00702405	0.0110122	0.0169614	0.014945	0.0207456	0.0339263	0.0198142	0.0344897	0.0464111	0.057045
