 	a66	a87	a23	a40	a36	a6	a7	a90	a79	a15	a7	a2	a53	a79	a37	a44	a4	a57	a13	a3	a87	</S>
papa	0.135863	0.116351	0.139122	0.101573	0.12569	0.0531011	0.0109309	0.00976345	0.00932111	0.00543676	0.00577126	0.00379972	0.00385139	0.00706533	0.00421457	0.0121219	0.0285789	0.0260503	0.0326388	0.0406872	0.0418459	0.0862223
est	0.01679	0.012018	0.0154304	0.0271426	0.0602756	0.0370529	0.114916	0.180233	0.125291	0.0902441	0.041616	0.0713936	0.0952007	0.019253	0.00551064	0.00503471	0.00789492	0.00665655	0.0123885	0.0129467	0.022505	0.0202068
en	0.0257597	0.0210387	0.0284426	0.0278022	0.033581	0.0390263	0.0555482	0.0887214	0.0285498	0.0329726	0.0370147	0.0220526	0.0252351	0.00647042	0.00918429	0.0077846	0.0317452	0.0372703	0.0712376	0.054743	0.178601	0.137219
train	0.00505185	0.00548116	0.00720042	0.00691862	0.00482248	0.00701012	0.034045	0.0356874	0.0691426	0.136477	0.11825	0.0883243	0.11286	0.169159	0.041155	0.0513143	0.0443975	0.0222275	0.0156885	0.0106487	0.00638464	0.00775427
de	0.103766	0.0886116	0.136555	0.0539779	0.0513601	0.0508623	0.0257937	0.01389	0.00602025	0.00211214	0.00434033	0.00264086	0.00257817	0.00592426	0.00779286	0.0178155	0.0421275	0.0912747	0.0872728	0.0645417	0.0745455	0.0661964
couper	0.0790502	0.0472395	0.0662124	0.050482	0.0568461	0.0638625	0.0935134	0.141921	0.0653562	0.0136232	0.0160937	0.010813	0.00481096	0.00527259	0.00667298	0.0084886	0.0124017	0.0280558	0.0430074	0.0386173	0.106251	0.0414082
un	0.0679355	0.0387892	0.0313966	0.00890271	0.0089404	0.00893394	0.00873166	0.0180842	0.0121425	0.00321518	0.00640375	0.00416975	0.00420315	0.0185154	0.0285663	0.034567	0.0915273	0.0861091	0.108598	0.101992	0.193263	0.115013
palmier	0.0198308	0.0101898	0.00603107	0.00173491	0.000963728	0.00192662	0.0025967	0.00457638	0.00613109	0.00311279	0.00841146	0.0047043	0.00618218	0.0199919	0.0292666	0.0489827	0.0655379	0.0656893	0.171288	0.14339	0.221528	0.157933
dattier	0.0749167	0.0597792	0.0416508	0.00904536	0.0049815	0.0128557	0.0116139	0.0102042	0.00843523	0.00389182	0.0117059	0.0040526	0.0052876	0.00491956	0.00385335	0.00979966	0.0229517	0.0625192	0.144002	0.110477	0.194717	0.18834
mort	0.0550959	0.0327385	0.0245919	0.00863744	0.00739287	0.0123369	0.0114092	0.00886052	0.0140425	0.0199415	0.0209942	0.018151	0.0273848	0.0311609	0.0492763	0.04981	0.0989479	0.0749008	0.103936	0.0724378	0.0945068	0.163447
</S>	0.0812498	0.0477366	0.0309338	0.00727297	0.00646424	0.0156712	0.00820989	0.00390208	0.00562618	0.00350397	0.00495083	0.00901039	0.0134181	0.0218433	0.029867	0.0340213	0.0510819	0.0477047	0.0794944	0.0571974	0.133244	0.307596
