 	a66	a87	a23	a10	a54	a92	a12	a21	a85	a6	a0	a90	a69	a58	a82	a87	a23	a79	a58	a54	a5	a12	a96	a21	a5	a12	a62	a96	a37	a26	a9	a97	a87	a23	a87	</S>
de	0.0481261	0.0671976	0.0730135	0.0675373	0.0875475	0.054507	0.0897769	0.0748191	0.0752188	0.0149276	0.0188632	0.00629329	0.0107239	0.0104873	0.00786461	0.0134828	0.0145566	0.0165006	0.017246	0.0122189	0.0093373	0.0101972	0.012498	0.0172374	0.0143064	0.0137789	0.0144946	0.0068308	0.0100403	0.0094163	0.00877296	0.0109902	0.00992933	0.015574	0.0113758	0.0443119
vous	0.0197385	0.0216023	0.0356486	0.0459275	0.0430729	0.0493071	0.0394446	0.0452492	0.0279386	0.0415777	0.0211661	0.0465727	0.0689816	0.0391546	0.0390533	0.0274809	0.0258362	0.0385045	0.0338626	0.0308572	0.0202873	0.0199005	0.02052	0.0194094	0.0165283	0.0117657	0.0160394	0.0119937	0.0172247	0.0156412	0.01555	0.0154921	0.0132305	0.0147133	0.0148153	0.0159117
tous	0.0372192	0.0265534	0.0228755	0.0491354	0.0787274	0.107806	0.0849523	0.119486	0.0747575	0.0769297	0.0520695	0.0452075	0.0333166	0.0305862	0.0265594	0.0168751	0.00793555	0.00481148	0.00371998	0.00327968	0.00430063	0.00475718	0.00442212	0.00418248	0.00388991	0.00673847	0.00883045	0.00395926	0.00689569	0.0056853	0.00392184	0.00623428	0.00785656	0.0102738	0.00952944	0.00571955
c'	0.070033	0.0443411	0.0155927	0.0187929	0.0102969	0.0112338	0.0169987	0.0164324	0.0202131	0.0166987	0.019411	0.0145222	0.0163939	0.0174573	0.0125898	0.00971829	0.00844114	0.00686651	0.0131604	0.01103	0.0130776	0.0109665	0.0108626	0.0106826	0.0105702	0.0169538	0.0323112	0.0358898	0.0394301	0.0614945	0.0537136	0.0738658	0.0514545	0.0632425	0.0753995	0.0698614
est	0.0597161	0.0362669	0.0191377	0.0292087	0.0136781	0.0125296	0.0121671	0.00962067	0.00867927	0.0113851	0.0164079	0.0229532	0.0294371	0.0390968	0.0300444	0.02339	0.0176777	0.0149731	0.0143078	0.0128192	0.0139146	0.0272373	0.0316378	0.0200963	0.0314609	0.0420697	0.0409401	0.0305523	0.0388439	0.0346741	0.0305989	0.0320837	0.0433195	0.0475351	0.0572643	0.0442753
toi	0.0837641	0.0411634	0.0402831	0.0309909	0.030278	0.0431535	0.021658	0.0326432	0.0292815	0.0273252	0.0405658	0.0258178	0.028609	0.0346194	0.0311293	0.0442728	0.0454124	0.0399757	0.0263413	0.0341493	0.0551155	0.0377805	0.0308223	0.0219878	0.0124945	0.0119475	0.0142104	0.00573446	0.0119904	0.00722428	0.00782394	0.0108554	0.0100927	0.00956639	0.0126433	0.00827717
qui	0.0831124	0.0268675	0.019457	0.0197596	0.0126698	0.0138323	0.0110914	0.00999645	0.0112223	0.00970146	0.0106114	0.0149507	0.0198242	0.0237107	0.0111938	0.0120054	0.0117733	0.0102379	0.00965692	0.00912072	0.0116388	0.0199593	0.0186065	0.0160849	0.0165228	0.0236307	0.0518191	0.0343978	0.0622305	0.0373878	0.0565476	0.0509372	0.0706297	0.0640096	0.0852267	0.0295757
va	0.0517555	0.0204832	0.0120959	0.00890991	0.00621905	0.00583617	0.00559734	0.00509196	0.00541204	0.00746374	0.00732599	0.010903	0.0148443	0.0182024	0.0108919	0.0126473	0.0113692	0.0119243	0.0131107	0.0109837	0.018082	0.0301849	0.025669	0.024437	0.0292112	0.0529279	0.0764124	0.0393741	0.073597	0.040661	0.058349	0.0906426	0.0495344	0.0413955	0.0762516	0.0222029
rentrer	0.0910361	0.0407409	0.0158271	0.0137195	0.00594744	0.00647723	0.0076806	0.0055266	0.00553712	0.00696833	0.00658022	0.00763071	0.0184823	0.0237418	0.0126097	0.0127702	0.0103825	0.0112206	0.00889097	0.0120282	0.0131929	0.0205716	0.0268228	0.0227526	0.0214176	0.0229209	0.0221434	0.0188894	0.0416002	0.0306715	0.0548297	0.0994093	0.0525781	0.0621704	0.12241	0.0438219
à	0.0566966	0.0236121	0.0124664	0.0116892	0.0085947	0.00680478	0.00429363	0.0043859	0.00470882	0.00434457	0.00434	0.00557424	0.00900587	0.00969099	0.00544026	0.00507962	0.00470765	0.00433029	0.00441278	0.00621555	0.00942365	0.0199488	0.0182135	0.0200653	0.0253115	0.0423135	0.0410091	0.0294976	0.0554746	0.0478504	0.0724672	0.0905469	0.0715488	0.0721045	0.103484	0.0843466
