 	a23	a87	a79	a41	a35	a94	a24	a94	a66	a38	a76	a14	a73	a69	a13	a99	a38	a76	a90	a13	a9	a87	a79	a76	a90	a82	a87	a23	a4	a13	a9	a87	a23	a83	a24	a93	a70	a4	a53	a20	a84	a57	a87	</S>
il	0.138735	0.17195	0.172519	0.0638069	0.0292683	0.0135132	0.00811403	0.0107661	0.0186458	0.0158041	0.0185848	0.0224835	0.0155673	0.0135281	0.0221688	0.0236939	0.0164525	0.00536391	0.00546843	0.00766093	0.00657203	0.00551602	0.0055503	0.00763687	0.00935374	0.0069203	0.00898403	0.00997884	0.00535855	0.00490634	0.00343648	0.00232465	0.00325658	0.00193227	0.0035475	0.00433575	0.00538421	0.0112823	0.0181576	0.0142068	0.00996771	0.0134871	0.0223816	0.0214277
n'	0.00292858	0.0016657	0.00229248	0.00723454	0.0237129	0.0311889	0.0482607	0.0370635	0.0432469	0.0525946	0.0399416	0.0391448	0.0319507	0.0217543	0.0190626	0.0206736	0.028476	0.00945195	0.0195353	0.0412049	0.0267366	0.0390325	0.023414	0.0167467	0.0136853	0.0108021	0.00857914	0.00812189	0.00740978	0.0161915	0.0151024	0.00763816	0.0243285	0.0251412	0.0243419	0.0232708	0.0259173	0.0297849	0.0279459	0.0242699	0.0282758	0.0205777	0.0143987	0.0169026
a	0.0148014	0.0116172	0.0164428	0.0222114	0.0295585	0.0274679	0.0235997	0.0145401	0.017326	0.0192605	0.0194803	0.0287778	0.0159853	0.0133992	0.0151051	0.00919562	0.0118233	0.0032752	0.00534988	0.0127048	0.0047244	0.0102996	0.00938968	0.00741013	0.00459858	0.00223329	0.00238819	0.00258491	0.00164334	0.0029586	0.00462255	0.00169448	0.00434234	0.00915259	0.00761823	0.0202304	0.0230124	0.0619244	0.0840021	0.0561264	0.0586763	0.0579154	0.0851623	0.145368
plus	0.0318283	0.0358013	0.0389418	0.0419	0.0717371	0.0798118	0.0331622	0.0335306	0.0207139	0.0272203	0.0418054	0.0335581	0.024088	0.025488	0.023326	0.0232688	0.0233049	0.0213444	0.0211275	0.0178693	0.02205	0.0253069	0.0310871	0.0171749	0.0146537	0.0245559	0.020902	0.0116334	0.0135152	0.0140736	0.0122798	0.00983369	0.0109322	0.0111716	0.0103984	0.0105854	0.00595333	0.00816088	0.00735003	0.00772136	0.00940693	0.00789046	0.0127489	0.0107864
qu'	0.09249	0.0708461	0.0639945	0.0582694	0.0504717	0.035218	0.0235587	0.0174683	0.0120039	0.0209305	0.0249332	0.0287346	0.0195439	0.0197086	0.0190715	0.0157769	0.0168771	0.0153941	0.0160819	0.0204425	0.0210471	0.025077	0.0378271	0.028838	0.017331	0.0104391	0.0112801	0.0082443	0.00720476	0.00780649	0.00680464	0.00541901	0.00872893	0.00647166	0.0127796	0.0127695	0.00811993	0.0103444	0.011978	0.0145138	0.0148576	0.020424	0.0193963	0.030482
un	0.064682	0.0278897	0.0236311	0.0351233	0.0298684	0.0179451	0.00929528	0.0053225	0.00491529	0.00498317	0.0060894	0.0084664	0.00413522	0.00514789	0.00464907	0.00478798	0.00565231	0.00646731	0.0067457	0.0100793	0.00899158	0.00832513	0.0139231	0.0117513	0.00856337	0.00754215	0.00654961	0.00719368	0.00380579	0.00609514	0.00616724	0.00386867	0.00592723	0.0128324	0.0225407	0.0308079	0.0223983	0.0722804	0.0575072	0.0399847	0.0753728	0.081517	0.0736376	0.126541
an	0.0307259	0.0168401	0.0123831	0.0206094	0.0212345	0.0327225	0.0485867	0.0175359	0.0187628	0.0260063	0.0222184	0.016512	0.0198304	0.0239301	0.0208398	0.0295414	0.0285757	0.034061	0.0315935	0.0428331	0.0303595	0.0280699	0.0219082	0.0190784	0.0169322	0.01394	0.0149967	0.0180853	0.0152057	0.0185124	0.0168087	0.0127295	0.0184745	0.0207674	0.0188267	0.020417	0.0136658	0.019748	0.0200344	0.0213515	0.0203967	0.0252896	0.0312893	0.0277698
à	0.0247263	0.0124221	0.00807856	0.0136792	0.0139268	0.0151202	0.0117427	0.00627222	0.00849307	0.0146418	0.0151451	0.0102815	0.0125887	0.00929395	0.0112433	0.0143153	0.0203064	0.0154536	0.023446	0.032066	0.0351138	0.0330068	0.0202517	0.0188542	0.0166727	0.0143607	0.0154622	0.0232442	0.0179266	0.024281	0.0240017	0.0249589	0.0234851	0.0280916	0.0266952	0.0384667	0.0352841	0.0371969	0.0389575	0.0363544	0.0309536	0.0482868	0.0465426	0.0483083
vivre	0.0485294	0.0312602	0.0251375	0.0261762	0.0226158	0.0137783	0.00989686	0.00399334	0.00441715	0.00649322	0.00897963	0.0173255	0.00746456	0.0075957	0.0103177	0.00738091	0.0120548	0.00786355	0.0116533	0.0166429	0.0110692	0.0154902	0.0152029	0.0138768	0.0108344	0.0111496	0.0193424	0.0228325	0.0140856	0.016695	0.0204385	0.0119841	0.0178672	0.0154923	0.0220998	0.0486606	0.0459802	0.0501559	0.0554168	0.0532076	0.0322593	0.0613454	0.0525889	0.0623482
</S>	0.0619283	0.028262	0.0228221	0.018796	0.0161897	0.00785397	0.0048822	0.00235699	0.00360422	0.00338846	0.00368499	0.0054137	0.00281538	0.00323048	0.00378185	0.00384866	0.00589376	0.00409239	0.00782127	0.00963262	0.00810072	0.0143493	0.0179848	0.0128203	0.00703354	0.00694413	0.0112685	0.0135682	0.007497	0.0121105	0.0170936	0.0092147	0.0141731	0.0201442	0.0345717	0.0616375	0.0607412	0.0577964	0.0615887	0.0508216	0.0461993	0.0874962	0.0698888	0.076657
