 	a66	a87	a23	a10	a62	a21	a12	a31	a24	a12	a94	a98	a47	a85	a6	a85	a98	a25	a15	a47	a85	a47	a36	a47	a37	a6	a36	a26	a57	a87	a23	a99	a97	</S>
le	0.0451856	0.0502059	0.057953	0.0287025	0.0487803	0.0705555	0.0509832	0.0306223	0.0225565	0.0319662	0.0467124	0.0390679	0.0295382	0.0609858	0.0387275	0.0497807	0.0371999	0.0300236	0.00814414	0.00863856	0.010199	0.0097616	0.0116154	0.0221607	0.0160391	0.0188834	0.0169457	0.0134787	0.0159456	0.0176325	0.0122026	0.0103981	0.0126836	0.0257241
poisson	0.00241771	0.0059069	0.0103697	0.0134456	0.0130876	0.0929355	0.102189	0.104919	0.154694	0.170348	0.0600207	0.0607502	0.0324673	0.0309353	0.0165481	0.0181617	0.00857851	0.0133267	0.0144228	0.0340757	0.0197846	0.00416478	0.003617	0.00120916	0.000932991	0.000992616	0.000867129	0.00113367	0.000656828	0.00109671	0.000992528	0.00118841	0.0015082	0.00225641
qu'	0.0426047	0.0598444	0.0597704	0.0787502	0.0479764	0.0816271	0.0526266	0.112656	0.137719	0.126495	0.0689719	0.0425724	0.0262444	0.0112432	0.00306142	0.00264905	0.00525254	0.00330187	0.00540982	0.0051962	0.00247315	0.00320651	0.00119352	0.00129638	0.0010399	0.00117319	0.00131845	0.00109718	0.000815045	0.00187803	0.00192034	0.00182908	0.00332659	0.00346076
ils	0.0520621	0.0496902	0.0363954	0.0340537	0.0262836	0.0378431	0.0307026	0.0385427	0.0493973	0.0600159	0.067898	0.0848498	0.0681683	0.0473117	0.0320075	0.0430148	0.0396064	0.0209631	0.0253227	0.0263914	0.0141066	0.00630624	0.008468	0.00661378	0.00743544	0.00540507	0.0107361	0.00688532	0.0063426	0.0085622	0.0118273	0.00769543	0.00991191	0.0191836
m'	0.0676067	0.0557351	0.0422461	0.0243045	0.0233537	0.0163732	0.0166953	0.0263232	0.0368498	0.0287859	0.0395451	0.029817	0.0350813	0.0240919	0.0468939	0.0310676	0.0220892	0.0212475	0.0213955	0.0312749	0.0207486	0.0102219	0.0139787	0.00792611	0.00884956	0.00999447	0.0192478	0.0181767	0.0342196	0.0320083	0.0462189	0.0440552	0.0414711	0.0521057
ont	0.0251435	0.0280168	0.0173285	0.0227403	0.0129923	0.0140733	0.0169305	0.0253303	0.031945	0.050302	0.0521972	0.0837419	0.129508	0.0666758	0.0538625	0.0489848	0.0501934	0.0231654	0.034844	0.0270968	0.0145904	0.0128996	0.0211522	0.0134265	0.0059785	0.00581607	0.00691295	0.00782764	0.0069009	0.00745201	0.00902758	0.0128935	0.0183169	0.0417326
vendu	0.0214587	0.0180336	0.0134892	0.0169172	0.00950657	0.013329	0.0169409	0.0331086	0.0374979	0.0402076	0.0372705	0.0363547	0.0254598	0.0216211	0.0220001	0.0169363	0.0249775	0.00949178	0.0146498	0.0114423	0.0145324	0.0250615	0.038657	0.0470075	0.0586676	0.0586139	0.0669989	0.0449097	0.0317306	0.0331939	0.0353535	0.0315311	0.0320014	0.0410478
est	0.0319164	0.0316538	0.0271766	0.0247849	0.0168804	0.0214688	0.0164027	0.0134545	0.0144505	0.0238666	0.0218737	0.0313942	0.0308239	0.0293422	0.0308337	0.0302491	0.0367903	0.0182485	0.0245584	0.0219076	0.0170073	0.0209582	0.0361538	0.0536406	0.0532205	0.0344587	0.0521225	0.0335707	0.0267758	0.0284981	0.0249324	0.0197159	0.0280599	0.0728087
grillé	0.0297724	0.0278663	0.0220275	0.0128065	0.013095	0.0100288	0.00924533	0.00835287	0.00780308	0.0141786	0.0171926	0.0223551	0.0190702	0.0262824	0.0247737	0.0205385	0.0156986	0.0101074	0.009726	0.00743024	0.00576792	0.00750589	0.023449	0.0533498	0.0494322	0.0467464	0.0673785	0.0638082	0.067739	0.0714577	0.0383169	0.0407892	0.0501867	0.0857215
</S>	0.0545946	0.0511761	0.0425957	0.0252531	0.0199989	0.0186571	0.0145158	0.0143843	0.0127554	0.0120879	0.0155041	0.0173449	0.0187607	0.0268192	0.0437152	0.0340989	0.0253919	0.0107397	0.00652338	0.00453148	0.00446753	0.00860201	0.0206142	0.0269387	0.0119917	0.0279931	0.0163269	0.032116	0.0511724	0.0931815	0.0498632	0.0455577	0.076767	0.0649598
