 	a66	a87	a23	a50	a88	a25	a53	a90	a4	a53	a90	a56	a12	a24	a47	a96	a93	a56	a75	a98	a85	a47	a98	a47	a85	a92	a37	a56	a37	a18	a9	a30	a90	a98	a85	a6	a37	a61	a96	a83	a98	a47	a36	a12	a96	a62	a21	a85	a6	a0	a54	a92	a37	a44	a13	a38	a9	a10	a87	a23	a99	a97	a87	</S>
l'	0.0183107	0.0267139	0.0228161	0.0259722	0.0274825	0.0287384	0.0512018	0.0360758	0.0319881	0.0461954	0.0371738	0.0526702	0.0903495	0.0548118	0.0324511	0.0291717	0.0160139	0.0172103	0.00885658	0.00881577	0.00721209	0.00659207	0.00590514	0.00607596	0.00834623	0.00572748	0.0115651	0.0100281	0.00501669	0.0106777	0.0101578	0.00698484	0.00941128	0.00604079	0.00804332	0.0126976	0.00988742	0.0069498	0.00706464	0.00738565	0.00825477	0.00471064	0.00638145	0.00955623	0.00870331	0.0144126	0.00772793	0.00339155	0.00439618	0.00747889	0.0116459	0.00835788	0.00685924	0.00838392	0.0078143	0.00747601	0.006927	0.00646035	0.00452042	0.00310561	0.00472864	0.00592472	0.00502936	0.0129636
habitude	0.00154758	0.00204131	0.00250568	0.00492489	0.00575123	0.01137	0.0116783	0.0265509	0.0322874	0.0198552	0.0636567	0.0442309	0.0352588	0.0608146	0.0172133	0.0429536	0.0396586	0.0695906	0.0654961	0.0400315	0.0722713	0.0470537	0.0372134	0.0252449	0.0208667	0.0217806	0.0101765	0.010797	0.00960802	0.00748775	0.0104047	0.00883042	0.0029834	0.00458609	0.00575686	0.00552449	0.00456556	0.00376185	0.0041279	0.00531132	0.00573326	0.00788114	0.00457671	0.00582518	0.00447144	0.00520742	0.00348264	0.00495546	0.00706191	0.00579517	0.00321263	0.00347271	0.00499895	0.00246476	0.00545461	0.00235167	0.00101606	0.000424814	0.00058937	0.000359533	0.000802101	0.000748216	0.00110694	0.00223741
d'	0.0107453	0.00747873	0.00769643	0.0215108	0.0179701	0.0233676	0.0159973	0.00993106	0.0115512	0.0110216	0.0133899	0.013813	0.0148472	0.0272208	0.0224896	0.0181329	0.0160114	0.0211901	0.0496651	0.0202688	0.0294783	0.0539104	0.029668	0.0466618	0.0373041	0.0418055	0.0276565	0.0289387	0.0289678	0.0351234	0.0145871	0.0233882	0.0232446	0.0325768	0.0156386	0.0240269	0.0220915	0.0159787	0.0132061	0.0111271	0.00979449	0.00433161	0.00356051	0.00176951	0.00124083	0.000911968	0.00158552	0.00249616	0.00170986	0.00158467	0.000983769	0.00149475	0.00172874	0.00238314	0.00203181	0.00436445	0.00446385	0.00520681	0.0068531	0.00569725	0.00739054	0.00727978	0.00690407	0.0045538
abattre	0.0108687	0.0103605	0.00893497	0.0168345	0.0162088	0.0159651	0.0229465	0.016099	0.012276	0.00920691	0.00586084	0.00541094	0.00370917	0.00335052	0.00788948	0.010215	0.00723943	0.00655439	0.00613495	0.0101598	0.0135869	0.00869564	0.013283	0.0156712	0.0185301	0.0264755	0.0154906	0.0330856	0.0195751	0.0423041	0.0145815	0.0137629	0.025964	0.0155088	0.0120096	0.0134141	0.00884234	0.0188765	0.0604788	0.064301	0.0344562	0.0278709	0.0353522	0.0470938	0.0183395	0.0194462	0.0164632	0.0204898	0.0208579	0.0208189	0.0130113	0.0106473	0.00668102	0.00506546	0.00797311	0.00419717	0.00316891	0.00209264	0.00305091	0.0028625	0.00388689	0.00668855	0.00678295	0.00203955
les	0.019064	0.00979755	0.00446434	0.0110136	0.0108466	0.0149186	0.026102	0.0202766	0.0187808	0.012657	0.0103871	0.0139643	0.0126178	0.0122829	0.012341	0.0165746	0.00956283	0.00738836	0.00768045	0.00677548	0.0140006	0.00826528	0.0135521	0.0164378	0.0177269	0.0257609	0.0220395	0.0207705	0.0247327	0.0350731	0.0144687	0.0109874	0.0258611	0.0137408	0.0130715	0.0220729	0.0148459	0.0228868	0.0460012	0.0488011	0.034331	0.0352663	0.0465577	0.0401214	0.0166892	0.0128058	0.0146905	0.0117802	0.00786241	0.0104216	0.00642348	0.00912323	0.00581221	0.00570244	0.00781379	0.003956	0.00265437	0.00261426	0.00429621	0.00404822	0.00494261	0.00827285	0.00719829	0.00802317
vieillards	0.0260805	0.00967844	0.00412114	0.00649548	0.0101372	0.00612121	0.0036051	0.00203369	0.00230349	0.00645877	0.0046993	0.00642819	0.00577807	0.00619234	0.0142316	0.00506922	0.00816401	0.00696668	0.012439	0.00994421	0.0220596	0.016881	0.0208234	0.0343684	0.0148512	0.0515112	0.0383	0.0319886	0.0327466	0.0581363	0.013063	0.00856749	0.024081	0.031276	0.0054445	0.0144259	0.0157518	0.0223461	0.0342189	0.0496132	0.0238392	0.0168338	0.0142587	0.01966	0.0128229	0.00701063	0.00626822	0.0127176	0.00459558	0.00974059	0.00796466	0.0147073	0.0180911	0.0151943	0.0141369	0.00914317	0.00590133	0.00640705	0.00779442	0.00930683	0.0129386	0.0210781	0.015679	0.0165082
sous	0.0348188	0.00725961	0.00411348	0.00359611	0.00737045	0.00399193	0.00265861	0.00186506	0.00205243	0.00504949	0.00528031	0.00708347	0.00461661	0.00538293	0.0141137	0.00386699	0.0119261	0.00881551	0.0242846	0.0206546	0.0216527	0.0283404	0.0252144	0.0376607	0.0184741	0.0271415	0.0389212	0.0223557	0.0534244	0.0696737	0.0269292	0.0217426	0.0597318	0.0720214	0.0156378	0.0204406	0.0221276	0.0367232	0.0238514	0.0318657	0.0190699	0.0111293	0.00776151	0.00793063	0.00576249	0.00260296	0.00201422	0.00426394	0.00219043	0.00364975	0.00588954	0.00678273	0.00669828	0.00369241	0.00275419	0.00222234	0.00224251	0.00249443	0.00475869	0.00450285	0.00963881	0.00995682	0.0111366	0.00812375
prétexte	0.0179471	0.00563157	0.00399097	0.00459538	0.00529234	0.00458411	0.00235502	0.00185193	0.00183543	0.00334291	0.00184668	0.00202451	0.00256631	0.00380614	0.00828595	0.00329774	0.0105234	0.0139869	0.0187535	0.021415	0.0138747	0.0323278	0.024311	0.038255	0.0366369	0.0260493	0.0288252	0.0273641	0.0572655	0.0967527	0.0223266	0.0319237	0.0587337	0.0435696	0.0194197	0.0214609	0.0190188	0.0298059	0.0154826	0.0215146	0.0125969	0.00397165	0.00364141	0.00296837	0.00507482	0.00267851	0.00320331	0.00273751	0.00267196	0.00488274	0.0112051	0.0105422	0.0103772	0.0139031	0.0118628	0.0145213	0.0124379	0.00964436	0.0142648	0.0105788	0.0122465	0.00873812	0.00917779	0.00322164
qu'	0.0522763	0.0274425	0.018196	0.0156028	0.0192006	0.0140572	0.0124062	0.00711468	0.00504603	0.00865808	0.0066637	0.00684918	0.00665268	0.00879541	0.01047	0.00637084	0.0103989	0.00928012	0.00934507	0.00898986	0.00809968	0.00844557	0.0180189	0.0136101	0.0187208	0.0269437	0.0308373	0.0194523	0.0329287	0.0453658	0.0180208	0.012775	0.0485918	0.0333322	0.0125793	0.0200923	0.017403	0.0171951	0.0103483	0.013756	0.00685537	0.0025014	0.00329743	0.00204592	0.00170189	0.000976125	0.00181901	0.00343014	0.00243164	0.00337514	0.00587888	0.0104801	0.0177137	0.0160036	0.00926911	0.0206894	0.0157935	0.0191562	0.0206161	0.0136185	0.0304674	0.0314813	0.0388596	0.0312057
ils	0.0218314	0.00850486	0.00636086	0.00700568	0.00860903	0.00699685	0.00716735	0.00577056	0.00461319	0.0109302	0.00643254	0.00582892	0.00828239	0.00906847	0.0127586	0.00903326	0.0134482	0.0159565	0.0124384	0.0113111	0.00969843	0.0115147	0.0158524	0.0152132	0.0160614	0.0146863	0.0178862	0.0118223	0.029888	0.0263131	0.0157941	0.0148871	0.0264266	0.0178069	0.012611	0.0162303	0.0149455	0.0155612	0.0104208	0.0140439	0.00782982	0.00271648	0.00370211	0.00290536	0.00271321	0.00202478	0.00255525	0.00255627	0.00335958	0.00281804	0.0086493	0.00981577	0.0139077	0.0211732	0.0167037	0.03059	0.0622603	0.056327	0.049539	0.0413218	0.0430269	0.0395297	0.0361749	0.017788
