 	a66	a82	a87	a97	a87	a97	a87	a97	a87	a99	a83	a70	a99	a30	a70	a99	a54	a7	a44	a70	a44	a26	a57	a99	a83	a50	a62	a5	a94	a70	a53	a70	a44	a70	a99	a13	a9	a3	a87	a23	a87	a97	</S>
celui-ci	0.0159366	0.0337052	0.0270073	0.0294392	0.0350739	0.0290703	0.0391957	0.0227392	0.0387875	0.0622166	0.0398914	0.0789568	0.0630539	0.0669672	0.0258243	0.0205349	0.0221213	0.0153658	0.0202479	0.023629	0.0158407	0.0208818	0.0163177	0.0133771	0.0123874	0.00951364	0.00606545	0.0091798	0.0070852	0.00656558	0.0100225	0.0100035	0.0146006	0.0206486	0.0188525	0.0239948	0.0149997	0.00984809	0.00763681	0.00673252	0.00803268	0.00520331	0.0224461
est	0.0267026	0.0175162	0.0154525	0.0111144	0.0123453	0.0148424	0.0113278	0.0118702	0.0116229	0.0081612	0.00607471	0.0058018	0.00812037	0.00797397	0.0134041	0.0134515	0.021558	0.0269722	0.0224169	0.0233559	0.0325003	0.0220093	0.0326536	0.0500654	0.0251171	0.0244183	0.0143099	0.018513	0.0254404	0.0303874	0.0232933	0.021245	0.0291797	0.0204387	0.0306997	0.0413813	0.0334754	0.0337245	0.0293837	0.0368098	0.0391703	0.0532796	0.0424193
mon	0.0710316	0.0572864	0.0486502	0.0406561	0.0352386	0.0412878	0.0559172	0.0341204	0.0344867	0.0246801	0.0169495	0.0121434	0.0160182	0.0144235	0.0184554	0.0170882	0.0201428	0.0150886	0.0197075	0.011613	0.0133907	0.00746299	0.00654629	0.00781432	0.0136099	0.0151311	0.00822922	0.0110288	0.0115579	0.0114901	0.00956125	0.00802069	0.00856683	0.00833747	0.0156362	0.0234801	0.0215231	0.0191244	0.0240016	0.0366865	0.0251502	0.0544956	0.0341698
champ	0.0498921	0.035064	0.0402927	0.0408767	0.0518696	0.0465597	0.0457317	0.0491324	0.0471554	0.0316551	0.0383328	0.0114523	0.0231288	0.0162115	0.0141244	0.00943794	0.00877862	0.00870342	0.00990541	0.0204126	0.0346986	0.0472205	0.045998	0.0550832	0.0525949	0.0374983	0.0262932	0.00967038	0.0102829	0.00844751	0.00528802	0.00603831	0.00618874	0.00423874	0.00346503	0.00537906	0.00431751	0.00439309	0.00386914	0.0071161	0.0065723	0.00606438	0.0105646
celui-là	0.0807236	0.0648097	0.0366565	0.0176955	0.0148929	0.0125205	0.011187	0.0093853	0.00580152	0.00923167	0.00695862	0.0135453	0.00488536	0.00382162	0.00748626	0.0112961	0.0284299	0.0110693	0.0130955	0.00534526	0.00733507	0.00692303	0.0065555	0.00905505	0.0101518	0.0165808	0.0244399	0.00759324	0.0112661	0.0174665	0.0144852	0.0221034	0.0317131	0.033965	0.0215095	0.0259519	0.0326762	0.0418495	0.0470956	0.0549501	0.0526029	0.098917	0.035976
est	0.0361783	0.0300086	0.0260927	0.0190965	0.0148178	0.0121576	0.0103549	0.00826833	0.00673532	0.00843315	0.00623003	0.0095528	0.00780054	0.00675648	0.0123489	0.0172394	0.0216602	0.0193596	0.0205105	0.0152133	0.0243156	0.0131483	0.0123942	0.0141408	0.0190826	0.0290934	0.0468163	0.0291865	0.0259879	0.0345773	0.0180017	0.02366	0.0179804	0.0269863	0.0202748	0.0228379	0.0327047	0.043016	0.049851	0.0483724	0.0421574	0.0520184	0.0445811
à	0.0195251	0.0129366	0.0123264	0.00968368	0.00956157	0.0098668	0.0102823	0.0109622	0.00796852	0.00890299	0.011197	0.0133008	0.0122434	0.00877559	0.00701867	0.00869082	0.00839794	0.00869078	0.0104846	0.0125707	0.0283939	0.016334	0.0150756	0.0227883	0.0230529	0.0233472	0.0276659	0.0217211	0.0201352	0.0275617	0.022924	0.0413182	0.0343944	0.0365635	0.032454	0.045103	0.0507906	0.0461807	0.0480205	0.040576	0.0354561	0.0699174	0.0568395
mon	0.0219783	0.0220153	0.0201798	0.0128825	0.0154456	0.0177344	0.0157522	0.0170562	0.0176775	0.0138523	0.00835888	0.0305089	0.0197585	0.0156946	0.00919808	0.0118563	0.014656	0.0108145	0.012892	0.0100688	0.0186627	0.0147722	0.0113112	0.0170482	0.0166806	0.0166925	0.0151253	0.00902783	0.00671455	0.00950852	0.00835666	0.0117786	0.00969399	0.0186175	0.0326262	0.0474446	0.0368705	0.0425341	0.0460035	0.0418455	0.0642489	0.0788215	0.107234
oncle	0.0182959	0.0106946	0.0119084	0.0101703	0.0122557	0.0142216	0.0155133	0.0155612	0.0165084	0.0121803	0.0146224	0.0286552	0.015413	0.0101303	0.00575581	0.00651554	0.00748001	0.00563078	0.00550327	0.00504446	0.0136669	0.0198611	0.0172126	0.0243078	0.0249205	0.0272203	0.0289244	0.0242579	0.0165378	0.0209601	0.0172335	0.0198525	0.0119312	0.021808	0.0221148	0.0472543	0.0374484	0.045456	0.0509627	0.0506464	0.0525453	0.105586	0.0572303
</S>	0.0397782	0.024002	0.0204018	0.0106288	0.0133286	0.010532	0.00586615	0.00770503	0.0083596	0.00704333	0.00509312	0.0126534	0.00677016	0.00741664	0.00778362	0.0100109	0.0177938	0.0160469	0.0177235	0.0176697	0.01696	0.0162813	0.0164063	0.0183055	0.0152251	0.0149491	0.0168898	0.00904859	0.00972164	0.0129678	0.0091748	0.0140009	0.0115829	0.0255738	0.0260137	0.0564397	0.0669523	0.0538295	0.057252	0.0507767	0.0522973	0.085715	0.0770287
