 	a87	a23	a87	a40	a30	a35	a24	a66	a38	a76	a94	a35	a76	a14	a35	a76	a41	a24	a35	a41	a24	a41	a24	a9	a87	a23	a87	a10	a87	a23	a87	</S>
on	0.128759	0.166795	0.157853	0.0869584	0.0789792	0.0353419	0.0155177	0.0168411	0.0195399	0.0189897	0.0203924	0.0154594	0.0160799	0.0122966	0.00581748	0.00466029	0.00442499	0.00637808	0.00899702	0.00394311	0.00305784	0.00697048	0.0112772	0.0111956	0.0140455	0.01712	0.0182425	0.0161041	0.0174993	0.0204931	0.0202635	0.0197072
a	0.00507509	0.00435498	0.00552138	0.0042778	0.0138915	0.0161098	0.017642	0.0239958	0.0230076	0.0451383	0.0750998	0.063097	0.0724273	0.034607	0.0249508	0.0224189	0.0334419	0.0467183	0.0355101	0.0302202	0.0245502	0.0214552	0.0288212	0.0283179	0.0300703	0.0399767	0.0449919	0.0524821	0.0438817	0.0392304	0.0297364	0.0189804
fabriqué	0.00726283	0.00607431	0.0066931	0.00425694	0.0081233	0.00660111	0.0119962	0.0111032	0.0087252	0.011961	0.00877455	0.0098219	0.0126064	0.0116602	0.0118	0.00816674	0.00691148	0.0052891	0.00449377	0.00573759	0.0189894	0.0263766	0.0353418	0.0581604	0.0792538	0.0866503	0.08808	0.107878	0.0897345	0.0691653	0.0798405	0.0924704
beaucoup	0.0421088	0.0391243	0.020989	0.00773079	0.00588555	0.00763167	0.00882451	0.0117159	0.0239812	0.0220756	0.0247534	0.0696128	0.0496867	0.0377202	0.0667919	0.0705221	0.0518526	0.0609494	0.066947	0.0403817	0.0397218	0.0323924	0.0194153	0.0367283	0.0257076	0.0232242	0.022022	0.0202269	0.0118474	0.0148195	0.0113232	0.0132864
d'	0.0522498	0.0365622	0.027656	0.0226031	0.0200518	0.0225013	0.0188768	0.0296545	0.038336	0.0324828	0.0184201	0.0709039	0.0573586	0.031977	0.0356339	0.0200823	0.0159525	0.0153667	0.0147412	0.0121403	0.0142698	0.0150929	0.0228179	0.0270034	0.0299522	0.0381881	0.0363419	0.0395009	0.0381821	0.060086	0.0424092	0.0426046
alcool	0.0622625	0.0650271	0.0638115	0.0499077	0.0581814	0.0584668	0.0454009	0.0506552	0.046244	0.0459691	0.014518	0.0144922	0.0129274	0.00660751	0.00864061	0.00584906	0.00540839	0.00805172	0.00794124	0.0102414	0.0127826	0.0171281	0.0201845	0.025972	0.0280905	0.0340581	0.0326084	0.0340611	0.041396	0.0373472	0.0343601	0.041408
de	0.0813658	0.0498642	0.0610783	0.021031	0.0218654	0.0196567	0.0147142	0.0153654	0.0116645	0.0114217	0.00568239	0.00782401	0.0086042	0.00918752	0.00979816	0.0104221	0.0127332	0.015166	0.0246494	0.0150931	0.0193689	0.0275322	0.0169633	0.0338263	0.0332488	0.0348471	0.03597	0.0409026	0.0650174	0.0737626	0.0746216	0.116752
maïs	0.0304213	0.0172431	0.0193333	0.0154893	0.00446411	0.00321928	0.00207351	0.00222956	0.00434932	0.00788971	0.0116021	0.0214281	0.025855	0.0303342	0.0253998	0.0206647	0.0276875	0.0317286	0.0408062	0.0281869	0.0411063	0.0597905	0.0284707	0.0707544	0.0606031	0.0560515	0.0766904	0.0597752	0.054607	0.0513655	0.036622	0.0337577
pour	0.0882026	0.0413224	0.0453798	0.0339657	0.0153002	0.00661577	0.00355055	0.00369847	0.00386466	0.0048061	0.00371753	0.00567524	0.00626191	0.00420457	0.00566141	0.0037295	0.00847971	0.0087391	0.00672536	0.00433975	0.011691	0.016674	0.019428	0.0286903	0.0463493	0.0518904	0.0859513	0.097934	0.0716536	0.0811623	0.0706589	0.113677
le	0.0383788	0.0213827	0.0229767	0.0135198	0.00541183	0.00383555	0.00310143	0.00328093	0.00336004	0.00363255	0.00183129	0.00317251	0.00292432	0.00210193	0.00269237	0.00249088	0.00481673	0.00775343	0.00770908	0.00463602	0.0109693	0.018896	0.0175405	0.0413341	0.0507162	0.0531924	0.0810778	0.0924767	0.0705275	0.0793175	0.0885018	0.236442
fête	0.0575302	0.0359939	0.0322075	0.0241699	0.00809882	0.00666767	0.00527225	0.00612754	0.00670201	0.0072413	0.00450874	0.00614466	0.00690097	0.00832141	0.00920643	0.00772907	0.00875847	0.00882088	0.0079883	0.00451262	0.00985864	0.0250085	0.0254828	0.0487781	0.059981	0.0630822	0.0815976	0.0922857	0.0675993	0.0768802	0.0832533	0.10329
</S>	0.0202238	0.00937358	0.00992664	0.00484751	0.00329153	0.00164709	0.000757213	0.00130205	0.00181115	0.00244579	0.00254868	0.00444689	0.00342014	0.00336313	0.00398589	0.00393694	0.00616176	0.00646928	0.00490752	0.00313377	0.00435489	0.0103114	0.0141428	0.0464742	0.0756156	0.102204	0.137708	0.111236	0.114177	0.113757	0.11529	0.056728
