 	a23	a85	a87	a23	a20	a32	a76	a94	a32	a24	a43	a24	a56	a43	a11	a90	a35	a98	a73	a98	a73	a35	a76	a94	a76	a25	a75	a24	a25	a38	a25	a76	a69	a58	a75	a73	a2	a57	a87	</S>
il	0.0448048	0.102378	0.152079	0.154407	0.0598952	0.031284	0.0644615	0.0491174	0.0104584	0.0104645	0.00920356	0.00944559	0.0146606	0.0110352	0.00804221	0.00649258	0.00861645	0.00689495	0.0047805	0.00596216	0.00511638	0.00450287	0.00486485	0.0048238	0.00491786	0.00296837	0.00289324	0.00458422	0.00253772	0.00535541	0.00383766	0.00911279	0.0159652	0.0200054	0.0353651	0.029625	0.0246113	0.0129276	0.011	0.0305019
n'	0.00147484	0.00317648	0.00472947	0.00439908	0.00759978	0.0308754	0.0626532	0.0759698	0.0316569	0.033524	0.0296761	0.0281996	0.0360415	0.0284535	0.0462572	0.0221894	0.03459	0.0342599	0.0299849	0.0367302	0.027512	0.0179918	0.0165683	0.0112969	0.0101766	0.00743313	0.00886813	0.0124584	0.012167	0.00996917	0.0155238	0.024982	0.0344881	0.0393818	0.0298313	0.0263894	0.0281888	0.0188548	0.043062	0.0224155
a	0.00949973	0.00701372	0.0108658	0.0131859	0.0170525	0.0267389	0.0264745	0.0287458	0.0272995	0.0425192	0.0442347	0.0342971	0.0683745	0.0500975	0.0728795	0.0133909	0.038606	0.0184661	0.00543304	0.00615281	0.0046152	0.00457511	0.00507401	0.00383981	0.00325757	0.00374788	0.00219368	0.00511732	0.00437084	0.00360037	0.00809724	0.0182102	0.0311704	0.0326497	0.0544586	0.0568149	0.0500843	0.0359489	0.0552165	0.0556298
pas	0.0807793	0.0652484	0.0355131	0.0328238	0.059396	0.0514149	0.0422365	0.0248965	0.0367133	0.0192663	0.00926629	0.0266284	0.0304743	0.0218503	0.0172459	0.0211733	0.0315396	0.010892	0.0148619	0.0152767	0.016319	0.0288273	0.0301692	0.0405578	0.0284042	0.0194714	0.0144588	0.0182197	0.0195977	0.0236617	0.0187627	0.0179539	0.0126204	0.00904297	0.00989363	0.00958544	0.00728205	0.00913274	0.00796199	0.0105808
fini	0.0638453	0.0455431	0.0236976	0.0270157	0.0301674	0.0290452	0.057707	0.0551602	0.0547733	0.0437952	0.0326621	0.0351696	0.0339819	0.0366649	0.0277967	0.0180435	0.0214581	0.0119278	0.0109943	0.0121188	0.0117341	0.0117614	0.0111567	0.0120027	0.013612	0.010815	0.0106249	0.0114508	0.011422	0.01694	0.00827914	0.014046	0.0187953	0.0193146	0.0172187	0.0137808	0.0209849	0.0161933	0.0233753	0.0549246
de	0.0342807	0.028745	0.0221274	0.0211862	0.0221851	0.027428	0.0306343	0.030792	0.0283616	0.0250713	0.0223368	0.0105308	0.010601	0.00779237	0.0103938	0.00670068	0.00940643	0.00597618	0.00463363	0.00631887	0.00669826	0.00569499	0.00630432	0.00815415	0.0058826	0.00554464	0.00603569	0.0049211	0.00678614	0.0199715	0.0144474	0.0343491	0.0451465	0.0555817	0.0634253	0.0466264	0.050173	0.046877	0.0852168	0.116661
verser	0.029429	0.0209661	0.0176555	0.0115619	0.0125196	0.0157023	0.021492	0.0350357	0.0327982	0.0344281	0.0286856	0.0251263	0.0222458	0.0189893	0.0287598	0.0254927	0.0291454	0.0245006	0.0207617	0.0314179	0.0267509	0.0234326	0.0291821	0.016392	0.00981262	0.0183366	0.0232498	0.0170715	0.0268338	0.0300711	0.0307489	0.0493953	0.0439339	0.0364679	0.0290809	0.0170124	0.0170763	0.0179617	0.0191989	0.0312774
l'	0.0278836	0.0245906	0.0172085	0.0156974	0.0146928	0.022786	0.0226053	0.0113124	0.00786464	0.00836071	0.00841013	0.0108272	0.0139968	0.0111297	0.0175086	0.0146255	0.0159119	0.00711372	0.0108513	0.0203569	0.0160073	0.0286843	0.0194831	0.0209087	0.0259228	0.0181854	0.0266104	0.0258581	0.0278787	0.0446933	0.0502868	0.0533419	0.0530994	0.0656192	0.0521603	0.0332973	0.030878	0.0275348	0.0253041	0.0505128
argent	0.0340543	0.0277645	0.0255583	0.0246469	0.015199	0.0265636	0.0195939	0.0155965	0.0197464	0.0209088	0.0200425	0.0129343	0.0149148	0.0115787	0.0180147	0.0131522	0.0180312	0.0103275	0.00914246	0.0185241	0.0132225	0.0159802	0.01505	0.015452	0.0224706	0.0178323	0.0194468	0.0213913	0.0183807	0.0885497	0.0342619	0.0411323	0.0374773	0.043848	0.0568323	0.0292367	0.0476838	0.0270298	0.0329774	0.0254499
de	0.0553054	0.0641723	0.0684295	0.0546565	0.0296213	0.0200854	0.0277312	0.020343	0.00711614	0.00655818	0.00468172	0.00285317	0.00382785	0.00371453	0.00533908	0.00287708	0.00500016	0.00374982	0.00201894	0.00281803	0.00212748	0.00172483	0.00213782	0.00271244	0.00159198	0.00144701	0.00153691	0.00158127	0.00198271	0.00661013	0.00425061	0.0186886	0.0251185	0.0281725	0.0496159	0.0349644	0.041854	0.0335578	0.105006	0.244419
