 	a66	a87	a97	a87	a97	a79	a54	a37	a6	a37	a93	a4	a70	a96	a93	a4	a93	a53	a69	a54	a6	a36	a61	a12	a96	a98	a47	a36	a0	a53	a4	a53	a15	a6	a37	a26	a82	a40	a36	a37	a44	a70	a11	a54	a37	a26	a36	a2	a30	a57	a10	a87	a97	a87	a97	a87	</S>
les	0.013861	0.0263261	0.0268895	0.0309364	0.0382122	0.0379747	0.0341448	0.0561168	0.0564227	0.0514313	0.0398304	0.0421758	0.0237753	0.0292182	0.0346595	0.0255022	0.0455375	0.0206364	0.0380907	0.0267418	0.01675	0.0213282	0.0239421	0.0194219	0.023102	0.0108299	0.014289	0.00582322	0.00480838	0.00583966	0.00435268	0.00314396	0.0056162	0.00576036	0.00532524	0.00866667	0.00630478	0.00418944	0.00421276	0.0021777	0.00167414	0.00154839	0.00140282	0.00136336	0.00215356	0.00227759	0.00491823	0.00591524	0.0076179	0.00729848	0.00835641	0.00876201	0.00559444	0.00833919	0.00792459	0.00831685	0.0221692
enfants	0.00189181	0.00629803	0.00755511	0.0107141	0.0187608	0.0139637	0.011635	0.0127877	0.0189304	0.0321261	0.0236717	0.034204	0.0278239	0.0604511	0.064446	0.0422486	0.0437603	0.0999219	0.0478048	0.0495704	0.0533521	0.0124951	0.0234944	0.0151713	0.0271137	0.0189526	0.0179658	0.0140886	0.0157101	0.0225682	0.00690693	0.0100195	0.0115974	0.00760048	0.00993452	0.0116833	0.0094238	0.0184172	0.0140052	0.0049968	0.00440953	0.00742861	0.0176352	0.00387508	0.00281557	0.00216198	0.000302566	8.36038e-05	0.000140797	8.92451e-05	0.00012364	0.000248004	0.000390336	0.000833182	0.000879909	0.00197755	0.00254275
de	0.0414673	0.0376725	0.0257691	0.0315818	0.0283136	0.0237425	0.0216344	0.022643	0.0239388	0.0252925	0.0284693	0.0287482	0.0227572	0.0142127	0.019999	0.0223084	0.029246	0.0260116	0.0321703	0.0282225	0.0503868	0.0279044	0.0454555	0.0397113	0.0437817	0.0405549	0.035701	0.0234801	0.0213862	0.0106803	0.00583541	0.0045033	0.00457088	0.00732353	0.00617776	0.00476068	0.00656323	0.00688481	0.00833199	0.00435777	0.00224349	0.00122413	0.00216678	0.00131184	0.00101291	0.000883425	0.00125782	0.000571058	0.00104966	0.00121782	0.00143202	0.00252033	0.00469068	0.00856149	0.0185811	0.0122769	0.00644625
cette	0.0127234	0.00529047	0.00438076	0.00640391	0.00497983	0.00680888	0.00776533	0.0107507	0.00810691	0.00324063	0.00180173	0.00233332	0.00262758	0.00343452	0.00551065	0.00609127	0.00513556	0.00577026	0.0069701	0.0108457	0.0114382	0.0129488	0.0146753	0.0168643	0.0145838	0.0154256	0.0248523	0.0201308	0.0257631	0.0164944	0.0106032	0.0106321	0.00643193	0.00900796	0.00639573	0.00538171	0.00405109	0.0033063	0.00368883	0.00655469	0.00705454	0.0146647	0.00931742	0.0155622	0.0156608	0.0217169	0.0189873	0.0168716	0.040557	0.0417039	0.0409371	0.0534944	0.0819206	0.0669554	0.0624337	0.0810348	0.0509262
femme	0.0104903	0.0109941	0.0123131	0.013878	0.0116857	0.023006	0.0379939	0.0372971	0.0387978	0.0166438	0.00966336	0.010149	0.0128369	0.0153985	0.0108019	0.0166548	0.0104646	0.0103781	0.0143063	0.00763042	0.0180113	0.0165962	0.0185399	0.0209527	0.0325145	0.0308453	0.0473993	0.0382831	0.0571978	0.027605	0.0220215	0.0194247	0.0224599	0.0147384	0.0160451	0.0224558	0.00760485	0.00633792	0.00582243	0.00404845	0.00571695	0.0195035	0.0107856	0.00382809	0.00279683	0.012281	0.00977281	0.00624084	0.0103898	0.0141088	0.0106968	0.0133216	0.0167009	0.0227267	0.0295651	0.0257434	0.00553371
jetaient	0.00832639	0.00496601	0.00497307	0.00638139	0.00511844	0.00875992	0.0182074	0.0129596	0.0111097	0.00886921	0.0058564	0.00814401	0.00954406	0.0109991	0.0162604	0.020033	0.0270838	0.0344261	0.040261	0.0460089	0.0841542	0.0649487	0.0622466	0.0553175	0.0580316	0.0583043	0.0309923	0.0314112	0.0407574	0.0288048	0.0193865	0.0216504	0.015734	0.0094141	0.00851781	0.00455595	0.00312371	0.00430705	0.00527482	0.00526237	0.00642341	0.0102951	0.00943916	0.00630691	0.00370752	0.0100667	0.00362571	0.00219392	0.00149878	0.00151196	0.00149332	0.00215203	0.002414	0.00295106	0.00608159	0.00346466	0.00589089
les	0.0291437	0.0136034	0.00655423	0.00644911	0.00362352	0.00388718	0.00254606	0.00479566	0.00510897	0.00839716	0.0122457	0.0137509	0.0156171	0.00852893	0.0301217	0.0184826	0.0294007	0.0237331	0.0418779	0.063199	0.0496098	0.0512752	0.056474	0.0670197	0.0515646	0.0341005	0.0375826	0.027731	0.0250429	0.027641	0.00914964	0.010371	0.012792	0.0122765	0.00500457	0.00409268	0.00527323	0.00424102	0.00335916	0.0136184	0.00806574	0.011155	0.00706078	0.00752996	0.00476085	0.0133895	0.00665918	0.00700603	0.00897337	0.00976858	0.00901891	0.00944339	0.00700809	0.00673923	0.0139107	0.00836662	0.011858
écorces	0.0317462	0.0135477	0.00633968	0.00568574	0.0033702	0.00518996	0.00692614	0.00644338	0.00684904	0.00259463	0.00393747	0.00834803	0.00592918	0.0059298	0.0201045	0.0177331	0.0236182	0.0185449	0.0318343	0.0382499	0.0404778	0.0665194	0.0677412	0.080328	0.049632	0.0735011	0.0442717	0.0307378	0.0203609	0.0125767	0.00350653	0.00425685	0.00674713	0.00827762	0.0040696	0.00456574	0.0048528	0.00354445	0.00190786	0.00480801	0.00166605	0.00226451	0.00219981	0.00193341	0.00261366	0.00597736	0.00129307	0.00202923	0.00540466	0.00586866	0.00915057	0.0282782	0.0278425	0.0353682	0.0335639	0.0280863	0.0108547
d'	0.0258093	0.0103411	0.00547384	0.0057216	0.00646442	0.00810246	0.00736568	0.00859335	0.00660182	0.0044649	0.00506028	0.00858308	0.00899917	0.00729942	0.0187384	0.0278976	0.021025	0.0225643	0.0310857	0.031852	0.0329944	0.0392105	0.037941	0.0495008	0.028623	0.0254972	0.0386634	0.0265043	0.0145119	0.0115269	0.00325279	0.00388449	0.00536324	0.00559202	0.00506893	0.00333667	0.00430707	0.00483493	0.00397995	0.00465264	0.00165809	0.0017801	0.00186404	0.00185353	0.00306632	0.0110744	0.00356609	0.00241937	0.00920551	0.00798424	0.0157127	0.0437694	0.0505402	0.0546355	0.0677547	0.0713331	0.0304933
arachide	0.020751	0.0147303	0.0109108	0.00983467	0.00946577	0.0106438	0.00901201	0.00799686	0.00756662	0.00772431	0.00983727	0.0116581	0.0113027	0.0121416	0.0180319	0.0210406	0.022351	0.0206965	0.0196286	0.022546	0.0236337	0.0303018	0.0273423	0.0332966	0.0289517	0.0365418	0.0282319	0.029016	0.0287058	0.0199096	0.00943808	0.00954649	0.0127367	0.0122149	0.0148939	0.0177708	0.0167254	0.0220215	0.012848	0.0115591	0.00333877	0.0034166	0.00994007	0.00305196	0.00503735	0.00683118	0.00506461	0.0027537	0.00545433	0.00530506	0.00494624	0.0163185	0.0329531	0.0425328	0.0647528	0.0674229	0.0173235
