 	a66	a87	a23	a87	a23	a79	a44	a75	a47	a15	a79	a69	a58	a62	a12	a96	a90	a56	a25	a56	a21	a5	a43	a75	a85	a6	a37	a85	a47	a36	a2	a57	a87	a23	a50	a83	a75	a79	a98	a6	a36	a21	a12	a18	a25	a87	a23	a97	</S>
garde-	0.0209597	0.0375417	0.0431959	0.0397772	0.0540452	0.0360332	0.0379773	0.0500666	0.0175781	0.0267717	0.0196137	0.0221366	0.0255601	0.0347898	0.0245805	0.038945	0.0332364	0.0250683	0.0199955	0.0187641	0.0349788	0.0193207	0.0191481	0.0096528	0.012622	0.00864324	0.00616881	0.0051804	0.00592027	0.00639796	0.00747124	0.00970623	0.00856525	0.00712011	0.00674966	0.00482022	0.00741326	0.00802472	0.00930556	0.0140259	0.0202637	0.0255024	0.0188898	0.020705	0.0129158	0.0136573	0.0129576	0.0150201	0.0222167
toi	0.00782294	0.00650621	0.010371	0.0116569	0.0120384	0.0365306	0.0442431	0.048567	0.0441132	0.0288642	0.022124	0.0323456	0.042914	0.0377176	0.0283222	0.0290981	0.0164903	0.0256011	0.0375328	0.0239783	0.0239108	0.0364891	0.0330469	0.0291467	0.0234524	0.0454201	0.0236247	0.0511031	0.0502258	0.0284196	0.0207137	0.0214928	0.0137711	0.0129998	0.00433649	0.00198053	0.00392299	0.00324035	0.00350602	0.00273103	0.00301695	0.00408952	0.00139808	0.000919309	0.00145389	0.00238431	0.00277438	0.00281005	0.000782016
d'	0.0224373	0.0156876	0.0207217	0.0213596	0.0197428	0.0276384	0.0469815	0.0653916	0.116348	0.0622978	0.0433532	0.02437	0.0517728	0.0167322	0.013401	0.013069	0.0140125	0.011522	0.0103197	0.0112287	0.0137937	0.0142183	0.0141245	0.0141406	0.0126805	0.0222495	0.0270187	0.0202699	0.0170263	0.016089	0.0209329	0.0140406	0.0113034	0.0108244	0.00527659	0.00567108	0.00636217	0.00267495	0.00295606	0.00345114	0.0060756	0.0107459	0.00604368	0.00804608	0.00965246	0.0214791	0.0196135	0.0246555	0.0101965
attraper	0.0189538	0.00976994	0.0068813	0.00660822	0.00554	0.00757874	0.00992448	0.0309047	0.0641233	0.0730768	0.0398229	0.0398607	0.0430184	0.0229627	0.0249479	0.026255	0.0254354	0.0171975	0.0186286	0.0182286	0.0157463	0.0122491	0.0164887	0.010982	0.00985842	0.0122937	0.00667633	0.0113015	0.0120011	0.00703568	0.00899268	0.00676388	0.00395468	0.00462529	0.00453201	0.00644277	0.00680011	0.00998675	0.0132891	0.021885	0.0172387	0.0173943	0.032207	0.0331309	0.0350929	0.0377071	0.0374265	0.0422682	0.0359104
le	0.0622171	0.0337509	0.0288895	0.0236201	0.0194857	0.0245971	0.0260335	0.0334943	0.0374987	0.0329614	0.0262978	0.0247443	0.0264118	0.0207454	0.0220633	0.0252298	0.0227912	0.0218839	0.0227241	0.0244061	0.0205391	0.0240263	0.0215626	0.0187178	0.0243422	0.0217991	0.0202854	0.0157816	0.0214443	0.0214	0.0257436	0.020407	0.0156928	0.0194998	0.0133281	0.012376	0.0123027	0.00409506	0.00461628	0.00634367	0.00698481	0.00951112	0.00634425	0.00715951	0.0103647	0.011701	0.0116601	0.0143194	0.0178059
silure	0.0111269	0.00492599	0.00444008	0.00518711	0.00770504	0.0089293	0.00942968	0.00891414	0.0125788	0.0370885	0.0252845	0.0301103	0.0267084	0.0290296	0.0439255	0.0276448	0.0416559	0.0275087	0.0338421	0.0475598	0.0300959	0.0443128	0.0430887	0.0528782	0.0501312	0.0402268	0.0409363	0.0273199	0.0220614	0.0158196	0.0120894	0.0121578	0.0137299	0.0124667	0.0178138	0.0117863	0.0103727	0.00728016	0.00889106	0.0103506	0.00647115	0.00705272	0.00492847	0.00537548	0.0105015	0.0081012	0.00890294	0.00944692	0.0118151
par	0.0242226	0.0152017	0.0116136	0.00867595	0.00806344	0.00968436	0.0130362	0.0145284	0.0148634	0.0213944	0.0340493	0.0295034	0.0383651	0.02688	0.0318405	0.027011	0.0329928	0.0258591	0.0222227	0.0321618	0.0283538	0.0349616	0.029991	0.0371156	0.0279845	0.0253529	0.0142784	0.0071299	0.00707993	0.00604502	0.00908812	0.0055612	0.00713602	0.0105916	0.00881309	0.00656092	0.00553918	0.00513383	0.0100477	0.0186654	0.0258454	0.0319704	0.0281654	0.0417571	0.0227214	0.0295944	0.0283654	0.0269447	0.0170365
la	0.0258385	0.0104279	0.00988477	0.00646565	0.00738006	0.00814424	0.00907399	0.0123291	0.0141431	0.0172886	0.0314263	0.0235566	0.0268021	0.0296056	0.033276	0.0375592	0.0413641	0.0433322	0.0364474	0.0410186	0.0393474	0.0430208	0.0413626	0.03205	0.0250395	0.0236881	0.0129771	0.00821344	0.0092169	0.00723598	0.00861569	0.0064485	0.00710546	0.00797573	0.00642029	0.00799304	0.00662966	0.00650637	0.0100062	0.0214689	0.0166253	0.0201595	0.0199122	0.0261001	0.0243114	0.0296804	0.0198158	0.0276745	0.0190352
queue	0.0158495	0.00868346	0.00810532	0.00851391	0.00953469	0.0100999	0.0120274	0.00867977	0.0126341	0.0145504	0.0262592	0.0257824	0.0245893	0.0237719	0.0447195	0.0302584	0.0315262	0.027757	0.0377292	0.042538	0.0293042	0.0499093	0.0360173	0.039245	0.0348976	0.0335166	0.0182153	0.0128184	0.0148953	0.0133339	0.0148322	0.0127106	0.010632	0.0110361	0.00622199	0.00676924	0.00748192	0.00781584	0.0114771	0.014494	0.0262233	0.0271582	0.0211321	0.0219945	0.0166284	0.023438	0.0192191	0.0257374	0.00923543
de	0.0260305	0.0164582	0.0106429	0.00831074	0.0105273	0.012392	0.0126048	0.00978324	0.0133507	0.0190579	0.0226416	0.0207859	0.0202899	0.0356333	0.0395751	0.0465843	0.0402401	0.0322358	0.0309633	0.0326969	0.0345271	0.0362119	0.0295746	0.0244965	0.0177865	0.0182775	0.0072974	0.00372614	0.00534548	0.00627249	0.00678085	0.00527326	0.00750801	0.0112648	0.0119074	0.00901526	0.0151247	0.00694981	0.0151449	0.0126911	0.0222883	0.0249735	0.0195325	0.0207634	0.0308595	0.0379496	0.0260961	0.0473538	0.0242032
