 	a66	a87	a23	a99	a13	a57	a53	a70	a75	a79	a7	a26	a93	a90	a69	a20	a47	a15	a7	a75	a21	a47	a62	a70	a75	a21	a56	a98	a85	a5	a18	a25	a3	a87	a23	a97	a87	a23	a99	a54	a92	a37	a98	a47	a85	a37	a75	a61	a43	a75	a92	a37	a56	a44	a11	a90	a92	a56	a11	a75	a92	a85	a0	a75	a21	a12	a18	a27	a90	a56	a96	a18	a38	a36	a2	a57	a87	a97	a99	a97	</S>
le	0.0306041	0.0202537	0.0304317	0.0375696	0.0349254	0.0200442	0.0280253	0.0199782	0.025944	0.0214896	0.0230357	0.0081486	0.0130877	0.0133823	0.0207288	0.0262772	0.0131927	0.0145037	0.0210792	0.0169972	0.0136801	0.0079233	0.00917313	0.0107284	0.010883	0.00892677	0.00931463	0.00839689	0.006567	0.00819115	0.00801053	0.00778153	0.00933638	0.00803392	0.0125397	0.010464	0.00983437	0.0134066	0.012224	0.0143585	0.0118747	0.016931	0.0131805	0.0122463	0.0118413	0.0157238	0.0115146	0.0145857	0.0159712	0.0148673	0.0107448	0.0127849	0.00518952	0.00807394	0.0050872	0.00486392	0.00467063	0.00772403	0.0113167	0.00812835	0.0102909	0.00517873	0.00631803	0.00599743	0.0051512	0.00321396	0.0021761	0.0028812	0.00376987	0.00507171	0.00430487	0.00465433	0.00888189	0.00638249	0.00463386	0.00616528	0.00673848	0.00828237	0.0096757	0.00859822	0.0248405
chef	0.00244452	0.00309746	0.0193803	0.0199403	0.0340449	0.0328724	0.093869	0.0491035	0.0648398	0.0798581	0.0446693	0.00849395	0.0962948	0.0273334	0.0186754	0.0144353	0.0178224	0.0157379	0.0210302	0.0193348	0.0154436	0.0148134	0.0101717	0.00921117	0.00751963	0.00549987	0.00936678	0.00921597	0.00648541	0.00173759	0.00326202	0.000765863	0.00410469	0.00144592	0.00332196	0.00308216	0.00448952	0.00550657	0.00341252	0.0023287	0.00371747	0.0053327	0.00487179	0.00546051	0.00236383	0.00355555	0.00177347	0.00229041	0.00852905	0.00527886	0.00509824	0.00541664	0.0106977	0.0070239	0.00155476	0.00694653	0.00996393	0.014154	0.00785256	0.00577687	0.00638691	0.00920371	0.0118242	0.0117095	0.0112212	0.00866399	0.00718075	0.00238835	0.000843412	0.000551792	0.00103499	0.00110606	0.000697349	0.000368768	0.000471941	0.000353453	0.000465435	0.000598152	0.00051837	0.00105002	0.00124015
du	0.0253216	0.0324042	0.0144847	0.0173395	0.0343877	0.0196251	0.0248552	0.0277358	0.0312693	0.034936	0.0555082	0.0383192	0.0368871	0.0800008	0.0631756	0.0144901	0.0230266	0.0118278	0.0321933	0.026644	0.0227979	0.0208028	0.0135976	0.017006	0.0244599	0.00850544	0.0088637	0.0203752	0.0128311	0.00197407	0.0031085	0.000890721	0.00746258	0.00118351	0.00366703	0.00341967	0.00381967	0.00348615	0.00248749	0.00265715	0.00258499	0.00416939	0.00214478	0.00250343	0.00154954	0.00231166	0.00147448	0.00233735	0.0035428	0.00474603	0.00353567	0.0040335	0.00904718	0.0117207	0.00386011	0.00712337	0.00433258	0.0038815	0.0144675	0.00433425	0.00378675	0.0111842	0.00641696	0.00539778	0.00301016	0.00393352	0.00367156	0.00389792	0.00623235	0.00371465	0.00227344	0.00363848	0.00444423	0.00216713	0.00103855	0.00398414	0.00227061	0.00283557	0.00185817	0.00134362	0.00137136
village	0.018917	0.00716623	0.00716479	0.00458504	0.00873785	0.0142101	0.0105076	0.0112235	0.0147069	0.00910964	0.0139979	0.00558308	0.00760132	0.011367	0.00580686	0.00481693	0.00480242	0.00549575	0.00845187	0.00802296	0.00746215	0.0105481	0.0061071	0.00778399	0.00481906	0.00345557	0.00620121	0.00580078	0.00809376	0.00523981	0.00627375	0.00500427	0.00505538	0.00534938	0.00682955	0.00654634	0.00910781	0.00640005	0.00551015	0.00402234	0.00838147	0.00762832	0.00844412	0.00673724	0.00362045	0.00802452	0.00918623	0.00649723	0.0115257	0.0103517	0.0107547	0.0165603	0.0184477	0.023983	0.0193125	0.0188308	0.02168	0.0183064	0.0167241	0.024264	0.0264344	0.0404886	0.0216066	0.0600006	0.0300714	0.0287755	0.0663054	0.0202981	0.0113719	0.00711398	0.00969032	0.00834022	0.00951101	0.00800366	0.00976749	0.0090579	0.00856928	0.0129623	0.010952	0.00952675	0.0140065
a	0.0130214	0.00908997	0.00781729	0.0104769	0.00812364	0.0101393	0.0117208	0.010466	0.00823069	0.00574125	0.0111382	0.00311684	0.00506204	0.00614726	0.00622377	0.00659865	0.00660281	0.00527764	0.0120969	0.00750906	0.00535209	0.0108149	0.00837175	0.0111998	0.0205884	0.0102512	0.0169412	0.0250106	0.0575528	0.0254336	0.0162756	0.0129392	0.0173982	0.00953071	0.0204573	0.0134682	0.00971606	0.0117641	0.0102581	0.00991561	0.0149124	0.0249021	0.0162114	0.0228265	0.0140609	0.0191265	0.0221126	0.0285533	0.0238788	0.0272675	0.0289306	0.0391777	0.0275376	0.0300658	0.0221783	0.0161206	0.0195054	0.0143621	0.0121995	0.0132214	0.0119125	0.00734664	0.0050149	0.00535604	0.00414993	0.00360531	0.0047078	0.00438283	0.00287118	0.00126542	0.00119998	0.00199554	0.00259506	0.00125092	0.000858143	0.00182963	0.00172547	0.00258125	0.00299076	0.00225949	0.00511055
établi	0.0059987	0.00520531	0.00211192	0.00136485	0.00150242	0.00120912	0.00316711	0.0046435	0.00248974	0.00241751	0.00468214	0.00408006	0.00324643	0.00642341	0.00523124	0.00543227	0.00958963	0.00961153	0.0157038	0.0130578	0.00774052	0.0140974	0.0124744	0.0152625	0.0174592	0.00754414	0.0140261	0.0223099	0.0263848	0.0163377	0.0136198	0.0117404	0.0167531	0.00922392	0.0171053	0.0144143	0.0112038	0.013145	0.0154298	0.0140422	0.0285555	0.0239503	0.0233784	0.0268725	0.0266013	0.0279939	0.0299106	0.0290263	0.0274727	0.0363007	0.0400345	0.0350448	0.0349368	0.0348712	0.0304809	0.0232137	0.0201967	0.0172272	0.0185326	0.00875543	0.00651427	0.00850014	0.00443482	0.00481539	0.00279043	0.00260729	0.00150876	0.00158689	0.00164801	0.00151718	0.0013917	0.00276277	0.00330146	0.00174179	0.00153302	0.00204956	0.00164705	0.00214625	0.00230216	0.00159354	0.00276889
une	0.0053517	0.00505986	0.0024763	0.00232791	0.00348396	0.00212701	0.00443984	0.00553926	0.00343326	0.00405667	0.00855132	0.00439467	0.00329888	0.00658593	0.00612245	0.00549726	0.00780291	0.0090684	0.0142541	0.0136488	0.00872271	0.0163665	0.0192663	0.0170029	0.0225345	0.0101323	0.0140039	0.0259599	0.0321039	0.019031	0.0151893	0.0153346	0.0185717	0.0105992	0.0154971	0.0174141	0.0140456	0.0148565	0.0200999	0.0196518	0.0251724	0.0271006	0.0219319	0.0225313	0.0202722	0.0179071	0.0228188	0.0218736	0.0202803	0.0287786	0.0311801	0.0287022	0.0253516	0.0309149	0.025084	0.0219131	0.016768	0.0152418	0.0190262	0.00666258	0.00476843	0.00554556	0.00257234	0.00350279	0.00212199	0.00158186	0.00090632	0.00154548	0.00245553	0.00289618	0.00329264	0.00487806	0.00611929	0.00438883	0.00760779	0.00584711	0.0043163	0.00559179	0.00518768	0.00335253	0.00810622
loi	0.00427869	0.00366593	0.000979547	0.00072947	0.00152801	0.00122034	0.00244117	0.00214821	0.00337577	0.00396929	0.00570774	0.00315395	0.00451792	0.00618071	0.00621027	0.00962538	0.00595352	0.0117168	0.00822679	0.00940523	0.00816466	0.0139283	0.0101185	0.0158541	0.0166166	0.0126292	0.0154281	0.0177799	0.0132521	0.0254164	0.0152657	0.0304616	0.0134143	0.0256806	0.0272469	0.0194494	0.0149813	0.0141074	0.0180025	0.0142576	0.0321496	0.0216211	0.0200504	0.023214	0.0187021	0.022974	0.0406871	0.0182553	0.0175453	0.0308024	0.0454983	0.0279321	0.0382487	0.0486903	0.0359176	0.0216903	0.0207392	0.010474	0.00948919	0.00468378	0.00470432	0.00581441	0.00280884	0.00374236	0.00209777	0.00170881	0.00184697	0.00166687	0.00167515	0.000849377	0.000778644	0.00134885	0.00144442	0.00118907	0.00212526	0.00211361	0.00253562	0.00369569	0.00394283	0.00369677	0.00375987
selon	0.00878572	0.0065858	0.00380504	0.00361724	0.00466801	0.00531927	0.00898854	0.00899695	0.00791565	0.00655648	0.00884911	0.00609809	0.00886885	0.00909076	0.0118395	0.0144216	0.00643692	0.0206521	0.0164639	0.020612	0.0170577	0.0177965	0.0103632	0.0168785	0.0265777	0.0133607	0.017257	0.0216018	0.0136623	0.0232986	0.021881	0.0269139	0.016736	0.0258486	0.0366042	0.0277861	0.0203664	0.0193657	0.0170082	0.0121163	0.0233573	0.0258043	0.0235016	0.025898	0.0114218	0.0102945	0.0179269	0.0138317	0.011713	0.0201582	0.0252091	0.0165106	0.0157509	0.0173161	0.0156467	0.00831739	0.00838023	0.00509676	0.00548791	0.0029783	0.00248927	0.00286946	0.00157321	0.00206102	0.00127607	0.00125136	0.00118223	0.00134313	0.00147288	0.0022412	0.00134653	0.00168254	0.00442603	0.00151371	0.00444483	0.00492527	0.00754299	0.0127116	0.0101252	0.0145171	0.0233514
laquelle	0.0101781	0.00712701	0.00658713	0.00646342	0.00663361	0.0077704	0.0122196	0.0135071	0.0119585	0.0092958	0.00964868	0.00613304	0.00902229	0.00687999	0.00893601	0.00920971	0.00642901	0.0147627	0.014625	0.014461	0.00962631	0.00985586	0.00774399	0.0101206	0.0140273	0.0118008	0.0107709	0.0120527	0.0101423	0.0204403	0.0144866	0.024548	0.0114963	0.018906	0.0201931	0.0164472	0.0109713	0.0111528	0.00884167	0.00817156	0.0130214	0.0163197	0.0164949	0.0189956	0.0113208	0.0117189	0.0172546	0.0140717	0.0115222	0.0145173	0.0200628	0.0152962	0.0133512	0.0155143	0.0152759	0.0112583	0.00905768	0.00788256	0.00807866	0.00500121	0.00440055	0.00542722	0.00389699	0.00443978	0.00306608	0.00322569	0.00299235	0.00309915	0.00391925	0.00521241	0.00323341	0.00331376	0.00921521	0.00333133	0.00857801	0.0141719	0.0192093	0.0292683	0.0288677	0.0425017	0.0789704
