 	a66	a87	a23	a50	a62	a31	a24	a21	a47	a31	a47	a61	a75	a98	a6	a98	a85	a47	a36	a2	a61	a12	a21	a85	a47	a37	a79	a54	a79	a37	a92	a37	a88	a71	a9	a87	a23	a87	</S>
la	0.0726536	0.100906	0.0577594	0.0376127	0.051603	0.0434008	0.0411015	0.0473887	0.0280125	0.0211878	0.0180193	0.00992581	0.00791025	0.00954471	0.0173437	0.0124456	0.0163313	0.0115101	0.015727	0.0264549	0.0310726	0.0138435	0.0145746	0.00973085	0.0196764	0.0146833	0.00607351	0.0139075	0.0103412	0.0170464	0.0229012	0.0165896	0.0201129	0.0180515	0.0228768	0.035111	0.0185994	0.0223948	0.0255741
manière	0.00136066	0.00261254	0.00199777	0.00220953	0.00329158	0.00222976	0.00524422	0.00964215	0.0131167	0.0250722	0.0486736	0.076748	0.103847	0.112482	0.0998325	0.193679	0.159634	0.0603506	0.0595539	0.00229269	0.00167656	0.000915867	0.000400554	0.00151207	0.00181887	0.00305554	0.00150124	0.000811816	0.00133344	0.000659384	0.000282176	0.000372302	0.000211074	0.000237144	0.000169238	0.000141005	0.000183513	0.000571014	0.000275789
dont	0.0307677	0.0192661	0.0164632	0.0207417	0.0184805	0.0121992	0.0103529	0.0182221	0.0207907	0.034862	0.0681271	0.0443726	0.0522459	0.0828276	0.0567368	0.0740177	0.04208	0.0459194	0.0239899	0.0248216	0.0205112	0.011088	0.00836623	0.00266641	0.00791222	0.0070434	0.0173563	0.0201312	0.0578646	0.0288095	0.0103618	0.0188595	0.0107577	0.00868013	0.00776261	0.00780221	0.00709655	0.0185143	0.0111312
mon	0.0300676	0.0277352	0.0113164	0.0164927	0.0132122	0.0271021	0.0144171	0.0183531	0.0105837	0.0164357	0.0215784	0.0138013	0.022265	0.0229053	0.025477	0.0235383	0.0170445	0.0336946	0.0157217	0.0293909	0.0777127	0.0561235	0.0368464	0.011682	0.0244165	0.0136496	0.0128399	0.0191332	0.0153614	0.0255807	0.0259062	0.0218903	0.0556649	0.0463674	0.0188849	0.0605093	0.0222962	0.033348	0.010654
enfant	0.0448779	0.0184335	0.0093563	0.00718891	0.00721666	0.00393972	0.00336246	0.00446845	0.00334711	0.00271957	0.00523413	0.00608872	0.00380927	0.0124426	0.00803852	0.0219495	0.0217613	0.0390015	0.032306	0.0278986	0.0377221	0.0418556	0.0449625	0.0282417	0.0196633	0.0178859	0.0220209	0.0165022	0.0140072	0.0203971	0.0265708	0.0213157	0.0791232	0.0619574	0.0412785	0.0643417	0.0471171	0.0709203	0.0406762
s'	0.0324891	0.0235503	0.0281668	0.0197006	0.0135701	0.0128799	0.00687529	0.00838195	0.0128073	0.00933029	0.0190205	0.0250304	0.0239414	0.0275614	0.0268145	0.0334796	0.0243465	0.0416976	0.0307017	0.0392604	0.0534164	0.0446436	0.043198	0.0231336	0.026521	0.023719	0.0167729	0.020547	0.0160183	0.0229946	0.0108916	0.0299843	0.0344495	0.0268254	0.016799	0.0243166	0.0229835	0.0406937	0.0424865
est	0.0125657	0.00673714	0.00706748	0.00726678	0.00537163	0.00413365	0.00240941	0.00268096	0.00381438	0.00472924	0.00595136	0.00601052	0.00649642	0.00614286	0.00740455	0.00829526	0.00673379	0.0100981	0.0121356	0.0143129	0.0258238	0.0285592	0.02888	0.0405069	0.0333836	0.0301977	0.0337527	0.0526502	0.0315235	0.0545876	0.0278529	0.0655145	0.070692	0.12236	0.024659	0.0730369	0.0260997	0.0484657	0.0410964
noyé	0.0271868	0.0211271	0.0241465	0.0225718	0.0185412	0.0120915	0.0118662	0.00999667	0.0105379	0.00831601	0.00955861	0.00937417	0.0071309	0.00826227	0.0064974	0.00495823	0.00393409	0.004947	0.00559551	0.00775357	0.0157071	0.0140498	0.0165749	0.0111403	0.00952352	0.00872298	0.0130412	0.0189523	0.0115072	0.0381028	0.0507438	0.0426509	0.0894972	0.0998769	0.0473896	0.0952163	0.0434376	0.0518861	0.0875863
est	0.0192467	0.0167973	0.0189009	0.017605	0.0138529	0.010228	0.00998716	0.00838836	0.0106791	0.0062635	0.0099798	0.0122971	0.0104388	0.0145969	0.011422	0.0100787	0.00861055	0.015723	0.0176594	0.018756	0.024968	0.0229192	0.0241068	0.00923945	0.00813727	0.00840055	0.00948933	0.0125695	0.0115417	0.0285157	0.0502194	0.0535243	0.0634568	0.065398	0.0519871	0.0853996	0.0639059	0.0724264	0.0722837
mystérieuse	0.0194632	0.0161504	0.0151025	0.0144596	0.0117606	0.00820881	0.00837456	0.00737622	0.00995785	0.00606054	0.00791379	0.00872651	0.00758873	0.00751898	0.00615972	0.00730465	0.00761121	0.0121562	0.0153608	0.0187609	0.0232327	0.0212846	0.0290625	0.0138683	0.0129879	0.0107842	0.00939419	0.0149673	0.0106976	0.0289719	0.0311991	0.0328477	0.0421952	0.0691642	0.0471624	0.10255	0.0648754	0.083983	0.134756
</S>	0.0432774	0.0447342	0.0353193	0.0320879	0.0377181	0.0194524	0.0240281	0.0218565	0.0239076	0.0129533	0.0144205	0.0150856	0.0102983	0.0125286	0.00899484	0.0093886	0.0084633	0.0112309	0.012414	0.0165894	0.019928	0.0165205	0.0140499	0.0161047	0.0149828	0.0105638	0.00696378	0.0107397	0.00699228	0.0199074	0.0247502	0.0237886	0.0242547	0.0461835	0.0421149	0.0429774	0.0650921	0.0808494	0.0984877
