 	a23	a53	a4	a13	a53	a44	a11	a0	a75	a73	a20	a73	a0	a11	a44	a75	a47	a37	a44	a90	a75	a21	a47	a88	a9	a0	a21	a61	a70	a66	a57	a9	a87	a23	a87	</S>
fais	0.0249348	0.038646	0.0282136	0.0249295	0.0239602	0.0260813	0.0263915	0.026364	0.0175338	0.0243237	0.0384717	0.064532	0.0491388	0.100093	0.0331571	0.0206907	0.0238376	0.0176008	0.0253292	0.0131564	0.021565	0.0118722	0.015324	0.0191209	0.0102884	0.0161256	0.01117	0.0107542	0.0155932	0.014577	0.0213121	0.0240258	0.0261422	0.0295949	0.0352229	0.0699264
lui	0.0115193	0.021488	0.0128118	0.0148423	0.0488496	0.0701754	0.0602332	0.0567044	0.0221341	0.0300195	0.0401788	0.0501566	0.0241549	0.016779	0.0235076	0.0247012	0.0222092	0.0205339	0.0295383	0.02791	0.0269693	0.0247071	0.0238824	0.0249619	0.0208908	0.0254851	0.0182983	0.0170917	0.0161736	0.0313628	0.0164682	0.0256805	0.0273083	0.0290072	0.0290222	0.0142436
sentir	0.0256672	0.0239281	0.0163991	0.0227574	0.0564721	0.0854143	0.0590649	0.0783643	0.0366675	0.0258201	0.0280785	0.0242044	0.0263566	0.01648	0.0206586	0.0236638	0.0256699	0.0307118	0.0228032	0.0263985	0.0147597	0.00959259	0.00881604	0.0112378	0.00802455	0.00478902	0.00327949	0.00530592	0.00543698	0.00743621	0.0169446	0.0252703	0.0380847	0.0332013	0.0868085	0.0454321
les	0.0709545	0.0430392	0.0372731	0.0645852	0.0228726	0.0246692	0.020025	0.0195838	0.016265	0.0109578	0.0107917	0.0120055	0.0172479	0.0207397	0.0180341	0.0214814	0.0234129	0.0262577	0.0232556	0.0558436	0.0206778	0.0379385	0.0301983	0.0353861	0.0296215	0.0248483	0.0231183	0.0329758	0.0318067	0.0213509	0.043994	0.0273691	0.0243245	0.0240951	0.0179867	0.0150132
odeurs	0.0536661	0.0345315	0.0285813	0.0306709	0.020397	0.0314232	0.017734	0.0140255	0.0123032	0.0116793	0.00715677	0.00528814	0.0140727	0.011936	0.0129676	0.0118975	0.0122049	0.0177369	0.0134471	0.03221	0.0175226	0.0239384	0.0255454	0.0304764	0.0307922	0.0287133	0.0260763	0.03339	0.0331692	0.0412646	0.0654673	0.0634305	0.0690929	0.0471168	0.0442917	0.0257827
du	0.097161	0.0639131	0.0506355	0.0337763	0.0326545	0.0572865	0.0386091	0.0255095	0.0353349	0.0291931	0.0231496	0.0189392	0.0372648	0.0316619	0.017291	0.0250454	0.0213049	0.0258857	0.0220775	0.0327487	0.028375	0.0165182	0.012923	0.0128999	0.0102333	0.0104332	0.011435	0.0114334	0.0122801	0.0210555	0.0245923	0.0165034	0.0192277	0.0203741	0.028973	0.0233006
plat	0.080158	0.0507806	0.038303	0.0375314	0.0194489	0.0509466	0.0306635	0.0216853	0.02617	0.0297722	0.0232052	0.0132648	0.02978	0.0240757	0.0135931	0.0150377	0.0144213	0.0194648	0.0162686	0.0154081	0.0145233	0.0101148	0.0134414	0.014356	0.0112701	0.0162323	0.0198536	0.0261527	0.0537706	0.0475488	0.0517611	0.0302845	0.0496318	0.0227031	0.0383594	0.010018
que	0.0194138	0.0134415	0.0101118	0.0205567	0.01722	0.0160343	0.015222	0.0157223	0.0129466	0.0106301	0.0167968	0.0193811	0.0121976	0.0114846	0.00786625	0.00736319	0.00639082	0.0113676	0.0139452	0.00794987	0.00716847	0.0093394	0.0191606	0.0150956	0.0103977	0.013499	0.0215871	0.0354484	0.0446812	0.0489129	0.0670731	0.0894425	0.108614	0.0877116	0.0939219	0.061905
tu	0.0376233	0.0323927	0.0332315	0.0376308	0.0307804	0.0330265	0.0288763	0.0267694	0.0308351	0.0197914	0.0198509	0.0223692	0.0280291	0.0335137	0.0166873	0.0269585	0.0204074	0.0261569	0.0408179	0.0164778	0.0176926	0.0159093	0.0190603	0.0187096	0.0111563	0.0192905	0.0215237	0.0285479	0.0311818	0.0314526	0.0388055	0.0348716	0.0353079	0.0411705	0.0366863	0.0364074
as	0.0242154	0.0214662	0.022785	0.0219594	0.0244293	0.0234152	0.0182178	0.0222498	0.0225527	0.0139375	0.0164108	0.0144183	0.0150598	0.0145372	0.00801008	0.0131556	0.00878688	0.0127713	0.0274134	0.0153387	0.0156158	0.0196665	0.0236487	0.0228923	0.00735186	0.0171449	0.0185671	0.0192786	0.0278739	0.0341359	0.0471616	0.0694678	0.0867303	0.085527	0.0801586	0.0636486
préparé	0.0321286	0.0368158	0.0318584	0.0380436	0.0241098	0.0259276	0.0240568	0.0162413	0.0236901	0.00801994	0.00961581	0.00935431	0.0188226	0.0224795	0.0178448	0.0254366	0.0183481	0.0324809	0.0333023	0.0310727	0.0217124	0.0190953	0.0149275	0.0182351	0.00985837	0.0167757	0.0148912	0.028878	0.0409323	0.04036	0.0311679	0.0366607	0.0394276	0.0576191	0.0564022	0.0734067
</S>	0.0164115	0.00761313	0.00498522	0.00685319	0.00803704	0.00676913	0.00589602	0.00521911	0.00434875	0.00251809	0.00508799	0.00527368	0.00423863	0.00428834	0.0035621	0.0037603	0.00289395	0.00381056	0.0063482	0.00563728	0.00725944	0.00627442	0.00907508	0.0105724	0.00816361	0.00961836	0.0154681	0.0224614	0.0356729	0.0474458	0.0719025	0.100317	0.140887	0.118973	0.168053	0.114304
