 	a84	a87	a57	a87	a23	a44	a54	a98	a92	a85	a79	a98	a79	a92	a56	a93	a4	a11	a62	a96	a62	a21	a85	a92	a75	a56	a90	a92	a56	a12	a18	a71	a3	a99	a13	a57	a3	a99	a97	a87	a23	a97	a87	a23	a99	a57	</S>
son	0.0193409	0.0211888	0.0294037	0.0316996	0.0202734	0.0316813	0.0297521	0.0483903	0.0803209	0.0743876	0.134135	0.101327	0.0697913	0.0851603	0.0187021	0.0148908	0.0135231	0.00709126	0.00968801	0.0058684	0.00889154	0.00651883	0.00979943	0.00638333	0.00500299	0.00488687	0.00566805	0.00407014	0.00390585	0.00583413	0.00461877	0.0050769	0.00449683	0.00472048	0.00501775	0.00603839	0.00412964	0.00480513	0.00452373	0.00394623	0.00402643	0.0028033	0.00367892	0.00452306	0.00609282	0.00427242	0.0196519
fils	0.00233736	0.00331702	0.00713408	0.0185492	0.0381374	0.0568466	0.108991	0.152809	0.121186	0.099968	0.123296	0.0558197	0.0460273	0.0447232	0.0124396	0.0104198	0.00855638	0.00634237	0.00857401	0.00620044	0.00344785	0.00446388	0.00409753	0.00486341	0.00789025	0.00474159	0.0122909	0.00688342	0.00270442	0.00157704	0.000708739	0.000971302	0.00125576	0.00103519	0.00162188	0.00107066	0.000907325	0.000821822	0.00111514	0.000889251	0.000627982	0.000440067	0.000321408	0.000556718	0.000598653	0.00119196	0.00123025
est	0.045872	0.0244992	0.0226696	0.0217252	0.0270348	0.0226087	0.0285291	0.044293	0.0654116	0.0743043	0.0463992	0.0307136	0.0225251	0.0385838	0.0118721	0.00923112	0.0133458	0.0192409	0.0110878	0.0187886	0.0302848	0.0352146	0.0495984	0.0242133	0.0262374	0.0322014	0.0111118	0.00883513	0.00611036	0.00312672	0.00363028	0.00299945	0.00576545	0.00632906	0.00534322	0.00562214	0.00748684	0.00736938	0.00903599	0.01184	0.00843681	0.0130323	0.0121784	0.0205238	0.0200315	0.0219717	0.0127343
un	0.0105218	0.00521235	0.00300011	0.00153215	0.00270443	0.00237443	0.00368261	0.00431866	0.00515056	0.0124202	0.00654662	0.0167405	0.0124615	0.0156842	0.0384736	0.0553271	0.0504506	0.0500563	0.0181408	0.0543634	0.0527235	0.0697086	0.0801204	0.0768881	0.0548878	0.0544702	0.0368242	0.022817	0.0240123	0.0198414	0.0112942	0.0102842	0.00649092	0.00686586	0.00664544	0.00735437	0.00710935	0.00813529	0.00754647	0.00833658	0.00897434	0.00623115	0.00947191	0.00874654	0.00873804	0.00669045	0.0096294
grand	0.0159145	0.0230949	0.019613	0.020616	0.0290269	0.030851	0.0395268	0.0616014	0.0427791	0.0371632	0.0461038	0.0429139	0.0343499	0.0235797	0.025575	0.0223045	0.0130616	0.0142962	0.0187825	0.0172255	0.0212413	0.0191707	0.0179943	0.0302423	0.0335824	0.033173	0.0327537	0.0341316	0.0362604	0.0354288	0.0152126	0.0114022	0.00575244	0.00640315	0.00739948	0.007072	0.00602534	0.0047841	0.00896856	0.00819277	0.00436254	0.00577396	0.00494773	0.0116947	0.00685391	0.00587605	0.00692056
pêcheur	0.0111917	0.00630441	0.00639351	0.00894588	0.0156008	0.0201562	0.0312006	0.060709	0.0431623	0.0540813	0.0944039	0.055166	0.0510517	0.0382941	0.0335783	0.0369818	0.0209079	0.013548	0.0148832	0.0163081	0.0183309	0.0160028	0.0138875	0.017104	0.0181333	0.0170311	0.0170176	0.0189938	0.0190193	0.0268659	0.0162196	0.0151364	0.0108022	0.0103855	0.0103791	0.00669269	0.0101141	0.00776541	0.0129407	0.0132131	0.012161	0.010327	0.00952542	0.0132971	0.00930743	0.00976924	0.00670927
de	0.0249319	0.0135376	0.00913856	0.00625285	0.00500794	0.00725282	0.0108769	0.016672	0.0188694	0.0160712	0.02074	0.0260603	0.0183208	0.0235344	0.0416575	0.0325327	0.027516	0.0285336	0.0268372	0.0204042	0.0356736	0.0334479	0.0355047	0.0362283	0.0271281	0.0254124	0.0226361	0.0173518	0.014128	0.0238986	0.0175541	0.0122682	0.0122206	0.0112206	0.0155197	0.013054	0.0174014	0.0189765	0.0274203	0.0225198	0.0286715	0.0211867	0.0271688	0.0276222	0.022637	0.0183727	0.0200284
protoptère	0.039313	0.0193279	0.0193164	0.00998635	0.00788995	0.0051905	0.00812118	0.00903645	0.0140109	0.0178208	0.0158794	0.0360854	0.0155475	0.0147491	0.0350506	0.023266	0.0219799	0.0381377	0.034983	0.0209908	0.0401299	0.0388343	0.0300627	0.0255857	0.0259032	0.024446	0.0171128	0.0176981	0.0158486	0.0214937	0.0185153	0.0123874	0.0140332	0.00992225	0.016197	0.0145572	0.0168733	0.0134889	0.0206862	0.020405	0.02523	0.0167559	0.0170201	0.0271449	0.0335854	0.0297814	0.0296188
s	0.0339523	0.0225464	0.029069	0.0244694	0.0172243	0.0141258	0.019541	0.0240148	0.0328196	0.0176071	0.0223368	0.034577	0.0207759	0.0204741	0.0386097	0.0280185	0.0253757	0.0220565	0.0216198	0.0132301	0.021566	0.0209433	0.0181017	0.0225171	0.0204783	0.019125	0.0219961	0.0181894	0.0143029	0.0172517	0.0112939	0.00931053	0.00647303	0.00603436	0.0117193	0.0131669	0.0113722	0.00945835	0.0211138	0.018047	0.017224	0.017455	0.0167795	0.0430018	0.04235	0.0300706	0.0382144
à	0.0467866	0.0201896	0.0274731	0.0184144	0.0104122	0.0104959	0.0129645	0.012168	0.015954	0.00811845	0.0139314	0.023849	0.0152892	0.0148995	0.0208773	0.02257	0.0232616	0.0196589	0.0208719	0.0224156	0.0291568	0.0295288	0.031056	0.027779	0.0224115	0.0228977	0.0193342	0.0184268	0.0174689	0.0206636	0.0217088	0.0113807	0.0116679	0.012112	0.0143432	0.0121133	0.0127246	0.00945451	0.0179781	0.0165624	0.0184391	0.0188587	0.0188219	0.0368809	0.0556204	0.0384361	0.053573
