 	a66	a87	a23	a13	a57	a30	a13	a70	a4	a57	a13	a44	a79	a44	a96	a5	a36	a18	a66	a18	a36	a27	a82	a87	a23	a87	a97	</S>
le	0.0813174	0.0773534	0.0631975	0.0649434	0.0468726	0.0593185	0.0307273	0.0397964	0.0746334	0.0419638	0.017123	0.0133102	0.0128395	0.0113995	0.0128024	0.0302423	0.0166593	0.0146965	0.0304494	0.0298378	0.0255547	0.0204629	0.017608	0.0166338	0.0238501	0.0278357	0.0274467	0.0711245
voleur	0.0121362	0.0249047	0.0440047	0.0638348	0.167706	0.140026	0.0978566	0.100407	0.0879009	0.115316	0.0358307	0.0336484	0.0157105	0.00684546	0.00528966	0.00669563	0.00453677	0.00254523	0.0042742	0.0032438	0.00334687	0.0034813	0.00333748	0.0019333	0.00357498	0.00324279	0.0068323	0.00153825
s'	0.0664928	0.050288	0.0500036	0.0584191	0.0719057	0.07523	0.0754915	0.0586992	0.075744	0.114796	0.0454552	0.0457138	0.0437056	0.0197068	0.0202899	0.019412	0.0217203	0.00824087	0.00962444	0.0111367	0.00988014	0.0106865	0.00782426	0.00552487	0.00485239	0.00750535	0.00872858	0.00292268
éclipse	0.0200682	0.00907876	0.00802141	0.00795235	0.00699174	0.0199735	0.0223303	0.0312079	0.0536804	0.0741295	0.113217	0.0729331	0.162308	0.088335	0.0684202	0.0364849	0.0376661	0.0179116	0.0256041	0.0173728	0.0136708	0.0115144	0.0115375	0.0106896	0.0123059	0.0107994	0.012528	0.0232677
sur	0.104588	0.0865002	0.0672144	0.0671789	0.0366504	0.0340118	0.0332791	0.0297264	0.0527681	0.0435758	0.0322938	0.0549446	0.0716598	0.0388596	0.0175816	0.0176933	0.0129094	0.0235267	0.0223517	0.0345447	0.0152025	0.0133694	0.0130059	0.0116392	0.0135864	0.00897152	0.0200578	0.0223089
la	0.0325315	0.0164752	0.00883102	0.0163823	0.00984528	0.0113168	0.0127399	0.0244643	0.0493343	0.040655	0.0213799	0.0138282	0.0321243	0.0346972	0.0449002	0.0233742	0.0358418	0.0494329	0.074596	0.0658293	0.0448191	0.0444699	0.0301457	0.0295324	0.0411524	0.0395168	0.0481189	0.103665
pointe	0.0330981	0.0134311	0.00688138	0.00771426	0.00964792	0.00819884	0.00613523	0.00691468	0.00845563	0.0130134	0.01249	0.0136915	0.0271294	0.0293408	0.0382119	0.0223303	0.0479536	0.0700041	0.0656613	0.123744	0.0917604	0.0788122	0.0546885	0.051134	0.0514426	0.0471199	0.0421816	0.0188129
des	0.0357454	0.021793	0.0113909	0.0187541	0.0179556	0.0173605	0.0113621	0.00771439	0.0102486	0.00911203	0.00944053	0.00849225	0.0216358	0.0159645	0.0202423	0.0205763	0.0396198	0.055579	0.0544224	0.101051	0.119448	0.0917139	0.0485468	0.0396425	0.0497329	0.0600352	0.049433	0.0329867
pieds	0.0161587	0.00823992	0.00550578	0.00701417	0.0092028	0.00959732	0.00819765	0.00417885	0.00365765	0.00430241	0.00474434	0.00641986	0.00842119	0.00970415	0.0130258	0.0161064	0.025411	0.032436	0.061503	0.0986027	0.107954	0.115328	0.0919091	0.061778	0.0931505	0.0972848	0.0632435	0.0169224
</S>	0.0428566	0.0385609	0.0274294	0.0136919	0.0160453	0.0157455	0.0102621	0.0113559	0.0155195	0.0119926	0.00891446	0.00603968	0.0126755	0.0137425	0.0107931	0.0205543	0.020127	0.0193316	0.032543	0.0523369	0.0686258	0.0556507	0.0608489	0.0623755	0.0852299	0.0635886	0.0794004	0.123762
