 	a87	a85	a87	a23	a3	a87	a97	a87	a23	a62	a47	a88	a31	a47	a31	a21	a47	a88	a61	a21	a93	a75	a4	a57	a75	a21	a12	a96	a75	a5	a18	a38	a62	a21	a61	a18	a9	a87	a23	a87	</S>
la	0.0424964	0.0349698	0.0174744	0.0193969	0.0201584	0.0310308	0.0188036	0.0413184	0.0721477	0.037617	0.102493	0.0537209	0.0318994	0.0203701	0.0194616	0.0141083	0.0119483	0.010485	0.0107993	0.0101963	0.0136089	0.0114746	0.0134744	0.0108579	0.0183499	0.00954041	0.00897445	0.00988767	0.00950889	0.00982367	0.0213932	0.0339378	0.0361531	0.0175582	0.0244743	0.0200323	0.0172075	0.0114161	0.0215586	0.0232012	0.0366707
manière	0.000654575	0.00133652	0.00171825	0.00243398	0.00370234	0.00858145	0.00764626	0.0201907	0.0406831	0.0264453	0.0878229	0.0957004	0.0359987	0.0949104	0.0791899	0.0843391	0.111939	0.0640949	0.0650786	0.0444639	0.0245289	0.0211718	0.032549	0.0190425	0.0116811	0.00216915	0.00161486	0.00179795	0.00132585	0.000559164	0.000732325	0.00182729	0.000369385	0.000689035	0.000448059	0.000393476	0.000332018	0.000232783	0.00069452	0.000635911	0.000274801
dont	0.128992	0.0648553	0.0478832	0.0282877	0.0129576	0.0205071	0.0205879	0.0236823	0.0270808	0.0225626	0.0667888	0.056004	0.0523433	0.0529993	0.0540013	0.0334863	0.0246385	0.0239238	0.0176136	0.0169543	0.012351	0.0158392	0.0119577	0.00954097	0.0137348	0.00681881	0.00854596	0.00489273	0.00641678	0.00716054	0.00320999	0.00381541	0.00218318	0.014907	0.00732054	0.00955948	0.0112714	0.0162357	0.0131813	0.0156468	0.00926075
il	0.0274887	0.0426686	0.0255177	0.019502	0.00787642	0.00657648	0.00843463	0.00823766	0.00814362	0.0189838	0.038199	0.0210539	0.0369875	0.0202088	0.0504972	0.15515	0.0766561	0.0653997	0.0362668	0.0333591	0.0212628	0.0229399	0.0225197	0.0120128	0.016407	0.014702	0.0104473	0.0102268	0.0103302	0.0101111	0.0137775	0.0122716	0.016614	0.0124314	0.00839545	0.019288	0.00738998	0.0189607	0.0120074	0.0123969	0.0083
est	0.0171919	0.0167299	0.0159338	0.0120193	0.0153352	0.0192304	0.0287342	0.0197842	0.0226542	0.0402796	0.0308861	0.0297362	0.0513916	0.0386381	0.0533463	0.100422	0.0631363	0.0840493	0.0657164	0.0728756	0.0437396	0.026984	0.0285562	0.00802933	0.00976588	0.0142141	0.00700753	0.00369635	0.00433878	0.00319384	0.00415663	0.00700507	0.00250741	0.00334561	0.00164132	0.00346077	0.0032444	0.00651029	0.0095409	0.00748316	0.00348831
parti	0.0340389	0.0263787	0.0222912	0.027872	0.0154306	0.0280594	0.0388853	0.0375332	0.0355924	0.048483	0.0221619	0.0457053	0.0741286	0.0356082	0.0470945	0.0639555	0.038911	0.0345632	0.0290957	0.0242182	0.0179574	0.0175395	0.0134082	0.00666246	0.00749507	0.0135648	0.0129622	0.0080338	0.0100923	0.00649627	0.0179052	0.0206951	0.00684823	0.00719593	0.00635892	0.0103086	0.0136748	0.0111601	0.0172598	0.0201546	0.02422
m'	0.0386181	0.0336494	0.035075	0.0523657	0.0295081	0.0390824	0.0359131	0.0286625	0.0279026	0.0219005	0.0157219	0.0343256	0.0341591	0.0258874	0.0299954	0.0326687	0.0223785	0.0241578	0.0280854	0.0288046	0.0239606	0.0236445	0.0218871	0.0126988	0.015547	0.0190304	0.01955	0.00854252	0.00999811	0.00530799	0.0132999	0.0191074	0.00742366	0.0154987	0.0157146	0.0155754	0.0170208	0.0283556	0.0307767	0.028454	0.0297445
a	0.0427068	0.0401338	0.0338608	0.0431483	0.0188224	0.0192363	0.0217511	0.0168792	0.0142295	0.0150538	0.0109214	0.00799039	0.00977934	0.00688199	0.00611897	0.00832422	0.00858007	0.0087654	0.00999482	0.00904679	0.0094528	0.0111059	0.00729012	0.00794986	0.0142419	0.0124702	0.0157721	0.018072	0.0263552	0.0254939	0.0302162	0.0341199	0.0382909	0.0460236	0.0472334	0.0390766	0.042745	0.064869	0.0388384	0.0393798	0.0787777
énervé	0.0434224	0.0391652	0.023	0.0232159	0.0155864	0.0156889	0.0129263	0.010436	0.00873094	0.00759296	0.00620272	0.00522341	0.0116121	0.00702941	0.00680386	0.0102414	0.00931578	0.0123702	0.0152299	0.0151162	0.0160009	0.0211236	0.0168936	0.0114666	0.0109474	0.0144405	0.0123377	0.0125261	0.0194243	0.0163874	0.0346006	0.0419349	0.0343665	0.0306531	0.0309741	0.0525628	0.0360479	0.0647252	0.0651642	0.0809522	0.0775605
</S>	0.0270834	0.0178696	0.0113929	0.0114775	0.00963504	0.0106332	0.00869152	0.0083086	0.00594562	0.00576141	0.00301112	0.00468099	0.0115696	0.0107584	0.0113534	0.0125072	0.0122103	0.0162296	0.0161091	0.0178304	0.0173795	0.0212925	0.0174903	0.0114938	0.00902547	0.0120255	0.0102261	0.011698	0.0174439	0.0194218	0.0311872	0.0294039	0.034917	0.0315492	0.0385006	0.0632937	0.0418126	0.0786304	0.080764	0.106064	0.0833219
