 	a15	a66	a87	a23	a99	a50	a88	a21	a92	a56	a92	a79	a37	a12	a61	a12	a96	a11	a93	a70	a13	a62	a88	a9	a87	a23	a87	</S>
j'	0.0703675	0.0441769	0.0373558	0.0223878	0.0169383	0.0126499	0.00851148	0.00741903	0.0092682	0.0120597	0.0104813	0.00989161	0.00950308	0.0210758	0.0190811	0.0162605	0.0136306	0.0154045	0.0589086	0.0785194	0.0721962	0.0610555	0.0533155	0.0525544	0.04975	0.0797861	0.0502833	0.0871678
ai	0.0617962	0.0335575	0.0379798	0.0549889	0.0594347	0.067093	0.0444678	0.0402367	0.0576152	0.0362804	0.0266416	0.0309366	0.0312749	0.0312292	0.0308494	0.0286545	0.0251229	0.033779	0.0170079	0.0247056	0.0196756	0.0247263	0.0242489	0.021741	0.0280985	0.0235242	0.0467936	0.0375401
vu	0.0298682	0.0306273	0.0347773	0.0279957	0.0458512	0.0701066	0.0489554	0.0330058	0.046099	0.0285665	0.028113	0.0255143	0.0138405	0.0132846	0.0112511	0.00983452	0.0117241	0.0128372	0.00961205	0.0133376	0.0170657	0.0346816	0.0463154	0.0561197	0.0523997	0.0746509	0.126778	0.0467871
un	0.0648687	0.0261414	0.0214531	0.0145964	0.0270067	0.0241561	0.0264376	0.0247066	0.0239531	0.0210924	0.0478308	0.0420589	0.0245677	0.0166412	0.041475	0.0569464	0.0754207	0.0701923	0.0463211	0.0425452	0.0510766	0.0338656	0.0299805	0.0330672	0.0274787	0.0203568	0.0338674	0.0318956
scolopendre	0.0328123	0.0460957	0.0387531	0.0330272	0.0314166	0.0261221	0.0200557	0.0207397	0.0267741	0.0346017	0.0750074	0.0687992	0.0559943	0.0158758	0.0190528	0.0220553	0.0611379	0.0575436	0.0556323	0.0236274	0.0599994	0.0159542	0.0291514	0.0363841	0.0249609	0.0274846	0.022479	0.0184621
au	0.0541541	0.0725319	0.0551645	0.0372758	0.0432858	0.0424575	0.0324541	0.026782	0.0257426	0.0293109	0.0373439	0.0281863	0.0291026	0.0132905	0.0211198	0.0203147	0.0257737	0.0281623	0.0524393	0.0415621	0.0636792	0.0367707	0.0370236	0.0344786	0.0317432	0.0271161	0.0291064	0.0236277
dessous	0.0913141	0.0596344	0.0319587	0.0177419	0.019869	0.0162061	0.0137906	0.00898222	0.014212	0.0206194	0.0285029	0.0232478	0.0247753	0.0182364	0.0318039	0.0231828	0.0307097	0.0296886	0.0441413	0.0555334	0.0483136	0.0533732	0.0584183	0.0663303	0.042363	0.0441656	0.0569101	0.0259753
du	0.129346	0.0731439	0.0335941	0.0152819	0.0198248	0.0125878	0.0159332	0.0135943	0.00892095	0.00910454	0.00649886	0.0037065	0.00240864	0.0015022	0.00795856	0.00525102	0.0168148	0.0231144	0.112951	0.0580234	0.0796634	0.0379889	0.0744136	0.0617653	0.0488917	0.0390055	0.0569999	0.0317107
lit	0.0556084	0.0221214	0.0150501	0.00597583	0.00912625	0.0044758	0.00815405	0.0115603	0.0173973	0.0117808	0.0148861	0.00900904	0.00683806	0.00806975	0.0184649	0.0164446	0.0561011	0.0582383	0.12534	0.113577	0.0717321	0.0389778	0.0767075	0.0616149	0.0530665	0.0303702	0.0582768	0.0210353
</S>	0.0551252	0.0369353	0.0277254	0.0149552	0.0212045	0.0128903	0.0227213	0.0195419	0.0182349	0.00984026	0.0105459	0.00918509	0.00722686	0.00559939	0.0122254	0.00838206	0.0325328	0.0307761	0.0516763	0.0419986	0.0274438	0.0448256	0.0848098	0.105138	0.0820689	0.0765935	0.0957043	0.0340934
