 	a23	a87	a23	a87	a23	a24	a32	a26	a75	a14	a35	a66	a38	a75	a35	a85	a75	a14	a41	a35	a24	a62	a35	a41	a25	a87	a23	a87	a79	a21	a61	a41	a75	a14	a44	a84	a57	a13	a99	a87	</S>
il	0.114238	0.0780242	0.078698	0.0426917	0.0314891	0.0310509	0.0219387	0.0163106	0.0209802	0.015296	0.0127913	0.0124057	0.0133699	0.0157805	0.0141643	0.0122619	0.0119743	0.0119984	0.00979663	0.00732797	0.0113507	0.0130335	0.00855525	0.0106415	0.00959103	0.00842684	0.0116002	0.0160597	0.0170257	0.0139385	0.0175508	0.011473	0.0120986	0.0149723	0.0392316	0.0335117	0.0313801	0.0334323	0.0326154	0.0208823	0.0600407
y	0.00504285	0.0070545	0.00675947	0.0118355	0.0145612	0.0346295	0.0463903	0.0289825	0.0467073	0.0282182	0.0213882	0.0110222	0.0140888	0.0124164	0.0139432	0.0175669	0.0221445	0.0181242	0.0154452	0.00898498	0.0264152	0.0270739	0.0223342	0.0323373	0.022761	0.0146283	0.0215584	0.0190709	0.0222107	0.0229164	0.0258647	0.0317632	0.0449113	0.0529572	0.0410049	0.0420993	0.0287245	0.0313613	0.0237111	0.0318597	0.0291305
a	0.0380005	0.0368408	0.0250019	0.0155069	0.00966575	0.0145898	0.0119077	0.00697379	0.00679406	0.00275475	0.00228704	0.0018599	0.00151458	0.00434263	0.00269119	0.00263606	0.0026849	0.00481119	0.00294569	0.00262554	0.00400995	0.00655264	0.00705674	0.00775196	0.00851445	0.00621939	0.0112633	0.00915852	0.0120069	0.0178695	0.0199309	0.0165493	0.0290849	0.0676111	0.0973311	0.0849006	0.103331	0.0898973	0.0564307	0.0665542	0.0815414
un	0.0476651	0.0566511	0.055933	0.0508385	0.0498716	0.037984	0.0320152	0.024235	0.0256126	0.0234208	0.0249584	0.018051	0.0280052	0.0244856	0.0287829	0.026647	0.0171245	0.0211492	0.0172277	0.026677	0.0129428	0.0152612	0.0229031	0.0197876	0.0233945	0.0333259	0.0231198	0.0339376	0.0320989	0.0256085	0.0225197	0.0225637	0.0109239	0.00921181	0.00753753	0.00745495	0.00837592	0.00684139	0.00598466	0.00976817	0.00910298
tas	0.0673752	0.0557225	0.0576143	0.0560457	0.060977	0.0822837	0.061049	0.062749	0.0290733	0.0292055	0.0179116	0.0157462	0.0234774	0.0327575	0.0203634	0.0278463	0.0175166	0.0167451	0.0180705	0.0215566	0.0167248	0.0180111	0.0235582	0.0248856	0.0180802	0.0177639	0.012373	0.0102964	0.00815048	0.00884997	0.00844213	0.00549501	0.0046478	0.00492288	0.00585273	0.00754547	0.00592812	0.00431395	0.00563644	0.007098	0.00733748
de	0.0789477	0.0747127	0.0803137	0.0698122	0.0911158	0.0735656	0.0370743	0.0182028	0.0144769	0.00974802	0.0129171	0.0121075	0.0134719	0.0160299	0.0118631	0.0110898	0.00875791	0.0111782	0.0109127	0.0104084	0.00834281	0.0187962	0.0126	0.0129183	0.0145829	0.0121451	0.0115771	0.0143327	0.0125192	0.0145059	0.0169771	0.0137207	0.0150188	0.0113275	0.0206624	0.0236239	0.0180351	0.0198898	0.0212537	0.011793	0.0286718
balayures	0.0728193	0.0471511	0.0464329	0.0476962	0.043957	0.0385466	0.0371259	0.0213368	0.0173444	0.0068076	0.00283884	0.00232141	0.00444356	0.00686153	0.00691656	0.0101771	0.00702936	0.00588342	0.00780964	0.0127166	0.0118355	0.0181191	0.0188004	0.022131	0.0224077	0.0373925	0.0387271	0.0347975	0.0300051	0.029294	0.0224028	0.0194712	0.0251113	0.0180486	0.0245089	0.0306161	0.033971	0.0275624	0.036464	0.0308681	0.0212498
près	0.122662	0.0961426	0.0833355	0.0635702	0.044769	0.0243501	0.0178173	0.0076662	0.0104473	0.00603191	0.00450137	0.00446493	0.00435728	0.00700697	0.00594589	0.00437683	0.00446752	0.00337559	0.00363686	0.00410192	0.00416976	0.00631553	0.00463973	0.00458033	0.00416366	0.00368105	0.00371132	0.00390153	0.00340902	0.00342739	0.00389274	0.00553181	0.0136813	0.0181814	0.049635	0.0472833	0.0622901	0.0765248	0.0639754	0.0346983	0.0592793
du	0.065718	0.0574658	0.0458744	0.0348466	0.025369	0.018804	0.0157371	0.00580605	0.00908918	0.0066096	0.00416903	0.00410011	0.00567644	0.00668249	0.00838403	0.00940103	0.00871237	0.00831194	0.00897379	0.00946258	0.0119702	0.0202911	0.0166711	0.0156337	0.0151935	0.00911412	0.0100501	0.00920399	0.00750014	0.00721775	0.00786265	0.0114782	0.0198135	0.031052	0.0468455	0.0509791	0.0593038	0.0554069	0.0719294	0.0467695	0.11652
village	0.0354481	0.0282783	0.0291889	0.0246056	0.0214015	0.020262	0.0123161	0.00596423	0.00954254	0.00596994	0.00423616	0.00434681	0.00523452	0.00681786	0.00944364	0.00818511	0.0096688	0.00885505	0.0125638	0.0103353	0.0159535	0.0196038	0.021661	0.0234993	0.024462	0.0175096	0.0237983	0.0257012	0.0342745	0.0342465	0.0503028	0.0591634	0.0500879	0.0514336	0.0377761	0.0382445	0.0399034	0.0351261	0.0364981	0.0415601	0.0465301
</S>	0.0608549	0.0208667	0.0222158	0.0139529	0.0109639	0.0151418	0.0120631	0.0109281	0.0105585	0.00711213	0.00643769	0.0063627	0.00960275	0.0158909	0.015591	0.0105702	0.0110006	0.0136797	0.0162429	0.0121785	0.0121201	0.0112789	0.014301	0.0131914	0.0114093	0.00805627	0.00724824	0.00566626	0.00686262	0.0108091	0.0186603	0.0310514	0.0212012	0.0505492	0.0676863	0.067716	0.0856456	0.0847959	0.058598	0.061779	0.0491594
