 	a66	a87	a97	a83	a98	a85	a6	a75	a92	a85	a6	a36	a85	a37	a47	a34	a75	a85	a47	a0	a75	a34	a75	a92	a75	a61	a96	a70	a13	a9	a3	a97	a9	</S>
mon	0.026718	0.023583	0.0168434	0.0224275	0.0172924	0.0293198	0.0435516	0.114031	0.0846509	0.0505655	0.0711816	0.0265469	0.0216152	0.0191998	0.0154464	0.0151721	0.0270894	0.0315166	0.0392744	0.0468542	0.0373375	0.0313636	0.018594	0.0136102	0.0206724	0.016033	0.0185002	0.0199145	0.0110956	0.0125211	0.0143549	0.0151782	0.0113961	0.0165495
épouse	0.00457259	0.00610675	0.00955789	0.0100277	0.028745	0.0646409	0.12083	0.140199	0.108438	0.126425	0.107758	0.0734085	0.0499461	0.0299291	0.017676	0.00235745	0.00299258	0.0108159	0.00470348	0.0145877	0.00968882	0.00787643	0.00959523	0.00545835	0.00498599	0.00232843	0.00297513	0.00150825	0.00294525	0.00423109	0.00369963	0.00287349	0.00412627	0.00399026
m'	0.0642969	0.0377444	0.0546394	0.0567264	0.0703349	0.0594888	0.0728151	0.0519872	0.068933	0.060492	0.0409964	0.0460094	0.0389009	0.0247968	0.022667	0.00395196	0.00275439	0.00678878	0.00248522	0.0101982	0.0104787	0.0115721	0.0118253	0.00981378	0.0149798	0.0117466	0.0152394	0.00717464	0.0197173	0.0138852	0.0220652	0.0131832	0.0205137	0.0207977
a	0.0330713	0.0122743	0.0140356	0.00653913	0.0120549	0.010022	0.0115913	0.0137654	0.0209244	0.0161554	0.0170505	0.0242485	0.0297291	0.0394436	0.0629529	0.0735798	0.0762016	0.0646581	0.0344063	0.0475103	0.0593383	0.0639594	0.0375752	0.014946	0.0195297	0.0168547	0.0084418	0.0173707	0.0208993	0.0260425	0.0229668	0.0225434	0.0280307	0.0212873
emballé	0.0763089	0.046759	0.0465057	0.0392239	0.0318708	0.0309495	0.0255991	0.0256287	0.0258957	0.0269099	0.0272083	0.0397603	0.0607937	0.0530963	0.049456	0.0589926	0.067549	0.0476188	0.0311625	0.0290801	0.0378013	0.0410816	0.0235	0.0113345	0.0068578	0.0045916	0.0027589	0.00479636	0.00347016	0.00340118	0.00425959	0.00285538	0.00452969	0.00839308
du	0.0721128	0.0531642	0.0575125	0.0327955	0.03384	0.0249536	0.0166498	0.0128281	0.0144223	0.00967905	0.0113009	0.0169845	0.0264931	0.0268825	0.029108	0.0327135	0.0287149	0.0260685	0.0259214	0.0202335	0.0280403	0.0319278	0.0239215	0.0277162	0.0352502	0.0356568	0.017759	0.0385011	0.0173229	0.0195473	0.0327769	0.0334148	0.0213302	0.0644563
poisson	0.0565168	0.0277534	0.0447848	0.0245705	0.0297562	0.0214544	0.0144391	0.0118516	0.0107727	0.0170164	0.0149142	0.0320712	0.0500755	0.0399679	0.0650911	0.0661723	0.058251	0.057751	0.0403675	0.0395288	0.0376168	0.0446706	0.0298331	0.0160581	0.0214649	0.0178195	0.00899521	0.0129756	0.0106155	0.0168739	0.0149786	0.01162	0.0189913	0.0143805
dans	0.0727039	0.0501884	0.0378376	0.0256017	0.0325157	0.0200558	0.0173404	0.0218691	0.0190336	0.0251688	0.0200965	0.0283426	0.0336103	0.0295068	0.0465949	0.0576296	0.0640654	0.0640243	0.056024	0.0322804	0.0287572	0.03097	0.0227247	0.0167576	0.0276257	0.0196648	0.0144878	0.0138065	0.00853749	0.0105691	0.0170862	0.00833177	0.0117336	0.0144579
la	0.0451554	0.0339564	0.0323343	0.0300622	0.0310326	0.0244085	0.0209545	0.0160758	0.016397	0.0114774	0.016295	0.00935501	0.0133639	0.0208508	0.0177152	0.0177167	0.016256	0.0131175	0.0133091	0.00937065	0.00761422	0.00954554	0.0135483	0.0257312	0.0465356	0.0639823	0.0293771	0.0675246	0.0396829	0.065078	0.0532648	0.0509843	0.0420171	0.0759099
grosse	0.0477794	0.0255028	0.031479	0.0274161	0.0262057	0.0198655	0.0135372	0.0153707	0.0104401	0.0142843	0.022046	0.0212384	0.0225944	0.0348858	0.0439457	0.0602601	0.0440865	0.0256848	0.0168844	0.0157387	0.0160848	0.0151688	0.0171552	0.0248413	0.0244463	0.0323253	0.0317312	0.0404527	0.0206369	0.0568501	0.0340458	0.0407087	0.0327468	0.0735603
feuille	0.0726264	0.0424168	0.0470961	0.0455009	0.0499301	0.0406684	0.0296124	0.0257221	0.0148819	0.0203929	0.0180599	0.0162762	0.0172685	0.0243003	0.0298507	0.0309002	0.0254418	0.0233108	0.0167986	0.0181371	0.0215529	0.0225297	0.0221162	0.0267897	0.0313997	0.0368695	0.0208136	0.0297736	0.0154898	0.0339833	0.0254332	0.0302742	0.0260739	0.0477088
sauvage	0.0454732	0.0336276	0.0243365	0.020075	0.0271678	0.0169726	0.0248128	0.0250102	0.0187369	0.0209807	0.017949	0.0182596	0.0276402	0.0268873	0.0207917	0.034273	0.0321563	0.0168016	0.0281216	0.0297384	0.0305404	0.0295625	0.0334459	0.0501465	0.0773639	0.0505311	0.024575	0.0383671	0.0196035	0.0289986	0.0176775	0.028792	0.015192	0.0453921
lendubhu	0.0785496	0.0579637	0.0383898	0.0396995	0.0426841	0.0367766	0.0421453	0.0340471	0.0235844	0.0269947	0.0222246	0.0278738	0.0339665	0.027229	0.0175035	0.00747669	0.00468439	0.0105263	0.00673226	0.0151917	0.0262657	0.0314335	0.0320675	0.0377062	0.0439921	0.0396203	0.0200269	0.0177658	0.0160359	0.0252049	0.0223504	0.0264183	0.0217423	0.0451267
</S>	0.0638895	0.0427581	0.0296041	0.0280967	0.0281756	0.0229585	0.0201689	0.0151764	0.0113635	0.00992775	0.0083092	0.00909815	0.0165845	0.0205318	0.0136724	0.0177709	0.0209037	0.0118374	0.0208709	0.0219237	0.0225703	0.0262603	0.0288059	0.0447847	0.0533127	0.0518379	0.0284246	0.0482719	0.0378393	0.0562418	0.036892	0.031866	0.0339816	0.0652896
