 	a66	a10	a82	a9	a87	a23	a87	a99	a53	a20	a44	a93	a56	a93	a70	a44	a96	a11	a75	a41	a56	a90	a96	a94	a18	a75	a41	a27	a11	a83	a66	a83	a99	a50	a70	a13	a9	a53	a44	a4	a99	a38	a50	a83	a9	a99	a3	a87	a9	a87	a23	a87	a23	</S>
va	0.0267326	0.0229683	0.0214211	0.0182038	0.0116075	0.0199088	0.0114231	0.02767	0.0457975	0.0199787	0.0217985	0.0159964	0.0234526	0.017571	0.0159483	0.0211161	0.0313478	0.0286206	0.037932	0.0313567	0.0483329	0.0281827	0.0141863	0.0164368	0.0272664	0.0121529	0.0254183	0.0205065	0.0160037	0.0161906	0.0111671	0.0118724	0.0143039	0.0132028	0.0129178	0.0156287	0.00842368	0.0158235	0.013586	0.0160753	0.010577	0.00742611	0.0110054	0.00895871	0.010169	0.00966821	0.0108001	0.00848602	0.00727863	0.0102359	0.00959005	0.0171272	0.0166451	0.0335028
coller	0.0158599	0.01527	0.0108993	0.0128792	0.0164176	0.0168084	0.0180728	0.0185431	0.0223207	0.0331555	0.0526181	0.0380792	0.0233404	0.0154225	0.016627	0.0116993	0.0159709	0.0145335	0.0122936	0.0225351	0.0138327	0.0160784	0.014787	0.016268	0.0150775	0.00935902	0.014446	0.00895793	0.0134732	0.00793266	0.00796876	0.0185478	0.0157492	0.013024	0.0192377	0.017431	0.0199318	0.0147891	0.0143942	0.0145208	0.0115505	0.0121872	0.0162167	0.0187024	0.0144126	0.0179927	0.0187019	0.0204908	0.0250469	0.0220476	0.0310525	0.0290943	0.0363385	0.0370127
cette	0.0134814	0.0154003	0.0156765	0.0149058	0.0132998	0.0135165	0.0136848	0.0165649	0.0226121	0.0183409	0.0302722	0.0480267	0.0391975	0.0406839	0.0574453	0.035902	0.0543782	0.0282573	0.0403517	0.0572999	0.0191704	0.0158325	0.0134822	0.030152	0.0177116	0.0178347	0.0179289	0.00906222	0.0130663	0.010934	0.0155117	0.0114692	0.0171894	0.0181608	0.0220161	0.0316028	0.0257426	0.00966813	0.00729522	0.00380228	0.00317425	0.00247071	0.00276577	0.00236151	0.00242864	0.00336545	0.00367367	0.00355407	0.0071452	0.00762292	0.0111324	0.00746956	0.0101197	0.0157855
feuille	0.0302754	0.0232367	0.026198	0.0188458	0.0083385	0.0118838	0.017562	0.0135723	0.0126961	0.00791339	0.00387646	0.00906904	0.0170806	0.0186153	0.0234855	0.0333815	0.0228625	0.0167148	0.0440102	0.0386148	0.00912655	0.0225801	0.0146082	0.0293181	0.0146869	0.0320244	0.0315388	0.0297171	0.0354708	0.0269411	0.0220702	0.0174978	0.0178798	0.019372	0.0174246	0.0188177	0.0194842	0.0126824	0.00948561	0.00955497	0.0155911	0.0126913	0.014137	0.0122864	0.0105685	0.0174531	0.0130913	0.0151075	0.0187333	0.0153688	0.0132372	0.0106354	0.00819434	0.0143905
sur	0.0288956	0.0225445	0.0314696	0.030897	0.0243828	0.0278857	0.0430342	0.0304888	0.0160623	0.00658613	0.0134345	0.0231601	0.0395288	0.0394707	0.0757041	0.0725324	0.0343978	0.0420678	0.0408332	0.0748284	0.0188622	0.0289279	0.0170563	0.0285333	0.0187589	0.0164398	0.0190711	0.0145524	0.0181158	0.0116781	0.0115675	0.00957319	0.00975687	0.0048342	0.00361712	0.00366376	0.0033756	0.00216409	0.00186823	0.00310862	0.00225168	0.001902	0.00137179	0.0008188	0.000985994	0.0013781	0.000929056	0.00133357	0.00159212	0.00218248	0.00251765	0.00249624	0.00599094	0.0105202
la	0.00658804	0.00493089	0.00357233	0.00282094	0.00250215	0.00270017	0.00235466	0.00314482	0.00475578	0.00196168	0.00587155	0.0068777	0.0247367	0.022535	0.0367543	0.0578012	0.0496451	0.0508933	0.0780491	0.104326	0.0239342	0.0989871	0.0418574	0.0368663	0.0271507	0.0550649	0.0377084	0.0160691	0.0338679	0.0237219	0.0183534	0.0119549	0.0152681	0.00471729	0.00265187	0.00345039	0.00550932	0.00252344	0.00414896	0.00235136	0.00414644	0.0058611	0.00286964	0.00490491	0.0042108	0.00414262	0.00455686	0.00314246	0.00484021	0.00522308	0.00430893	0.00329038	0.00598154	0.00354284
porte	0.0111043	0.00678602	0.00469956	0.00339414	0.00446163	0.00415963	0.00351802	0.00439416	0.0119455	0.00536229	0.00799696	0.0105414	0.0201555	0.0127999	0.0230932	0.0370073	0.0336018	0.0425654	0.0655891	0.0969356	0.0213152	0.10382	0.0415963	0.0396639	0.0296242	0.0630447	0.0352778	0.0128885	0.037103	0.0135804	0.011556	0.00985314	0.00846554	0.00204266	0.00174669	0.00268018	0.00309557	0.00213266	0.00440141	0.00279764	0.00510021	0.00821059	0.00428342	0.0100284	0.00590162	0.00804063	0.0137294	0.0117979	0.0144612	0.0117167	0.017421	0.0097913	0.0146722	0.00804859
de	0.0212575	0.0165972	0.0130042	0.00690331	0.0069161	0.00535406	0.00469232	0.00355809	0.00663836	0.00473609	0.0121639	0.0143312	0.0315311	0.0235137	0.0258714	0.0244098	0.0397449	0.0296219	0.0335112	0.0452796	0.0364051	0.048643	0.0342169	0.0242491	0.0175755	0.0145936	0.00955609	0.00347656	0.00712041	0.00296769	0.00201856	0.00397903	0.00548133	0.00323769	0.00428493	0.00736206	0.00891646	0.00817141	0.00709578	0.00461555	0.00390885	0.00432393	0.00463817	0.00698637	0.0100329	0.0217657	0.0388181	0.0247734	0.036547	0.0437078	0.048658	0.0447676	0.0484207	0.039049
la	0.0235092	0.0158188	0.0161751	0.00913198	0.0124164	0.00941652	0.00866004	0.00625866	0.00986491	0.00885766	0.0176714	0.0135662	0.0165905	0.0141974	0.0134142	0.0253291	0.0268502	0.0232613	0.0293457	0.0479186	0.0199269	0.0362624	0.0313665	0.0306851	0.022695	0.0183959	0.0120302	0.00536097	0.010995	0.00485126	0.00387724	0.00757876	0.00784283	0.00457658	0.00429332	0.00479046	0.00571032	0.00499901	0.0052525	0.00705931	0.00740372	0.0108497	0.0138639	0.0127092	0.017361	0.0291423	0.032272	0.0391602	0.0276302	0.0287489	0.0327103	0.0425847	0.0471514	0.0616091
maison	0.0160162	0.00887893	0.00750231	0.00631104	0.00682469	0.00840913	0.00545344	0.00736652	0.0101516	0.00776964	0.013067	0.0107085	0.0164252	0.0135712	0.0130429	0.0150358	0.022453	0.0263766	0.0269115	0.0269786	0.0216632	0.036765	0.0312582	0.0265459	0.0214599	0.0300726	0.0218639	0.0107436	0.0217341	0.0170858	0.0131968	0.0272601	0.0274955	0.0263213	0.0247164	0.0278472	0.0276246	0.0260328	0.0215444	0.0155042	0.0123347	0.0108769	0.00858039	0.010517	0.0128476	0.0178755	0.0233589	0.0169218	0.0260043	0.0207167	0.0160592	0.0207013	0.0237267	0.0334899
