 	a87	a23	a87	a23	a99	a30	a90	a25	a69	a4	a93	a56	a13	a62	a75	a66	a38	a98	a15	a94	a66	a76	a94	a90	a66	a90	a15	a56	a96	a90	a56	a70	a96	a25	a69	a53	a20	a7	a57	a87	a23	a87	a10	a9	a87	</S>
il	0.0110177	0.0162943	0.017865	0.0258367	0.0351084	0.0546731	0.042704	0.0591216	0.0636294	0.0465954	0.0584313	0.051273	0.0362766	0.0249452	0.0239864	0.0170685	0.0158888	0.00772356	0.0151634	0.0149498	0.0168077	0.0159185	0.0150953	0.0134663	0.0160048	0.0186531	0.016053	0.0143168	0.0110857	0.00854225	0.0107096	0.00967925	0.00888315	0.00957399	0.00996733	0.0152304	0.0160367	0.0167075	0.0266017	0.00950767	0.0205116	0.0167576	0.0144149	0.00810991	0.0111055	0.0117077
vient	0.00681209	0.0058165	0.00537702	0.00595506	0.00651413	0.014855	0.00784046	0.00665566	0.008513	0.0042385	0.00827219	0.0104052	0.0200382	0.0204608	0.0190373	0.0321265	0.024726	0.0256467	0.0255963	0.0261885	0.0250852	0.0168425	0.0128462	0.0113192	0.00907224	0.00725973	0.00888632	0.0123751	0.0121217	0.0138723	0.012551	0.0152891	0.017422	0.0157835	0.0262972	0.0348257	0.0650464	0.0514995	0.0536281	0.0839509	0.0440419	0.0443711	0.042023	0.0298583	0.0307327	0.017924
d'	0.0149425	0.011298	0.0177308	0.0169635	0.0130123	0.00403745	0.00285742	0.0013358	0.00154401	0.00160752	0.00204265	0.00220235	0.00215217	0.00517499	0.0040099	0.0046987	0.00845619	0.0092213	0.00601319	0.00614742	0.00326582	0.00371545	0.00312992	0.00509974	0.00333621	0.00402673	0.00318279	0.00261319	0.00357657	0.00341161	0.00221309	0.0032856	0.00706349	0.00709906	0.00603716	0.0143433	0.0130178	0.0184365	0.0472893	0.0297095	0.0687754	0.12277	0.141809	0.109449	0.125339	0.112557
emprunter	0.0694983	0.0265452	0.0208539	0.0166575	0.0189929	0.0137674	0.015859	0.012609	0.0109026	0.0113585	0.0177494	0.0114471	0.0254363	0.0319405	0.026154	0.0145203	0.0274487	0.0264528	0.0140183	0.0233167	0.0143045	0.0262442	0.0294785	0.0266149	0.0206077	0.0281189	0.0197214	0.0260016	0.0377099	0.0294569	0.0321762	0.0377812	0.0382512	0.0285133	0.0183466	0.0142171	0.0115721	0.010789	0.012676	0.0125186	0.0106741	0.00917132	0.0111772	0.0126511	0.017065	0.0286332
de	0.0573153	0.0280072	0.0170318	0.0127617	0.0120486	0.00856906	0.0102778	0.0111083	0.00783976	0.0224895	0.0132737	0.0196934	0.0177433	0.0249003	0.0219622	0.0234331	0.0345278	0.0188849	0.0172713	0.0216066	0.0121308	0.0103474	0.0145944	0.00882808	0.00822574	0.010528	0.00878772	0.0108889	0.00732107	0.0086256	0.00879084	0.011993	0.0119285	0.0184309	0.0151738	0.018816	0.0114742	0.0263518	0.0241787	0.021873	0.0471289	0.0328899	0.0394255	0.0678438	0.0486116	0.0940663
l'	0.0457969	0.0261144	0.0218178	0.0179331	0.012892	0.0124958	0.0125566	0.0137261	0.0166823	0.0201343	0.0157847	0.0140066	0.0146304	0.010283	0.0127807	0.0152706	0.0137241	0.0152858	0.0117721	0.0119523	0.00961333	0.00993729	0.0118535	0.01043	0.0102626	0.0130784	0.0112628	0.00975654	0.0105497	0.0120471	0.0169486	0.0177232	0.0223058	0.0222795	0.027865	0.0306087	0.0383695	0.0591579	0.033367	0.0329464	0.0547106	0.0345272	0.0464827	0.042044	0.0390641	0.0371692
argent	0.0271472	0.0173656	0.0128132	0.0117461	0.011412	0.010562	0.0109757	0.0102915	0.0122814	0.0136406	0.0160969	0.0263195	0.0464579	0.044337	0.0265984	0.0389663	0.0254287	0.0180335	0.0212623	0.0194662	0.0145615	0.0126423	0.0152355	0.012099	0.0102132	0.00988129	0.00748269	0.00854968	0.00704742	0.00755049	0.00784821	0.0113626	0.0109115	0.0164184	0.0167527	0.0304322	0.0223624	0.0338875	0.0279424	0.0320725	0.0439557	0.0327144	0.039126	0.048324	0.0485176	0.0509069
à	0.0478659	0.0245489	0.0223563	0.0166321	0.0108366	0.00500836	0.00376268	0.00446682	0.0043677	0.00493682	0.00596059	0.00606441	0.00525143	0.00912664	0.00740753	0.0136193	0.0193497	0.0174047	0.0280084	0.0192987	0.0200974	0.0223475	0.0306051	0.0230689	0.0174101	0.017659	0.0118	0.0120274	0.00922219	0.0123946	0.0101619	0.0187311	0.0171052	0.0145796	0.0211172	0.0314121	0.0379492	0.0382508	0.0519058	0.0267287	0.0426338	0.0386046	0.0510145	0.0518241	0.0444355	0.0506401
son	0.0335829	0.0233504	0.0187864	0.0133887	0.00846511	0.00405095	0.00326745	0.00256917	0.00225683	0.00249106	0.00266895	0.00406885	0.00616468	0.0103541	0.0111072	0.0134105	0.0167732	0.00969525	0.0173042	0.0150185	0.0197157	0.0157492	0.0166751	0.0157478	0.0141534	0.0165464	0.0158788	0.0147101	0.0203859	0.021175	0.0199135	0.0258351	0.0257785	0.0261379	0.0239741	0.0287741	0.0233515	0.0362938	0.0644956	0.0253234	0.0494053	0.0554687	0.0526823	0.0494987	0.0464899	0.0570661
oncle	0.0257385	0.0261663	0.0265901	0.0201068	0.0199067	0.0186962	0.0179027	0.015365	0.0101207	0.00790156	0.011926	0.0125116	0.0218754	0.0159567	0.0209135	0.0175791	0.0211589	0.0135037	0.0222439	0.0182902	0.025031	0.0174225	0.0174378	0.0152014	0.0173493	0.0157624	0.0148769	0.0139688	0.016962	0.015349	0.009615	0.0166411	0.0167871	0.017478	0.0113387	0.0162489	0.00947065	0.0136196	0.0472782	0.0128288	0.0365153	0.0450862	0.0412119	0.0451736	0.0462752	0.0806169
</S>	0.0500432	0.0382844	0.0406842	0.0269828	0.0227483	0.016081	0.00795802	0.00697605	0.00674513	0.00743422	0.00664561	0.00584473	0.0106441	0.0105081	0.0100288	0.0100052	0.0133928	0.0116011	0.0223311	0.0254728	0.0248885	0.0244603	0.0226994	0.0193429	0.0202116	0.0225704	0.0154135	0.0139802	0.0184507	0.0193062	0.00875232	0.014342	0.0153613	0.0123105	0.0142251	0.0165354	0.0132247	0.0181592	0.0523647	0.0152633	0.0338626	0.0330073	0.0327345	0.0372521	0.0381666	0.0927029
