 	a66	a87	a23	a53	a79	a36	a75	a92	a36	a75	a5	a37	a12	a93	a56	a43	a75	a21	a12	a18	a25	a97	a87	a10	a24	a96	a75	a85	a6	a36	a37	a96	a93	a94	a88	a62	a96	a94	a26	a82	a87	a23	a99	</S>
tous	0.0417716	0.0341289	0.0230242	0.0206376	0.0294052	0.0353662	0.0708308	0.0826377	0.0662827	0.0189097	0.0180091	0.0232975	0.060137	0.0299377	0.0169252	0.0151896	0.0137808	0.00928932	0.00872503	0.00767604	0.00763436	0.00613058	0.00573211	0.00829584	0.0110761	0.0089051	0.0117846	0.0221626	0.020929	0.0196851	0.0272887	0.0139079	0.0163413	0.0163907	0.00997475	0.00947696	0.0196952	0.0223672	0.0200861	0.0258665	0.0210954	0.0128774	0.0118647	0.0244699
le	0.00308629	0.00367629	0.00665923	0.0105676	0.0245317	0.0594102	0.0497561	0.0403088	0.0319314	0.0284346	0.0281406	0.0175135	0.016621	0.0169219	0.0304517	0.0493404	0.0246231	0.0335054	0.0209724	0.0188009	0.022453	0.0252709	0.0293219	0.0243399	0.0163665	0.017659	0.0148675	0.011052	0.00860256	0.00379999	0.00616345	0.00513592	0.00759488	0.0144515	0.0161527	0.0266629	0.0373379	0.0411237	0.0323576	0.0315582	0.0299183	0.0307569	0.0215334	0.0102662
village	0.00687023	0.00575202	0.00525827	0.00748745	0.0137336	0.0134498	0.0247167	0.0332156	0.0571366	0.0349982	0.0457274	0.0385214	0.0344961	0.0708123	0.0985182	0.0772224	0.0435156	0.031376	0.0171547	0.0305238	0.0293832	0.0295348	0.0510884	0.0405238	0.0319504	0.0246225	0.0167544	0.0104244	0.0115176	0.00991272	0.00589187	0.00637732	0.00460855	0.00314715	0.00242792	0.00179895	0.0021413	0.00325588	0.00273533	0.0030214	0.0036734	0.00629381	0.00562782	0.00280075
ne	0.030692	0.0294538	0.0176272	0.0129304	0.00617977	0.00796697	0.0129108	0.0138892	0.0167237	0.0141082	0.0295985	0.0327623	0.0410576	0.0433323	0.0248648	0.0247524	0.0240183	0.0310498	0.0385624	0.0722748	0.0625917	0.0526395	0.042872	0.0233333	0.0209374	0.0184223	0.0116207	0.00858328	0.0118447	0.00804242	0.00795467	0.00896239	0.00518415	0.00518756	0.00390435	0.00492339	0.00520644	0.00974499	0.0176427	0.0219137	0.0320742	0.0345094	0.0324073	0.0247423
lui	0.0480023	0.0200801	0.0111994	0.00492791	0.00491618	0.00438459	0.00759247	0.0128659	0.0105364	0.0287854	0.0221876	0.0281783	0.0477224	0.0553131	0.0677627	0.0301165	0.0573251	0.0484864	0.0392284	0.0396958	0.0231493	0.0193744	0.0231608	0.0209979	0.0201084	0.0138969	0.0124098	0.00752975	0.00807263	0.0107328	0.012507	0.0173558	0.0184322	0.0189183	0.00827211	0.0147577	0.0120175	0.0119194	0.0184282	0.0148003	0.0185913	0.0264306	0.0269479	0.0318822
adresse	0.00759131	0.00403627	0.00616092	0.00413488	0.007534	0.004274	0.00408106	0.00304562	0.00559771	0.0232031	0.0196836	0.0224714	0.0435475	0.0677156	0.0974701	0.0516387	0.0816632	0.0705197	0.0566213	0.0489025	0.0343226	0.0306647	0.0299138	0.0265865	0.0235158	0.0159116	0.0160454	0.00961807	0.00741636	0.0092109	0.010736	0.0109791	0.0106332	0.0111658	0.00891466	0.0104189	0.0108429	0.0111543	0.0117769	0.0121833	0.0145755	0.0177511	0.0145638	0.0112063
plus	0.0223144	0.0169673	0.0122798	0.0095669	0.00867817	0.00573692	0.00798579	0.00678203	0.00840923	0.0123665	0.0205209	0.0224584	0.0313323	0.0286225	0.0300393	0.0337958	0.044547	0.0461244	0.0453949	0.0488846	0.0394404	0.0301816	0.0295471	0.0261258	0.0281024	0.0220017	0.0203237	0.0153874	0.018088	0.0159795	0.0193332	0.0151553	0.0147145	0.012242	0.011377	0.0213114	0.02462	0.0203527	0.0313035	0.0304139	0.0248546	0.02076	0.0194741	0.0261033
la	0.0160765	0.0143683	0.00951887	0.00582573	0.00347594	0.00282933	0.00502621	0.00557147	0.00681617	0.00430081	0.00997923	0.0155873	0.0220791	0.0142869	0.0169427	0.0218174	0.0284574	0.0312432	0.0291651	0.0258636	0.0259578	0.0190049	0.0176232	0.012231	0.0231631	0.0219611	0.0208992	0.0184615	0.0171614	0.0142555	0.0179804	0.0164274	0.0143819	0.0152678	0.0212425	0.0214264	0.0282866	0.0491085	0.0507548	0.0768293	0.070884	0.0607807	0.038416	0.0382635
parole	0.00785125	0.00521057	0.00525701	0.00663503	0.0114543	0.0099749	0.0113054	0.00990998	0.0132065	0.0323965	0.0412398	0.0357073	0.0349178	0.0396047	0.0585427	0.0506882	0.0544831	0.0590267	0.0608099	0.0566553	0.0565439	0.0478552	0.033249	0.0236671	0.0262156	0.0237259	0.0186018	0.0115065	0.00995949	0.00627253	0.00451421	0.00492337	0.00501015	0.00389701	0.00395859	0.00471222	0.00454495	0.00768378	0.00920185	0.0133425	0.0162401	0.0234094	0.0207468	0.0153409
parce	0.0416542	0.0360616	0.0238496	0.0238349	0.0136246	0.012151	0.0173603	0.0119057	0.0102089	0.00624632	0.0136032	0.0212348	0.0232867	0.0217725	0.0258247	0.0370767	0.0398345	0.0375376	0.0195987	0.0249573	0.0206017	0.00964965	0.0079521	0.00510279	0.00917592	0.00864344	0.0104756	0.0133868	0.0125628	0.015116	0.0122503	0.0118365	0.0133746	0.0163099	0.014091	0.023194	0.0260095	0.031987	0.0482678	0.0321963	0.0427185	0.0654409	0.0417484	0.0462845
qu'	0.0809863	0.05901	0.0339591	0.0236632	0.0133652	0.0126089	0.0189323	0.0186514	0.018454	0.00725063	0.0132981	0.0267506	0.0339132	0.0296486	0.016707	0.0181379	0.0303652	0.0244507	0.0134873	0.0258423	0.0212815	0.0121307	0.0113508	0.00647061	0.017911	0.0157758	0.0219753	0.0310688	0.0245182	0.0164029	0.0140242	0.0132962	0.012885	0.0135081	0.01052	0.0154186	0.0163237	0.0207478	0.0265727	0.0196387	0.022676	0.039537	0.0368722	0.039612
on	0.0595643	0.0488578	0.0276701	0.0318436	0.00951107	0.00927487	0.0123388	0.0115166	0.0198034	0.00664824	0.0104071	0.0212348	0.0189725	0.0176258	0.0118403	0.014293	0.0226197	0.0203623	0.0113595	0.0188203	0.0206508	0.0110481	0.0112248	0.00748727	0.0157464	0.0154228	0.0176235	0.0299502	0.0348605	0.0243574	0.0233316	0.0186294	0.020079	0.017396	0.0111608	0.0181224	0.0215513	0.0293074	0.0305635	0.0258511	0.0372745	0.0522656	0.048324	0.0532074
l'	0.0532045	0.0251428	0.0187142	0.0237047	0.0171458	0.0117678	0.010178	0.00677909	0.00574659	0.00599781	0.00761614	0.00714452	0.00981193	0.0123332	0.015052	0.0197143	0.022116	0.0203533	0.0128277	0.0157548	0.014143	0.00995522	0.0100958	0.00797558	0.013992	0.0143447	0.0169729	0.0234397	0.0240169	0.0268107	0.021697	0.0197602	0.0210971	0.0218373	0.017362	0.0215328	0.0271639	0.0609196	0.0403252	0.0297535	0.0451822	0.08419	0.0816525	0.0246753
a	0.0247104	0.017386	0.0163205	0.024442	0.0285303	0.0366627	0.0253098	0.0106429	0.00639623	0.0104723	0.00566226	0.00281869	0.00791943	0.0105985	0.0148956	0.0236292	0.0171942	0.0143844	0.0096707	0.0088957	0.00831095	0.00655334	0.00589816	0.00560296	0.00795081	0.0102278	0.0129238	0.0204585	0.0197777	0.0207183	0.0161098	0.0180563	0.0208594	0.0264844	0.0230246	0.0259206	0.0261637	0.0606361	0.0373338	0.0354993	0.0543838	0.0982247	0.0840802	0.0382593
surpris	0.0102741	0.0101895	0.0121866	0.0179962	0.0158416	0.0302427	0.0254622	0.0149559	0.0153619	0.0221566	0.00853969	0.00463258	0.011596	0.013195	0.0127983	0.0240002	0.0172108	0.0138512	0.0126881	0.00990608	0.0109041	0.00918388	0.00833235	0.00753779	0.0088652	0.00966403	0.00928616	0.0141236	0.0181397	0.0263547	0.0298631	0.0258877	0.0368155	0.0394918	0.0213999	0.0348633	0.0302002	0.0465081	0.0414296	0.0469723	0.0607123	0.0572042	0.0458384	0.0573371
en	0.0182022	0.0145297	0.0129424	0.0232491	0.0170935	0.0334594	0.0297348	0.0134282	0.014891	0.0256063	0.0255082	0.0225153	0.0262991	0.0282608	0.0242924	0.0178381	0.0155543	0.010757	0.00834312	0.00816259	0.00908801	0.00783377	0.00620806	0.00467181	0.00581726	0.00651863	0.00705752	0.0134331	0.0160966	0.022043	0.0256791	0.0249636	0.0292626	0.0315022	0.0313115	0.0337434	0.0213067	0.0324365	0.0283008	0.0294891	0.0378129	0.0449474	0.0330888	0.10672
plein	0.0217577	0.0261252	0.0224286	0.047381	0.03151	0.0442991	0.0424925	0.0268341	0.02174	0.0328585	0.0325425	0.0332151	0.0302891	0.0307366	0.0245093	0.0188371	0.0159294	0.0115932	0.009392	0.010305	0.0096666	0.0100992	0.00778892	0.00625697	0.00678673	0.00734546	0.00895954	0.0148752	0.01559	0.0169539	0.0183368	0.0149354	0.0187062	0.018778	0.0204976	0.0221235	0.0170622	0.0258959	0.0232447	0.0240564	0.0275981	0.0332781	0.0278154	0.068573
vol	0.021428	0.013496	0.0173082	0.0306496	0.0172308	0.0166438	0.0227889	0.0137284	0.0138054	0.0184301	0.0228405	0.0222968	0.016126	0.0150347	0.0193783	0.0136541	0.00727179	0.00609488	0.00305553	0.00310608	0.00601986	0.00451833	0.00350209	0.00335151	0.00394637	0.00502585	0.00508804	0.0104919	0.0146869	0.0246638	0.0322035	0.0291034	0.0410702	0.0454882	0.0345971	0.0409348	0.0368031	0.0526485	0.0439207	0.0468512	0.0566484	0.0526799	0.0364474	0.0549415
</S>	0.00449502	0.00178393	0.00229914	0.00565149	0.010177	0.0214017	0.010999	0.00694334	0.00955512	0.0245969	0.0287361	0.012823	0.01269	0.0118424	0.0184531	0.0340681	0.00980663	0.00854524	0.00358548	0.0030494	0.00588246	0.00403275	0.00337112	0.00404372	0.00458387	0.00798344	0.00922651	0.0238444	0.0289467	0.0329391	0.0377494	0.032844	0.0482955	0.0570466	0.0594682	0.0612101	0.0613029	0.0683559	0.0361971	0.0348265	0.038298	0.0456124	0.0248364	0.0276007
