 	a66	a87	a23	a87	a23	a30	a4	a13	a75	a47	a61	a93	a44	a90	a98	a47	a0	a56	a98	a92	a21	a5	a21	a43	a47	a62	a88	a71	a10	a87	a23	a87	a23	a97	</S>
le	0.0218207	0.0261593	0.0313928	0.0349755	0.038407	0.0344362	0.0194757	0.0424823	0.0246547	0.0338108	0.0392468	0.0281005	0.0304208	0.0261129	0.0266321	0.0136876	0.00700696	0.00642894	0.00663053	0.0109258	0.0136242	0.0167246	0.0159482	0.0356391	0.0339099	0.0409067	0.0467507	0.060364	0.03496	0.0224336	0.0274703	0.0188161	0.0293444	0.0249932	0.0753073
chasseur	0.0059756	0.0129929	0.0365595	0.0554028	0.0494052	0.0201041	0.0341374	0.0270381	0.0362483	0.0842044	0.0754856	0.100835	0.0889783	0.104016	0.052738	0.0578061	0.0343859	0.0198307	0.0152823	0.0148703	0.00793939	0.00716438	0.017739	0.00513544	0.00537433	0.00524858	0.00291727	0.00246752	0.00109638	0.00213456	0.00317625	0.00362478	0.00344423	0.0051072	0.00113352
allume	0.0145997	0.00783143	0.0106314	0.0120547	0.0175776	0.0198788	0.0248146	0.0147185	0.029254	0.0510879	0.0487463	0.0671895	0.123977	0.165392	0.108163	0.0536244	0.0691791	0.0546545	0.0320559	0.0230405	0.00798989	0.00603201	0.0073254	0.00395093	0.00482893	0.00168814	0.000635682	0.00119181	0.000688768	0.00280349	0.00254697	0.00447723	0.00346013	0.00351958	0.00039064
le	0.0514455	0.027691	0.0151919	0.0141774	0.0110786	0.00905052	0.0129221	0.00833382	0.0233017	0.023259	0.0158634	0.0115785	0.0278539	0.0745031	0.0562274	0.0730243	0.0587956	0.0392144	0.0368929	0.0278759	0.0319477	0.0269063	0.0317394	0.0286068	0.0207154	0.0238508	0.0125753	0.0127063	0.0183046	0.0284995	0.0198549	0.0284231	0.0312432	0.034042	0.0323037
feu	0.0159189	0.0329267	0.0301486	0.0392212	0.0304775	0.0317022	0.0316153	0.0412725	0.0173077	0.0266474	0.0211958	0.0186772	0.0158511	0.0315607	0.0199419	0.0331917	0.0385394	0.0258749	0.0321253	0.0494973	0.0335341	0.0325837	0.0374381	0.0173633	0.0373063	0.0278974	0.026715	0.0342257	0.0314867	0.0334874	0.0271035	0.0264944	0.0197821	0.0192571	0.0116319
avec	0.0279155	0.0210355	0.00924802	0.0179904	0.0180513	0.0222415	0.023057	0.0516634	0.0202018	0.037516	0.0215324	0.0153244	0.0130669	0.0180364	0.0156264	0.0174982	0.0196441	0.0167531	0.020131	0.0339118	0.0436143	0.0440985	0.0532617	0.0448845	0.0568939	0.0410132	0.0342909	0.0474975	0.0320646	0.0209059	0.0284619	0.0203811	0.0245958	0.0284704	0.0391207
le	0.0298134	0.0163873	0.00950661	0.0129338	0.0136016	0.0168906	0.0209934	0.0531124	0.0283752	0.0385738	0.021102	0.0216253	0.024283	0.029317	0.02072	0.0170443	0.01401	0.0152329	0.0155896	0.0149929	0.0169176	0.02153	0.0179708	0.0322802	0.0320888	0.0307943	0.0366664	0.0559286	0.0622822	0.0489122	0.0435846	0.0415834	0.04444	0.038417	0.042499
briquet	0.0254078	0.0168246	0.0116373	0.0187217	0.0223882	0.0291894	0.0304174	0.0350895	0.0207021	0.0337682	0.01598	0.0178168	0.0217863	0.0352511	0.0478325	0.0422132	0.0378322	0.0486236	0.0576045	0.0386537	0.0214045	0.0236143	0.0279501	0.0299287	0.0517882	0.0300794	0.0259093	0.0497574	0.0213196	0.0186915	0.021818	0.0222385	0.0202852	0.0192141	0.00826072
indigène	0.0326654	0.0191103	0.0113818	0.00971764	0.00826032	0.0116027	0.00734376	0.0350279	0.0207961	0.0391466	0.0202565	0.02211	0.0305012	0.00977181	0.00950021	0.00354001	0.00412975	0.00543884	0.0106196	0.0154262	0.0280649	0.0240608	0.0238237	0.0466686	0.0493627	0.0322611	0.0352458	0.0931105	0.0422834	0.05006	0.0447164	0.0454094	0.050268	0.0622801	0.0460381
</S>	0.0310869	0.0264933	0.0188966	0.0249311	0.0239598	0.0200377	0.0137374	0.0216169	0.0186027	0.0229991	0.0153594	0.0157765	0.0199552	0.0158935	0.0215188	0.0123215	0.0174198	0.0143885	0.0192661	0.0245456	0.0359101	0.0333541	0.0411821	0.0662948	0.0409214	0.0325665	0.0346753	0.0492573	0.0304468	0.0377969	0.0336239	0.0277349	0.0433639	0.0386514	0.0554141
