 	a66	a87	a23	a40	a36	a6	a5	a12	a96	a54	a15	a47	a6	a36	a85	a47	a15	a98	a6	a92	a12	a37	a66	a83	a71	a75	a85	a92	a85	a92	a37	a90	a92	a56	a96	a11	a62	a47	a21	a5	a23	a21	a12	a18	a25	a87	a23	a99	a87	</S>
beaucoup	0.0329723	0.0454809	0.0442479	0.040146	0.0300018	0.059211	0.0990245	0.0727402	0.0488708	0.037949	0.0234556	0.0186683	0.0165833	0.0192438	0.0197317	0.0089362	0.012126	0.0069648	0.00957247	0.0101751	0.00636347	0.0092977	0.0112119	0.00998428	0.012431	0.0087932	0.00793196	0.00913568	0.00902894	0.0090017	0.0112366	0.00800654	0.00475524	0.0106877	0.00569475	0.00491231	0.0101755	0.0169821	0.0110293	0.0118547	0.0172271	0.0143606	0.0138626	0.0150744	0.0161839	0.0122104	0.0131503	0.0112472	0.010075	0.0319921
de	0.00533853	0.00685295	0.00871144	0.0171377	0.0112544	0.0202208	0.0212756	0.0133474	0.0388792	0.0503297	0.0201201	0.0240613	0.062936	0.0423578	0.0867408	0.0295107	0.0437143	0.0324112	0.0337813	0.0429544	0.0243308	0.0355902	0.0400495	0.0481278	0.0324566	0.0342763	0.0156871	0.020463	0.0172478	0.00528608	0.00522623	0.00484581	0.0057934	0.0080914	0.00314451	0.00283984	0.00256736	0.00699379	0.00305552	0.00265635	0.00567045	0.00789298	0.00656011	0.00864369	0.00818237	0.00737812	0.00639924	0.00630324	0.00622044	0.00608435
gens	0.0167844	0.013097	0.0137063	0.0213343	0.0143786	0.0460474	0.0496969	0.100195	0.0684861	0.0530483	0.0245297	0.0338736	0.0603477	0.0347265	0.0399031	0.0148387	0.0257965	0.0151185	0.0184214	0.0220457	0.0162153	0.0108189	0.0185277	0.037877	0.030572	0.0388729	0.0267115	0.0263213	0.0162974	0.0129681	0.00804037	0.00432873	0.00329321	0.00488488	0.00321019	0.000894862	0.000962226	0.00442814	0.00116796	0.00139493	0.00250661	0.00330979	0.00440428	0.00504476	0.00334326	0.00895653	0.00374702	0.00621729	0.00630849	0.00199819
trouvent	0.0257218	0.0121883	0.00723278	0.0062305	0.00308839	0.00360786	0.00663991	0.00624949	0.00715463	0.0103817	0.00780752	0.0102164	0.0121831	0.0126258	0.0149995	0.022386	0.0147378	0.0157147	0.0180663	0.0214809	0.0182048	0.0152346	0.0188126	0.0231617	0.0169159	0.0247338	0.0199454	0.0303082	0.0296714	0.0162028	0.0148054	0.0101384	0.00727911	0.0228353	0.0160526	0.00771619	0.00975606	0.0174075	0.00988818	0.0130332	0.017306	0.0229442	0.0370322	0.0327783	0.0354032	0.0662972	0.088501	0.0350776	0.0423724	0.0414714
que	0.0209224	0.00852599	0.00780317	0.00864757	0.00294613	0.00400653	0.003644	0.00718744	0.00965644	0.0153547	0.00590078	0.00551681	0.0103938	0.0107134	0.00974365	0.0121507	0.0103825	0.0115871	0.0140056	0.0167442	0.00949777	0.0202979	0.0263016	0.0541254	0.0453775	0.0583665	0.0527459	0.0580815	0.0421659	0.0232494	0.0261745	0.0189888	0.0174422	0.0332596	0.0323343	0.0165699	0.0243841	0.0404742	0.0123563	0.0187632	0.020561	0.0139399	0.0118987	0.0129883	0.0223628	0.022415	0.0215762	0.0146927	0.0156932	0.0170827
la	0.0272492	0.0114833	0.0111112	0.00901114	0.00319142	0.00597835	0.00510541	0.00971989	0.0140535	0.0210793	0.0286825	0.0232068	0.040106	0.0757672	0.0501676	0.0323766	0.0401446	0.0368905	0.0465637	0.0390151	0.0260588	0.032917	0.0716708	0.0563659	0.0403859	0.04283	0.0208194	0.0170399	0.00975414	0.00960229	0.00505038	0.00206634	0.00153316	0.00230206	0.00547636	0.00368672	0.00527799	0.0108821	0.00528428	0.0104532	0.015341	0.0104707	0.00553864	0.0111245	0.00966998	0.0096682	0.00721762	0.0078084	0.00515112	0.00764981
lecture	0.00489582	0.00465094	0.00798864	0.00519438	0.00521441	0.00426942	0.00528929	0.0046592	0.00751167	0.0111489	0.0169204	0.0280557	0.0242646	0.0277485	0.014233	0.0280296	0.0243213	0.0401979	0.0793524	0.0797893	0.0839498	0.0668248	0.0772499	0.0873484	0.0434266	0.0667272	0.0287505	0.0207645	0.00667457	0.00895028	0.0116441	0.00370656	0.00239777	0.00456688	0.0105944	0.00235746	0.00309263	0.00434048	0.00190623	0.00342825	0.00729737	0.00339564	0.00410227	0.00215135	0.00165686	0.00164953	0.00556858	0.00477936	0.00446535	0.00249714
du	0.0283134	0.0262742	0.031673	0.0092553	0.00618729	0.00326412	0.00250041	0.00281548	0.00383305	0.00768528	0.0157002	0.0256329	0.0202217	0.0412815	0.0215207	0.0255874	0.0247048	0.0550666	0.0599744	0.0557797	0.0507833	0.0320148	0.0448344	0.038313	0.0221079	0.019184	0.012358	0.0117516	0.00427239	0.00512207	0.00423673	0.00272798	0.00256713	0.00311511	0.00715904	0.00642928	0.00594986	0.0082826	0.00676338	0.00979875	0.0123928	0.00820603	0.00917757	0.0106348	0.0110306	0.010836	0.0353899	0.0277339	0.0387427	0.0708129
mbochi	0.0199105	0.0142391	0.0173345	0.00872098	0.00890162	0.00952431	0.0057085	0.00707153	0.00599513	0.00734818	0.018486	0.0297438	0.0201692	0.0484596	0.0249351	0.03264	0.044115	0.0642973	0.0610903	0.0600613	0.0561194	0.0342569	0.0562886	0.046046	0.0375762	0.0274163	0.0132996	0.0143203	0.00791839	0.00694542	0.00739358	0.00472793	0.00360241	0.00495934	0.00659415	0.00540442	0.00437364	0.00732785	0.00372647	0.00446802	0.00495601	0.00325854	0.00383804	0.00521009	0.00480634	0.00957184	0.0268251	0.0171095	0.0274089	0.0354988
est	0.0516609	0.0434661	0.0241624	0.00755619	0.00397749	0.00338668	0.00394373	0.00213596	0.00374644	0.0067921	0.00891824	0.0163526	0.0144829	0.0223191	0.0234173	0.0246044	0.0196605	0.0242598	0.0371703	0.0293596	0.0316771	0.0162338	0.026134	0.023012	0.016765	0.0120266	0.00774975	0.00417778	0.00230538	0.00196	0.00226577	0.00148157	0.00104953	0.00269636	0.0071654	0.00731353	0.0062427	0.00968009	0.00925656	0.0113294	0.0188412	0.0141822	0.0224033	0.0262292	0.0291527	0.030595	0.0803725	0.0628241	0.0752338	0.068271
