 	a66	a87	a23	a30	a13	a57	a38	a11	a0	a56	a37	a12	a88	a71	a62	a88	a71	a38	a31	a62	a61	a62	a96	a66	a18	a31	a47	a61	a34	a96	a66	a71	a9	a99	a97	a87	a23	a99	a97	</S>
le	0.0416431	0.0668617	0.101222	0.102827	0.0415225	0.0414875	0.0371708	0.0344719	0.0288748	0.0355779	0.0185451	0.0294552	0.0160364	0.0197992	0.0212534	0.0177678	0.0139645	0.0147067	0.0167225	0.0105172	0.00491851	0.00535658	0.00525515	0.0047057	0.00542566	0.0049033	0.011765	0.0112727	0.00853393	0.0144643	0.0163228	0.0162458	0.0193233	0.0200803	0.0244572	0.019434	0.0200385	0.0205847	0.0230376	0.0334477
petit	0.00678892	0.012421	0.0120891	0.0314875	0.0236892	0.0491369	0.0475042	0.0349264	0.0441495	0.0416513	0.0524957	0.044459	0.0273224	0.0592029	0.0348235	0.0384654	0.0314059	0.0446357	0.043008	0.0233119	0.0639243	0.057867	0.0119671	0.0142698	0.0208781	0.0213978	0.0161611	0.0176005	0.016819	0.00735326	0.0122748	0.00632092	0.00497987	0.0026051	0.00564761	0.00253521	0.00168708	0.00509126	0.00598576	0.00165995
poisson	0.0666184	0.0536355	0.0463981	0.0488828	0.0445687	0.0429783	0.0640427	0.0484771	0.066063	0.0458633	0.0683685	0.038162	0.0264468	0.0655602	0.0281822	0.0299717	0.0244519	0.0228077	0.0305019	0.0198711	0.0172316	0.0129997	0.00787441	0.00583895	0.00548568	0.00673194	0.00646577	0.00641783	0.00229146	0.00295357	0.00223611	0.00205211	0.00305222	0.00326006	0.00400141	0.00308882	0.00365866	0.00559856	0.0105342	0.006375
écailleux	0.109961	0.0686017	0.0664945	0.0307869	0.0208032	0.0248756	0.0309924	0.01858	0.0192004	0.0174955	0.0519347	0.0159307	0.0307796	0.0247756	0.0231621	0.0406279	0.0486899	0.0199182	0.0515454	0.0530634	0.040613	0.0345713	0.0247772	0.0144994	0.00705357	0.00651327	0.00465617	0.00276976	0.00302674	0.00405271	0.00351742	0.00278785	0.00476915	0.00560625	0.0085538	0.00509122	0.0055166	0.0118191	0.015358	0.0262285
appelé	0.016537	0.0281343	0.0424102	0.0923183	0.0698663	0.0443736	0.035654	0.0159951	0.0156823	0.0113631	0.0161383	0.0125683	0.0176302	0.0125556	0.0201523	0.0169595	0.0190506	0.021292	0.0303758	0.0322384	0.0456489	0.0531329	0.0732585	0.0475842	0.0268764	0.0141411	0.0265251	0.0162942	0.00996749	0.0237132	0.00976992	0.0134672	0.00679152	0.00786834	0.0101206	0.0093669	0.00664255	0.00764996	0.00648729	0.0133985
okísí	0.0120882	0.01697	0.0338963	0.071119	0.0443349	0.0459321	0.0372129	0.022978	0.0187031	0.0135534	0.018994	0.0138967	0.0226982	0.0151568	0.0243772	0.0188199	0.0253624	0.0301472	0.0373915	0.032343	0.0311492	0.0309002	0.0374739	0.0290312	0.0249606	0.0166568	0.0264796	0.0179974	0.0182541	0.0240639	0.0171568	0.01381	0.0132643	0.0180199	0.0314766	0.0256029	0.0161483	0.0205593	0.0130737	0.0179466
est	0.00962424	0.00970845	0.0178801	0.0204443	0.0184725	0.0205505	0.0114488	0.00714775	0.011519	0.0101052	0.00809201	0.009221	0.0148314	0.0118761	0.0211882	0.0162959	0.0155169	0.0226049	0.0277237	0.0256075	0.020028	0.0284105	0.050703	0.0325133	0.0486535	0.0408212	0.038877	0.0242528	0.0281842	0.0275119	0.0256619	0.0256591	0.0244945	0.035255	0.0506758	0.0486056	0.0434276	0.034245	0.0330636	0.0290981
de	0.0162207	0.0134429	0.0199021	0.0199045	0.0182554	0.0176881	0.012565	0.0121595	0.0149605	0.012902	0.0130054	0.0147082	0.0197187	0.018762	0.0217896	0.0169164	0.019437	0.029199	0.0339512	0.0317784	0.013566	0.0164715	0.0318362	0.0299627	0.0280345	0.0317759	0.039861	0.0287343	0.0292029	0.0484119	0.0358182	0.0517476	0.0260025	0.0289635	0.0332809	0.0301298	0.033913	0.0276084	0.0297323	0.0276806
couleur	0.0122744	0.00873926	0.0165508	0.0259848	0.034185	0.0404828	0.0216293	0.0128926	0.0190466	0.0126241	0.0145001	0.0130859	0.0144533	0.0147042	0.0149302	0.0148741	0.0127628	0.0171727	0.0199163	0.0155206	0.0126967	0.0126467	0.0151207	0.0242978	0.016245	0.0165987	0.0163985	0.0155559	0.0163265	0.0302744	0.02854	0.0366246	0.0310863	0.0484566	0.0531781	0.0432612	0.0559089	0.0599394	0.0523094	0.0582047
noir	0.0181362	0.0205124	0.0338553	0.0456253	0.0286525	0.0284724	0.0212765	0.00908045	0.0118406	0.00943766	0.0134689	0.0129302	0.0143739	0.0136886	0.0134484	0.0173475	0.0142053	0.0199903	0.029144	0.0307821	0.0299161	0.0299008	0.0214852	0.0396522	0.0188228	0.0156635	0.0179723	0.0163144	0.00976236	0.0224334	0.0165301	0.0284127	0.0194269	0.0424948	0.0473443	0.0354763	0.0570319	0.0385576	0.040083	0.0464508
foncé	0.0235056	0.0269633	0.0461792	0.0784807	0.0579593	0.0608637	0.0405261	0.0240089	0.0266979	0.0220811	0.0174091	0.0289795	0.0255698	0.0261255	0.0290247	0.0238409	0.019477	0.0194114	0.0162472	0.0131261	0.00709219	0.0073446	0.00597956	0.0111024	0.00601244	0.00580837	0.0106406	0.0114238	0.00878919	0.0220634	0.0169265	0.0213412	0.0159059	0.0236471	0.0252295	0.0189688	0.0276077	0.0239654	0.0261569	0.0775171
</S>	0.0254841	0.0271865	0.0420557	0.0449646	0.0372652	0.0442727	0.0412561	0.0308639	0.0286235	0.0256959	0.0208992	0.0278248	0.0285607	0.0243177	0.0290102	0.0261643	0.0228605	0.0187029	0.0150585	0.0148683	0.0140545	0.0136152	0.011062	0.0166974	0.0102463	0.00768274	0.0116388	0.0164057	0.0103315	0.028077	0.0135013	0.0178014	0.0109017	0.0195144	0.0213124	0.0248166	0.0357978	0.0243594	0.0383584	0.0778903
