 	a85	a66	a87	a10	a87	a23	a54	a79	a69	a44	a98	a47	a79	a69	a90	a44	a12	a21	a5	a43	a90	a4	a13	a3	a87	a23	a87	</S>
donne-	0.0603789	0.0502764	0.0615204	0.0680566	0.0597505	0.0764081	0.0824249	0.0800557	0.0457445	0.0396326	0.0260315	0.0196184	0.036948	0.0230042	0.0183329	0.0101214	0.00640649	0.0049027	0.0079994	0.00858775	0.018078	0.0300639	0.0304198	0.0310093	0.0200797	0.0250643	0.0202383	0.0388452
lui	0.03123	0.0225171	0.0199498	0.0195287	0.0190024	0.0167557	0.0158372	0.0141473	0.01517	0.0131749	0.0259219	0.0371371	0.0377066	0.060026	0.0679783	0.0266623	0.0247196	0.0301217	0.0469225	0.0263049	0.0306577	0.0605849	0.0670082	0.0665829	0.0606233	0.0394784	0.0554088	0.0488417
de	0.0482978	0.0276319	0.0238363	0.0196963	0.0229552	0.0174426	0.0352377	0.0440276	0.0748528	0.0660863	0.0493086	0.03389	0.0138659	0.00589139	0.00653502	0.00883948	0.00641636	0.00599523	0.00911903	0.00641298	0.0142715	0.0312269	0.0314501	0.0407979	0.0394419	0.0630901	0.153752	0.0996314
l'	0.0448668	0.0336719	0.0362453	0.0265008	0.0369783	0.0244564	0.0169767	0.0144119	0.0251629	0.0213962	0.0328176	0.0251923	0.0165874	0.0234905	0.0356299	0.0565934	0.0799466	0.0796077	0.129469	0.0465452	0.0241923	0.0281208	0.0215227	0.0361119	0.015444	0.0160457	0.0189057	0.03311
eau	0.107904	0.0859193	0.0610195	0.0443852	0.0405989	0.0306711	0.030345	0.0271731	0.0283872	0.0271013	0.0257461	0.0388109	0.0404248	0.0310944	0.013922	0.0101477	0.0124904	0.0135101	0.024291	0.0442348	0.0540237	0.0409581	0.0287799	0.0271649	0.0231239	0.0278031	0.0314706	0.0284984
dans	0.0645259	0.0445203	0.0414804	0.0432919	0.046783	0.0385439	0.029715	0.0254392	0.0297766	0.0256437	0.0260143	0.0127329	0.010666	0.0143417	0.0124745	0.013797	0.0140925	0.0149945	0.0300262	0.0260067	0.0342271	0.0573104	0.0557876	0.0700096	0.0778163	0.0487322	0.0401789	0.0510715
ce	0.079719	0.053408	0.0530199	0.0548481	0.0498093	0.0453113	0.0234474	0.0206089	0.0172065	0.0157673	0.018708	0.00528091	0.00284651	0.00316285	0.00256079	0.00243929	0.00127097	0.00468582	0.00452519	0.00592308	0.0110756	0.017623	0.0188303	0.0543254	0.059839	0.106939	0.122561	0.144258
gobelet	0.0771689	0.0696336	0.0660049	0.0442058	0.0298584	0.0222808	0.0193983	0.0197678	0.0158274	0.0145734	0.0157197	0.0146769	0.0107519	0.0134467	0.0155517	0.0128989	0.00790399	0.0135895	0.017246	0.00515699	0.00644379	0.0101905	0.0145783	0.0369645	0.0412612	0.0985581	0.135395	0.150947
rouge	0.06699	0.0726558	0.104198	0.0905674	0.0653782	0.0368467	0.0184753	0.0150649	0.012129	0.00944091	0.0122865	0.00884576	0.00864631	0.0195433	0.0171216	0.0118953	0.0133726	0.0119398	0.0146293	0.00460997	0.00232812	0.00575907	0.00978626	0.0240443	0.0330764	0.0698701	0.107938	0.132562
</S>	0.0536498	0.0676764	0.0928072	0.0717573	0.0462847	0.0279597	0.0157129	0.0124458	0.0153113	0.0161028	0.0256585	0.0172227	0.0126859	0.011657	0.00738177	0.00771438	0.00986411	0.00926464	0.0211867	0.0131168	0.0100159	0.020267	0.0222059	0.0365152	0.0373665	0.0612129	0.100415	0.156542
