 	a66	a87	a23	a50	a83	a71	a34	a93	a94	a90	a56	a75	a56	a12	a96	a18	a38	a56	a93	a70	a94	a0	a24	a88	a71	a9	a62	a12	a96	a62	a21	a85	a6	a36	a6	a36	a2	a57	a87	a23	a83	a62	a75	a85	a79	a56	a70	a13	a11	a0	a11	a75	a21	a12	a34	a21	a5	a43	a11	a93	a44	a57	a3	a87	a23	a99	a87	</S>
dans	0.0328939	0.0414067	0.0421928	0.0239786	0.0262429	0.0244892	0.0123499	0.0185594	0.0151702	0.0131274	0.022374	0.0102714	0.0150473	0.0153602	0.0145891	0.0130328	0.0139571	0.0215295	0.0264254	0.0379002	0.0213686	0.0131765	0.0223505	0.0208481	0.0217925	0.0220436	0.0185285	0.013593	0.0145234	0.0130476	0.0126627	0.0147158	0.0132562	0.0106003	0.0105315	0.0130603	0.0141396	0.0134807	0.0134617	0.00902823	0.0100019	0.004681	0.00718066	0.00492865	0.00752689	0.00601889	0.00817942	0.00617881	0.00898165	0.00990233	0.0169866	0.0229069	0.0196275	0.0185577	0.0113438	0.00880662	0.00671374	0.00519294	0.00529406	0.00461752	0.00449034	0.00616046	0.00567935	0.00524045	0.0054093	0.00725694	0.0066666	0.0183616
l'	0.0178399	0.0147917	0.0146922	0.0161914	0.0158266	0.0130707	0.0105331	0.0159258	0.00839771	0.00512543	0.00892411	0.00748716	0.0115018	0.00947496	0.00920488	0.0122431	0.00916685	0.0137901	0.0113039	0.0135154	0.00827385	0.0109641	0.0146921	0.024161	0.0103434	0.0140431	0.0141678	0.0248845	0.0378041	0.0393846	0.0551591	0.065695	0.0344926	0.0402245	0.0396335	0.0295719	0.0119872	0.0127241	0.0250174	0.0175432	0.0172894	0.00709425	0.0210811	0.0107084	0.00503197	0.0037572	0.00162096	0.00181976	0.00195919	0.00177095	0.00569362	0.00719692	0.00731983	0.00712141	0.00603531	0.00552285	0.00548613	0.00667707	0.00774728	0.00684825	0.00664866	0.00821389	0.00853378	0.0137158	0.00875966	0.0129905	0.012741	0.020841
étang	0.0154021	0.0191395	0.0103483	0.00983528	0.0103396	0.00936046	0.014309	0.0174111	0.0122164	0.0121373	0.00464237	0.0087614	0.0126862	0.0153081	0.0206071	0.0228498	0.0225519	0.0209211	0.0231594	0.0164184	0.0153509	0.0156417	0.0160796	0.00912041	0.012828	0.0123451	0.0144	0.0180533	0.0211555	0.028603	0.042758	0.0490557	0.0149334	0.0153118	0.0127487	0.0107162	0.0170322	0.0117931	0.0193869	0.0124066	0.0290688	0.0401314	0.0550268	0.0319396	0.034938	0.0398861	0.020215	0.0174906	0.00766946	0.00634459	0.00530698	0.00225931	0.00221224	0.00305408	0.00367784	0.00150204	0.00368146	0.0032067	0.00367801	0.00164537	0.0036968	0.00158496	0.00178062	0.00198343	0.00184142	0.00210051	0.00202491	0.00392784
où	0.0286167	0.0204033	0.00866521	0.00584861	0.00456146	0.00549889	0.00748743	0.00540706	0.00632185	0.0173832	0.00984987	0.0194974	0.0164055	0.030072	0.0194738	0.0168226	0.0200198	0.0219772	0.0164156	0.0149874	0.014785	0.0226082	0.0242204	0.0179944	0.0204575	0.0111593	0.0212227	0.0216721	0.0237794	0.0100822	0.0200187	0.0178597	0.0269981	0.0122763	0.0210883	0.0144458	0.00653607	0.00695179	0.0118112	0.0076352	0.0117158	0.00672142	0.013407	0.0245403	0.0243741	0.0295208	0.0251306	0.0246141	0.0217966	0.0183606	0.0206113	0.0185079	0.0166182	0.0103553	0.00662848	0.00804434	0.00390778	0.00290841	0.00326989	0.00556098	0.00575591	0.00611408	0.00537056	0.00784745	0.00851046	0.00808507	0.0154406	0.0169649
nous	0.0428822	0.0181299	0.00590317	0.00253873	0.00242439	0.0020872	0.0026638	0.00204104	0.00283919	0.00951141	0.00496117	0.0367123	0.0147967	0.041093	0.0263932	0.0247335	0.0340122	0.0321457	0.0153894	0.0138693	0.0162669	0.0242462	0.0206975	0.0128825	0.0126907	0.0085295	0.0126258	0.0151575	0.012943	0.0111049	0.0230805	0.0112643	0.015466	0.0100944	0.0197343	0.0172496	0.00895197	0.0170019	0.0205321	0.0122776	0.0232835	0.0165576	0.0242946	0.0419662	0.0370446	0.0306914	0.0211515	0.0217788	0.0151918	0.0128519	0.01094	0.0124555	0.0112137	0.0120167	0.0101566	0.011369	0.0092933	0.00369224	0.00402722	0.00269753	0.00237324	0.00269272	0.00367875	0.00403521	0.00260813	0.00494924	0.00388191	0.00518222
avons	0.014311	0.00717988	0.00262879	0.0020347	0.00215002	0.0024868	0.00257387	0.00204227	0.00279135	0.00664499	0.00758321	0.0282699	0.0118044	0.0291236	0.0271155	0.013959	0.0181171	0.0222201	0.0158115	0.0143791	0.0229561	0.0229132	0.0133104	0.0156357	0.0142014	0.014843	0.0175534	0.024696	0.0144526	0.0180131	0.0405404	0.0163995	0.0175223	0.0189037	0.0332337	0.0324208	0.0160619	0.0423577	0.0373607	0.0261014	0.0391229	0.0391045	0.0379618	0.0284801	0.024099	0.023107	0.0177026	0.0160196	0.0105814	0.00769802	0.00745486	0.00523959	0.00430804	0.0054721	0.0027819	0.00385801	0.00310348	0.00170323	0.00222972	0.00164804	0.00194865	0.00181753	0.00285232	0.0031248	0.00229216	0.00405837	0.00555801	0.0039684
pêché	0.0237123	0.0121028	0.0082441	0.00522929	0.00547218	0.005065	0.00502052	0.00503205	0.00513081	0.00571162	0.00604241	0.00813205	0.00841426	0.00841343	0.00926084	0.00835643	0.00838709	0.0104756	0.00873762	0.00828646	0.0144264	0.00956586	0.00688989	0.0124728	0.00991402	0.0116634	0.0136441	0.0172694	0.0125932	0.0178736	0.0227069	0.0199966	0.0186426	0.0213083	0.0405188	0.0316973	0.0142075	0.0426819	0.0329367	0.0341614	0.0413343	0.0193041	0.0321337	0.0211288	0.0161093	0.021276	0.0122716	0.0091438	0.0081637	0.00940286	0.0114409	0.0172869	0.0159964	0.0153311	0.0122422	0.00942139	0.00738919	0.00679049	0.0093438	0.00403111	0.00696248	0.00880071	0.0142427	0.0143043	0.0140485	0.0215524	0.0284133	0.0217368
il	0.0549095	0.0210834	0.0151626	0.00964363	0.0103995	0.0071953	0.00488825	0.00495196	0.00628925	0.0082767	0.00786934	0.00919321	0.00991536	0.0147699	0.00839862	0.0182386	0.0219275	0.0205205	0.0162072	0.0192751	0.0102624	0.010002	0.0180322	0.0320857	0.015884	0.0237276	0.020014	0.0146803	0.0270008	0.0239158	0.0286884	0.0291336	0.0290765	0.0324823	0.0405562	0.0259491	0.0158868	0.014157	0.0190858	0.0116916	0.00852972	0.00601872	0.00827922	0.0049261	0.0049831	0.00430381	0.00369818	0.00373658	0.00685577	0.00710404	0.00945984	0.0116172	0.0194815	0.0189744	0.0126601	0.00613859	0.00801349	0.00652043	0.0137966	0.00616567	0.00530461	0.0115489	0.0165886	0.0182652	0.0100131	0.0172295	0.0110816	0.00727769
y	0.0465407	0.026804	0.0152808	0.00749272	0.00724156	0.00593581	0.0044004	0.00411734	0.0052386	0.00745782	0.010036	0.0111985	0.0109129	0.0231675	0.0112096	0.014268	0.0164769	0.019172	0.0107742	0.0130558	0.00762741	0.0141881	0.0149766	0.0181415	0.0151471	0.0146235	0.0171081	0.0142725	0.0151006	0.0104573	0.0163831	0.0124724	0.0219279	0.0155619	0.0230309	0.0251983	0.0151601	0.0213951	0.0293237	0.0215379	0.025531	0.0147706	0.0139176	0.0154617	0.0132471	0.00685895	0.00700769	0.00650596	0.00878991	0.0063368	0.0108344	0.0173293	0.0149835	0.0130587	0.00902252	0.00793571	0.00962337	0.00707252	0.0108133	0.00802164	0.00990078	0.0150872	0.018172	0.0190205	0.0167117	0.0276335	0.0302758	0.0216611
avait	0.0344968	0.0352505	0.0299063	0.0110003	0.00995891	0.00691153	0.00617452	0.00520559	0.00714109	0.0112556	0.0123898	0.0149728	0.0137635	0.0188116	0.0131153	0.0166439	0.0180538	0.0168796	0.0114211	0.0112271	0.00913804	0.015229	0.0159957	0.0179867	0.0141775	0.0116398	0.0137817	0.0127982	0.00966929	0.00905895	0.0117255	0.0122432	0.0141327	0.0112127	0.0182587	0.016917	0.0138762	0.0204972	0.0227399	0.0205581	0.0248982	0.0170468	0.0158312	0.0185278	0.0176938	0.0125951	0.0120854	0.0102629	0.0129612	0.0100236	0.0126655	0.0166036	0.0162853	0.0132758	0.0102863	0.00602075	0.00895513	0.00671412	0.00966847	0.0075625	0.00826497	0.0120545	0.0140311	0.0145231	0.0130782	0.0228071	0.0270832	0.0319788
