 	a66	a87	a23	a87	a23	a83	a9	a83	a66	a61	a96	a56	a24	a21	a12	a96	a94	a70	a96	a90	a92	a37	a21	a47	a21	a47	a31	a47	a62	a88	a93	a90	a69	a4	a58	a57	a82	a3	a99	a87	a23	a99	a87	a23	a3	</S>
la	0.0311182	0.0484474	0.0241627	0.0221033	0.0205943	0.0257199	0.0125014	0.0109797	0.00784736	0.0101252	0.0074964	0.0147939	0.0123039	0.00557578	0.00759695	0.0112504	0.0132006	0.0155444	0.0354474	0.0451127	0.0801184	0.0590421	0.0220745	0.0280652	0.0131322	0.0119049	0.0104192	0.0211728	0.00957459	0.0252364	0.0310374	0.0260545	0.025232	0.0234505	0.0290774	0.0227439	0.0174069	0.0230531	0.0210642	0.0202662	0.0171295	0.014067	0.012191	0.0179277	0.0148323	0.0218044
manière	0.00231704	0.0032562	0.00519223	0.00373337	0.00255845	0.0135357	0.0155156	0.0116733	0.0369322	0.025059	0.0368251	0.043056	0.0403516	0.0615137	0.0829086	0.0557891	0.108317	0.0484849	0.0466598	0.0395215	0.0499247	0.0720101	0.0447091	0.0278693	0.0332982	0.0248145	0.00957268	0.00765412	0.00487733	0.00439666	0.00588101	0.00308982	0.00315918	0.00396081	0.00318505	0.00225954	0.00134789	0.00102696	0.00255772	0.00172136	0.000744021	0.000952072	0.00130354	0.00192174	0.00403417	0.000527573
dont	0.0920629	0.0679847	0.034188	0.0279272	0.0228557	0.0181798	0.0191646	0.0141585	0.0162305	0.0149424	0.0103818	0.017841	0.0201666	0.0182688	0.0143217	0.0276118	0.0389231	0.0117243	0.0179208	0.0102737	0.0128376	0.00919284	0.00706275	0.00979183	0.00627986	0.0101749	0.00984	0.0105816	0.00936292	0.00696221	0.00949418	0.00723191	0.00658154	0.00705238	0.0176718	0.0197432	0.0136868	0.0477895	0.0396917	0.0383975	0.048195	0.0584016	0.0207943	0.0205707	0.0211868	0.0162966
il	0.0278668	0.018975	0.0104548	0.00864369	0.00704832	0.00646857	0.00368205	0.0116307	0.018358	0.0177998	0.0149124	0.0258617	0.0596016	0.0596126	0.0436863	0.0633607	0.0341364	0.0759269	0.0441746	0.0274661	0.0152466	0.0384587	0.0209311	0.0350374	0.0162333	0.0272476	0.0130199	0.00761408	0.00899232	0.0145439	0.0129524	0.0114564	0.00954462	0.0125228	0.0164009	0.0112687	0.0154325	0.0266182	0.0163118	0.0133657	0.0133088	0.0127388	0.0198221	0.0163485	0.0114312	0.00348459
a	0.0310283	0.0172392	0.0128582	0.0110256	0.0077955	0.0101219	0.0121217	0.0142867	0.0188276	0.0168011	0.0198397	0.0319991	0.0387935	0.0269897	0.0186342	0.0546238	0.0457922	0.0411897	0.0691858	0.0550506	0.07275	0.0638535	0.0465873	0.0491414	0.0561585	0.0502619	0.0157286	0.00798364	0.00636685	0.00879161	0.00490737	0.00254761	0.00366431	0.00511394	0.00300404	0.00344576	0.00340008	0.0025234	0.00216096	0.00368359	0.00470551	0.00432607	0.00430785	0.00555197	0.011972	0.00285797
quitté	0.0385591	0.014201	0.0101478	0.0169922	0.0145869	0.021288	0.0289473	0.0225865	0.0340509	0.0360527	0.0450622	0.0379726	0.0281883	0.0426398	0.0348644	0.0411646	0.0340295	0.0322919	0.0250409	0.0243992	0.0296654	0.0197203	0.0211083	0.0273345	0.0223071	0.0332975	0.0227072	0.0247176	0.0215885	0.0211473	0.0151366	0.00904565	0.0109502	0.00965945	0.01184	0.00486982	0.00975964	0.00288401	0.00308183	0.00843461	0.0199684	0.011889	0.0114413	0.0138487	0.0158412	0.01469
la	0.0252078	0.0141914	0.00915406	0.012735	0.00992761	0.00816979	0.0101689	0.0160304	0.0172337	0.0193457	0.0116948	0.0161529	0.0170693	0.0237247	0.0193674	0.0162661	0.0221293	0.0211368	0.0236669	0.015643	0.0211758	0.0147176	0.0115746	0.0150433	0.00840179	0.0225972	0.019619	0.0257758	0.0247001	0.0297356	0.0337398	0.018902	0.0282602	0.0295159	0.0293781	0.0099289	0.0438063	0.0108414	0.0185273	0.0341296	0.0441632	0.0287348	0.0359802	0.0465672	0.042465	0.0227039
maison	0.0171538	0.0131999	0.00800362	0.0136558	0.00796549	0.00277974	0.00293092	0.00339717	0.00449019	0.00445994	0.00288323	0.00416257	0.00343446	0.00394183	0.00565416	0.00509074	0.00678218	0.0102773	0.0137781	0.0120482	0.0198331	0.0124037	0.0114216	0.0158739	0.00761573	0.0124352	0.0182181	0.0200322	0.0142246	0.0154266	0.0205953	0.0109001	0.0134627	0.0167708	0.0164021	0.0200523	0.0257794	0.040676	0.0355014	0.0687656	0.0643536	0.0691757	0.0827804	0.0776321	0.0937874	0.0497911
cache	0.0203742	0.0167062	0.00954576	0.00988158	0.00780605	0.00411768	0.00564334	0.00411577	0.00658832	0.00722457	0.00586652	0.0091781	0.00531182	0.00772049	0.00820141	0.00832132	0.00849145	0.0101587	0.015517	0.0118195	0.0143054	0.0111986	0.00997652	0.0126892	0.00476927	0.00786445	0.0091921	0.0121519	0.00829445	0.00774912	0.0116201	0.0127613	0.0107474	0.0158276	0.0230105	0.0441883	0.0356042	0.0716426	0.0726897	0.0756437	0.0613541	0.0555143	0.0600296	0.0674612	0.0583826	0.0427421
quelque	0.0287419	0.0237425	0.0179004	0.0158615	0.0143653	0.0168941	0.0226951	0.0201845	0.0232645	0.0215709	0.0328829	0.026161	0.0131127	0.0219211	0.022013	0.0261774	0.0181277	0.024533	0.0192155	0.0195942	0.0242423	0.0238313	0.0249946	0.0246635	0.0176337	0.0213159	0.0120847	0.0127156	0.00931138	0.015255	0.00770468	0.00739214	0.00841075	0.0132194	0.020427	0.0131316	0.0249216	0.020316	0.0260066	0.0304737	0.0450911	0.0389692	0.0289422	0.0421776	0.0327903	0.0250192
