 	a66	a87	a97	a87	a23	a83	a62	a47	a61	a18	a94	a93	a90	a56	a12	a96	a11	a24	a47	a31	a88	a71	a11	a94	a96	a70	a90	a15	a7	a26	a3	a87	a23	a10	a38	a94	a21	a5	a12	a21	a5	a12	a41	a21	a92	a90	a92	a90	a93	a90	a44	a57	a82	a10	a87	a23	a99	a97	</S>
ce	0.0248769	0.0271062	0.0217533	0.0192541	0.0295365	0.020605	0.0213962	0.0303003	0.0234933	0.0162332	0.0140415	0.0163031	0.0169924	0.0186069	0.0279104	0.0200097	0.0276248	0.0203629	0.0235705	0.0155389	0.0176318	0.0184534	0.0183171	0.0169558	0.0270166	0.0119801	0.0197215	0.0171479	0.0244755	0.0340948	0.0202731	0.0140821	0.0110956	0.00796811	0.0111696	0.0129564	0.00848548	0.00844867	0.0132875	0.016023	0.0158854	0.0134523	0.0156539	0.0158416	0.0140824	0.0149794	0.0128319	0.00783699	0.00870877	0.0105019	0.0145676	0.0107742	0.0100677	0.0116643	0.0148217	0.013107	0.00922344	0.0109802	0.00991879
fagot	0.00592416	0.00682265	0.00688331	0.00710365	0.01252	0.00934611	0.00580295	0.00943269	0.00555349	0.00547547	0.00902154	0.00859199	0.0159436	0.0214614	0.0236241	0.00638778	0.01452	0.00664773	0.0101486	0.0174618	0.00770989	0.0243309	0.0262567	0.0248896	0.0597453	0.0504581	0.0357304	0.0886705	0.126693	0.0724244	0.0624552	0.0393359	0.0475208	0.0175208	0.0189728	0.010834	0.00842237	0.00455902	0.00546745	0.00304554	0.00366854	0.00777866	0.00797674	0.00444346	0.00791071	0.00443185	0.004068	0.00300916	0.00190213	0.00145532	0.00116348	0.000580783	0.000939575	0.000616164	0.00077486	0.00116187	0.00112203	0.0013525	0.00192812
dégage	0.0114082	0.00918773	0.00780879	0.0112191	0.0117963	0.00652461	0.00410567	0.00545992	0.0039873	0.00344142	0.00332705	0.00282657	0.00340979	0.00448329	0.0040323	0.0072187	0.00681545	0.0110976	0.036177	0.0397614	0.0434964	0.0551142	0.106662	0.0866738	0.0612564	0.0829946	0.0526523	0.0737984	0.038457	0.0338666	0.0288106	0.0258199	0.0245463	0.0188391	0.00523575	0.00616978	0.00801726	0.00512833	0.00310262	0.00257144	0.00157643	0.00178329	0.00149538	0.0014075	0.00162217	0.000678593	0.000655104	0.000823386	0.00102577	0.00121725	0.00108305	0.00173896	0.00206206	0.00292044	0.00329191	0.00303168	0.0037679	0.00244328	0.010075
de	0.0373716	0.0222117	0.0158865	0.0155353	0.0101768	0.00814483	0.00974268	0.0079763	0.00642732	0.00570867	0.00594752	0.00521143	0.00584923	0.00512599	0.00700719	0.0161553	0.0142869	0.0123302	0.0292318	0.0361304	0.0363973	0.0513798	0.0707885	0.0510127	0.059374	0.0422203	0.0407588	0.0277119	0.0215003	0.0210074	0.0553348	0.0347191	0.0293588	0.0266266	0.0129302	0.00948281	0.00832039	0.00861447	0.00960428	0.00964812	0.00575505	0.00325314	0.00400092	0.00379752	0.00165223	0.00202211	0.0024581	0.00161946	0.00181109	0.00161117	0.00194519	0.00398981	0.00444569	0.00756329	0.00893267	0.0120908	0.00932391	0.0101475	0.0103319
la	0.0176171	0.013517	0.0111409	0.0175505	0.0111995	0.0107483	0.0119988	0.0191055	0.0219782	0.0190287	0.020838	0.0155695	0.0143373	0.0150122	0.023365	0.0232553	0.0283711	0.03542	0.0218424	0.0273418	0.0280223	0.0306831	0.0233344	0.0230124	0.0230105	0.0234414	0.0410853	0.0236663	0.0247993	0.0315771	0.033529	0.032199	0.0232254	0.0202898	0.0196226	0.0147179	0.0141535	0.0120292	0.0118119	0.0110376	0.0101544	0.00916998	0.00815271	0.00965041	0.0122814	0.0100484	0.0105659	0.00604131	0.00874271	0.00512148	0.0043808	0.00581971	0.00963941	0.00654194	0.00836835	0.00957312	0.00674971	0.00706716	0.00744593
fumée	0.011931	0.0090094	0.00798679	0.0107101	0.0103474	0.0099111	0.0160131	0.0194445	0.0153399	0.0202727	0.0278926	0.0335013	0.0275884	0.0190775	0.0223097	0.0250228	0.0248127	0.0255077	0.0145203	0.0146606	0.0231997	0.0175985	0.0296702	0.0216225	0.0233968	0.0255907	0.0433115	0.027647	0.0187074	0.0165364	0.026668	0.0140511	0.0107238	0.0103767	0.0103143	0.0134291	0.00879395	0.00896018	0.00846527	0.00794269	0.00702639	0.0085774	0.0126623	0.0163637	0.015731	0.0261578	0.0297013	0.0302056	0.0199958	0.012744	0.00808181	0.015698	0.0153557	0.00792807	0.00858852	0.0123047	0.0109143	0.00581213	0.00328616
car	0.0207857	0.0112632	0.0085822	0.00969178	0.00948408	0.00785903	0.0141247	0.0184507	0.0249165	0.0295571	0.0314633	0.0311745	0.0400271	0.0317921	0.0466583	0.0404794	0.0384423	0.0207562	0.0297805	0.0309957	0.0178827	0.0260083	0.0183136	0.027977	0.0200841	0.015275	0.0203712	0.0305081	0.0302122	0.0316431	0.0270219	0.0193026	0.012948	0.0138116	0.0121125	0.0101752	0.00915638	0.00957879	0.00782263	0.00647853	0.0055855	0.00974544	0.0114558	0.0139002	0.0105614	0.00632907	0.00598831	0.00764808	0.00840976	0.010066	0.00578979	0.00483406	0.00528775	0.004475	0.00412348	0.00403265	0.00579771	0.00651152	0.00649057
il	0.0109529	0.00754257	0.00629475	0.00681417	0.00643448	0.0053024	0.00649973	0.0108617	0.0102401	0.0127517	0.0151116	0.0180092	0.02136	0.0203457	0.0213671	0.0224936	0.0244578	0.017617	0.0222493	0.0243722	0.0277303	0.0283601	0.0250441	0.0295566	0.0295611	0.0212243	0.0281486	0.0251119	0.0273021	0.0231787	0.0237489	0.0175566	0.0172738	0.0167653	0.0167115	0.0184398	0.0166497	0.0144744	0.0126392	0.0118447	0.0121195	0.0131047	0.0114805	0.0145743	0.0179813	0.0123473	0.011215	0.0133148	0.0171644	0.0212656	0.0152767	0.0131517	0.0149127	0.0116025	0.0125525	0.0113915	0.0162694	0.0186502	0.0192253
est	0.0104788	0.0079938	0.00753042	0.00785931	0.00830638	0.00698515	0.00605988	0.0106802	0.00953139	0.0124414	0.013413	0.0242687	0.0297666	0.0239981	0.0232727	0.021244	0.0247184	0.0171043	0.0164311	0.0148732	0.020143	0.0177616	0.0308553	0.027455	0.0544723	0.0227067	0.0317989	0.0382239	0.0399344	0.0281032	0.0285741	0.0213941	0.014265	0.0141819	0.0134629	0.0167922	0.0124652	0.0136842	0.0152106	0.0172822	0.0123647	0.0117918	0.0110039	0.0120612	0.0100431	0.0111495	0.00833855	0.0105152	0.0095902	0.0130075	0.0116018	0.011516	0.0104769	0.0101525	0.0114004	0.012764	0.013248	0.0186452	0.0146063
déjà	0.0104908	0.00662665	0.00512846	0.006255	0.00562042	0.00508956	0.00608289	0.0119578	0.00642517	0.00667611	0.00796213	0.0161842	0.0183232	0.0168186	0.0201593	0.020932	0.0208992	0.0130087	0.0140894	0.0132359	0.0140845	0.0113672	0.0186424	0.0159849	0.0238393	0.0163001	0.0256436	0.0303323	0.0378051	0.0266922	0.0280313	0.0155856	0.0172167	0.0161388	0.0135028	0.0167043	0.0151759	0.0137755	0.012782	0.0129347	0.0114746	0.0125736	0.012085	0.0129293	0.0210417	0.0156413	0.0131346	0.0226702	0.0193248	0.0266512	0.0138742	0.0153275	0.0171312	0.0156162	0.0264553	0.023407	0.0302543	0.0403152	0.0355886
