 	a27	a38	a10	a87	a97	a87	a97	a10	a97	a79	a15	a79	a56	a12	a31	a75	a85	a92	a5	a37	a27	a38	a93	a90	a93	a53	a93	a4	a13	a38	a94	a4	a93	a62	a88	a11	a88	a71	a0	a88	a38	a93	a61	a88	a9	a10	a97	a87	a97	a99	a97	</S>
ses	0.0230957	0.022246	0.0179302	0.0257497	0.0268035	0.0164401	0.0181676	0.016819	0.0238478	0.0584372	0.0534139	0.0563155	0.0581696	0.0649682	0.0582637	0.0398989	0.034062	0.0190088	0.016368	0.0135185	0.0100748	0.00840364	0.00847354	0.0116114	0.011189	0.00926339	0.0170973	0.0127772	0.0107525	0.00594772	0.0068119	0.0158273	0.0151069	0.0053573	0.00403083	0.00458972	0.00496213	0.00192138	0.00169686	0.00478094	0.00781943	0.0152084	0.0135763	0.013465	0.0113933	0.0249747	0.0136029	0.0136134	0.00912036	0.0112406	0.0103085	0.0214775
yeux	0.00427756	0.00759301	0.0111061	0.0143987	0.0131467	0.0124431	0.0135874	0.0393233	0.0494122	0.0430981	0.0418249	0.0210457	0.012791	0.0227727	0.0244563	0.0169001	0.0191159	0.0169673	0.0330412	0.0178028	0.02709	0.0386073	0.0516043	0.0393182	0.0508639	0.0478762	0.0332022	0.038116	0.034481	0.0216865	0.0221317	0.0198033	0.019129	0.0136874	0.0165578	0.024024	0.0098172	0.00471903	0.00871185	0.0101763	0.00900069	0.00439494	0.00205034	0.00154408	0.00143186	0.00278544	0.00139804	0.00250685	0.0023946	0.00223955	0.00186187	0.00168433
se	0.085271	0.043745	0.0422913	0.0291638	0.0336719	0.038893	0.0299062	0.0376323	0.0126602	0.00663454	0.00481946	0.00396865	0.00472289	0.0106436	0.0171898	0.0122334	0.00646568	0.0174419	0.0233995	0.018934	0.0215661	0.0144839	0.0358296	0.0175547	0.044034	0.0391587	0.029672	0.0174741	0.0234911	0.018335	0.0181787	0.00857781	0.0100335	0.0185885	0.0169039	0.0118568	0.00630084	0.00814984	0.00754365	0.00633383	0.00454143	0.00394661	0.00621255	0.00815263	0.00807845	0.00855394	0.0133553	0.0164743	0.0187075	0.0284557	0.0219337	0.00783326
sont	0.00630019	0.005641	0.00571453	0.00565642	0.00675122	0.0102315	0.0134538	0.0607302	0.0399201	0.0178959	0.0122691	0.0259738	0.0289677	0.0420229	0.0162249	0.0326234	0.0347148	0.0265248	0.0244802	0.0158061	0.0563424	0.0564546	0.0661193	0.0235052	0.044689	0.0388394	0.0154772	0.0238878	0.0176709	0.0195318	0.016614	0.00789528	0.0138123	0.00974493	0.0102895	0.0176952	0.0140723	0.0179164	0.0177046	0.00676312	0.00625175	0.00335169	0.00375641	0.00560927	0.00577279	0.00535543	0.00672957	0.00646109	0.0071247	0.00768985	0.00698658	0.00798315
enflés	0.0132163	0.0178684	0.013745	0.0152462	0.0112607	0.0168391	0.019304	0.0378814	0.0348045	0.0193332	0.00983194	0.0142871	0.0101122	0.0166065	0.0231482	0.0217418	0.0190994	0.0168833	0.0185369	0.016667	0.0184747	0.0139925	0.0211062	0.0177015	0.0412382	0.0274223	0.0250929	0.020802	0.02707	0.0362559	0.0271677	0.0247256	0.049213	0.0234693	0.0413659	0.041654	0.0316443	0.0221779	0.0261957	0.0189293	0.0101938	0.00684632	0.00266862	0.00496907	0.00604686	0.0047471	0.00504359	0.00680752	0.00702716	0.00885437	0.00871174	0.00597135
à	0.0390326	0.0269185	0.0188202	0.0117048	0.00869111	0.0077592	0.00716703	0.00875625	0.00868348	0.0244248	0.014626	0.0222976	0.0181659	0.0328497	0.0215238	0.0308218	0.0411277	0.0488982	0.0318973	0.0149591	0.0182316	0.0210971	0.0120777	0.0138164	0.0126132	0.0153501	0.0174407	0.0139049	0.0171025	0.00995994	0.00891684	0.0106005	0.00730957	0.00911941	0.00851859	0.0071325	0.0148358	0.0197259	0.0200415	0.0180656	0.0158541	0.0259796	0.0125137	0.0103129	0.020886	0.0065185	0.0148264	0.0175194	0.024861	0.0232744	0.0358685	0.0765999
cause	0.0264543	0.0190761	0.0154366	0.00884511	0.00792269	0.00664798	0.00619574	0.00606981	0.00253513	0.00405256	0.00282981	0.00402917	0.00485439	0.0216544	0.0215271	0.0248609	0.036026	0.0485688	0.0346802	0.0299944	0.0264953	0.0241277	0.0255353	0.0266234	0.0227173	0.0281995	0.0213475	0.0224333	0.0225105	0.0154169	0.016629	0.0146199	0.0100243	0.0136207	0.0101213	0.0104389	0.011919	0.00934575	0.006596	0.0128133	0.0168846	0.0190036	0.0137186	0.0204849	0.0263673	0.0207603	0.0215014	0.0251556	0.0326157	0.0257008	0.0345922	0.0594189
de	0.0246381	0.0211017	0.0224888	0.0159365	0.0161288	0.0179854	0.0131291	0.0138033	0.00419021	0.00744683	0.00409893	0.0043895	0.00531254	0.0244183	0.0218659	0.0275106	0.0357143	0.0487454	0.0430992	0.0318306	0.0210611	0.011113	0.0279609	0.0239735	0.0267519	0.0281116	0.026199	0.0169941	0.0217626	0.0173386	0.0179076	0.0137589	0.0089779	0.0143067	0.00816656	0.0118541	0.0101419	0.0070541	0.00412185	0.00592564	0.00809116	0.00827675	0.00368589	0.0059486	0.0128798	0.0118278	0.0149397	0.024564	0.037662	0.0320129	0.0468515	0.0659444
ses	0.0333274	0.026856	0.0247712	0.0198138	0.0203641	0.0173084	0.0166353	0.0103388	0.00391514	0.00285493	0.00174747	0.0023196	0.00239732	0.0124341	0.011215	0.0229992	0.034193	0.0352624	0.0414041	0.0223904	0.016245	0.0147655	0.0139648	0.0145386	0.0142707	0.0212807	0.0218335	0.0118448	0.0172576	0.0153629	0.0146631	0.0213833	0.0155171	0.0182168	0.0157477	0.0171778	0.0195067	0.0105518	0.00731196	0.0184519	0.0132941	0.020564	0.0110672	0.0304684	0.0225175	0.0242037	0.0257395	0.0225646	0.0278514	0.0282583	0.0451612	0.0458704
pleurs	0.013981	0.00967371	0.0105672	0.0106106	0.0104789	0.0059655	0.0067656	0.00388681	0.00252441	0.00363395	0.00272842	0.00379243	0.0027103	0.00822294	0.00593326	0.00772724	0.0124542	0.0102121	0.0108457	0.00969396	0.00886873	0.00557551	0.0108629	0.0103236	0.0128056	0.0121436	0.0127747	0.0155473	0.0159836	0.0122141	0.014655	0.0151579	0.0142594	0.0144926	0.0229127	0.0225137	0.0201996	0.0171286	0.0230932	0.0290363	0.0304718	0.0499961	0.0372878	0.0622367	0.043405	0.0446588	0.0405673	0.0455316	0.0529284	0.0340488	0.0350917	0.060819
