 	a23	a54	a30	a14	a30	a44	a57	a38	a53	a90	a76	a30	a44	a26	a38	a41	a98	a24	a41	a14	a41	a24	a26	a83	a25	a87	a23	a24	a25	a38	a30	a35	a14	a73	a69	a20	a84	a57	a87	</S>
les	0.0159208	0.0241679	0.00985635	0.0293686	0.0253267	0.0245545	0.0402505	0.0288531	0.048579	0.0247356	0.0384156	0.0313675	0.0449599	0.048545	0.0424023	0.0353609	0.0304554	0.0323938	0.0220157	0.0149892	0.0245609	0.0205028	0.0167914	0.00963302	0.0108618	0.00867918	0.0074637	0.0245968	0.0130784	0.0167981	0.011023	0.0140289	0.0123049	0.0449146	0.0402705	0.0178733	0.0283562	0.0137183	0.0230749	0.028951
gens	0.00261328	0.00422806	0.00641548	0.0104304	0.013815	0.0158221	0.0265884	0.0369543	0.0149527	0.0178444	0.0167487	0.0424752	0.0582501	0.0665842	0.0785241	0.0668664	0.0621432	0.0466104	0.0450568	0.0617892	0.0805838	0.0265331	0.0286928	0.00891813	0.0158959	0.0156325	0.00964685	0.0132685	0.00780724	0.00857998	0.00666049	0.00971123	0.00852266	0.0164977	0.0103343	0.00826738	0.00699256	0.00611529	0.0128864	0.00374073
du	0.0363543	0.0666769	0.0656824	0.0593504	0.0566115	0.0379477	0.0390977	0.0432539	0.0199569	0.0187705	0.0097168	0.0276429	0.0139755	0.0289807	0.0225908	0.0158345	0.017182	0.0274553	0.0152197	0.0257067	0.0329894	0.017081	0.0211642	0.018197	0.0265589	0.0197807	0.0154493	0.021149	0.011894	0.00853195	0.014836	0.00989727	0.0159193	0.027777	0.0243755	0.0268343	0.0147165	0.00818789	0.0119563	0.00469745
village	0.00684322	0.00645248	0.0125136	0.0068178	0.0121218	0.00803139	0.0101919	0.015448	0.0162149	0.0153073	0.0109411	0.016469	0.00679623	0.0183695	0.0111841	0.0147013	0.0127445	0.0337806	0.0207158	0.0433596	0.0911067	0.0613261	0.173306	0.0748613	0.0722796	0.0304898	0.0333605	0.0147758	0.0161072	0.00955049	0.0224301	0.0189768	0.0238204	0.0135123	0.0136261	0.00912836	0.00658784	0.00682724	0.00332874	0.00559427
sont	0.0661241	0.0343157	0.02421	0.0135064	0.0194689	0.0193726	0.0151436	0.0157848	0.0233379	0.0121437	0.0105892	0.0311836	0.0362255	0.0366236	0.0271208	0.039872	0.0286549	0.0397011	0.0210732	0.0183169	0.0306425	0.0244966	0.0267639	0.0139832	0.0122858	0.0157408	0.00587402	0.0063076	0.0081709	0.00648062	0.0120543	0.0195654	0.0283561	0.0289463	0.0362563	0.0408971	0.0362273	0.0367166	0.025764	0.0517021
accourus	0.0380878	0.0313302	0.0186871	0.0141175	0.0105975	0.00951142	0.00711557	0.00721278	0.00912658	0.0102117	0.0132969	0.012514	0.011532	0.0134876	0.00429442	0.0104038	0.00573151	0.00903209	0.0076658	0.00682733	0.034726	0.0482288	0.0544331	0.0330686	0.0489367	0.0433785	0.0565268	0.0527984	0.0520116	0.0354633	0.0547037	0.0472925	0.0246046	0.0247273	0.0274296	0.0259704	0.023956	0.0210204	0.0120513	0.0278886
en	0.023649	0.0195374	0.0165627	0.0139208	0.0169161	0.0245002	0.0200474	0.0190553	0.0168818	0.0126087	0.00972511	0.00990192	0.00393516	0.00661622	0.00318242	0.005616	0.00609726	0.0101272	0.00606818	0.011877	0.011452	0.0119478	0.017114	0.0162315	0.0172339	0.0170067	0.0140675	0.0171693	0.0138724	0.0103173	0.019617	0.0165912	0.0226441	0.0348776	0.0413068	0.0852135	0.0553106	0.0855266	0.0772458	0.158428
foule	0.0398531	0.0386025	0.0285511	0.0320019	0.0298999	0.0453423	0.0337644	0.0348518	0.0201373	0.0105814	0.00723646	0.00625389	0.00435566	0.00568067	0.00349348	0.00690621	0.00848634	0.011527	0.0108907	0.0104981	0.00899392	0.0126542	0.0209417	0.0205906	0.0234311	0.0274936	0.0322145	0.0350446	0.0405787	0.0363499	0.0426148	0.0356418	0.0362408	0.0373179	0.0371168	0.0331551	0.0360575	0.0377981	0.033284	0.0235664
pour	0.0722119	0.0497844	0.0206623	0.0201644	0.016666	0.0305646	0.0348291	0.0295752	0.031503	0.0200325	0.0130389	0.0131075	0.00633712	0.0081839	0.00500945	0.00827478	0.0101162	0.0126704	0.00850183	0.010304	0.0080319	0.00615859	0.0120854	0.0103767	0.0131648	0.0138525	0.00573783	0.00691148	0.00516271	0.0120992	0.019216	0.0215554	0.0236601	0.0317347	0.0288434	0.0318628	0.0536203	0.0745741	0.0803574	0.119457
le	0.0629745	0.0431247	0.0146187	0.0165125	0.0125339	0.0253341	0.0274264	0.0280983	0.0199125	0.0135651	0.00912923	0.00870412	0.00455855	0.00721322	0.0032439	0.00429298	0.00448388	0.00517407	0.00447957	0.00565214	0.00560311	0.00442161	0.00739643	0.00963995	0.0129727	0.0147315	0.00561139	0.0099026	0.0073747	0.0229482	0.0255215	0.0388021	0.0374594	0.052811	0.0463954	0.0387859	0.055672	0.0828513	0.082431	0.117636
voir	0.0548935	0.0526746	0.0224401	0.0388831	0.0270121	0.051146	0.0504257	0.0413084	0.0378776	0.0135097	0.00965324	0.00803656	0.01017	0.0102928	0.0106606	0.015264	0.0244312	0.0209586	0.0177137	0.0117635	0.00523839	0.00417235	0.00785608	0.00957366	0.0104735	0.019576	0.0119125	0.0332544	0.0204429	0.0326641	0.0252455	0.0342732	0.0278927	0.0461789	0.0289107	0.0189187	0.0384571	0.0347501	0.0322607	0.0288332
</S>	0.0265821	0.0160144	0.0037752	0.00474359	0.00628673	0.0134866	0.0132873	0.0166248	0.0139528	0.00443896	0.0058133	0.00413522	0.00432241	0.00731738	0.00423467	0.00601125	0.00678101	0.0100059	0.00379416	0.00389486	0.0036685	0.0044845	0.00378566	0.00503101	0.00519449	0.00928568	0.00243232	0.00861497	0.00614048	0.0139591	0.0242049	0.0413096	0.0429577	0.074721	0.0548943	0.0499713	0.0666143	0.125469	0.127268	0.15449
