 	a66	a87	a23	a70	a93	a44	a47	a61	a47	a62	a96	a98	a79	a98	a47	a36	a2	a57	a10	a87	a23	a99	a50	a75	a79	a90	a94	a61	a47	a62	a88	a90	a56	a75	a56	a75	a85	a92	a56	a75	a85	a92	a12	a96	a66	a90	a69	a7	a54	a36	a2	a57	a87	a23	a87	</S>
tu	0.0341983	0.0437169	0.0575493	0.0616626	0.0308932	0.106154	0.048057	0.0288917	0.0221005	0.0133567	0.00896353	0.0110054	0.0115475	0.0131242	0.0138308	0.00895354	0.0151396	0.00577831	0.00619346	0.00955151	0.0128962	0.00766492	0.0125156	0.0106214	0.0096373	0.00684704	0.0129203	0.00812919	0.015053	0.0263289	0.00854435	0.0069809	0.00535275	0.00840807	0.012844	0.00833863	0.00956176	0.00958462	0.0125707	0.00744143	0.010887	0.00628225	0.00595618	0.00835632	0.00658238	0.00845596	0.00634941	0.00734486	0.00831694	0.0132565	0.00784065	0.00807998	0.0189463	0.0373796	0.0181436	0.064913
manges	0.0109547	0.00835723	0.00881259	0.0118438	0.0174129	0.0191396	0.022364	0.0326153	0.0506376	0.0254196	0.0279358	0.0228382	0.0288985	0.0170169	0.0198409	0.0210141	0.0211731	0.0415873	0.0342027	0.0268053	0.0247298	0.0286235	0.0234383	0.0264231	0.0253804	0.0198145	0.0183425	0.0191466	0.019889	0.0180008	0.0105739	0.00859694	0.00768054	0.00655905	0.00703164	0.00714986	0.00439478	0.00558312	0.00577751	0.00616344	0.00483196	0.00574584	0.00440197	0.0033628	0.00366032	0.00711338	0.00799257	0.0122114	0.0217775	0.0185512	0.0317586	0.0259768	0.0266678	0.0201114	0.0236602	0.0200068
tellement	0.014629	0.00857091	0.0105599	0.0153704	0.0212702	0.027295	0.023367	0.0176703	0.0181331	0.0138448	0.0154116	0.0217195	0.0190878	0.0117853	0.0271594	0.0312121	0.0125132	0.0110983	0.0179305	0.0162093	0.0145296	0.0153802	0.0194883	0.0181382	0.0171893	0.0170538	0.0230297	0.0184623	0.0233075	0.0254331	0.0133477	0.00976234	0.00839335	0.00932847	0.0182686	0.0305472	0.0148451	0.0337353	0.0373953	0.0250624	0.0279095	0.0265967	0.0210263	0.00830145	0.00433468	0.00497196	0.00385595	0.00540834	0.00666802	0.008266	0.0150045	0.015647	0.0257899	0.0298196	0.0226082	0.0262564
vite	0.023798	0.0111341	0.00677056	0.00814671	0.00764996	0.00631132	0.0074554	0.0054656	0.00507201	0.00480668	0.00977963	0.00596732	0.0093286	0.00818592	0.00827184	0.00938182	0.00764039	0.00676184	0.00809658	0.00997905	0.00916981	0.00977866	0.0157796	0.015489	0.0114165	0.0113486	0.0176317	0.0086271	0.0103151	0.0131922	0.0126562	0.0124203	0.00768504	0.00536881	0.00895599	0.0104391	0.00908669	0.0243903	0.0397445	0.0343463	0.0341542	0.0339625	0.0434833	0.0284746	0.0152264	0.0142433	0.0199115	0.0339489	0.0423031	0.0360308	0.0359644	0.0327856	0.0614659	0.0408618	0.0329151	0.0364239
que	0.0446911	0.0216872	0.0106054	0.0109947	0.00876329	0.00673832	0.00791721	0.00635767	0.00453248	0.012199	0.0173933	0.0152254	0.0180968	0.015038	0.0123659	0.008814	0.00984974	0.0117902	0.0101286	0.0208923	0.0205684	0.0167212	0.0295523	0.0295456	0.0202637	0.028424	0.0537267	0.031708	0.0377872	0.0529922	0.0274813	0.0212277	0.0213968	0.0133569	0.015187	0.00911636	0.00814044	0.00836045	0.010103	0.00784299	0.00883431	0.017862	0.0148256	0.0421615	0.00938395	0.00735342	0.00594298	0.00925176	0.00977958	0.0174349	0.0153071	0.0162804	0.0253123	0.0248872	0.0133249	0.0244752
je	0.0149299	0.00555546	0.00452492	0.00437896	0.00401608	0.00846648	0.00621887	0.0079668	0.0160275	0.0157064	0.0335691	0.0348391	0.0511848	0.0236951	0.0236156	0.0204027	0.0150793	0.0212139	0.0487578	0.0628874	0.0360801	0.0502336	0.0591108	0.039857	0.0432627	0.0411058	0.0482902	0.0262129	0.0276872	0.027174	0.0164723	0.0117663	0.010585	0.00725851	0.00569033	0.00377196	0.00212215	0.00507252	0.00565144	0.00332684	0.00526263	0.00656819	0.00764211	0.00302188	0.00196083	0.00357715	0.00476658	0.00678241	0.0073618	0.00928903	0.0120886	0.0080548	0.0107431	0.00786356	0.00674067	0.0045088
ne	0.0118595	0.00462413	0.00425409	0.00469765	0.00606842	0.00492884	0.00550758	0.00607199	0.00710215	0.0141961	0.0314912	0.0352358	0.0414989	0.0227312	0.0240995	0.0136285	0.0149238	0.0237897	0.0457503	0.0592232	0.0258726	0.0489385	0.0452391	0.0389244	0.0318716	0.0386458	0.0487928	0.0385075	0.0398073	0.0373141	0.0169056	0.0106123	0.0114194	0.00984487	0.00789708	0.00479876	0.00276624	0.00438872	0.00459177	0.00416957	0.00646265	0.0103751	0.0127628	0.016439	0.00764172	0.00919075	0.00789512	0.0065161	0.00775289	0.0107485	0.0134326	0.0102969	0.0111872	0.00692944	0.0061392	0.00323966
veux	0.0276727	0.0229355	0.0205734	0.021643	0.0206103	0.00715	0.00642493	0.00493344	0.0031336	0.00498482	0.00562163	0.00703556	0.00578278	0.00505563	0.00417743	0.00334412	0.0111498	0.0172193	0.0153973	0.023252	0.0204309	0.0285811	0.0229905	0.0242419	0.0211468	0.0175535	0.0262255	0.0304403	0.0324523	0.0313694	0.0152067	0.00883421	0.0100228	0.00888668	0.0111313	0.0107423	0.0134005	0.0165649	0.0117471	0.0168925	0.0201715	0.017816	0.025513	0.0224773	0.0162694	0.0233997	0.0254363	0.024202	0.018072	0.045075	0.0318629	0.0299356	0.0244792	0.0216012	0.0161936	0.0205371
pas	0.0330109	0.023368	0.030243	0.028919	0.0225493	0.0126635	0.00593931	0.00401857	0.00285122	0.00556537	0.00888052	0.00939856	0.00675289	0.00670831	0.00621001	0.00559026	0.00988872	0.0128724	0.0171422	0.0193939	0.0204751	0.0260153	0.0225461	0.0215285	0.0226294	0.0180315	0.021084	0.0179793	0.0209038	0.0183567	0.0106585	0.00628329	0.00557996	0.00461218	0.00733419	0.00517988	0.00655171	0.0140914	0.0179503	0.0186408	0.0280424	0.0278954	0.0385892	0.0244238	0.0297472	0.030011	0.0233239	0.0246371	0.0239899	0.0349883	0.0216114	0.0212143	0.0193358	0.0212305	0.0223991	0.030163
manger	0.0292425	0.0168381	0.00996405	0.0151955	0.00941124	0.00849974	0.0068094	0.0091057	0.00763183	0.0168061	0.0192917	0.0198126	0.0135487	0.0171366	0.015734	0.0133111	0.0171646	0.0181482	0.0274789	0.025461	0.0252304	0.0174208	0.0227978	0.0162261	0.0190266	0.010981	0.0146073	0.00957891	0.0108256	0.0134248	0.0105829	0.00922579	0.0087238	0.00841176	0.0117011	0.00975216	0.0101015	0.0138927	0.0154345	0.0160537	0.0229765	0.0226954	0.028196	0.0273935	0.02517	0.0167174	0.0159777	0.0169387	0.0121323	0.024889	0.0246412	0.0299966	0.0332167	0.0241417	0.0396209	0.0447055
