 	a66	a87	a23	a83	a54	a7	a93	a70	a50	a88	a75	a21	a61	a34	a44	a11	a75	a37	a75	a92	a25	a79	a7	a75	a47	a92	a79	a44	a53	a7	a84	a57	a87	a23	a87	</S>
je	0.0241991	0.0476758	0.0638818	0.0410607	0.0492502	0.0321431	0.018835	0.00928927	0.00862992	0.00896235	0.00937561	0.0208458	0.0220211	0.0253418	0.0232715	0.015189	0.0267217	0.0241144	0.0273806	0.0294435	0.037529	0.0218633	0.0299791	0.0290892	0.044218	0.0378594	0.0209429	0.0104214	0.0167981	0.0299896	0.0192105	0.0431218	0.0219432	0.0357438	0.0244472	0.0492113
dois	0.0439139	0.0222461	0.0348228	0.0303116	0.0339399	0.0252912	0.0329821	0.0193555	0.0296573	0.0233552	0.0223152	0.0246706	0.0216442	0.0215962	0.0348227	0.0728702	0.0251621	0.0562293	0.0359388	0.0466155	0.0263402	0.0394168	0.0155569	0.0181654	0.00857817	0.0170224	0.0231978	0.0406182	0.0285064	0.0257454	0.0181929	0.0170144	0.0191407	0.0171444	0.0150398	0.0125797
à	0.0293506	0.0153025	0.0154286	0.013398	0.0130606	0.0225359	0.049504	0.0350198	0.0333108	0.0297949	0.0241631	0.0417126	0.0551366	0.0374153	0.0371415	0.0550402	0.0278991	0.0179656	0.0129492	0.00688558	0.00978266	0.00824965	0.00470453	0.00854612	0.00408105	0.00643069	0.0146213	0.0182238	0.0213437	0.0275444	0.0390551	0.0220185	0.059235	0.0520349	0.0583947	0.0727195
tout	0.0266831	0.0285367	0.0270067	0.0420955	0.0243705	0.0344345	0.0265696	0.0208669	0.0204606	0.0236457	0.0245717	0.0209987	0.0369493	0.041888	0.0371787	0.0171311	0.0671768	0.0460121	0.0283651	0.0275227	0.0287793	0.0274308	0.0239069	0.0187199	0.0311215	0.0298309	0.0200232	0.0287251	0.0263662	0.0300307	0.0267849	0.0138829	0.0130697	0.00898309	0.0085237	0.0413572
prix	0.0186058	0.011586	0.0101237	0.0105416	0.0093583	0.0130152	0.0163987	0.018393	0.0165791	0.0232372	0.0160057	0.0285801	0.0562295	0.0687505	0.0420411	0.032332	0.0454014	0.0218209	0.0109317	0.0100418	0.013299	0.0147493	0.0137228	0.0228383	0.020814	0.0293404	0.0341357	0.049916	0.0557691	0.0500658	0.0496046	0.036091	0.0328373	0.0254263	0.0262756	0.0451415
te	0.0590114	0.0292612	0.0265075	0.0231505	0.0198232	0.0215285	0.0214528	0.0127716	0.015122	0.0160511	0.00986089	0.020808	0.0212089	0.0331187	0.0432874	0.0465703	0.0279969	0.0122908	0.00740982	0.00379266	0.0141864	0.0224057	0.0141875	0.0335092	0.0435193	0.0233811	0.0410465	0.0364427	0.0595006	0.0433053	0.0373743	0.050728	0.0358011	0.0365351	0.0193197	0.0177333
frapper	0.0300127	0.0176211	0.0195075	0.0121424	0.0131514	0.0124147	0.00923595	0.00320316	0.00587758	0.00564052	0.00479936	0.0175666	0.0205772	0.03126	0.0323557	0.0389935	0.0380518	0.016232	0.0134567	0.00584392	0.0205668	0.0134049	0.0105368	0.0162455	0.021939	0.046362	0.0707455	0.0738304	0.110771	0.0455122	0.05713	0.0567588	0.0400392	0.0373159	0.0141398	0.0167582
car	0.0322256	0.0244117	0.038221	0.0211555	0.0261391	0.0211298	0.0168746	0.00876104	0.0092388	0.00931617	0.00817475	0.0187815	0.0154637	0.0169626	0.0182156	0.0218813	0.0132757	0.010789	0.00858216	0.00667422	0.0172759	0.0129632	0.0107532	0.0185501	0.0167829	0.0432753	0.0704833	0.0506759	0.100824	0.032769	0.0397622	0.0581703	0.032291	0.0573508	0.0323577	0.0594417
tu	0.0358255	0.0244997	0.023579	0.0114063	0.0118318	0.00913541	0.00622866	0.00149294	0.00126041	0.00119901	0.00134007	0.00479394	0.00308999	0.00346309	0.00442787	0.00905964	0.00383763	0.00355313	0.00254618	0.00303031	0.0104201	0.00899322	0.00927719	0.012959	0.0169128	0.0327844	0.0565973	0.0393614	0.113342	0.0705275	0.0617815	0.102344	0.0493198	0.0950262	0.0708058	0.0839481
me	0.0314211	0.0214886	0.0212695	0.0111243	0.0109201	0.0102198	0.0103691	0.00338876	0.00316834	0.00322497	0.00316131	0.0118345	0.0100092	0.00908742	0.0123657	0.0205124	0.0115469	0.0108217	0.00816451	0.00512492	0.016827	0.00950707	0.0113213	0.0142086	0.0198682	0.0491532	0.0699739	0.0626071	0.0952964	0.0538187	0.0501546	0.0772198	0.0389076	0.0618586	0.055187	0.0848679
prends	0.0235895	0.0156275	0.0125849	0.00765673	0.00600185	0.00751555	0.00948169	0.00374873	0.0030689	0.00373552	0.00392983	0.0121011	0.011697	0.0131716	0.0147495	0.0245405	0.0167105	0.0219331	0.0160735	0.0101434	0.0225075	0.0180831	0.0205632	0.0278778	0.0257393	0.0540177	0.0616182	0.0631258	0.0921762	0.0628876	0.0618555	0.0631476	0.0377136	0.0453902	0.0395912	0.0656446
pour	0.049967	0.0405748	0.0305761	0.0209762	0.0152173	0.0223701	0.0164888	0.00642675	0.00583537	0.00804505	0.00831295	0.0209164	0.013865	0.0208812	0.0236165	0.0298073	0.0145324	0.01762	0.0104177	0.010783	0.021196	0.0155216	0.012392	0.0173003	0.0397228	0.0488928	0.0487972	0.034076	0.0735838	0.0584106	0.0513603	0.0571202	0.029462	0.0314047	0.0245893	0.0489407
rien	0.0430366	0.0299903	0.0162258	0.0118528	0.00850301	0.0158171	0.0174116	0.00818432	0.00777276	0.00963534	0.0101997	0.0176638	0.0137991	0.0136181	0.0131241	0.017523	0.012301	0.0139596	0.00881631	0.0103383	0.0216236	0.0179446	0.0159702	0.0202127	0.0458626	0.061124	0.0502408	0.0339753	0.0631864	0.0534702	0.0454103	0.0794324	0.0378233	0.0452284	0.0403871	0.0683353
</S>	0.0183155	0.0180727	0.015299	0.00870361	0.0093857	0.0125813	0.00873303	0.00406659	0.00386997	0.0043786	0.00433678	0.00955627	0.00953932	0.0102208	0.00927508	0.0116711	0.0161126	0.0153572	0.00937697	0.0101053	0.0464453	0.0229124	0.0261558	0.0224194	0.0668519	0.0709476	0.0402715	0.0236645	0.0522992	0.0534037	0.0469694	0.0775731	0.0478182	0.0598867	0.0672691	0.0661545
