 	a66	a87	a23	a87	a23	a87	a23	a87	a23	a30	a53	a15	a20	a75	a5	a75	a98	a6	a25	a92	a98	a85	a6	a36	a0	a61	a88	a71	a9	a10	a87	a23	a97	a99	a87	a23	a99	a87	</S>
il	0.039314	0.0520578	0.0401026	0.0353361	0.0254997	0.0245871	0.0305592	0.0240653	0.027856	0.0440646	0.057611	0.0959328	0.0832413	0.0400697	0.0227757	0.0162481	0.0141751	0.0122889	0.0128782	0.0107335	0.00705856	0.00387358	0.00409702	0.00433938	0.00562179	0.0122699	0.0195795	0.0210639	0.0181145	0.0184727	0.0154293	0.0203592	0.0159737	0.0172197	0.0161183	0.0190125	0.0187101	0.014665	0.0386245
m'	0.0131392	0.0133205	0.0148057	0.0232391	0.0188878	0.020932	0.0221865	0.0175402	0.028752	0.0291521	0.0196469	0.0197867	0.0326204	0.0455404	0.0331685	0.0442229	0.0290427	0.0399533	0.0137514	0.0136381	0.0141374	0.0230594	0.0397345	0.0435336	0.0353648	0.0232481	0.0315522	0.0228618	0.0431734	0.0465509	0.0201012	0.0207527	0.0162454	0.0278315	0.0170639	0.0256901	0.0182524	0.0228147	0.0147057
a	0.0109333	0.00996423	0.00984089	0.00971271	0.0111568	0.0164708	0.0142066	0.0150255	0.0288535	0.0420614	0.034818	0.048989	0.0556624	0.119468	0.115753	0.0571252	0.0386194	0.0516944	0.0417175	0.0187112	0.0191295	0.00804261	0.00551705	0.00644348	0.00419618	0.00576114	0.0048938	0.00545539	0.00725001	0.0099152	0.0132018	0.0201409	0.0093381	0.018515	0.0165496	0.022697	0.0219228	0.0316517	0.0185941
donné	0.0234331	0.0198262	0.0237362	0.0249216	0.0239492	0.0233296	0.0172814	0.0163963	0.0178475	0.036916	0.0371409	0.0268166	0.0263133	0.0220687	0.0267199	0.0212257	0.031946	0.0318872	0.0258622	0.030182	0.0570744	0.0944791	0.0833843	0.0799631	0.0586466	0.0225738	0.022625	0.0116119	0.00696608	0.00485539	0.00337709	0.0060197	0.00490454	0.00425043	0.00507815	0.00756153	0.0042699	0.00577331	0.00878598
un	0.0613437	0.0424407	0.0315016	0.0198848	0.013254	0.00833564	0.00713843	0.0044659	0.00470257	0.00691491	0.0070623	0.00832041	0.0110957	0.0119517	0.00971637	0.018466	0.0100944	0.0107343	0.00669822	0.00983129	0.0133697	0.0160069	0.0179766	0.0219076	0.0230295	0.0333764	0.0276491	0.0304392	0.0334493	0.041318	0.0259537	0.0504463	0.0357791	0.0515457	0.0435919	0.0595489	0.0496259	0.0724593	0.0485739
panier	0.0367386	0.0249566	0.0153369	0.0221832	0.0150832	0.0170232	0.0118257	0.0110189	0.0140112	0.0293488	0.0266437	0.0418662	0.0378683	0.029373	0.0366619	0.0260074	0.0371622	0.0357813	0.0401257	0.0308155	0.0169438	0.018276	0.00988937	0.0126967	0.0250764	0.0202742	0.0155677	0.0215635	0.0207772	0.0260629	0.0364414	0.0319519	0.0331315	0.0216557	0.0345171	0.0237804	0.0251578	0.0215765	0.0448286
de	0.13405	0.0909655	0.0578376	0.03651	0.0348229	0.0307557	0.0246569	0.0239125	0.0222588	0.0219999	0.0131234	0.0131191	0.0129814	0.0138901	0.0112758	0.00925049	0.00593259	0.00843656	0.00446402	0.00481801	0.00317172	0.00266932	0.0143569	0.0172407	0.018572	0.0265921	0.0201308	0.0246108	0.024906	0.0259259	0.0235839	0.0273784	0.0247528	0.0338512	0.0281829	0.031518	0.0333981	0.0282182	0.0158786
safous	0.131584	0.0656984	0.0392193	0.0250384	0.0192694	0.0146852	0.0111493	0.00967543	0.00834543	0.0137874	0.00810071	0.00846633	0.010657	0.0152172	0.014779	0.0112827	0.00937064	0.0128182	0.00630795	0.00559347	0.00258484	0.00191663	0.0117349	0.0149768	0.0139883	0.0329331	0.0234186	0.0350388	0.0385295	0.0382955	0.0375025	0.0364734	0.0358373	0.0536415	0.0460717	0.0408319	0.0476521	0.0349115	0.0126159
bien	0.0476209	0.0216712	0.0200035	0.0182815	0.0157249	0.0171142	0.0142948	0.0116498	0.0155468	0.0232416	0.0148745	0.0177953	0.0163961	0.0101413	0.00615074	0.00692122	0.00827392	0.0117158	0.00743568	0.00712869	0.00491246	0.00570545	0.0120847	0.0124152	0.00992398	0.0161933	0.0182561	0.0203337	0.019479	0.0211139	0.0255985	0.031375	0.0339597	0.0558694	0.0551443	0.0938307	0.112776	0.0840159	0.0550299
mûrs	0.0445176	0.0178862	0.0195447	0.0112321	0.00927974	0.00957558	0.00687592	0.00486343	0.00613993	0.00699437	0.00397695	0.00589381	0.00590349	0.00313009	0.00264156	0.00457284	0.00579131	0.0095215	0.00695877	0.00826365	0.00738034	0.00629179	0.0127899	0.0162567	0.0160169	0.0298854	0.0246851	0.0275978	0.0279021	0.0346819	0.0309623	0.0494306	0.0353299	0.0758162	0.0498506	0.0992138	0.0967834	0.0868725	0.0786893
</S>	0.017403	0.00723203	0.00837518	0.00312423	0.0028643	0.00254534	0.00163882	0.00131738	0.00138265	0.00144389	0.00117226	0.00182424	0.0021153	0.00248947	0.00195836	0.00324123	0.00583069	0.010932	0.00889108	0.0097411	0.00570785	0.00335892	0.00801874	0.0111066	0.0136505	0.0297769	0.0185375	0.0232998	0.0220916	0.034752	0.0437715	0.0642413	0.0592686	0.0942122	0.0609701	0.110287	0.103055	0.111742	0.0866295
