 	a66	a87	a23	a87	a40	a7	a37	a83	a12	a62	a93	a54	a92	a37	a44	a70	a54	a36	a0	a11	a93	a13	a38	a83	a9	a38	a75	a6	a37	a61	a88	a71	a9	a99	a87	a23	a99	a18	a83	a36	a26	a82	a87	a23	a40	a37	a26	a37	a70	a13	a83	a34	a12	a75	a85	a6	a47	a7	a69	a44	a54	a47	a79	a69	a4	a13	a62	a88	a71	a26	a57	a87	a10	a87	</S>
on	0.0264086	0.036195	0.0366803	0.0238175	0.0231494	0.0320624	0.0333681	0.0411084	0.039886	0.0216547	0.0207606	0.0234631	0.0265755	0.0310428	0.0194455	0.0253986	0.0161785	0.0130064	0.0207478	0.017339	0.0149653	0.0143446	0.0112878	0.0190869	0.0144148	0.0138649	0.00880885	0.00896426	0.00962537	0.00949296	0.0106126	0.0146435	0.0141563	0.00908734	0.00961055	0.0118346	0.0170099	0.0267439	0.0152614	0.0121191	0.0108284	0.0134967	0.0109139	0.00994792	0.0131258	0.00737064	0.00816892	0.00417204	0.00351388	0.00450901	0.0126091	0.00976059	0.0103784	0.0082214	0.00728831	0.0041535	0.00649486	0.00434692	0.00360322	0.0031503	0.00514772	0.00327004	0.00586616	0.00560503	0.00416745	0.00534788	0.00176319	0.00183227	0.00285894	0.00286313	0.00383501	0.00170044	0.0011163	0.00147072	0.00287876
lui	0.00871369	0.00847405	0.00822974	0.00985853	0.018162	0.0249377	0.025614	0.0486621	0.0387549	0.0364229	0.0189524	0.029969	0.0210668	0.018285	0.0191466	0.0130695	0.00778865	0.00702174	0.00733189	0.00464789	0.00361561	0.0058341	0.0035982	0.0060176	0.00524058	0.00693493	0.0064566	0.00798113	0.0083791	0.00763629	0.00917693	0.0130177	0.0105726	0.0171345	0.0124755	0.01121	0.0133583	0.0155098	0.0143769	0.013395	0.0144679	0.0131478	0.0149074	0.00931239	0.0101953	0.00811641	0.00671709	0.00628354	0.00503872	0.00488811	0.00366779	0.00489181	0.00542277	0.00472285	0.00762404	0.00666974	0.00647695	0.00795787	0.0131189	0.00876426	0.00832052	0.00418402	0.00656289	0.00801357	0.0123013	0.0127188	0.0173848	0.0408767	0.0227415	0.016066	0.0232993	0.0195827	0.0213505	0.0297135	0.0274618
a	0.0333662	0.0135856	0.00825358	0.00598607	0.013926	0.0177822	0.0141699	0.0278133	0.0177049	0.0153623	0.0102087	0.0212465	0.0105354	0.0131311	0.0178045	0.015891	0.0140213	0.0198084	0.0121159	0.0162014	0.0155144	0.0147697	0.0151844	0.0101535	0.025949	0.0177466	0.0209298	0.0147144	0.0173565	0.0144422	0.0298765	0.0232002	0.0193038	0.0216279	0.011381	0.00954747	0.0134557	0.0136248	0.0120559	0.0145561	0.0135608	0.00943699	0.0113606	0.0104295	0.00855797	0.00678201	0.00864584	0.00996369	0.00920283	0.0108463	0.0108249	0.0105162	0.0130192	0.0115408	0.0104975	0.0196165	0.0163135	0.00871303	0.00595298	0.00519316	0.00626956	0.00256204	0.0027114	0.00415554	0.00581208	0.00916336	0.00984277	0.0147692	0.0150275	0.0102251	0.00867705	0.00966141	0.00791879	0.0150976	0.0128283
fait	0.0297155	0.0171205	0.0121933	0.0161431	0.0126313	0.0119019	0.00756671	0.00833859	0.00942914	0.0100764	0.0086735	0.00791745	0.00867104	0.0107205	0.0144894	0.0103286	0.0118241	0.00854042	0.0100476	0.0108377	0.0074677	0.00839269	0.00756618	0.0100352	0.00921919	0.0124148	0.0120974	0.013464	0.0132093	0.0122054	0.0118203	0.0127516	0.00987988	0.00901731	0.0110668	0.014613	0.0158798	0.0145076	0.0171693	0.0142002	0.0217162	0.0263258	0.0177548	0.0174343	0.01254	0.0128783	0.0148063	0.0159879	0.0141369	0.0179523	0.0225736	0.0149868	0.017675	0.0187807	0.0179146	0.00950452	0.0110964	0.0264704	0.0237754	0.0194705	0.0208918	0.0315493	0.0317983	0.0194582	0.0115906	0.0066567	0.00614336	0.0050849	0.00902389	0.00667598	0.00545447	0.0056045	0.00321801	0.00411647	0.00480876
une	0.01617	0.00452844	0.00379569	0.00386838	0.00359217	0.00376675	0.00296676	0.0035199	0.0038626	0.00282893	0.00478233	0.00443506	0.00314588	0.00590964	0.00800026	0.0093604	0.0106152	0.00925463	0.00819417	0.0113127	0.00752148	0.00688643	0.00868614	0.0111128	0.0093825	0.014975	0.0189793	0.0206816	0.0265219	0.0183848	0.0154825	0.0227047	0.0166728	0.0118333	0.0147683	0.0207232	0.014627	0.0156897	0.0256849	0.0232015	0.0305939	0.0269782	0.0243963	0.026298	0.0168001	0.0276051	0.0261067	0.0312061	0.0253198	0.0359986	0.0417537	0.0235865	0.0238732	0.0219984	0.033913	0.0154914	0.00993362	0.0167098	0.0112028	0.00887801	0.00827046	0.00689434	0.00559832	0.00378127	0.0011662	0.00258651	0.00289389	0.0029249	0.00545596	0.00701317	0.00400175	0.00630276	0.00352348	0.00671346	0.00580065
injection	0.0140115	0.00424805	0.00522473	0.00571038	0.00570072	0.00280709	0.00302281	0.00190501	0.00369615	0.00416016	0.00715195	0.0121602	0.00655318	0.00942707	0.00979244	0.0153054	0.028776	0.0128537	0.0204123	0.0332132	0.0439171	0.040234	0.0350422	0.0510185	0.0283793	0.0217917	0.0258185	0.0132137	0.0108294	0.00902459	0.00482479	0.00874066	0.00533328	0.00417725	0.00539646	0.00950021	0.0116903	0.00766059	0.0125581	0.0119734	0.0108121	0.0113091	0.0104799	0.0137343	0.0109807	0.0263102	0.0458878	0.0384248	0.047294	0.0373086	0.0183479	0.0427165	0.0170884	0.0247697	0.0292114	0.00997736	0.00871471	0.0100911	0.00397612	0.00249211	0.00194447	0.00157659	0.00112671	0.0014055	0.000241742	0.00037094	0.000402974	0.00039708	0.000777605	0.00117846	0.000573147	0.000736113	0.000489626	0.000605694	0.00099064
à	0.0188821	0.0114576	0.00791662	0.00695497	0.00347068	0.00150949	0.00171177	0.000917893	0.00105932	0.00109948	0.00272982	0.00735054	0.00468907	0.00600733	0.00752459	0.0126701	0.016494	0.00786863	0.0136291	0.0196816	0.0132767	0.0102582	0.0167275	0.0182678	0.0184582	0.0154135	0.0145532	0.0166976	0.0128532	0.0102891	0.00774409	0.0141857	0.0093424	0.00868461	0.0129815	0.0150249	0.0223152	0.0211691	0.0290706	0.0228535	0.0335657	0.0432927	0.0343245	0.0301756	0.0277457	0.0301207	0.0235416	0.0270532	0.0399185	0.0445267	0.0298249	0.0311729	0.0265048	0.0286626	0.0254821	0.0092643	0.00692692	0.00910008	0.0039307	0.00374758	0.00271559	0.00306861	0.00203468	0.00224383	0.00124343	0.00120167	0.00131752	0.00138699	0.00232714	0.00437966	0.00140384	0.00164323	0.000593973	0.000970118	0.000796582
l'	0.0415956	0.0215827	0.011261	0.0085147	0.00475374	0.00445285	0.00319094	0.00280865	0.00329625	0.00248759	0.00465184	0.0065812	0.00617718	0.00718166	0.00801232	0.00999139	0.0110644	0.0117982	0.0123478	0.0150862	0.0148364	0.0145492	0.0140984	0.0146448	0.0236212	0.0172201	0.0184401	0.0211307	0.0257659	0.0221902	0.0292727	0.0271326	0.0268327	0.0262096	0.0275484	0.0219538	0.0317805	0.0299349	0.0266505	0.0209691	0.0232233	0.0236054	0.0212511	0.0223375	0.0249592	0.0159385	0.0150935	0.0133964	0.0149848	0.0135076	0.00982457	0.0116919	0.012496	0.0087856	0.00748584	0.00379261	0.00497582	0.00543046	0.00289476	0.00305933	0.00234542	0.00387351	0.0024081	0.00353633	0.00267189	0.00623099	0.00775718	0.00881995	0.00666086	0.011447	0.00679231	0.00884149	0.00584062	0.00679078	0.00563157
hôpital	0.020799	0.0113285	0.00786934	0.007478	0.00276667	0.00294022	0.00239653	0.00205898	0.00257279	0.0037482	0.00866938	0.0130519	0.00574134	0.00854352	0.00864892	0.0101351	0.0160526	0.0145154	0.0124097	0.0163294	0.0167933	0.0175928	0.0268389	0.0218089	0.0189238	0.018439	0.0199488	0.0221008	0.0252097	0.0210481	0.021742	0.0233159	0.0170064	0.0192901	0.0161547	0.0281003	0.0152269	0.0152993	0.0224505	0.0215979	0.0225111	0.0180569	0.0183313	0.0201327	0.0164426	0.0153149	0.0163243	0.0245678	0.0230711	0.0206874	0.0139481	0.0156881	0.0159298	0.0150775	0.0137063	0.00741018	0.00914471	0.00745571	0.0057273	0.00780948	0.0067169	0.00537101	0.00527999	0.00395979	0.00220835	0.00276278	0.00376558	0.00463969	0.0090786	0.014932	0.0099426	0.015353	0.00663958	0.00995473	0.00511439
du	0.0256003	0.017275	0.0108043	0.0104964	0.00580095	0.00242905	0.00205857	0.000926731	0.00134942	0.00181816	0.0031717	0.00788155	0.00432524	0.00683664	0.00789864	0.00619565	0.00743094	0.00935747	0.00585177	0.00600622	0.00734284	0.00836509	0.00637395	0.00797943	0.0106887	0.0157285	0.0175988	0.0307208	0.0288833	0.027456	0.0303455	0.0287067	0.0289053	0.0318005	0.0329712	0.0323252	0.0265887	0.0264878	0.0295172	0.0253682	0.0268305	0.0168968	0.0289625	0.0328257	0.039106	0.0231817	0.0175878	0.0119357	0.0102754	0.0102238	0.00869918	0.0104023	0.0114091	0.00771685	0.00734448	0.00569171	0.00624712	0.00513886	0.00339619	0.00384408	0.00319724	0.00260711	0.00169085	0.00234389	0.000808207	0.0028619	0.00352324	0.00386885	0.00493008	0.00819825	0.0101218	0.0184591	0.0143062	0.0178358	0.0198634
