 	a87	a23	a87	a23	a40	a36	a26	a21	a85	a98	a85	a6	a0	a56	a12	a96	a18	a62	a21	a75	a85	a47	a36	a90	a15	a98	a47	a36	a37	a61	a0	a75	a5	a23	a88	a0	a27	a30	a10	a87	a23	a87	</S>
les	0.0547268	0.055175	0.048228	0.0372627	0.0301817	0.0454936	0.0323499	0.0607382	0.0570908	0.0432216	0.0567577	0.0279054	0.0371047	0.0276441	0.0285678	0.0258062	0.0232329	0.0279563	0.0230086	0.0128193	0.00899752	0.00950166	0.00678988	0.00567033	0.00890325	0.00966076	0.0124555	0.014515	0.0234829	0.0204936	0.011295	0.00862256	0.00651003	0.00922403	0.0121607	0.00528513	0.00477789	0.00643831	0.00644628	0.00652539	0.0082986	0.00962141	0.0290529
fosses	0.00400596	0.00457978	0.00419932	0.00440062	0.010016	0.0230517	0.0411142	0.0803751	0.0935175	0.117214	0.142301	0.109868	0.105245	0.0642096	0.0412596	0.0184541	0.0202074	0.00420097	0.00964415	0.0156308	0.0128567	0.0150237	0.0155454	0.0105025	0.0115069	0.0031087	0.00153978	0.00162948	0.00287565	0.000772945	0.00123006	0.00111693	0.000761965	0.000879948	0.00071592	0.0010171	0.000632481	0.000506295	0.000596746	0.000655677	0.0010305	0.00169732	0.000301623
que	0.0135056	0.0194402	0.014805	0.0242906	0.0162811	0.040878	0.0460747	0.0401021	0.0528534	0.0556534	0.0730093	0.0508575	0.0524528	0.0210178	0.0326684	0.0466872	0.035644	0.0406154	0.0276494	0.0536943	0.0496859	0.0454909	0.0265103	0.0291315	0.00999377	0.0102022	0.0107164	0.0121751	0.0106916	0.00567203	0.00319815	0.00270393	0.00108966	0.00192313	0.000698537	0.00159318	0.00111714	0.00166766	0.00226255	0.00199834	0.00459528	0.00582981	0.00287274
nous	0.105089	0.0362304	0.0238893	0.0192254	0.00947182	0.017526	0.0154451	0.031904	0.0304426	0.033207	0.0241553	0.0116917	0.00972975	0.00600664	0.00712219	0.00932566	0.009716	0.0258478	0.0169791	0.0251692	0.0217624	0.0236397	0.015142	0.0114424	0.0129381	0.00731337	0.0121111	0.0117472	0.0143147	0.0138245	0.00713828	0.00871802	0.0102457	0.0158349	0.0168596	0.0295771	0.0339871	0.0270098	0.042239	0.0547721	0.0480719	0.0547809	0.0383562
avons	0.0840802	0.0135139	0.0167214	0.017925	0.00399906	0.00424	0.00377393	0.00467302	0.0079612	0.00895927	0.0136272	0.00802424	0.0134493	0.0257931	0.0379731	0.0494294	0.0392695	0.0667183	0.0415884	0.0321891	0.0436436	0.0296418	0.0267364	0.0240627	0.0184862	0.0216556	0.0176202	0.0197558	0.013645	0.0113114	0.0101843	0.0169339	0.0111139	0.0284523	0.01062	0.010657	0.00718179	0.0120381	0.0188549	0.0233478	0.034882	0.044869	0.050398
creusées	0.0464971	0.0167552	0.0143074	0.0212394	0.00948711	0.00922673	0.00435608	0.002951	0.0093665	0.00896522	0.012027	0.0131842	0.0148892	0.0302237	0.024431	0.0445656	0.0372898	0.0504537	0.0382901	0.0278493	0.0277571	0.0260184	0.0304103	0.0269949	0.0180986	0.0142378	0.0124744	0.0119068	0.0127454	0.0121066	0.0205558	0.038952	0.0259388	0.0561195	0.0480108	0.0205065	0.0198307	0.0255692	0.0184938	0.0233794	0.0220093	0.0161177	0.0354108
hier	0.100837	0.0314601	0.0231742	0.017049	0.0145594	0.0133649	0.0117412	0.0144191	0.0155537	0.0127227	0.0135645	0.00980186	0.0174719	0.0204096	0.0218429	0.037405	0.0284468	0.0631757	0.0460448	0.0370671	0.032774	0.0169159	0.00687849	0.00755151	0.00367633	0.00969579	0.0160745	0.0307163	0.0279693	0.0177793	0.014425	0.0219477	0.0208407	0.0353503	0.0303155	0.0155262	0.00882389	0.0170762	0.0174664	0.0245437	0.0244059	0.0244689	0.0246668
sont	0.0688703	0.0371049	0.0316191	0.0353767	0.0215241	0.0139009	0.00639157	0.00880924	0.0102429	0.0105848	0.014016	0.00667935	0.0102353	0.0119382	0.0109554	0.0149534	0.0151914	0.0236972	0.0189536	0.0270706	0.0182599	0.0137165	0.0082962	0.00938137	0.00570186	0.0125761	0.013588	0.0262319	0.0178975	0.015519	0.0165952	0.0206043	0.020011	0.031423	0.031675	0.0247755	0.022106	0.0270597	0.0327969	0.0558982	0.0554754	0.0561705	0.0661262
remblayées	0.0388461	0.0235456	0.0208884	0.0213146	0.0145271	0.0112985	0.00394504	0.00412573	0.00702101	0.00765973	0.0119202	0.0138587	0.0145157	0.0207641	0.0198943	0.0333151	0.0282411	0.0266348	0.0240741	0.0192581	0.0184005	0.0188094	0.0184412	0.0164609	0.00973006	0.0132647	0.0154192	0.0149965	0.0143054	0.0145688	0.0128656	0.0224619	0.0230047	0.0323354	0.0346133	0.0264966	0.0261497	0.0326705	0.0283204	0.0649041	0.0539723	0.0430888	0.0790721
</S>	0.0536068	0.0294983	0.0300725	0.0240083	0.0108067	0.0048265	0.00112465	0.00209625	0.00244046	0.00261006	0.00545602	0.00815393	0.00942719	0.0111332	0.013565	0.0142572	0.0148571	0.0184663	0.0183142	0.0227909	0.0205719	0.0195336	0.0140709	0.0111432	0.00740214	0.0112906	0.0101221	0.0126154	0.0114439	0.0158214	0.0198351	0.0238374	0.0191114	0.0203145	0.0248403	0.0244305	0.0265284	0.0289188	0.0285581	0.0626599	0.0611101	0.0715352	0.156794
