 	a66	a87	a23	a79	a4	a70	a53	a56	a75	a92	a37	a90	a98	a47	a36	a7	a2	a57	a87	a23	a83	a54	a47	a92	a6	a36	a75	a5	a21	a12	a18	a75	a5	a21	a5	a47	a61	a43	a11	a34	a96	a88	a71	a9	a99	a87	a23	a87	</S>
après	0.0287478	0.0290231	0.0371553	0.0462213	0.0515702	0.0433856	0.0783239	0.0217385	0.0286702	0.0582328	0.0508208	0.0241942	0.0327832	0.0184241	0.0186049	0.0111103	0.0151024	0.0102219	0.0099566	0.0108213	0.00828937	0.00673038	0.00666874	0.00679595	0.00547782	0.00682817	0.007314	0.0120113	0.0100102	0.0157758	0.0152846	0.0173801	0.0140068	0.0117831	0.0142463	0.0105553	0.0175156	0.0281285	0.0106395	0.0169164	0.0145632	0.0151728	0.0146778	0.00709733	0.0129378	0.0118847	0.00970275	0.0111156	0.0353817
la	0.00791881	0.00857322	0.00842511	0.00587016	0.0117186	0.0170611	0.0184394	0.0218942	0.0279784	0.0190552	0.0425023	0.0459482	0.0618741	0.0409085	0.0272292	0.029339	0.0413955	0.0435937	0.0455773	0.0387225	0.0319076	0.0303085	0.0231097	0.0159024	0.0141556	0.0101477	0.0075934	0.00670854	0.00357643	0.00490776	0.00766358	0.00636133	0.00419391	0.0050075	0.00429544	0.0065889	0.00621819	0.00587817	0.0123999	0.0109067	0.012989	0.0296607	0.0187481	0.0297643	0.0259228	0.0252986	0.0318078	0.020699	0.0232539
pluie	0.0106815	0.0118872	0.00838514	0.00580514	0.0107905	0.012779	0.0160891	0.0180288	0.0270227	0.0172319	0.042321	0.0271804	0.0519931	0.0709904	0.0363538	0.0449995	0.0568061	0.0763229	0.0571444	0.0621986	0.0506253	0.0388156	0.0252399	0.028143	0.0228786	0.0230427	0.0202701	0.0206774	0.0121265	0.00847104	0.0136346	0.00336829	0.00410208	0.00462486	0.00153844	0.00290397	0.00231634	0.00311061	0.00542523	0.0025082	0.00289893	0.00401166	0.00355344	0.00422254	0.0054014	0.00654165	0.00714606	0.00357655	0.00381384
l'	0.0342178	0.0319843	0.0116169	0.009453	0.0105786	0.014128	0.0130487	0.0177138	0.0219203	0.0230167	0.0243847	0.0212175	0.0152734	0.018612	0.0200473	0.0284155	0.03656	0.0379398	0.0303157	0.0259557	0.0343542	0.0185539	0.0159417	0.0146815	0.0119179	0.0170797	0.0175667	0.0115282	0.00768563	0.00752205	0.00604914	0.00665858	0.00381626	0.00478367	0.00552115	0.00855831	0.0075445	0.0143266	0.0153576	0.0183684	0.0137271	0.017955	0.0430894	0.0245959	0.0611777	0.0435931	0.0313857	0.0473471	0.0229135
eau	0.0238466	0.0339988	0.0191208	0.0237009	0.0104149	0.0190185	0.0097409	0.00541924	0.00770132	0.0108063	0.00740262	0.00560292	0.00621467	0.011108	0.0133851	0.0252253	0.0237114	0.0345522	0.0562343	0.0399448	0.0721647	0.0595054	0.0458463	0.0582694	0.0461671	0.0652763	0.0296468	0.0230513	0.0240184	0.0192604	0.0112441	0.00690198	0.00990759	0.0126925	0.00676329	0.00843141	0.00512339	0.00819985	0.00769862	0.00777178	0.00623619	0.00822599	0.0157393	0.00478129	0.0142981	0.0123155	0.00806776	0.00564034	0.00960543
de	0.0179441	0.0196784	0.00787513	0.00743438	0.0059712	0.00786741	0.00450635	0.00547585	0.0106778	0.00815523	0.00455399	0.00836005	0.0117917	0.0109524	0.0218895	0.0364738	0.0296769	0.0396103	0.0678459	0.0603302	0.0996144	0.0357898	0.0346968	0.0470661	0.0410106	0.0443552	0.0469461	0.0194005	0.0212081	0.0124672	0.0135973	0.00804355	0.00710511	0.00958874	0.00465887	0.00857294	0.011477	0.0281827	0.0347654	0.0254017	0.00850087	0.00497554	0.00941334	0.00335895	0.00732044	0.00990228	0.00593554	0.00442283	0.00515154
la	0.0220877	0.0233033	0.00873756	0.0114003	0.00718517	0.00998434	0.00791371	0.00965908	0.0107317	0.00990978	0.0107378	0.0134923	0.0245391	0.0179494	0.0251794	0.0286323	0.0375242	0.0386251	0.0383929	0.0332232	0.0367278	0.0201392	0.0213191	0.0233675	0.0299195	0.0304092	0.0358362	0.0144895	0.0160184	0.014273	0.0158428	0.0159152	0.0100221	0.00836971	0.0101034	0.0116317	0.0128278	0.0221761	0.0203238	0.0215475	0.0104536	0.032453	0.0342077	0.0201121	0.0332293	0.0304533	0.0202842	0.021338	0.0170011
rivière	0.0198804	0.033005	0.0123251	0.0346259	0.0140698	0.015624	0.0161921	0.0137303	0.0149486	0.021308	0.0153032	0.0129897	0.020934	0.0106648	0.0171296	0.0166115	0.0293832	0.0236136	0.034581	0.0228013	0.0310744	0.0132854	0.0159241	0.015585	0.0208365	0.0293229	0.0248772	0.0110572	0.0131204	0.0143924	0.0113145	0.0154572	0.0153193	0.0130828	0.0191605	0.0128644	0.0102193	0.0162755	0.0178764	0.020786	0.0136712	0.0354854	0.0445141	0.0220911	0.0494553	0.0359688	0.0180745	0.0210564	0.0181306
est	0.0400778	0.0610726	0.027416	0.0546827	0.0310447	0.0306657	0.0287827	0.0130722	0.0125896	0.0288509	0.0180178	0.0107332	0.0205218	0.0142451	0.0181705	0.0153031	0.0197495	0.0188799	0.0217366	0.0216146	0.026359	0.0189418	0.020995	0.0209828	0.0220312	0.0210253	0.0130978	0.012122	0.0195771	0.0204417	0.0142923	0.0183403	0.0118027	0.0144273	0.0123069	0.0123411	0.0115737	0.0153469	0.0161022	0.015562	0.0107444	0.0151366	0.0194078	0.0108993	0.0306676	0.019359	0.0147402	0.0252881	0.00886059
trouble	0.0160637	0.0210148	0.00879851	0.0228141	0.0135152	0.0182431	0.0175856	0.014146	0.0152224	0.0133949	0.0117316	0.00881846	0.00987652	0.0113238	0.0138777	0.0205981	0.0304292	0.0273477	0.0364335	0.0246281	0.0231981	0.0235577	0.023179	0.020643	0.0347781	0.0334178	0.031337	0.0234461	0.0180504	0.0167286	0.019705	0.030019	0.0222609	0.0205991	0.0231647	0.0272943	0.0196316	0.0150032	0.0243661	0.0170814	0.00848241	0.0368779	0.027198	0.016702	0.0247678	0.0187906	0.0132662	0.0160903	0.0145008
