 	a66	a10	a87	a23	a30	a4	a62	a21	a92	a6	a21	a56	a90	a15	a7	a84	a57	a87	a23	a18	a75	a47	a36	a5	a23	a85	a6	a0	a43	a18	a31	a21	a85	a98	a25	a98	a15	a36	a2	a57	a79	a12	a18	a61	a12	a96	a62	a61	a21	a12	a18	a54	a98	a15	a36	a2	a57	a87	a23	a87	</S>
son	0.0243641	0.0343387	0.0288514	0.0151893	0.028797	0.0241144	0.0279871	0.0394931	0.0428427	0.0300515	0.0210864	0.0268981	0.0159035	0.0151971	0.0253665	0.0163095	0.011169	0.0198137	0.0235721	0.0193367	0.0137802	0.0152102	0.0220757	0.0210028	0.0112762	0.0203011	0.00979115	0.0104035	0.010931	0.0102499	0.00810424	0.00733808	0.00368305	0.00511096	0.00542599	0.0133387	0.00991115	0.010729	0.00590402	0.0141068	0.00778882	0.00638611	0.00736034	0.0115014	0.00661575	0.00460773	0.00401692	0.00647641	0.0054025	0.00865011	0.00730995	0.0138094	0.0148081	0.0174533	0.0213413	0.0141548	0.0191911	0.025134	0.0242751	0.0200658	0.0342954
ami	0.00930247	0.0155939	0.0182329	0.0375637	0.110573	0.0875367	0.0475298	0.0237702	0.0207339	0.0127954	0.0154361	0.0318046	0.0436028	0.0345576	0.0236275	0.0145237	0.01633	0.0184301	0.0188918	0.0161259	0.0163245	0.00628079	0.0145618	0.0131803	0.0182475	0.00314526	0.00156768	0.00647468	0.00438282	0.00251879	0.00705125	0.00333274	0.0077524	0.0128783	0.0138172	0.0375107	0.0204996	0.0315248	0.026652	0.0122446	0.0260242	0.0281171	0.0159218	0.0079549	0.00724649	0.00947615	0.00476479	0.00513824	0.00128731	0.000962202	0.000286068	0.00060221	0.00163143	0.0025203	0.00262293	0.000770664	0.000948608	0.00139697	0.00188979	0.00188609	0.00164233
l'	0.0144993	0.015686	0.0166579	0.0110333	0.0162187	0.0354234	0.0531189	0.03021	0.0306501	0.0254929	0.0413755	0.028567	0.0265127	0.0339131	0.0307738	0.0329133	0.0300591	0.0378192	0.0323088	0.0220359	0.0166472	0.0134263	0.0148354	0.0178152	0.0137588	0.0060192	0.00706881	0.0184389	0.0190968	0.0117914	0.0323174	0.0231808	0.0183171	0.0262485	0.00419728	0.00700886	0.0152798	0.0118762	0.0210542	0.00992151	0.0138126	0.00435549	0.00523903	0.00363672	0.0029761	0.00292622	0.00184739	0.00174662	0.0024135	0.00326284	0.00152197	0.00363904	0.00740094	0.00686431	0.00676303	0.00615037	0.0113824	0.007848	0.00792012	0.0201814	0.00454324
a	0.0328103	0.0152083	0.0186644	0.0203373	0.0107658	0.0135205	0.018565	0.00951735	0.0139729	0.0148971	0.016175	0.0129285	0.0177951	0.0239384	0.0159474	0.0151077	0.01973	0.0210754	0.0201445	0.0149072	0.0126181	0.0174277	0.0167128	0.0139552	0.0155131	0.0167862	0.0134386	0.0205411	0.00791667	0.00898864	0.00894139	0.006173	0.0126003	0.020781	0.0160498	0.0167942	0.0297268	0.023522	0.0479663	0.0378859	0.0356688	0.0213047	0.0486571	0.0244291	0.0218155	0.027528	0.0132774	0.0175746	0.0039006	0.0040622	0.00301713	0.00229884	0.00529964	0.00372014	0.00463741	0.00445428	0.00598464	0.00707876	0.00845443	0.0101947	0.0162954
frappé	0.0301691	0.0373401	0.0243767	0.0641547	0.0242065	0.0182183	0.0121169	0.0105765	0.0171855	0.00964963	0.0121976	0.0124162	0.0138099	0.0300133	0.03958	0.0222217	0.0317388	0.0263663	0.0252109	0.0301874	0.0177559	0.0175825	0.0216034	0.020641	0.0185952	0.0235396	0.0206952	0.041048	0.0190795	0.0182703	0.017554	0.0107185	0.0131091	0.0163964	0.0179679	0.0149391	0.0121152	0.0157835	0.0156953	0.0165986	0.0146632	0.0137943	0.0145166	0.0193871	0.0159108	0.0143181	0.0152967	0.0108165	0.00432785	0.00178718	0.00150354	0.0011245	0.00126272	0.000776224	0.00113354	0.0010098	0.000972564	0.00145783	0.00107585	0.00123617	0.00220465
mais	0.00679892	0.00688924	0.00559631	0.00404973	0.00615265	0.00363333	0.00381825	0.00479329	0.00807219	0.00762879	0.00987082	0.00697728	0.0084902	0.0204425	0.0262686	0.0266989	0.0305259	0.0311641	0.0329696	0.0407842	0.0448326	0.0529927	0.0459115	0.0407078	0.0370712	0.0499834	0.0612633	0.0422121	0.0442241	0.0565502	0.0498397	0.0233859	0.0144907	0.00864136	0.00909028	0.00436303	0.00427733	0.00330491	0.00182573	0.00299038	0.00196678	0.00210973	0.00271516	0.00322577	0.0018374	0.00199197	0.00197019	0.00205436	0.00396179	0.00725523	0.00489304	0.00505656	0.00553892	0.00547978	0.00869135	0.0056199	0.00891246	0.0079502	0.00793333	0.00783362	0.0134193
sa	0.00353224	0.00247586	0.00236886	0.00205822	0.0027236	0.00264307	0.00274069	0.00364637	0.00794659	0.00766845	0.0113356	0.0119059	0.0103497	0.0185236	0.020722	0.0254046	0.0261488	0.0245436	0.0266517	0.0351593	0.0376158	0.039146	0.0353966	0.0309211	0.0360052	0.0393243	0.046727	0.0391423	0.0419651	0.0457985	0.0445723	0.035334	0.025108	0.0160829	0.0222862	0.0120152	0.00873886	0.00699624	0.00587851	0.00508633	0.00491329	0.00400973	0.00339647	0.00332651	0.00303741	0.00328434	0.00365169	0.00468971	0.00455292	0.00649522	0.00528523	0.00625658	0.0112655	0.0114444	0.0113415	0.0141682	0.0162839	0.0143606	0.0139487	0.0163146	0.0152846
riposte	0.0068135	0.00403305	0.00355669	0.00274632	0.0024909	0.00219183	0.00213112	0.00393306	0.00837941	0.0101393	0.0133242	0.0121929	0.00940828	0.0180504	0.0227185	0.0315711	0.0436163	0.0292414	0.0434867	0.0494877	0.0457511	0.0414472	0.0442589	0.0394358	0.0399542	0.0250381	0.0455231	0.0404597	0.0289228	0.0329053	0.0463461	0.0252012	0.0183206	0.0122623	0.0109377	0.00704505	0.00890098	0.00449792	0.00767321	0.0090984	0.0063742	0.00783669	0.0063312	0.00537377	0.00515407	0.00549059	0.00621868	0.00864203	0.00530366	0.0051122	0.00381031	0.00359596	0.00740303	0.00688394	0.00703391	0.00576447	0.00957378	0.00690675	0.00716943	0.0130183	0.0135106
était	0.00720212	0.00446408	0.0034354	0.00261322	0.00312057	0.00228764	0.00201324	0.00229178	0.00327812	0.00601437	0.012331	0.013979	0.00745848	0.00946579	0.0183585	0.0342323	0.0621003	0.0355665	0.0775183	0.0515395	0.0517222	0.0390254	0.0404357	0.0391992	0.0455603	0.0293729	0.0492825	0.0280288	0.0197651	0.0206639	0.0214985	0.0148426	0.00837283	0.00696707	0.0119399	0.00663445	0.00897611	0.00508394	0.00758194	0.00566503	0.00497116	0.00703112	0.00356502	0.00445934	0.00819129	0.00627539	0.00896686	0.0105294	0.00327518	0.00268732	0.00140384	0.00227177	0.00576475	0.00796407	0.00928558	0.00692918	0.0117137	0.0135637	0.0132116	0.017187	0.0308641
trop	0.0101573	0.00712854	0.00549322	0.00585208	0.00664327	0.00363194	0.00278212	0.00181801	0.00201967	0.00250745	0.00676687	0.00745252	0.00333672	0.00480804	0.00979476	0.0166769	0.0260351	0.016903	0.0370074	0.0227594	0.0198493	0.0274754	0.0187086	0.0190935	0.0454692	0.0491698	0.0671015	0.0336308	0.0235961	0.0267679	0.0299683	0.0218246	0.0139448	0.0102477	0.0450251	0.0243345	0.0224176	0.0237353	0.0166659	0.0135491	0.00753656	0.00865195	0.00516239	0.00609612	0.0142681	0.00739128	0.0152118	0.015258	0.00943435	0.00805581	0.00635585	0.0085021	0.00764293	0.00649889	0.0116203	0.00684701	0.0112031	0.0154558	0.0208441	0.0237316	0.0320826
