 	a15	a66	a87	a23	a30	a93	a62	a61	a93	a94	a34	a47	a61	a43	a34	a96	a34	a96	a11	a62	a47	a12	a47	a61	a34	a93	a56	a37	a26	a82	a3	a87	a23	a87	</S>
le	0.0317533	0.0363705	0.0575367	0.0484725	0.0540666	0.0212026	0.0374461	0.0198339	0.024818	0.0202852	0.0257492	0.0164003	0.0229817	0.0216971	0.018617	0.0195192	0.0113972	0.0205687	0.0203656	0.0149039	0.0153462	0.00713337	0.00703481	0.00869199	0.0283981	0.0509703	0.0465614	0.0427727	0.0545738	0.0427375	0.0284757	0.0192006	0.0329321	0.0240087	0.0471773
mal	0.00237168	0.00879123	0.0119518	0.0214065	0.0140932	0.0444423	0.0186717	0.0202454	0.0227797	0.0367141	0.0458903	0.0432993	0.0626278	0.0734926	0.0767965	0.0917049	0.074715	0.0531521	0.0644944	0.0428611	0.0304867	0.0209222	0.0241884	0.0102288	0.0201208	0.0203187	0.0100188	0.00534611	0.00656141	0.0038449	0.0025253	0.00333608	0.00413039	0.00611175	0.00135783
de	0.0138745	0.0228548	0.0137495	0.0154526	0.00622336	0.0721855	0.030057	0.050954	0.0653432	0.05095	0.0540476	0.107047	0.061609	0.0381077	0.045162	0.052238	0.0518455	0.0276042	0.0494563	0.0272647	0.0183242	0.0224175	0.0219172	0.0170864	0.0136482	0.00710864	0.00822247	0.0121817	0.00620597	0.00189454	0.00242221	0.00246262	0.00284009	0.00545199	0.0017897
ventre	0.060808	0.0729053	0.0494293	0.0367727	0.0244109	0.0214706	0.0143258	0.0116777	0.0094983	0.0121332	0.016664	0.0335801	0.0193072	0.0161798	0.0268663	0.0217463	0.0216401	0.0213461	0.0541034	0.0359453	0.0153407	0.0414071	0.0377782	0.0301943	0.02429	0.0392089	0.0334897	0.0240894	0.0273692	0.026987	0.0303734	0.0267851	0.0207989	0.025577	0.0155007
de	0.0205947	0.014962	0.00975102	0.0119796	0.0166309	0.0201543	0.0361284	0.0600636	0.0644247	0.10742	0.0955204	0.110507	0.088626	0.0632696	0.0539721	0.0463684	0.0225815	0.00817533	0.0124853	0.00716626	0.00212236	0.00705418	0.00424262	0.00550478	0.00578549	0.00422937	0.00530181	0.00538577	0.00781502	0.00734033	0.00975028	0.010556	0.0128565	0.0157244	0.02555
cette	0.0367817	0.0223358	0.0160084	0.0102166	0.0124577	0.0136729	0.0279579	0.0336457	0.0312179	0.0346969	0.0228844	0.0344931	0.0267738	0.0224981	0.0234884	0.0246928	0.0224607	0.0250497	0.023728	0.0170956	0.00862496	0.0147228	0.0142514	0.0186908	0.032142	0.0423709	0.0572227	0.0441412	0.0539282	0.0464453	0.0411603	0.0264507	0.0376428	0.0293283	0.0507215
femme	0.0513182	0.0226638	0.0219418	0.00957628	0.00895128	0.0109869	0.0165383	0.0180589	0.00747773	0.0150407	0.0171548	0.0408543	0.042234	0.0301019	0.0484089	0.0509427	0.0522876	0.0398929	0.0501744	0.0392779	0.0176982	0.0223386	0.0202575	0.0308727	0.0388651	0.0335151	0.0345532	0.03022	0.0355339	0.0333766	0.0233635	0.0238817	0.0270242	0.0176882	0.0169282
s'	0.0819238	0.0652701	0.0602388	0.0404093	0.0411512	0.0248506	0.0204934	0.0149156	0.00615272	0.0095542	0.00791859	0.0205208	0.0140072	0.00639476	0.0107835	0.0201143	0.0296016	0.0249879	0.0596821	0.04212	0.0166472	0.014584	0.0129765	0.0120928	0.0270129	0.022831	0.0256908	0.0158474	0.0294978	0.0211503	0.0316161	0.0300463	0.0457443	0.0352476	0.0579246
est	0.0246314	0.0161293	0.0212686	0.0181769	0.0299027	0.0110639	0.0121804	0.0156457	0.0118828	0.0179392	0.0172427	0.0473688	0.0339867	0.0189607	0.0278438	0.0261968	0.0331959	0.027755	0.0471921	0.0478331	0.0185723	0.0273144	0.0244354	0.0231344	0.0197398	0.0308198	0.0273853	0.0239187	0.0376207	0.0360291	0.0425934	0.0411166	0.0597423	0.0403883	0.0407931
aggravé	0.0315699	0.0246977	0.0331475	0.0331968	0.0742114	0.0196288	0.0204883	0.0189805	0.00761558	0.00939639	0.00938476	0.0186175	0.0172505	0.0139431	0.0139423	0.0159001	0.0194823	0.0196886	0.0407214	0.0367523	0.0147644	0.0192863	0.0179131	0.0125367	0.0173313	0.0205465	0.0181383	0.025801	0.0336665	0.0310441	0.0366893	0.027178	0.0545393	0.0472089	0.144741
</S>	0.0235713	0.0173007	0.0248899	0.0170608	0.0304261	0.0118572	0.015859	0.0141537	0.0199529	0.0135367	0.0153203	0.00896994	0.010092	0.0111686	0.00754393	0.00560527	0.00532697	0.00677108	0.00846099	0.0107879	0.00817483	0.00625999	0.00739091	0.0106073	0.0275562	0.0370545	0.0349467	0.0428399	0.0656209	0.0590105	0.0451893	0.0522005	0.0678725	0.0515243	0.205096
