 	a66	a87	a23	a30	a20	a69	a20	a7	a84	a40	a6	a37	a12	a96	a62	a96	a88	a44	a75	a21	a5	a37	a44	a57	a82	a87	a23	a79	a20	a44	a96	a0	a75	a6	a36	a40	a36	a2	a57	a87	a23	a87	</S>
s'	0.01391	0.0272408	0.0222686	0.0161469	0.0321479	0.0365584	0.0370335	0.0370731	0.0364591	0.0488545	0.0404636	0.064583	0.0528977	0.0643601	0.0662511	0.0471435	0.0429202	0.0476551	0.0493447	0.0309361	0.00760354	0.00556308	0.0060777	0.00459079	0.00454222	0.00602686	0.0104788	0.00420508	0.00708522	0.00478435	0.00400071	0.00651442	0.00668141	0.00793275	0.010313	0.00898278	0.0110664	0.00777673	0.0116052	0.00763352	0.00934456	0.0098883	0.0230548
il	0.00563555	0.00585382	0.00759611	0.00838031	0.0397206	0.0911557	0.0486844	0.116058	0.0693654	0.0490103	0.0560956	0.0299179	0.0323833	0.0334301	0.0291268	0.0198292	0.0161342	0.019588	0.0188306	0.0153964	0.0436758	0.0309362	0.0181219	0.0214298	0.0118204	0.0141195	0.00696468	0.00820809	0.0118954	0.00863288	0.00823374	0.0059397	0.0062075	0.00500358	0.0059945	0.00777859	0.00497361	0.0147017	0.00816248	0.00789567	0.00923334	0.0160973	0.0117816
décide	0.00540942	0.0044703	0.00406295	0.00351971	0.00245623	0.0029787	0.00536433	0.0181236	0.022768	0.0309681	0.0290186	0.0394737	0.0324466	0.0658924	0.0482798	0.0405122	0.0642086	0.0640365	0.0460311	0.0518991	0.116706	0.0554486	0.0466725	0.0667736	0.0196991	0.0247583	0.00645456	0.00267077	0.00145694	0.00116144	0.00134089	0.0026759	0.00361494	0.00348306	0.00599927	0.00668879	0.00501126	0.00772667	0.00670272	0.00591194	0.00661928	0.0117311	0.00877213
de	0.0482643	0.039601	0.0500082	0.0363108	0.0334247	0.0136227	0.0137682	0.00890761	0.0121447	0.0142167	0.016888	0.0200191	0.0220004	0.00744577	0.0112238	0.0165093	0.0245619	0.0274506	0.0307346	0.0299831	0.0267029	0.0218652	0.0173837	0.0117613	0.00726915	0.0113148	0.00793613	0.011084	0.0192101	0.0153039	0.0238699	0.0288382	0.0226083	0.0176258	0.0173431	0.0230244	0.0346795	0.0248092	0.0320973	0.0324991	0.0333982	0.0311853	0.051105
t'	0.0546496	0.0289989	0.0236941	0.0276388	0.0302287	0.0284882	0.0330561	0.0175906	0.0127598	0.0115255	0.00955468	0.0173136	0.00797039	0.012834	0.0148198	0.0142343	0.0144824	0.0140875	0.0186266	0.0135597	0.024184	0.0494419	0.0473269	0.0338653	0.0420977	0.0453091	0.0357208	0.0223889	0.0130909	0.0131603	0.0128756	0.0182249	0.0162581	0.0141184	0.0163538	0.0163659	0.0189026	0.014898	0.0231369	0.0199917	0.0194708	0.0383343	0.0383702
assassiner	0.0227927	0.00886263	0.00499055	0.00751379	0.00484041	0.00690658	0.00672074	0.0183607	0.0115456	0.033372	0.0287327	0.0470227	0.0303441	0.0464683	0.043916	0.0408954	0.034572	0.0181525	0.0140677	0.0274248	0.0588804	0.0620446	0.0567549	0.034715	0.0310807	0.031097	0.0125199	0.00787225	0.0111558	0.00476053	0.00851564	0.0140174	0.024505	0.0340124	0.0289172	0.0151917	0.018943	0.0150533	0.0204167	0.0152234	0.014176	0.0104959	0.0121495
il	0.0258093	0.0236933	0.0184535	0.0139746	0.00792834	0.0057672	0.00525874	0.0103588	0.0147969	0.0295191	0.0352999	0.0450224	0.0428534	0.0240915	0.0253133	0.0337419	0.0272954	0.0125576	0.00968733	0.0278197	0.0314973	0.0235713	0.0236226	0.0143552	0.00932996	0.0189423	0.00728835	0.00900372	0.0118648	0.00916636	0.0158287	0.0253917	0.0382257	0.0387259	0.0384246	0.0461299	0.034031	0.0316983	0.03386	0.0301283	0.0250833	0.0227352	0.0218532
ne	0.0277159	0.0158588	0.0135354	0.0105114	0.00750726	0.00570601	0.00556236	0.0104451	0.0086912	0.0210511	0.0210116	0.0270513	0.0284676	0.0260169	0.0237424	0.0263698	0.0264214	0.0144753	0.0131384	0.0175836	0.0300809	0.0265832	0.0255133	0.0282483	0.0286567	0.0382893	0.027612	0.0360547	0.0403391	0.0141582	0.0216268	0.0339836	0.0484528	0.0485133	0.0325611	0.0378722	0.0221843	0.024666	0.0172111	0.0207248	0.0133543	0.0155907	0.0168602
reculera	0.0177451	0.0132594	0.0111426	0.00750303	0.00905152	0.00735333	0.00713669	0.00877006	0.00822815	0.0131449	0.0167057	0.0154931	0.0139796	0.0129751	0.0121985	0.0123547	0.0137548	0.0109344	0.0126815	0.0202881	0.0238783	0.0242803	0.0238567	0.023023	0.0179101	0.0267131	0.0192689	0.0221622	0.0247144	0.0141153	0.0158021	0.0303961	0.0467706	0.0546261	0.0482565	0.0473286	0.0411454	0.0557903	0.0380658	0.0440894	0.0369777	0.0400299	0.0360987
pas	0.032428	0.0301297	0.0206318	0.0126816	0.00859009	0.0153418	0.00995348	0.0111113	0.00895826	0.0262484	0.0344028	0.0355966	0.0270245	0.0337492	0.0276752	0.0220395	0.0224945	0.0134818	0.014157	0.017567	0.0185021	0.015942	0.0173595	0.0155189	0.0131707	0.0235298	0.0180675	0.0149299	0.0169202	0.0110322	0.0103597	0.0200498	0.0153368	0.0171479	0.020617	0.0232606	0.0176261	0.0344518	0.0406438	0.027831	0.0444506	0.0658276	0.0731616
</S>	0.00913396	0.00932082	0.00387109	0.00588456	0.00818185	0.00919545	0.00781186	0.00839668	0.00700955	0.0104057	0.00945473	0.0100629	0.00817807	0.0128992	0.0121427	0.0122807	0.0137831	0.0130724	0.0149185	0.0178611	0.0232494	0.0240115	0.0289189	0.0255747	0.0192296	0.0257455	0.0166675	0.0134083	0.0142299	0.0115728	0.0123215	0.0243618	0.0284664	0.0358178	0.0333933	0.0318596	0.0303545	0.0748237	0.0532438	0.0566257	0.066974	0.0626902	0.0825947
