 	a66	a10	a38	a62	a47	a31	a88	a62	a12	a62	a75	a79	a92	a56	a92	a21	a12	a18	a25	a87	a10	a87	a23	a97	a3	</S>
j'	0.084939	0.0918942	0.0603027	0.0550531	0.0258938	0.0168425	0.010664	0.00411421	0.00432975	0.00415976	0.00495432	0.00372027	0.00629306	0.00995936	0.021998	0.0354633	0.0720913	0.0719179	0.0804391	0.072842	0.0530363	0.0421594	0.0461543	0.0449174	0.0353472	0.0405137
ai	0.0326515	0.0304048	0.0361607	0.0338354	0.0376509	0.0374022	0.041231	0.0369228	0.0383507	0.0360755	0.029382	0.029214	0.0460334	0.045011	0.0453783	0.0438394	0.0501893	0.0565839	0.0393471	0.0352192	0.0361548	0.037086	0.0388382	0.0388019	0.042549	0.0256868
attrapé	0.0305012	0.0382256	0.0398562	0.0408834	0.050433	0.0546941	0.0437818	0.0302388	0.0484644	0.0529698	0.0633905	0.0443347	0.0458357	0.0231878	0.0179652	0.0130446	0.0181237	0.0201607	0.0193336	0.0251564	0.0298963	0.0340056	0.0469967	0.0424071	0.0786158	0.0474974
une	0.0372893	0.0203963	0.0282062	0.0265977	0.0193478	0.0332284	0.0789304	0.110021	0.129676	0.0740496	0.0395985	0.0440937	0.0579656	0.03806	0.0444788	0.0304396	0.0281765	0.0200987	0.0171818	0.018674	0.0135602	0.015899	0.0186012	0.0152037	0.0134843	0.0267413
grenouille	0.0735126	0.0745981	0.0749663	0.0701421	0.0501798	0.0649527	0.0474132	0.0840084	0.0746622	0.0516924	0.027627	0.0228001	0.0244582	0.00957609	0.0094108	0.0239666	0.021526	0.0256027	0.0153728	0.0290383	0.024415	0.0197242	0.0211095	0.0218182	0.0150913	0.0223352
dans	0.197847	0.10467	0.0904781	0.0677131	0.051483	0.0368448	0.0348416	0.0264241	0.020195	0.016512	0.00735333	0.00545268	0.00527765	0.00509724	0.00897902	0.0160417	0.0226984	0.02516	0.0218875	0.0222084	0.0299803	0.0313126	0.0261822	0.0346742	0.0335767	0.0571095
la	0.13681	0.0649237	0.0488682	0.0262953	0.029172	0.0206698	0.0217712	0.0223184	0.049241	0.0354518	0.0253222	0.0175525	0.0169639	0.0122128	0.0291072	0.0360439	0.0253485	0.0458471	0.0290961	0.0359247	0.0463073	0.0616799	0.0403094	0.0480133	0.0480471	0.0267025
petite	0.0442829	0.0113861	0.00851742	0.00738453	0.00546404	0.00644966	0.0134811	0.0151863	0.0160209	0.0171199	0.0092376	0.0095847	0.00765381	0.0134764	0.0228863	0.0272966	0.0507719	0.0528055	0.0702123	0.0858931	0.0778653	0.0845198	0.0904121	0.0862635	0.0729957	0.0928326
nasse	0.0544814	0.0179465	0.0141924	0.0110361	0.00876091	0.00693705	0.0115541	0.0100976	0.00859872	0.0111454	0.00730972	0.0118817	0.0136874	0.0160418	0.0277003	0.0317429	0.0467257	0.0415773	0.0547904	0.0720203	0.0569178	0.0781259	0.0786587	0.0696607	0.0770316	0.161377
</S>	0.0449205	0.0139759	0.00793093	0.0059349	0.00522181	0.00197349	0.00297877	0.00316659	0.00348317	0.00504917	0.0040531	0.00531974	0.00653434	0.00890971	0.0170378	0.0228479	0.0265312	0.0356747	0.0428335	0.0540247	0.0821043	0.0962057	0.0914064	0.106301	0.106803	0.198778
