 	a66	a87	a23	a87	a23	a83	a54	a6	a47	a36	a90	a79	a44	a93	a70	a93	a34	a98	a79	a15	a7	a84	a57	a87	a23	a10	a83	a54	a79	a92	a37	a12	a61	a21	a92	a90	a98	a47	a36	a2	a57	a87	a23	a99	a87	</S>
je	0.0431576	0.050819	0.0542574	0.0282192	0.0278837	0.0343437	0.0179942	0.0186972	0.0108082	0.00921444	0.00868708	0.0109955	0.010015	0.017276	0.01027	0.00593437	0.0229766	0.0295904	0.0188864	0.0125975	0.0223956	0.0190418	0.0145738	0.0138318	0.0145983	0.0179669	0.0309323	0.0251385	0.0242798	0.0555712	0.0295475	0.0363336	0.0132475	0.0159663	0.0150693	0.0113466	0.00743359	0.0150767	0.0152815	0.0192176	0.0161588	0.0210133	0.0178099	0.0228657	0.0221138	0.0405646
ne	0.0145338	0.0118341	0.0182636	0.02064	0.0205314	0.0203285	0.0725225	0.0678453	0.0450667	0.0420031	0.0585957	0.0533114	0.0375472	0.0395328	0.0735178	0.0136117	0.0254595	0.0183405	0.0258303	0.0130725	0.01453	0.0205308	0.0117008	0.0152582	0.0117781	0.012549	0.00914041	0.0072549	0.0090595	0.00390387	0.00626319	0.00315173	0.00298089	0.00576351	0.0087673	0.0146109	0.0214945	0.020091	0.0191068	0.0172807	0.010131	0.0105023	0.0123422	0.0113044	0.0160733	0.0120424
suis	0.0229164	0.0135007	0.0167921	0.0163847	0.0166173	0.0141052	0.0189675	0.0154052	0.0237754	0.0258393	0.0354686	0.0258444	0.0311473	0.0432549	0.083292	0.0356438	0.0477214	0.0951927	0.0486283	0.0684365	0.037775	0.0555425	0.0425006	0.0154801	0.011982	0.0110456	0.00347197	0.00296901	0.0025242	0.0013231	0.0030852	0.00159996	0.002184	0.00188334	0.00244257	0.00442997	0.00493316	0.00867646	0.00802814	0.00882317	0.00581827	0.00698583	0.0110162	0.0119376	0.0212569	0.0133514
pas	0.0381976	0.034711	0.0314983	0.0252787	0.0312878	0.0202896	0.0117047	0.0146778	0.00792638	0.00947737	0.0075826	0.0088297	0.00872246	0.00987677	0.0182243	0.00940408	0.0191828	0.0113028	0.0294064	0.01096	0.0162376	0.0202611	0.0147915	0.0339021	0.024403	0.0187806	0.0319594	0.0363497	0.0384435	0.0578829	0.0421753	0.0408015	0.045037	0.0327399	0.0266442	0.0154664	0.0160816	0.0112694	0.01097	0.0159084	0.0121988	0.0137991	0.0188089	0.0160124	0.0114943	0.0190402
resté	0.0653786	0.0237105	0.0138308	0.0112061	0.0167771	0.0064895	0.00250085	0.00199924	0.00176523	0.00201893	0.00163387	0.00295252	0.0057637	0.0101596	0.0117876	0.026662	0.0247232	0.0269809	0.0257621	0.0233608	0.0226281	0.0410011	0.0392144	0.0353948	0.041682	0.0176209	0.0244843	0.0301289	0.0356768	0.0417854	0.0311668	0.0421714	0.0394431	0.0270459	0.0297316	0.0222399	0.017483	0.0295789	0.0190916	0.0250049	0.00654012	0.0133904	0.0134761	0.0129911	0.0140692	0.0214965
son	0.0576579	0.0224728	0.0115825	0.00938409	0.0139218	0.00564902	0.00249444	0.00200132	0.00185519	0.00177937	0.00151953	0.00166262	0.00357717	0.00516118	0.00467016	0.0114998	0.013443	0.0164836	0.0148267	0.0160564	0.0146326	0.0204909	0.0422197	0.0405694	0.0340727	0.0290887	0.0226668	0.022923	0.0262959	0.0244364	0.0358563	0.0498706	0.0384456	0.0422738	0.0342813	0.0429864	0.0326099	0.03808	0.0391089	0.0229902	0.0183629	0.0294011	0.023393	0.0260162	0.0165547	0.0146746
ami	0.0229523	0.0110058	0.00586627	0.00467055	0.00499156	0.0036359	0.002153	0.00194168	0.00204676	0.00185228	0.00242755	0.00370709	0.00954472	0.0120868	0.0177931	0.0340885	0.0418469	0.0555093	0.049386	0.0528945	0.0539769	0.0521296	0.0365389	0.0366051	0.0317404	0.027683	0.0230192	0.0206832	0.0233116	0.0158744	0.0229881	0.0219934	0.0212584	0.0271038	0.0200005	0.0244661	0.0165664	0.0372854	0.0274648	0.0317845	0.0137476	0.015542	0.0199302	0.0152202	0.0127585	0.00992713
fidèle	0.0652225	0.0298612	0.0127201	0.0092378	0.00924792	0.00661221	0.00369477	0.00402679	0.00321707	0.00280755	0.00444708	0.00729755	0.0153711	0.0117458	0.0174565	0.0138427	0.0222062	0.0398592	0.0158875	0.0391688	0.0212687	0.0324405	0.0351405	0.0189678	0.0159253	0.010489	0.00984878	0.00620606	0.00797759	0.0112001	0.0149027	0.0182968	0.0190603	0.0117751	0.0108287	0.0193521	0.0215139	0.0352359	0.0366951	0.0464772	0.0326565	0.0322159	0.049279	0.0441558	0.0585789	0.0455814
du	0.0457315	0.0209069	0.0167365	0.0148063	0.0201051	0.0197454	0.0209273	0.0154258	0.00961027	0.00822289	0.0104385	0.0158576	0.0166754	0.0215931	0.0217615	0.00968836	0.0306884	0.0451075	0.0260741	0.0376035	0.0351792	0.0316311	0.0672127	0.0429289	0.0271489	0.0274004	0.023676	0.0151456	0.013035	0.00727951	0.00905539	0.00494169	0.0070058	0.010106	0.00741885	0.0163258	0.0165634	0.0196636	0.0230372	0.0166116	0.016755	0.0181134	0.0253486	0.0214589	0.0425233	0.0267283
fait	0.0322285	0.018181	0.0146504	0.0108086	0.00922236	0.00582976	0.00380317	0.0036406	0.00291516	0.00319769	0.00378702	0.00631599	0.00614733	0.00839439	0.01236	0.0168068	0.0318697	0.0310131	0.0326846	0.0351038	0.0383102	0.0303603	0.0317275	0.0273485	0.0268428	0.0431823	0.0246122	0.0225354	0.0243858	0.0188991	0.0187826	0.022014	0.0178269	0.0162115	0.0144664	0.0118964	0.0113534	0.0185226	0.0193213	0.0324183	0.0115598	0.028849	0.0349824	0.0556798	0.040181	0.0687703
