 	a85	a87	a23	a83	a62	a21	a5	a66	a98	a44	a83	a62	a83	a36	a57	a87	a23	a87	a23	a97	</S>
les	0.0901151	0.0634595	0.0544958	0.0327689	0.0177078	0.0163712	0.00825138	0.00551304	0.00549617	0.00415833	0.00407528	0.00504354	0.00900421	0.0349761	0.035501	0.0440492	0.103806	0.121564	0.103345	0.0886753	0.151622
noix	0.0542415	0.0297839	0.0241694	0.035567	0.0360396	0.0828789	0.0961141	0.0794668	0.0658815	0.0857881	0.0316172	0.0397207	0.0424767	0.044402	0.045401	0.033244	0.0498936	0.0316786	0.0302069	0.0223278	0.0391009
de	0.0609758	0.0437491	0.0217368	0.0215669	0.0341699	0.0273616	0.0334846	0.0347366	0.0319342	0.0256507	0.0157272	0.0193649	0.0304309	0.068727	0.0568216	0.0653681	0.12	0.068761	0.0930863	0.0742933	0.0520538
palme	0.0652979	0.0201979	0.0132793	0.0133864	0.0216192	0.030841	0.0816798	0.0690408	0.0432683	0.0238124	0.00811937	0.0104773	0.0112668	0.0149008	0.0210538	0.0456532	0.045081	0.100743	0.119597	0.143047	0.0976375
tombent	0.0394624	0.0131596	0.00949693	0.0111815	0.0172061	0.0265605	0.0543306	0.051468	0.0328107	0.0294787	0.0225909	0.0234764	0.0328958	0.0268263	0.0423752	0.0582715	0.0612292	0.0813968	0.0896724	0.0995413	0.176569
les	0.0275043	0.0161268	0.023602	0.0218682	0.0314182	0.0503162	0.0371053	0.0746621	0.0649004	0.040679	0.0478575	0.0411453	0.0452185	0.0388319	0.0459951	0.0752546	0.0807261	0.0706444	0.0661161	0.0407508	0.0592773
unes	0.0611576	0.0547265	0.0678537	0.0569523	0.0590752	0.0539508	0.0368808	0.0237903	0.019156	0.0136784	0.0144634	0.0274253	0.0412778	0.0342859	0.0348118	0.0514197	0.0569074	0.06896	0.063298	0.0936288	0.0663005
après	0.0815502	0.0284748	0.0171089	0.0113723	0.0105079	0.0136644	0.0159965	0.0235189	0.013641	0.00979491	0.00621616	0.0102166	0.0149496	0.0159741	0.0186372	0.0403351	0.0536765	0.0932854	0.128474	0.123971	0.268634
les	0.0630357	0.0244594	0.0143599	0.0137906	0.0119209	0.0145864	0.0204522	0.0392768	0.0252639	0.0285921	0.0338982	0.0288091	0.0234384	0.0152179	0.0176236	0.0329443	0.0353942	0.0603913	0.0786524	0.107904	0.309988
autres	0.0440337	0.0217598	0.0133428	0.0182167	0.0226196	0.029352	0.0418412	0.108611	0.0572602	0.0917049	0.0690875	0.0465175	0.0396809	0.0236114	0.0274196	0.0425345	0.0455142	0.0517106	0.0542444	0.0648238	0.0861141
</S>	0.0414866	0.0188996	0.0137753	0.00798055	0.00903132	0.00772785	0.00515085	0.0140219	0.0071111	0.00904187	0.0120258	0.0138881	0.0141938	0.0314215	0.0390381	0.0779182	0.0787568	0.0949996	0.121896	0.149745	0.23189
